"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0.004,0.00045,5e-05
0,5e-08,0.004,0.00045005,5e-05
0,1e-07,0.004,0.0004501,5e-05
0,1.5e-07,0.004,0.00045015,5e-05
0,2e-07,0.004,0.0004502,5e-05
0,2.5e-07,0.004,0.00045025,5e-05
0,3e-07,0.004,0.0004503,5e-05
0,3.5e-07,0.004,0.00045035,5e-05
0,4e-07,0.004,0.0004504,5e-05
0,4.5e-07,0.004,0.00045045,5e-05
0,5e-07,0.004,0.0004505,5e-05
0,5.5e-07,0.004,0.00045055,5e-05
0,6e-07,0.004,0.0004506,5e-05
0,6.5e-07,0.004,0.00045065,5e-05
0,7.0001e-07,0.004,0.0004507,5e-05
0,7.5001e-07,0.004,0.00045075,5e-05
0,8.0001e-07,0.004,0.0004508,5e-05
0,8.5001e-07,0.004,0.00045085,5e-05
0,9.0001e-07,0.004,0.0004509,5e-05
0,9.5001e-07,0.004,0.00045095,5e-05
0,1e-06,0.004,0.000451,5e-05
0,1.05e-06,0.004,0.00045105,5e-05
0,1.1e-06,0.004,0.0004511,5e-05
0,1.15e-06,0.004,0.00045115,5e-05
0,1.2e-06,0.004,0.0004512,5e-05
0,1.25e-06,0.004,0.00045125,5e-05
0,1.3e-06,0.004,0.0004513,5e-05
0,1.35e-06,0.004,0.00045135,5e-05
0,1.4e-06,0.004,0.0004514,5e-05
0,1.45e-06,0.004,0.00045145,5e-05
0,1.5e-06,0.004,0.0004515,5e-05
0,1.55e-06,0.004,0.00045155,5e-05
0,1.6e-06,0.004,0.0004516,5e-05
0,1.65e-06,0.004,0.00045165,5e-05
0,1.7e-06,0.004,0.0004517,5e-05
0,1.75e-06,0.004,0.00045175,5e-05
0,1.8e-06,0.004,0.0004518,5e-05
0,1.85e-06,0.004,0.00045185,5e-05
0,1.9e-06,0.004,0.0004519,5e-05
0,1.95e-06,0.004,0.00045195,5e-05
0,2e-06,0.004,0.000452,5e-05
0,2.05e-06,0.004,0.00045205,5e-05
0,2.1e-06,0.004,0.0004521,5e-05
0,2.15e-06,0.004,0.00045215,5e-05
0,2.2e-06,0.004,0.0004522,5e-05
0,2.25e-06,0.004,0.00045225,5e-05
0,2.3e-06,0.004,0.0004523,5e-05
0,2.35e-06,0.004,0.00045235,5e-05
0,2.4e-06,0.004,0.0004524,5e-05
0,2.45e-06,0.004,0.00045245,5e-05
0,2.5e-06,0.004,0.0004525,5e-05
0,2.55e-06,0.004,0.00045255,5e-05
0,2.6e-06,0.004,0.0004526,5e-05
0,2.65e-06,0.004,0.00045265,5e-05
0,2.7e-06,0.004,0.0004527,5e-05
0,2.75e-06,0.004,0.00045275,5e-05
0,2.8e-06,0.004,0.0004528,5e-05
0,2.85e-06,0.004,0.00045285,5e-05
0,2.9e-06,0.004,0.0004529,5e-05
0,2.95e-06,0.004,0.00045295,5e-05
0,3e-06,0.004,0.000453,5e-05
0,3.05e-06,0.004,0.00045305,5e-05
0,3.1e-06,0.004,0.0004531,5e-05
0,3.15e-06,0.004,0.00045315,5e-05
0,3.2e-06,0.004,0.0004532,5e-05
0,3.25e-06,0.004,0.00045325,5e-05
0,3.3e-06,0.004,0.0004533,5e-05
0,3.35e-06,0.004,0.00045335,5e-05
0,3.4e-06,0.004,0.0004534,5e-05
0,3.45e-06,0.004,0.00045345,5e-05
0,3.5e-06,0.004,0.0004535,5e-05
0,3.55e-06,0.004,0.00045355,5e-05
0,3.6e-06,0.004,0.0004536,5e-05
0,3.65e-06,0.004,0.00045365,5e-05
0,3.7e-06,0.004,0.0004537,5e-05
0,3.75e-06,0.004,0.00045375,5e-05
0,3.8e-06,0.004,0.0004538,5e-05
0,3.85e-06,0.004,0.00045385,5e-05
0,3.9e-06,0.004,0.0004539,5e-05
0,3.95e-06,0.004,0.00045395,5e-05
0,4e-06,0.004,0.000454,5e-05
0,4.05e-06,0.004,0.00045405,5e-05
0,4.1e-06,0.004,0.0004541,5e-05
0,4.15e-06,0.004,0.00045415,5e-05
0,4.2e-06,0.004,0.0004542,5e-05
0,4.25e-06,0.004,0.00045425,5e-05
0,4.3e-06,0.004,0.0004543,5e-05
0,4.35e-06,0.004,0.00045435,5e-05
0,4.4e-06,0.004,0.0004544,5e-05
0,4.45e-06,0.004,0.00045445,5e-05
0,4.5e-06,0.004,0.0004545,5e-05
0,4.55e-06,0.004,0.00045455,5e-05
0,4.6e-06,0.004,0.0004546,5e-05
0,4.65e-06,0.004,0.00045465,5e-05
0,4.7e-06,0.004,0.0004547,5e-05
0,4.75e-06,0.004,0.00045475,5e-05
0,4.8e-06,0.004,0.0004548,5e-05
0,4.85e-06,0.004,0.00045485,5e-05
0,4.9e-06,0.004,0.0004549,5e-05
0,4.95e-06,0.004,0.00045495,5e-05
0,5e-06,0.004,0.000455,5e-05
0,5.05e-06,0.004,0.00045505,5e-05
0,5.1e-06,0.004,0.0004551,5e-05
0,5.15e-06,0.004,0.00045515,5e-05
0,5.2e-06,0.004,0.0004552,5e-05
0,5.25e-06,0.004,0.00045525,5e-05
0,5.3e-06,0.004,0.0004553,5e-05
0,5.35e-06,0.004,0.00045535,5e-05
0,5.4e-06,0.004,0.0004554,5e-05
0,5.45e-06,0.004,0.00045545,5e-05
0,5.5e-06,0.004,0.0004555,5e-05
0,5.55e-06,0.004,0.00045555,5e-05
0,5.6e-06,0.004,0.0004556,5e-05
0,5.65e-06,0.004,0.00045565,5e-05
0,5.7e-06,0.004,0.0004557,5e-05
0,5.75e-06,0.004,0.00045575,5e-05
0,5.8e-06,0.004,0.0004558,5e-05
0,5.85e-06,0.004,0.00045585,5e-05
0,5.9e-06,0.004,0.0004559,5e-05
0,5.95e-06,0.004,0.00045595,5e-05
0,6e-06,0.004,0.000456,5e-05
0,6.05e-06,0.004,0.00045605,5e-05
0,6.1e-06,0.004,0.0004561,5e-05
0,6.15e-06,0.004,0.00045615,5e-05
0,6.2e-06,0.004,0.0004562,5e-05
0,6.25e-06,0.004,0.00045625,5e-05
0,6.3e-06,0.004,0.0004563,5e-05
0,6.35e-06,0.004,0.00045635,5e-05
0,6.4e-06,0.004,0.0004564,5e-05
0,6.45e-06,0.004,0.00045645,5e-05
0,6.5e-06,0.004,0.0004565,5e-05
0,6.55e-06,0.004,0.00045655,5e-05
0,6.6e-06,0.004,0.0004566,5e-05
0,6.65e-06,0.004,0.00045665,5e-05
0,6.7e-06,0.004,0.0004567,5e-05
0,6.75e-06,0.004,0.00045675,5e-05
0,6.8e-06,0.004,0.0004568,5e-05
0,6.85e-06,0.004,0.00045685,5e-05
0,6.9e-06,0.004,0.0004569,5e-05
0,6.95e-06,0.004,0.00045695,5e-05
0,7e-06,0.004,0.000457,5e-05
0,7.05e-06,0.004,0.00045705,5e-05
0,7.1e-06,0.004,0.0004571,5e-05
0,7.15e-06,0.004,0.00045715,5e-05
0,7.2e-06,0.004,0.0004572,5e-05
0,7.25e-06,0.004,0.00045725,5e-05
0,7.3e-06,0.004,0.0004573,5e-05
0,7.35e-06,0.004,0.00045735,5e-05
0,7.4e-06,0.004,0.0004574,5e-05
0,7.45e-06,0.004,0.00045745,5e-05
0,7.5e-06,0.004,0.0004575,5e-05
0,7.55e-06,0.004,0.00045755,5e-05
0,7.6e-06,0.004,0.0004576,5e-05
0,7.65e-06,0.004,0.00045765,5e-05
0,7.7e-06,0.004,0.0004577,5e-05
0,7.75e-06,0.004,0.00045775,5e-05
0,7.8e-06,0.004,0.0004578,5e-05
0,7.85e-06,0.004,0.00045785,5e-05
0,7.9e-06,0.004,0.0004579,5e-05
0,7.95e-06,0.004,0.00045795,5e-05
0,8e-06,0.004,0.000458,5e-05
0,8.05e-06,0.004,0.00045805,5e-05
0,8.1e-06,0.004,0.0004581,5e-05
0,8.15e-06,0.004,0.00045815,5e-05
0,8.2e-06,0.004,0.0004582,5e-05
0,8.25e-06,0.004,0.00045825,5e-05
0,8.3e-06,0.004,0.0004583,5e-05
0,8.35e-06,0.004,0.00045835,5e-05
0,8.4e-06,0.004,0.0004584,5e-05
0,8.45e-06,0.004,0.00045845,5e-05
0,8.5e-06,0.004,0.0004585,5e-05
0,8.55e-06,0.004,0.00045855,5e-05
0,8.6e-06,0.004,0.0004586,5e-05
0,8.65e-06,0.004,0.00045865,5e-05
0,8.7e-06,0.004,0.0004587,5e-05
0,8.75e-06,0.004,0.00045875,5e-05
0,8.8e-06,0.004,0.0004588,5e-05
0,8.85e-06,0.004,0.00045885,5e-05
0,8.9e-06,0.004,0.0004589,5e-05
0,8.95e-06,0.004,0.00045895,5e-05
0,9e-06,0.004,0.000459,5e-05
0,9.05e-06,0.004,0.00045905,5e-05
0,9.1e-06,0.004,0.0004591,5e-05
0,9.15e-06,0.004,0.00045915,5e-05
0,9.2e-06,0.004,0.0004592,5e-05
0,9.25e-06,0.004,0.00045925,5e-05
0,9.3e-06,0.004,0.0004593,5e-05
0,9.35e-06,0.004,0.00045935,5e-05
0,9.4e-06,0.004,0.0004594,5e-05
0,9.45e-06,0.004,0.00045945,5e-05
0,9.5e-06,0.004,0.0004595,5e-05
0,9.55e-06,0.004,0.00045955,5e-05
0,9.6e-06,0.004,0.0004596,5e-05
0,9.65e-06,0.004,0.00045965,5e-05
0,9.7e-06,0.004,0.0004597,5e-05
0,9.75e-06,0.004,0.00045975,5e-05
0,9.8e-06,0.004,0.0004598,5e-05
0,9.85e-06,0.004,0.00045985,5e-05
0,9.9e-06,0.004,0.0004599,5e-05
0,9.95e-06,0.004,0.00045995,5e-05
0,1e-05,0.004,0.00046,5e-05
0,1.005e-05,0.004,0.00046005,5e-05
0,1.01e-05,0.004,0.0004601,5e-05
0,1.015e-05,0.004,0.00046015,5e-05
0,1.02e-05,0.004,0.0004602,5e-05
0,1.025e-05,0.004,0.00046025,5e-05
0,1.03e-05,0.004,0.0004603,5e-05
0,1.035e-05,0.004,0.00046035,5e-05
0,1.04e-05,0.004,0.0004604,5e-05
0,1.045e-05,0.004,0.00046045,5e-05
0,1.05e-05,0.004,0.0004605,5e-05
0,1.055e-05,0.004,0.00046055,5e-05
0,1.06e-05,0.004,0.0004606,5e-05
0,1.065e-05,0.004,0.00046065,5e-05
0,1.07e-05,0.004,0.0004607,5e-05
0,1.075e-05,0.004,0.00046075,5e-05
0,1.08e-05,0.004,0.0004608,5e-05
0,1.085e-05,0.004,0.00046085,5e-05
0,1.09e-05,0.004,0.0004609,5e-05
0,1.095e-05,0.004,0.00046095,5e-05
0,1.1e-05,0.004,0.000461,5e-05
0,1.105e-05,0.004,0.00046105,5e-05
0,1.11e-05,0.004,0.0004611,5e-05
0,1.115e-05,0.004,0.00046115,5e-05
0,1.12e-05,0.004,0.0004612,5e-05
0,1.125e-05,0.004,0.00046125,5e-05
0,1.13e-05,0.004,0.0004613,5e-05
0,1.135e-05,0.004,0.00046135,5e-05
0,1.14e-05,0.004,0.0004614,5e-05
0,1.145e-05,0.004,0.00046145,5e-05
0,1.15e-05,0.004,0.0004615,5e-05
0,1.155e-05,0.004,0.00046155,5e-05
0,1.16e-05,0.004,0.0004616,5e-05
0,1.165e-05,0.004,0.00046165,5e-05
0,1.17e-05,0.004,0.0004617,5e-05
0,1.175e-05,0.004,0.00046175,5e-05
0,1.18e-05,0.004,0.0004618,5e-05
0,1.185e-05,0.004,0.00046185,5e-05
0,1.19e-05,0.004,0.0004619,5e-05
0,1.195e-05,0.004,0.00046195,5e-05
0,1.2e-05,0.004,0.000462,5e-05
0,1.205e-05,0.004,0.00046205,5e-05
0,1.21e-05,0.004,0.0004621,5e-05
0,1.215e-05,0.004,0.00046215,5e-05
0,1.22e-05,0.004,0.0004622,5e-05
0,1.225e-05,0.004,0.00046225,5e-05
0,1.23e-05,0.004,0.0004623,5e-05
0,1.235e-05,0.004,0.00046235,5e-05
0,1.24e-05,0.004,0.0004624,5e-05
0,1.245e-05,0.004,0.00046245,5e-05
0,1.25e-05,0.004,0.0004625,5e-05
0,1.255e-05,0.004,0.00046255,5e-05
0,1.26e-05,0.004,0.0004626,5e-05
0,1.265e-05,0.004,0.00046265,5e-05
0,1.27e-05,0.004,0.0004627,5e-05
0,1.275e-05,0.004,0.00046275,5e-05
0,1.28e-05,0.004,0.0004628,5e-05
0,1.285e-05,0.004,0.00046285,5e-05
0,1.29e-05,0.004,0.0004629,5e-05
0,1.295e-05,0.004,0.00046295,5e-05
0,1.3e-05,0.004,0.000463,5e-05
0,1.305e-05,0.004,0.00046305,5e-05
0,1.31e-05,0.004,0.0004631,5e-05
0,1.315e-05,0.004,0.00046315,5e-05
0,1.32e-05,0.004,0.0004632,5e-05
0,1.325e-05,0.004,0.00046325,5e-05
0,1.33e-05,0.004,0.0004633,5e-05
0,1.335e-05,0.004,0.00046335,5e-05
0,1.34e-05,0.004,0.0004634,5e-05
0,1.345e-05,0.004,0.00046345,5e-05
0,1.35e-05,0.004,0.0004635,5e-05
0,1.355e-05,0.004,0.00046355,5e-05
0,1.36e-05,0.004,0.0004636,5e-05
0,1.365e-05,0.004,0.00046365,5e-05
0,1.37e-05,0.004,0.0004637,5e-05
0,1.375e-05,0.004,0.00046375,5e-05
0,1.38e-05,0.004,0.0004638,5e-05
0,1.385e-05,0.004,0.00046385,5e-05
0,1.39e-05,0.004,0.0004639,5e-05
0,1.395e-05,0.004,0.00046395,5e-05
0,1.4e-05,0.004,0.000464,5e-05
0,1.405e-05,0.004,0.00046405,5e-05
0,1.41e-05,0.004,0.0004641,5e-05
0,1.415e-05,0.004,0.00046415,5e-05
0,1.42e-05,0.004,0.0004642,5e-05
0,1.425e-05,0.004,0.00046425,5e-05
0,1.43e-05,0.004,0.0004643,5e-05
0,1.435e-05,0.004,0.00046435,5e-05
0,1.44e-05,0.004,0.0004644,5e-05
0,1.445e-05,0.004,0.00046445,5e-05
0,1.45e-05,0.004,0.0004645,5e-05
0,1.455e-05,0.004,0.00046455,5e-05
0,1.46e-05,0.004,0.0004646,5e-05
0,1.465e-05,0.004,0.00046465,5e-05
0,1.47e-05,0.004,0.0004647,5e-05
0,1.475e-05,0.004,0.00046475,5e-05
0,1.48e-05,0.004,0.0004648,5e-05
0,1.485e-05,0.004,0.00046485,5e-05
0,1.49e-05,0.004,0.0004649,5e-05
0,1.495e-05,0.004,0.00046495,5e-05
0,1.5e-05,0.004,0.000465,5e-05
0,1.505e-05,0.004,0.00046505,5e-05
0,1.51e-05,0.004,0.0004651,5e-05
0,1.515e-05,0.004,0.00046515,5e-05
0,1.52e-05,0.004,0.0004652,5e-05
0,1.525e-05,0.004,0.00046525,5e-05
0,1.53e-05,0.004,0.0004653,5e-05
0,1.535e-05,0.004,0.00046535,5e-05
0,1.54e-05,0.004,0.0004654,5e-05
0,1.545e-05,0.004,0.00046545,5e-05
0,1.55e-05,0.004,0.0004655,5e-05
0,1.555e-05,0.004,0.00046555,5e-05
0,1.56e-05,0.004,0.0004656,5e-05
0,1.565e-05,0.004,0.00046565,5e-05
0,1.57e-05,0.004,0.0004657,5e-05
0,1.575e-05,0.004,0.00046575,5e-05
0,1.58e-05,0.004,0.0004658,5e-05
0,1.585e-05,0.004,0.00046585,5e-05
0,1.59e-05,0.004,0.0004659,5e-05
0,1.595e-05,0.004,0.00046595,5e-05
0,1.6e-05,0.004,0.000466,5e-05
0,1.605e-05,0.004,0.00046605,5e-05
0,1.61e-05,0.004,0.0004661,5e-05
0,1.615e-05,0.004,0.00046615,5e-05
0,1.62e-05,0.004,0.0004662,5e-05
0,1.625e-05,0.004,0.00046625,5e-05
0,1.63e-05,0.004,0.0004663,5e-05
0,1.635e-05,0.004,0.00046635,5e-05
0,1.64e-05,0.004,0.0004664,5e-05
0,1.645e-05,0.004,0.00046645,5e-05
0,1.65e-05,0.004,0.0004665,5e-05
0,1.655e-05,0.004,0.00046655,5e-05
0,1.66e-05,0.004,0.0004666,5e-05
0,1.665e-05,0.004,0.00046665,5e-05
0,1.67e-05,0.004,0.0004667,5e-05
0,1.675e-05,0.004,0.00046675,5e-05
0,1.68e-05,0.004,0.0004668,5e-05
0,1.685e-05,0.004,0.00046685,5e-05
0,1.69e-05,0.004,0.0004669,5e-05
0,1.695e-05,0.004,0.00046695,5e-05
0,1.7e-05,0.004,0.000467,5e-05
0,1.705e-05,0.004,0.00046705,5e-05
0,1.71e-05,0.004,0.0004671,5e-05
0,1.715e-05,0.004,0.00046715,5e-05
0,1.72e-05,0.004,0.0004672,5e-05
0,1.725e-05,0.004,0.00046725,5e-05
0,1.73e-05,0.004,0.0004673,5e-05
0,1.735e-05,0.004,0.00046735,5e-05
0,1.74e-05,0.004,0.0004674,5e-05
0,1.745e-05,0.004,0.00046745,5e-05
0,1.75e-05,0.004,0.0004675,5e-05
0,1.755e-05,0.004,0.00046755,5e-05
0,1.76e-05,0.004,0.0004676,5e-05
0,1.765e-05,0.004,0.00046765,5e-05
0,1.77e-05,0.004,0.0004677,5e-05
0,1.775e-05,0.004,0.00046775,5e-05
0,1.78e-05,0.004,0.0004678,5e-05
0,1.785e-05,0.004,0.00046785,5e-05
0,1.79e-05,0.004,0.0004679,5e-05
0,1.795e-05,0.004,0.00046795,5e-05
0,1.8e-05,0.004,0.000468,5e-05
0,1.805e-05,0.004,0.00046805,5e-05
0,1.81e-05,0.004,0.0004681,5e-05
0,1.815e-05,0.004,0.00046815,5e-05
0,1.82e-05,0.004,0.0004682,5e-05
0,1.825e-05,0.004,0.00046825,5e-05
0,1.83e-05,0.004,0.0004683,5e-05
0,1.835e-05,0.004,0.00046835,5e-05
0,1.84e-05,0.004,0.0004684,5e-05
0,1.845e-05,0.004,0.00046845,5e-05
0,1.85e-05,0.004,0.0004685,5e-05
0,1.855e-05,0.004,0.00046855,5e-05
0,1.86e-05,0.004,0.0004686,5e-05
0,1.865e-05,0.004,0.00046865,5e-05
0,1.87e-05,0.004,0.0004687,5e-05
0,1.875e-05,0.004,0.00046875,5e-05
0,1.88e-05,0.004,0.0004688,5e-05
