"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00045951,-0.00018659,-5.1686e-14,1,0,0.004,0.00095,5e-05
0.00046781,-0.00018908,-4.5215e-14,1,1e-07,0.004,0.0009501,5e-05
0.00047611,-0.00019157,-3.852e-14,1,2e-07,0.004,0.0009502,5e-05
0.00048441,-0.00019407,-3.1601e-14,1,3e-07,0.004,0.0009503,5e-05
0.00049272,-0.00019656,-2.446e-14,1,4e-07,0.004,0.0009504,5e-05
0.00050104,-0.00019905,-1.7096e-14,1,5e-07,0.004,0.0009505,5e-05
0.00050936,-0.00020154,-9.5098e-15,1,6e-07,0.004,0.0009506,5e-05
0.00051769,-0.00020403,-1.7021e-15,1,7.0001e-07,0.004,0.0009507,5e-05
0.00052603,-0.00020634,2.5956e-15,1,8.0001e-07,0.004,0.0009508,5e-05
0.00053437,-0.00020865,6.9707e-15,1,9.0001e-07,0.004,0.0009509,5e-05
0.00054272,-0.00021096,1.1463e-14,1,1e-06,0.004,0.000951,5e-05
0.00055108,-0.00021327,1.6072e-14,1,1.1e-06,0.004,0.0009511,5e-05
0.00055943,-0.00021558,2.0798e-14,1,1.2e-06,0.004,0.0009512,5e-05
0.0005678,-0.00021789,2.564e-14,1,1.3e-06,0.004,0.0009513,5e-05
0.00057617,-0.0002202,3.0599e-14,1,1.4e-06,0.004,0.0009514,5e-05
0.00058453,-0.00022237,1.7185e-14,1,1.5e-06,0.004,0.0009515,5e-05
0.00059289,-0.0002245,-3.438e-15,1,1.6e-06,0.004,0.0009516,5e-05
0.00060126,-0.00022663,-2.4287e-14,1,1.7e-06,0.004,0.0009517,5e-05
0.00060963,-0.00022875,-4.5348e-14,1,1.8e-06,0.004,0.0009518,5e-05
0.00061801,-0.00023088,-6.6645e-14,1,1.9e-06,0.004,0.0009519,5e-05
0.00062639,-0.000233,-8.8167e-14,1,2e-06,0.004,0.000952,5e-05
0.00063478,-0.00023512,-1.0991e-13,1,2.1e-06,0.004,0.0009521,5e-05
0.00064315,-0.00023716,-1.1393e-13,1,2.2e-06,0.004,0.0009522,5e-05
0.00065151,-0.00023911,-9.788e-14,1,2.3e-06,0.004,0.0009523,5e-05
0.00065987,-0.00024105,-8.1711e-14,1,2.4e-06,0.004,0.0009524,5e-05
0.00066824,-0.00024299,-6.5421e-14,1,2.5e-06,0.004,0.0009525,5e-05
0.00067662,-0.00024493,-4.9011e-14,1,2.6e-06,0.004,0.0009526,5e-05
0.00068499,-0.00024687,-3.2479e-14,1,2.7e-06,0.004,0.0009527,5e-05
0.00069338,-0.00024881,-1.5827e-14,1,2.8e-06,0.004,0.0009528,5e-05
0.00070175,-0.00025071,1.0427e-15,1,2.9e-06,0.004,0.0009529,5e-05
0.00071008,-0.00025248,1.8345e-14,1,3e-06,0.004,0.000953,5e-05
0.00071841,-0.00025424,3.5759e-14,1,3.1e-06,0.004,0.0009531,5e-05
0.00072675,-0.000256,5.3287e-14,1,3.2e-06,0.004,0.0009532,5e-05
0.0007351,-0.00025776,7.0926e-14,1,3.3e-06,0.004,0.0009533,5e-05
0.00074345,-0.00025952,8.8678e-14,1,3.4e-06,0.004,0.0009534,5e-05
0.0007518,-0.00026128,1.0654e-13,1,3.5e-06,0.004,0.0009535,5e-05
0.00076016,-0.00026304,1.2413e-13,1,3.6e-06,0.004,0.0009536,5e-05
0.00076844,-0.00026463,1.0105e-13,1,3.7e-06,0.004,0.0009537,5e-05
0.00077673,-0.00026622,7.7742e-14,1,3.8e-06,0.004,0.0009538,5e-05
0.00078502,-0.00026781,5.4194e-14,1,3.9e-06,0.004,0.0009539,5e-05
0.00079332,-0.00026939,3.0411e-14,1,4e-06,0.004,0.000954,5e-05
0.00080162,-0.00027098,6.3911e-15,1,4.1e-06,0.004,0.0009541,5e-05
0.00080992,-0.00027256,-1.7864e-14,1,4.2e-06,0.004,0.0009542,5e-05
0.00081823,-0.00027414,-4.2354e-14,1,4.3e-06,0.004,0.0009543,5e-05
0.00082647,-0.0002756,-4.2687e-14,1,4.4e-06,0.004,0.0009544,5e-05
0.00083469,-0.00027702,-3.6724e-14,1,4.5e-06,0.004,0.0009545,5e-05
0.00084292,-0.00027844,-3.065e-14,1,4.6e-06,0.004,0.0009546,5e-05
0.00085115,-0.00027986,-2.4466e-14,1,4.7e-06,0.004,0.0009547,5e-05
0.00085938,-0.00028127,-1.817e-14,1,4.8e-06,0.004,0.0009548,5e-05
0.00086762,-0.00028269,-1.1764e-14,1,4.9e-06,0.004,0.0009549,5e-05
0.00087586,-0.00028411,-5.2476e-15,1,5e-06,0.004,0.000955,5e-05
0.00088404,-0.00028543,1.5941e-15,1,5.1e-06,0.004,0.0009551,5e-05
