"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,0,0,0.013978,-4.472e-05,5e-05
0.40522,1,9.9989e-08,0.013978,-4.4631e-05,5e-05
0.40522,1,1.9998e-07,0.013978,-4.4541e-05,5e-05
0.40522,1,2.9997e-07,0.013978,-4.4452e-05,5e-05
0.40522,1,3.9996e-07,0.013978,-4.4362e-05,5e-05
0.40522,1,4.9995e-07,0.013978,-4.4273e-05,5e-05
0.40522,1,5.9994e-07,0.013978,-4.4183e-05,5e-05
0.40522,1,6.9993e-07,0.013978,-4.4094e-05,5e-05
0.40522,1,7.9992e-07,0.013978,-4.4004e-05,5e-05
0.40522,1,8.9991e-07,0.013978,-4.3915e-05,5e-05
0.40522,1,9.999e-07,0.013978,-4.3826e-05,5e-05
0.40522,1,1.0999e-06,0.013978,-4.3736e-05,5e-05
0.40522,1,1.1999e-06,0.013978,-4.3647e-05,5e-05
0.40522,1,1.2999e-06,0.013978,-4.3557e-05,5e-05
0.40522,1,1.3999e-06,0.013978,-4.3468e-05,5e-05
0.40523,1,1.4998e-06,0.013978,-4.3378e-05,5e-05
0.40523,1,1.5998e-06,0.013978,-4.3289e-05,5e-05
0.40523,1,1.6998e-06,0.013978,-4.32e-05,5e-05
0.40523,1,1.7998e-06,0.013978,-4.311e-05,5e-05
0.40523,1,1.8998e-06,0.013978,-4.3021e-05,5e-05
0.40523,1,2.0002e-06,0.013979,-4.2931e-05,5e-05
0.40523,1,2.1002e-06,0.013979,-4.2842e-05,5e-05
0.40523,1,2.2002e-06,0.013979,-4.2752e-05,5e-05
0.40523,1,2.3002e-06,0.013979,-4.2663e-05,5e-05
0.40523,1,2.4002e-06,0.013979,-4.2573e-05,5e-05
0.40523,1,2.5002e-06,0.013979,-4.2484e-05,5e-05
0.40523,1,2.6001e-06,0.013979,-4.2395e-05,5e-05
0.40523,1,2.7001e-06,0.013979,-4.2305e-05,5e-05
0.40524,1,2.8001e-06,0.013979,-4.2216e-05,5e-05
0.40524,1,2.9001e-06,0.013979,-4.2126e-05,5e-05
0.40524,1,3.0001e-06,0.013979,-4.2037e-05,5e-05
0.40524,1,3.1001e-06,0.013979,-4.1947e-05,5e-05
0.40524,1,3.2001e-06,0.013979,-4.1858e-05,5e-05
0.40524,1,3.3001e-06,0.013979,-4.1768e-05,5e-05
0.40524,1,3.4001e-06,0.013979,-4.1679e-05,5e-05
0.40524,1,3.5001e-06,0.013979,-4.159e-05,5e-05
0.40525,1,3.6e-06,0.013979,-4.15e-05,5e-05
0.40525,1,3.7e-06,0.013979,-4.1411e-05,5e-05
0.40525,1,3.8e-06,0.013979,-4.1321e-05,5e-05
0.40525,1,3.9e-06,0.013979,-4.1232e-05,5e-05
0.40525,1,4e-06,0.013979,-4.1142e-05,5e-05
0.40525,1,4.1e-06,0.013979,-4.1053e-05,5e-05
0.40526,1,4.2e-06,0.01398,-4.0964e-05,5e-05
0.40526,1,4.3e-06,0.01398,-4.0874e-05,5e-05
0.40526,1,4.4e-06,0.01398,-4.0785e-05,5e-05
0.40526,1,4.5e-06,0.01398,-4.0695e-05,5e-05
0.40526,1,4.5999e-06,0.01398,-4.0606e-05,5e-05
0.40527,1,4.6999e-06,0.01398,-4.0516e-05,5e-05
0.40527,1,4.7999e-06,0.01398,-4.0427e-05,5e-05
0.40527,1,4.8999e-06,0.01398,-4.0337e-05,5e-05
0.40527,1,4.9999e-06,0.01398,-4.0248e-05,5e-05
0.40528,1,5.0999e-06,0.01398,-4.0159e-05,5e-05
0.40528,1,5.1999e-06,0.01398,-4.0069e-05,5e-05
0.40528,1,5.2999e-06,0.01398,-3.998e-05,5e-05
0.40529,1,5.3999e-06,0.01398,-3.989e-05,5e-05
0.40529,1,5.4998e-06,0.01398,-3.9801e-05,5e-05
0.40529,1,5.6003e-06,0.01398,-3.9711e-05,5e-05
0.40529,1,5.7002e-06,0.01398,-3.9622e-05,5e-05
0.4053,1,5.8002e-06,0.01398,-3.9532e-05,5e-05
0.4053,1,5.9002e-06,0.01398,-3.9443e-05,5e-05
0.4053,1,6.0002e-06,0.01398,-3.9354e-05,5e-05
0.40531,1,6.1002e-06,0.01398,-3.9264e-05,5e-05
0.40531,1,6.2002e-06,0.01398,-3.9175e-05,5e-05
0.40531,1,6.3002e-06,0.01398,-3.9085e-05,5e-05
0.40532,1,6.4002e-06,0.01398,-3.8996e-05,5e-05
0.40532,1,6.5002e-06,0.013981,-3.8906e-05,5e-05
0.40533,1,6.6002e-06,0.013981,-3.8817e-05,5e-05
0.40533,1,6.7001e-06,0.013981,-3.8728e-05,5e-05
0.40534,1,6.8001e-06,0.013981,-3.8638e-05,5e-05
0.40534,1,6.9001e-06,0.013981,-3.8549e-05,5e-05
0.40535,1,7.0001e-06,0.013981,-3.8459e-05,5e-05
0.40535,1,7.1001e-06,0.013981,-3.837e-05,5e-05
0.40536,1,7.2001e-06,0.013981,-3.828e-05,5e-05
0.40536,1,7.3001e-06,0.013981,-3.8191e-05,5e-05
0.40536,1,7.4001e-06,0.013981,-3.8101e-05,5e-05
0.40537,1,7.5001e-06,0.013981,-3.8012e-05,5e-05
0.40538,1,7.6e-06,0.013981,-3.7923e-05,5e-05
0.40538,1,7.7e-06,0.013981,-3.7833e-05,5e-05
0.40539,1,7.8e-06,0.013981,-3.7744e-05,5e-05
0.40539,1,7.9e-06,0.013981,-3.7654e-05,5e-05
0.4054,1,8e-06,0.013981,-3.7565e-05,5e-05
0.40541,1,8.1e-06,0.013981,-3.7475e-05,5e-05
