x,f(x)
0,0.2622
0.001,0.2622
0.002,0.2622
0.003,0.2622
0.004,0.2622
0.005,0.2622
0.006,0.2622
0.007,0.2623
0.008,0.2623
0.009,0.2623
0.01,0.2623
0.011,0.2623
0.012,0.2624
0.013,0.2624
0.014,0.2624
0.015,0.2625
0.016,0.2625
0.017,0.2625
0.018,0.2626
0.019,0.2626
0.02,0.2627
0.021,0.2627
0.022,0.2628
0.023,0.2628
0.024,0.2629
0.025,0.2629
0.026,0.263
0.027,0.2631
0.028,0.2631
0.029,0.2632
0.03,0.2633
0.031,0.2633
0.032,0.2634
0.033,0.2635
0.034,0.2636
0.035,0.2636
0.036,0.2637
0.037,0.2638
0.038,0.2639
0.039,0.264
0.04,0.2641
0.041,0.2642
0.042,0.2643
0.043,0.2644
0.044,0.2645
0.045,0.2646
0.046,0.2647
0.047,0.2648
0.048,0.2649
0.049,0.265
0.05,0.2651
0.051,0.2652
0.052,0.2654
0.053,0.2655
0.054,0.2656
0.055,0.2657
0.056,0.2659
0.057,0.266
0.058,0.2661
0.059,0.2663
0.06,0.2664
0.061,0.2666
0.062,0.2667
0.063,0.2668
0.064,0.267
0.065,0.2671
0.066,0.2673
0.067,0.2674
0.068,0.2676
0.069,0.2678
0.07,0.2679
0.071,0.2681
0.072,0.2683
0.073,0.2684
0.074,0.2686
0.075,0.2688
0.076,0.2689
0.077,0.2691
0.078,0.2693
0.079,0.2695
0.08,0.2697
0.081,0.2699
0.082,0.27
0.083,0.2702
0.084,0.2704
0.085,0.2706
0.086,0.2708
0.087,0.271
0.088,0.2712
0.089,0.2714
0.09,0.2716
0.091,0.2718
0.092,0.2721
0.093,0.2723
0.094,0.2725
0.095,0.2727
0.096,0.2729
0.097,0.2731
0.098,0.2734
0.099,0.2736
0.1,0.2738
0.101,0.2741
0.102,0.2743
0.103,0.2745
0.104,0.2748
0.105,0.275
0.106,0.2753
0.107,0.2755
0.108,0.2757
0.109,0.276
0.11,0.2762
0.111,0.2765
0.112,0.2768
0.113,0.277
0.114,0.2773
0.115,0.2775
0.116,0.2778
0.117,0.2781
0.118,0.2783
0.119,0.2786
0.12,0.2789
0.121,0.2792
0.122,0.2794
0.123,0.2797
0.124,0.28
0.125,0.2803
0.126,0.2806
0.127,0.2809
0.128,0.2812
0.129,0.2814
0.13,0.2817
0.131,0.282
0.132,0.2823
0.133,0.2826
0.134,0.2829
0.135,0.2833
0.136,0.2836
0.137,0.2839
0.138,0.2842
0.139,0.2845
0.14,0.2848
0.141,0.2851
0.142,0.2855
0.143,0.2858
0.144,0.2861
0.145,0.2864
0.146,0.2868
0.147,0.2871
0.148,0.2874
0.149,0.2878
0.15,0.2881
0.151,0.2884
0.152,0.2888
0.153,0.2891
0.154,0.2895
0.155,0.2898
0.156,0.2902
0.157,0.2905
0.158,0.2909
0.159,0.2912
0.16,0.2916
0.161,0.292
0.162,0.2923
0.163,0.2927
0.164,0.293
0.165,0.2934
0.166,0.2938
0.167,0.2942
0.168,0.2945
0.169,0.2949
0.17,0.2953
0.171,0.2957
0.172,0.2961
0.173,0.2964
0.174,0.2968
0.175,0.2972
0.176,0.2976
0.177,0.298
0.178,0.2984
0.179,0.2988
0.18,0.2992
0.181,0.2996
0.182,0.3
0.183,0.3004
0.184,0.3008
0.185,0.3012
0.186,0.3016
0.187,0.302
0.188,0.3025
0.189,0.3029
0.19,0.3033
0.191,0.3037
0.192,0.3041
0.193,0.3046
0.194,0.305
0.195,0.3054
0.196,0.3058
0.197,0.3063
0.198,0.3067
0.199,0.3071
0.2,0.3076
0.201,0.308
0.202,0.3085
0.203,0.3089
0.204,0.3094
0.205,0.3098
0.206,0.3103
0.207,0.3107
0.208,0.3112
0.209,0.3116
0.21,0.3121
0.211,0.3125
0.212,0.313
0.213,0.3134
0.214,0.3139
0.215,0.3144
0.216,0.3148
0.217,0.3153
0.218,0.3158
0.219,0.3163
0.22,0.3167
0.221,0.3172
0.222,0.3177
0.223,0.3182
0.224,0.3187
0.225,0.3191
0.226,0.3196
0.227,0.3201
0.228,0.3206
0.229,0.3211
0.23,0.3216
0.231,0.3221
0.232,0.3226
0.233,0.3231
0.234,0.3236
0.235,0.3241
0.236,0.3246
0.237,0.3251
0.238,0.3256
0.239,0.3261
0.24,0.3266
0.241,0.3271
0.242,0.3276
0.243,0.3282
0.244,0.3287
0.245,0.3292
0.246,0.3297
0.247,0.3302
0.248,0.3308
0.249,0.3313
0.25,0.3318
0.251,0.3323
0.252,0.3329
