x,f(x)
0,0.5026
0.001,0.5027
0.002,0.5031
0.003,0.5037
0.004,0.5045
0.005,0.5055
0.006,0.5067
0.007,0.508
0.008,0.5093
0.009,0.5108
0.01,0.5123
0.011,0.5138
0.012,0.5152
0.013,0.5166
0.014,0.518
0.015,0.5193
0.016,0.5206
0.017,0.5218
0.018,0.523
0.019,0.5241
0.02,0.5253
0.021,0.5264
0.022,0.5276
0.023,0.5287
0.024,0.5299
0.025,0.5311
0.026,0.5324
0.027,0.5337
0.028,0.535
0.029,0.5363
0.03,0.5376
0.031,0.539
0.032,0.5403
0.033,0.5416
0.034,0.5429
0.035,0.5442
0.036,0.5454
0.037,0.5467
0.038,0.5479
0.039,0.5491
0.04,0.5503
0.041,0.5514
0.042,0.5526
0.043,0.5538
0.044,0.555
0.045,0.5563
0.046,0.5575
0.047,0.5588
0.048,0.5601
0.049,0.5613
0.05,0.5626
0.051,0.5639
0.052,0.5652
0.053,0.5665
0.054,0.5678
0.055,0.569
0.056,0.5703
0.057,0.5715
0.058,0.5727
0.059,0.5739
0.06,0.5751
0.061,0.5763
0.062,0.5775
0.063,0.5787
0.064,0.5799
0.065,0.5811
0.066,0.5823
0.067,0.5836
0.068,0.5848
0.069,0.5861
0.07,0.5874
0.071,0.5886
0.072,0.5899
0.073,0.5911
0.074,0.5924
0.075,0.5936
0.076,0.5949
0.077,0.5961
0.078,0.5973
0.079,0.5985
0.08,0.5996
0.081,0.6008
0.082,0.602
0.083,0.6032
0.084,0.6044
0.085,0.6056
0.086,0.6068
0.087,0.6081
0.088,0.6093
0.089,0.6105
0.09,0.6117
0.091,0.613
0.092,0.6142
0.093,0.6154
0.094,0.6167
0.095,0.6179
0.096,0.6191
0.097,0.6203
0.098,0.6215
0.099,0.6226
0.1,0.6238
0.101,0.625
0.102,0.6262
0.103,0.6273
0.104,0.6285
0.105,0.6297
0.106,0.6309
0.107,0.6321
0.108,0.6333
0.109,0.6345
0.11,0.6357
0.111,0.6369
0.112,0.6381
0.113,0.6393
0.114,0.6405
0.115,0.6417
0.116,0.6429
0.117,0.644
0.118,0.6452
0.119,0.6464
0.12,0.6475
0.121,0.6487
0.122,0.6498
0.123,0.651
0.124,0.6521
0.125,0.6533
0.126,0.6544
0.127,0.6556
0.128,0.6568
0.129,0.6579
0.13,0.6591
0.131,0.6603
0.132,0.6615
0.133,0.6626
0.134,0.6638
0.135,0.665
0.136,0.6661
0.137,0.6673
0.138,0.6684
0.139,0.6695
0.14,0.6707
0.141,0.6718
0.142,0.6729
0.143,0.674
0.144,0.6751
0.145,0.6763
0.146,0.6774
0.147,0.6785
0.148,0.6797
0.149,0.6808
0.15,0.682
0.151,0.6831
0.152,0.6842
0.153,0.6854
0.154,0.6865
0.155,0.6876
0.156,0.6887
0.157,0.6899
0.158,0.691
0.159,0.6921
0.16,0.6932
0.161,0.6942
0.162,0.6953
0.163,0.6964
0.164,0.6975
0.165,0.6986
0.166,0.6997
0.167,0.7008
0.168,0.7019
0.169,0.703
0.17,0.7041
0.171,0.7052
0.172,0.7063
0.173,0.7074
0.174,0.7085
0.175,0.7096
0.176,0.7107
0.177,0.7118
0.178,0.7128
0.179,0.7139
0.18,0.7149
0.181,0.716
0.182,0.7171
0.183,0.7181
0.184,0.7192
0.185,0.7202
0.186,0.7213
0.187,0.7223
0.188,0.7234
0.189,0.7245
0.19,0.7255
0.191,0.7266
0.192,0.7277
0.193,0.7287
0.194,0.7298
0.195,0.7308
0.196,0.7319
0.197,0.7329
0.198,0.7339
0.199,0.735
0.2,0.736
0.201,0.737
0.202,0.738
0.203,0.739
0.204,0.74
0.205,0.7411
0.206,0.7421
0.207,0.7431
0.208,0.7441
0.209,0.7451
0.21,0.7462
0.211,0.7472
0.212,0.7482
0.213,0.7492
0.214,0.7502
0.215,0.7512
0.216,0.7522
0.217,0.7532
0.218,0.7542
0.219,0.7552
0.22,0.7562
0.221,0.7572
0.222,0.7581
0.223,0.7591
0.224,0.7601
0.225,0.7611
0.226,0.762
0.227,0.763
0.228,0.764
0.229,0.765
0.23,0.7659
0.231,0.7669
0.232,0.7679
0.233,0.7689
0.234,0.7698
0.235,0.7708
0.236,0.7718
0.237,0.7727
0.238,0.7737
0.239,0.7746
0.24,0.7755
0.241,0.7765
0.242,0.7774
0.243,0.7783
0.244,0.7793
0.245,0.7802
0.246,0.7811
0.247,0.782
0.248,0.783
0.249,0.7839
0.25,0.7848
0.251,0.7858
0.252,0.7867
0.253,0.7876
0.254,0.7886
0.255,0.7895
0.256,0.7904
0.257,0.7913
0.258,0.7922
0.259,0.7931
0.26,0.794
0.261,0.7949
0.262,0.7957
0.263,0.7966
0.264,0.7975
0.265,0.7984
0.266,0.7993
0.267,0.8002
0.268,0.8011
0.269,0.8019
0.27,0.8028
0.271,0.8037
0.272,0.8046
0.273,0.8055
0.274,0.8063
0.275,0.8072
0.276,0.8081
0.277,0.8089
0.278,0.8098
0.279,0.8106
0.28,0.8115
0.281,0.8123
0.282,0.8132
0.283,0.814
0.284,0.8148
0.285,0.8157
0.286,0.8165
0.287,0.8174
0.288,0.8182
0.289,0.819
0.29,0.8199
0.291,0.8207
0.292,0.8215
0.293,0.8224
0.294,0.8232
0.295,0.824
0.296,0.8248
0.297,0.8256
0.298,0.8264
0.299,0.8273
0.3,0.8281
0.301,0.8288
0.302,0.8296
0.303,0.8304
0.304,0.8312
0.305,0.832
0.306,0.8328
0.307,0.8336
0.308,0.8344
0.309,0.8352
0.31,0.8359
0.311,0.8367
0.312,0.8375
0.313,0.8383
0.314,0.8391
0.315,0.8399
0.316,0.8406
0.317,0.8414
0.318,0.8421
0.319,0.8429
0.32,0.8437
0.321,0.8444
0.322,0.8451
0.323,0.8459
0.324,0.8466
0.325,0.8474
0.326,0.8481
0.327,0.8488
0.328,0.8496
0.329,0.8503
0.33,0.8511
0.331,0.8518
0.332,0.8525
0.333,0.8533
0.334,0.854
0.335,0.8547
0.336,0.8555
0.337,0.8562
0.338,0.8569
0.339,0.8576
0.34,0.8583
0.341,0.859
0.342,0.8597
0.343,0.8604
0.344,0.8611
0.345,0.8618
0.346,0.8625
0.347,0.8632
0.348,0.8638
0.349,0.8645
0.35,0.8652
0.351,0.8659
0.352,0.8666
0.353,0.8673
0.354,0.868
0.355,0.8687
0.356,0.8693
0.357,0.87
0.358,0.8707
0.359,0.8713
0.36,0.872
0.361,0.8726
0.362,0.8733
0.363,0.8739
0.364,0.8746
0.365,0.8752
0.366,0.8759
0.367,0.8765
0.368,0.8771
0.369,0.8778
0.37,0.8784
0.371,0.8791
0.372,0.8797
0.373,0.8804
0.374,0.881
0.375,0.8816
0.376,0.8823
0.377,0.8829
0.378,0.8835
0.379,0.8841
0.38,0.8847
0.381,0.8853
0.382,0.8859
0.383,0.8865
0.384,0.8871
0.385,0.8877
0.386,0.8883
0.387,0.8889
0.388,0.8895
0.389,0.8901
0.39,0.8907
0.391,0.8913
0.392,0.8919
0.393,0.8925
0.394,0.8931
0.395,0.8937
0.396,0.8942
0.397,0.8948
0.398,0.8954
0.399,0.896
0.4,0.8965
0.401,0.8971
0.402,0.8976
0.403,0.8982
0.404,0.8988
0.405,0.8993
0.406,0.8999
0.407,0.9004
0.408,0.901
0.409,0.9015
0.41,0.9021
0.411,0.9026
0.412,0.9032
0.413,0.9037
0.414,0.9042
0.415,0.9048
0.416,0.9053
0.417,0.9059
0.418,0.9064
0.419,0.9069
0.42,0.9074
0.421,0.9079
0.422,0.9085
0.423,0.909
0.424,0.9095
0.425,0.91
0.426,0.9105
0.427,0.911
0.428,0.9115
0.429,0.912
0.43,0.9125
0.431,0.913
0.432,0.9135
0.433,0.914
0.434,0.9145
0.435,0.915
0.436,0.9155
0.437,0.916
0.438,0.9165
0.439,0.917
0.44,0.9175
0.441,0.9179
0.442,0.9184
0.443,0.9189
0.444,0.9193
0.445,0.9198
0.446,0.9203
0.447,0.9207
0.448,0.9212
0.449,0.9217
0.45,0.9221
0.451,0.9226
0.452,0.9231
0.453,0.9235
0.454,0.924
0.455,0.9244
0.456,0.9249
0.457,0.9253
0.458,0.9258
0.459,0.9262
0.46,0.9267
0.461,0.9271
0.462,0.9275
0.463,0.9279
0.464,0.9284
0.465,0.9288
0.466,0.9292
0.467,0.9296
0.468,0.9301
0.469,0.9305
0.47,0.9309
0.471,0.9313
0.472,0.9318
0.473,0.9322
0.474,0.9326
0.475,0.933
0.476,0.9334
0.477,0.9338
0.478,0.9342
0.479,0.9346
0.48,0.935
0.481,0.9354
0.482,0.9358
0.483,0.9362
0.484,0.9366
0.485,0.937
0.486,0.9374
0.487,0.9378
0.488,0.9381
0.489,0.9385
0.49,0.9389
0.491,0.9393
0.492,0.9397
0.493,0.9401
0.494,0.9404
0.495,0.9408
0.496,0.9412
0.497,0.9416
0.498,0.9419
0.499,0.9423
0.5,0.9427
0.501,0.943
0.502,0.9434
0.503,0.9437
0.504,0.9441
0.505,0.9444
0.506,0.9448
0.507,0.9451
0.508,0.9455
0.509,0.9458
0.51,0.9462
0.511,0.9465
0.512,0.9469
0.513,0.9472
0.514,0.9476
0.515,0.9479
0.516,0.9482
0.517,0.9486
0.518,0.9489
0.519,0.9492
0.52,0.9496
0.521,0.9499
0.522,0.9502
0.523,0.9505
0.524,0.9508
0.525,0.9512
0.526,0.9515
0.527,0.9518
0.528,0.9521
0.529,0.9524
0.53,0.9527
0.531,0.953
0.532,0.9534
0.533,0.9537
0.534,0.954
0.535,0.9543
0.536,0.9546
0.537,0.9549
0.538,0.9552
0.539,0.9555
0.54,0.9558
0.541,0.9561
0.542,0.9564
0.543,0.9566
0.544,0.9569
0.545,0.9572
0.546,0.9575
0.547,0.9578
0.548,0.9581
0.549,0.9583
0.55,0.9586
0.551,0.9589
0.552,0.9592
0.553,0.9595
0.554,0.9598
0.555,0.96
0.556,0.9603
0.557,0.9606
0.558,0.9608
0.559,0.9611
0.56,0.9614
0.561,0.9616
0.562,0.9619
0.563,0.9621
0.564,0.9624
0.565,0.9626
0.566,0.9629
0.567,0.9632
0.568,0.9634
0.569,0.9637
0.57,0.9639
0.571,0.9642
0.572,0.9644
0.573,0.9647
0.574,0.9649
0.575,0.9652
0.576,0.9654
0.577,0.9657
0.578,0.9659
0.579,0.9661
0.58,0.9664
0.581,0.9666
0.582,0.9668
0.583,0.9671
0.584,0.9673
0.585,0.9675
0.586,0.9677
0.587,0.968
0.588,0.9682
0.589,0.9684
0.59,0.9686
0.591,0.9689
0.592,0.9691
0.593,0.9693
0.594,0.9695
0.595,0.9698
0.596,0.97
0.597,0.9702
0.598,0.9704
0.599,0.9706
0.6,0.9708
0.601,0.971
0.602,0.9712
0.603,0.9714
0.604,0.9716
0.605,0.9718
0.606,0.972
0.607,0.9722
0.608,0.9724
0.609,0.9726
0.61,0.9728
0.611,0.973
0.612,0.9732
0.613,0.9734
0.614,0.9736
0.615,0.9738
0.616,0.974
0.617,0.9742
0.618,0.9744
0.619,0.9746
0.62,0.9748
0.621,0.975
0.622,0.9751
0.623,0.9753
0.624,0.9755
0.625,0.9757
0.626,0.9758
0.627,0.976
0.628,0.9762
0.629,0.9764
0.63,0.9765
0.631,0.9767
0.632,0.9769
0.633,0.9771
0.634,0.9773
0.635,0.9774
0.636,0.9776
0.637,0.9778
0.638,0.9779
0.639,0.9781
0.64,0.9783
0.641,0.9784
0.642,0.9786
0.643,0.9787
0.644,0.9789
0.645,0.979
0.646,0.9792
0.647,0.9794
0.648,0.9795
0.649,0.9797
0.65,0.9798
0.651,0.98
0.652,0.9801
0.653,0.9803
0.654,0.9804
0.655,0.9806
0.656,0.9808
0.657,0.9809
0.658,0.981
0.659,0.9812
0.66,0.9813
0.661,0.9815
0.662,0.9816
0.663,0.9818
0.664,0.9819
0.665,0.982
0.666,0.9822
0.667,0.9823
0.668,0.9824
0.669,0.9826
0.67,0.9827
0.671,0.9828
0.672,0.983
0.673,0.9831
0.674,0.9833
0.675,0.9834
0.676,0.9835
0.677,0.9837
0.678,0.9838
0.679,0.9839
0.68,0.984
0.681,0.9842
0.682,0.9843
0.683,0.9844
0.684,0.9845
0.685,0.9846
0.686,0.9847
0.687,0.9849
0.688,0.985
0.689,0.9851
0.69,0.9852
0.691,0.9853
0.692,0.9855
0.693,0.9856
0.694,0.9857
0.695,0.9858
0.696,0.9859
0.697,0.9861
0.698,0.9862
0.699,0.9863
0.7,0.9864
0.701,0.9865
0.702,0.9866
0.703,0.9867
0.704,0.9868
0.705,0.9869
0.706,0.987
0.707,0.9871
0.708,0.9872
0.709,0.9873
0.71,0.9874
0.711,0.9875
0.712,0.9876
0.713,0.9877
0.714,0.9878
0.715,0.9879
0.716,0.988
0.717,0.9881
0.718,0.9882
0.719,0.9883
0.72,0.9884
0.721,0.9885
0.722,0.9886
0.723,0.9887
0.724,0.9888
0.725,0.9889
0.726,0.989
0.727,0.989
0.728,0.9891
0.729,0.9892
0.73,0.9893
0.731,0.9894
0.732,0.9895
0.733,0.9896
0.734,0.9897
0.735,0.9898
0.736,0.9899
0.737,0.9899
0.738,0.99
0.739,0.9901
0.74,0.9902
0.741,0.9903
0.742,0.9904
0.743,0.9904
0.744,0.9905
0.745,0.9906
0.746,0.9907
0.747,0.9907
0.748,0.9908
0.749,0.9909
0.75,0.991
0.751,0.991
0.752,0.9911
0.753,0.9912
0.754,0.9913
0.755,0.9913
0.756,0.9914
0.757,0.9915
0.758,0.9916
0.759,0.9916
0.76,0.9917
0.761,0.9918
0.762,0.9919
0.763,0.9919
0.764,0.992
0.765,0.992
0.766,0.9921
0.767,0.9922
0.768,0.9922
0.769,0.9923
0.77,0.9924
0.771,0.9924
0.772,0.9925
0.773,0.9926
0.774,0.9926
0.775,0.9927
0.776,0.9928
0.777,0.9928
0.778,0.9929
0.779,0.993
0.78,0.993
0.781,0.9931
0.782,0.9931
0.783,0.9932
0.784,0.9932
0.785,0.9933
0.786,0.9934
0.787,0.9934
0.788,0.9935
0.789,0.9935
0.79,0.9936
0.791,0.9936
0.792,0.9937
0.793,0.9937
0.794,0.9938
0.795,0.9939
0.796,0.9939
0.797,0.994
0.798,0.994
0.799,0.9941
0.8,0.9941
0.801,0.9942
0.802,0.9942
0.803,0.9943
0.804,0.9943
0.805,0.9944
0.806,0.9944
0.807,0.9945
0.808,0.9945
0.809,0.9945
0.81,0.9946
0.811,0.9946
0.812,0.9947
0.813,0.9947
0.814,0.9948
0.815,0.9948
0.816,0.9949
0.817,0.9949
0.818,0.995
0.819,0.995
0.82,0.9951
0.821,0.9951
0.822,0.9952
0.823,0.9952
0.824,0.9952
0.825,0.9953
0.826,0.9953
0.827,0.9953
0.828,0.9954
0.829,0.9954
0.83,0.9955
0.831,0.9955
0.832,0.9955
0.833,0.9956
0.834,0.9956
0.835,0.9957
0.836,0.9957
0.837,0.9958
0.838,0.9958
0.839,0.9958
0.84,0.9959
0.841,0.9959
0.842,0.9959
0.843,0.996
0.844,0.996
0.845,0.996
0.846,0.9961
0.847,0.9961
0.848,0.9961
0.849,0.9961
0.85,0.9962
0.851,0.9962
0.852,0.9962
0.853,0.9963
0.854,0.9963
0.855,0.9964
0.856,0.9964
0.857,0.9964
0.858,0.9965
