x,f(x)
0,0.6816
0.001,0.6816
0.002,0.6816
0.003,0.6816
0.004,0.6816
0.005,0.6816
0.006,0.6816
0.007,0.6816
0.008,0.6816
0.009,0.6816
0.01,0.6816
0.011,0.6816
0.012,0.6816
0.013,0.6816
0.014,0.6816
0.015,0.6817
0.016,0.6817
0.017,0.6817
0.018,0.6817
0.019,0.6817
0.02,0.6817
0.021,0.6817
0.022,0.6817
0.023,0.6817
0.024,0.6817
0.025,0.6817
0.026,0.6817
0.027,0.6817
0.028,0.6818
0.029,0.6818
0.03,0.6818
0.031,0.6818
0.032,0.6818
0.033,0.6818
0.034,0.6818
0.035,0.6818
0.036,0.6818
0.037,0.6819
0.038,0.6819
0.039,0.6819
0.04,0.6819
0.041,0.6819
0.042,0.6819
0.043,0.6819
0.044,0.682
0.045,0.682
0.046,0.682
0.047,0.682
0.048,0.682
0.049,0.682
0.05,0.6821
0.051,0.6821
0.052,0.6821
0.053,0.6821
0.054,0.6821
0.055,0.6822
0.056,0.6822
0.057,0.6822
0.058,0.6822
0.059,0.6822
0.06,0.6823
0.061,0.6823
0.062,0.6823
0.063,0.6823
0.064,0.6823
0.065,0.6824
0.066,0.6824
0.067,0.6824
0.068,0.6824
0.069,0.6825
0.07,0.6825
0.071,0.6825
0.072,0.6825
0.073,0.6826
0.074,0.6826
0.075,0.6826
0.076,0.6826
0.077,0.6827
0.078,0.6827
0.079,0.6827
0.08,0.6828
0.081,0.6828
0.082,0.6828
0.083,0.6828
0.084,0.6829
0.085,0.6829
0.086,0.6829
0.087,0.683
0.088,0.683
0.089,0.683
0.09,0.6831
0.091,0.6831
0.092,0.6831
0.093,0.6832
0.094,0.6832
0.095,0.6832
0.096,0.6833
0.097,0.6833
0.098,0.6833
0.099,0.6834
0.1,0.6834
0.101,0.6834
0.102,0.6835
0.103,0.6835
0.104,0.6835
0.105,0.6836
0.106,0.6836
0.107,0.6836
0.108,0.6837
0.109,0.6837
0.11,0.6838
0.111,0.6838
0.112,0.6838
0.113,0.6839
0.114,0.6839
0.115,0.684
0.116,0.684
0.117,0.684
0.118,0.6841
0.119,0.6841
0.12,0.6842
0.121,0.6842
0.122,0.6842
0.123,0.6843
0.124,0.6843
0.125,0.6844
0.126,0.6844
0.127,0.6845
0.128,0.6845
0.129,0.6846
0.13,0.6846
0.131,0.6846
0.132,0.6847
0.133,0.6847
0.134,0.6848
0.135,0.6848
0.136,0.6849
0.137,0.6849
0.138,0.685
0.139,0.685
0.14,0.6851
0.141,0.6851
0.142,0.6852
0.143,0.6852
0.144,0.6853
0.145,0.6853
0.146,0.6854
0.147,0.6854
0.148,0.6855
0.149,0.6855
0.15,0.6856
0.151,0.6856
0.152,0.6857
0.153,0.6857
0.154,0.6858
0.155,0.6858
0.156,0.6859
0.157,0.6859
0.158,0.686
0.159,0.686
0.16,0.6861
0.161,0.6862
0.162,0.6862
0.163,0.6863
0.164,0.6863
0.165,0.6864
0.166,0.6864
0.167,0.6865
0.168,0.6866
0.169,0.6866
0.17,0.6867
0.171,0.6867
0.172,0.6868
0.173,0.6868
0.174,0.6869
0.175,0.687
0.176,0.687
0.177,0.6871
0.178,0.6871
0.179,0.6872
0.18,0.6873
0.181,0.6873
0.182,0.6874
0.183,0.6874
0.184,0.6875
0.185,0.6876
0.186,0.6876
0.187,0.6877
0.188,0.6878
0.189,0.6878
0.19,0.6879
0.191,0.688
0.192,0.688
0.193,0.6881
0.194,0.6881
0.195,0.6882
0.196,0.6883
0.197,0.6883
0.198,0.6884
0.199,0.6885
0.2,0.6885
0.201,0.6886
0.202,0.6887
0.203,0.6887
0.204,0.6888
0.205,0.6889
0.206,0.6889
0.207,0.689
0.208,0.6891
0.209,0.6892
0.21,0.6892
0.211,0.6893
0.212,0.6894
0.213,0.6894
0.214,0.6895
0.215,0.6896
0.216,0.6896
0.217,0.6897
0.218,0.6898
0.219,0.6899
0.22,0.6899
0.221,0.69
0.222,0.6901
0.223,0.6902
0.224,0.6902
0.225,0.6903
0.226,0.6904
0.227,0.6904
0.228,0.6905
0.229,0.6906
0.23,0.6907
0.231,0.6907
0.232,0.6908
0.233,0.6909
0.234,0.691
0.235,0.6911
0.236,0.6911
0.237,0.6912
0.238,0.6913
0.239,0.6914
0.24,0.6914
0.241,0.6915
0.242,0.6916
0.243,0.6917
0.244,0.6918
0.245,0.6918
0.246,0.6919
0.247,0.692
0.248,0.6921
0.249,0.6922
0.25,0.6922
0.251,0.6923
0.252,0.6924
0.253,0.6925
0.254,0.6926
0.255,0.6926
0.256,0.6927
0.257,0.6928
0.258,0.6929
0.259,0.693
0.26,0.693
0.261,0.6931
0.262,0.6932
0.263,0.6933
0.264,0.6934
0.265,0.6935
0.266,0.6935
0.267,0.6936
0.268,0.6937
0.269,0.6938
0.27,0.6939
0.271,0.694
0.272,0.6941
0.273,0.6941
0.274,0.6942
0.275,0.6943
0.276,0.6944
0.277,0.6945
0.278,0.6946
0.279,0.6947
0.28,0.6948
0.281,0.6948
0.282,0.6949
0.283,0.695
0.284,0.6951
0.285,0.6952
0.286,0.6953
0.287,0.6954
0.288,0.6955
0.289,0.6955
0.29,0.6956
0.291,0.6957
0.292,0.6958
0.293,0.6959
0.294,0.696
0.295,0.6961
0.296,0.6962
0.297,0.6963
0.298,0.6964
0.299,0.6965
0.3,0.6965
0.301,0.6966
0.302,0.6967
0.303,0.6968
0.304,0.6969
0.305,0.697
0.306,0.6971
0.307,0.6972
0.308,0.6973
0.309,0.6974
0.31,0.6975
0.311,0.6976
0.312,0.6977
0.313,0.6978
0.314,0.6979
0.315,0.6979
0.316,0.698
0.317,0.6981
0.318,0.6982
0.319,0.6983
0.32,0.6984
0.321,0.6985
0.322,0.6986
0.323,0.6987
0.324,0.6988
0.325,0.6989
0.326,0.699
0.327,0.6991
0.328,0.6992
0.329,0.6993
0.33,0.6994
0.331,0.6995
0.332,0.6996
0.333,0.6997
0.334,0.6998
0.335,0.6999
0.336,0.7
0.337,0.7001
0.338,0.7002
0.339,0.7003
