x,f(x)
0,-4.072e-05
0.001,-3.875e-05
0.002,-3.302e-05
0.003,-2.409e-05
0.004,-1.282e-05
0.005,-3.166e-07
0.006,1.222e-05
0.007,2.358e-05
0.008,3.265e-05
0.009,3.855e-05
0.01,4.072e-05
0.011,3.894e-05
0.012,3.339e-05
0.013,2.46e-05
0.014,1.343e-05
0.015,9.5e-07
0.016,-1.162e-05
0.017,-2.306e-05
0.018,-3.227e-05
0.019,-3.836e-05
0.02,-4.072e-05
0.021,-3.914e-05
0.022,-3.376e-05
0.023,-2.511e-05
0.024,-1.403e-05
0.025,-1.584e-06
0.026,1.102e-05
0.027,2.255e-05
0.028,3.19e-05
0.029,3.816e-05
0.03,4.072e-05
0.031,3.934e-05
0.032,3.414e-05
0.033,2.563e-05
0.034,1.463e-05
0.035,2.219e-06
0.036,-1.041e-05
0.037,-2.204e-05
0.038,-3.153e-05
0.039,-3.797e-05
0.04,-4.072e-05
0.041,-3.953e-05
0.042,-3.451e-05
0.043,-2.614e-05
0.044,-1.524e-05
0.045,-2.854e-06
0.046,9.809e-06
0.047,2.152e-05
0.048,3.116e-05
0.049,3.777e-05
0.05,4.072e-05
0.051,3.973e-05
0.052,3.489e-05
0.053,2.666e-05
0.054,1.584e-05
0.055,3.491e-06
0.056,-9.204e-06
0.057,-2.101e-05
0.058,-3.078e-05
0.059,-3.757e-05
0.06,-4.073e-05
0.061,-3.993e-05
0.062,-3.526e-05
0.063,-2.718e-05
0.064,-1.645e-05
0.065,-4.13e-06
0.066,8.596e-06
0.067,2.049e-05
0.068,3.041e-05
0.069,3.738e-05
0.07,4.073e-05
0.071,4.013e-05
0.072,3.564e-05
0.073,2.77e-05
0.074,1.706e-05
0.075,4.771e-06
0.076,-7.987e-06
0.077,-1.998e-05
0.078,-3.003e-05
0.079,-3.718e-05
0.08,-4.073e-05
0.081,-4.033e-05
0.082,-3.602e-05
0.083,-2.822e-05
0.084,-1.767e-05
0.085,-5.415e-06
0.086,7.375e-06
0.087,1.946e-05
0.088,2.965e-05
0.089,3.698e-05
0.09,4.073e-05
0.091,4.053e-05
0.092,3.64e-05
0.093,2.874e-05
0.094,1.829e-05
0.095,6.061e-06
0.096,-6.761e-06
0.097,-1.893e-05
0.098,-2.928e-05
0.099,-3.679e-05
0.1,-4.073e-05
0.101,-4.073e-05
0.102,-3.678e-05
0.103,-2.927e-05
0.104,-1.891e-05
0.105,-6.71e-06
0.106,6.144e-06
0.107,1.841e-05
0.108,2.89e-05
0.109,3.659e-05
0.11,4.073e-05
0.111,4.094e-05
0.112,3.717e-05
0.113,2.979e-05
0.114,1.953e-05
0.115,7.362e-06
0.116,-5.524e-06
0.117,-1.788e-05
0.118,-2.851e-05
0.119,-3.639e-05
0.12,-4.074e-05
0.121,-4.114e-05
0.122,-3.755e-05
0.123,-3.033e-05
0.124,-2.015e-05
0.125,-8.019e-06
0.126,4.9e-06
0.127,1.735e-05
0.128,2.813e-05
0.129,3.619e-05
0.13,4.074e-05
0.131,4.135e-05
0.132,3.794e-05
0.133,3.086e-05
0.134,2.078e-05
0.135,8.679e-06
0.136,-4.272e-06
0.137,-1.682e-05
0.138,-2.774e-05
0.139,-3.598e-05
0.14,-4.074e-05
0.141,-4.155e-05
0.142,-3.834e-05
0.143,-3.14e-05
0.144,-2.141e-05
0.145,-9.344e-06
0.146,3.641e-06
0.147,1.628e-05
0.148,2.735e-05
0.149,3.578e-05
0.15,4.075e-05
0.151,4.176e-05
