x,f(x)
0,0.2755
0.001,0.2755
0.002,0.2755
0.003,0.2755
0.004,0.2755
0.005,0.2755
0.006,0.2755
0.007,0.2755
0.008,0.2755
0.009,0.2755
0.01,0.2755
0.011,0.2755
0.012,0.2755
0.013,0.2755
0.014,0.2755
0.015,0.2755
0.016,0.2756
0.017,0.2756
0.018,0.2756
0.019,0.2756
0.02,0.2756
0.021,0.2756
0.022,0.2756
0.023,0.2756
0.024,0.2756
0.025,0.2757
0.026,0.2757
0.027,0.2757
0.028,0.2757
0.029,0.2757
0.03,0.2757
0.031,0.2757
0.032,0.2758
0.033,0.2758
0.034,0.2758
0.035,0.2758
0.036,0.2758
0.037,0.2759
0.038,0.2759
0.039,0.2759
0.04,0.2759
0.041,0.2759
0.042,0.276
0.043,0.276
0.044,0.276
0.045,0.276
0.046,0.2761
0.047,0.2761
0.048,0.2761
0.049,0.2761
0.05,0.2762
0.051,0.2762
0.052,0.2762
0.053,0.2763
0.054,0.2763
0.055,0.2763
0.056,0.2763
0.057,0.2764
0.058,0.2764
0.059,0.2764
0.06,0.2765
0.061,0.2765
0.062,0.2765
0.063,0.2766
0.064,0.2766
0.065,0.2766
0.066,0.2767
0.067,0.2767
0.068,0.2768
0.069,0.2768
0.07,0.2768
0.071,0.2769
0.072,0.2769
0.073,0.277
0.074,0.277
0.075,0.277
0.076,0.2771
0.077,0.2771
0.078,0.2772
0.079,0.2772
0.08,0.2773
0.081,0.2773
0.082,0.2773
0.083,0.2774
0.084,0.2774
0.085,0.2775
0.086,0.2775
0.087,0.2776
0.088,0.2776
0.089,0.2777
0.09,0.2777
0.091,0.2778
0.092,0.2778
0.093,0.2779
0.094,0.2779
0.095,0.278
0.096,0.278
0.097,0.2781
0.098,0.2781
0.099,0.2782
0.1,0.2782
0.101,0.2783
0.102,0.2784
0.103,0.2784
0.104,0.2785
0.105,0.2785
0.106,0.2786
0.107,0.2786
0.108,0.2787
0.109,0.2788
0.11,0.2788
0.111,0.2789
0.112,0.2789
0.113,0.279
0.114,0.2791
0.115,0.2791
0.116,0.2792
0.117,0.2793
0.118,0.2793
0.119,0.2794
0.12,0.2795
0.121,0.2795
0.122,0.2796
0.123,0.2797
0.124,0.2797
0.125,0.2798
0.126,0.2799
0.127,0.2799
0.128,0.28
0.129,0.2801
0.13,0.2801
0.131,0.2802
0.132,0.2803
0.133,0.2804
0.134,0.2804
0.135,0.2805
0.136,0.2806
0.137,0.2807
0.138,0.2807
0.139,0.2808
