"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.5,1,0,0.0041118,0.001,5e-05
0.5004,1,9.996e-08,0.0041118,0.0010001,5e-05
0.50081,1,1.9992e-07,0.0041117,0.0010002,5e-05
0.50121,1,2.9988e-07,0.0041117,0.0010003,5e-05
0.50162,1,3.9994e-07,0.0041116,0.0010004,5e-05
0.50202,1,4.999e-07,0.0041116,0.0010004,5e-05
0.50242,1,5.9986e-07,0.0041115,0.0010005,5e-05
0.50283,1,6.9993e-07,0.0041115,0.0010006,5e-05
0.50323,1,7.9989e-07,0.0041114,0.0010007,5e-05
0.50364,1,8.9985e-07,0.0041114,0.0010008,5e-05
0.50404,1,9.9981e-07,0.0041114,0.0010009,5e-05
0.50444,1,1.0999e-06,0.0041113,0.001001,5e-05
0.50485,1,1.1998e-06,0.0041113,0.0010011,5e-05
0.50528,1,1.2998e-06,0.0041112,0.0010012,5e-05
0.50573,1,1.3999e-06,0.0041112,0.0010013,5e-05
0.50618,1,1.4998e-06,0.0041111,0.0010013,5e-05
0.50663,1,1.5998e-06,0.0041111,0.0010014,5e-05
0.50708,1,1.6997e-06,0.004111,0.0010015,5e-05
0.50754,1,1.7998e-06,0.004111,0.0010016,5e-05
0.50799,1,1.8998e-06,0.004111,0.0010017,5e-05
0.50844,1,1.9997e-06,0.0041109,0.0010018,5e-05
0.50889,1,2.0998e-06,0.0041109,0.0010019,5e-05
0.50934,1,2.2e-06,0.0041108,0.001002,5e-05
0.5098,1,2.2999e-06,0.0041108,0.0010021,5e-05
0.51025,1,2.3999e-06,0.0041107,0.0010021,5e-05
0.5107,1,2.4999e-06,0.0041107,0.0010022,5e-05
0.51131,1,2.5999e-06,0.0041106,0.0010023,5e-05
0.51192,1,2.6999e-06,0.0041106,0.0010024,5e-05
0.51253,1,2.7999e-06,0.0041105,0.0010025,5e-05
0.51313,1,2.8999e-06,0.0041105,0.0010026,5e-05
0.51374,1,2.9998e-06,0.0041105,0.0010027,5e-05
0.51435,1,3.0998e-06,0.0041104,0.0010028,5e-05
0.51496,1,3.1999e-06,0.0041104,0.0010029,5e-05
0.51557,1,3.2998e-06,0.0041103,0.001003,5e-05
0.51618,1,3.3998e-06,0.0041103,0.001003,5e-05
0.51679,1,3.4999e-06,0.0041102,0.0010031,5e-05
0.51739,1,3.5998e-06,0.0041102,0.0010032,5e-05
0.518,1,3.6998e-06,0.0041101,0.0010033,5e-05
0.51867,1,3.7997e-06,0.0041101,0.0010034,5e-05
0.51941,1,3.8998e-06,0.0041101,0.0010035,5e-05
0.52014,1,3.9998e-06,0.00411,0.0010036,5e-05
0.52088,1,4.0997e-06,0.00411,0.0010037,5e-05
0.52162,1,4.1998e-06,0.0041099,0.0010038,5e-05
0.52235,1,4.2997e-06,0.0041099,0.0010038,5e-05
0.52309,1,4.3997e-06,0.0041098,0.0010039,5e-05
0.52382,1,4.4997e-06,0.0041098,0.001004,5e-05
0.52456,1,4.5997e-06,0.0041097,0.0010041,5e-05
0.52529,1,4.6997e-06,0.0041097,0.0010042,5e-05
0.52603,1,4.7996e-06,0.0041097,0.0010043,5e-05
0.52676,1,4.8996e-06,0.0041096,0.0010044,5e-05
0.5275,1,4.9999e-06,0.0041096,0.0010045,5e-05
0.52834,1,5.0998e-06,0.0041095,0.0010046,5e-05
0.52919,1,5.1998e-06,0.0041095,0.0010047,5e-05
0.53003,1,5.2999e-06,0.0041094,0.0010047,5e-05
0.53088,1,5.3998e-06,0.0041094,0.0010048,5e-05
0.53172,1,5.4998e-06,0.0041093,0.0010049,5e-05
0.53256,1,5.5997e-06,0.0041093,0.001005,5e-05
0.53341,1,5.6998e-06,0.0041093,0.0010051,5e-05
0.53425,1,5.7998e-06,0.0041092,0.0010052,5e-05
0.53509,1,5.8997e-06,0.0041092,0.0010053,5e-05
0.53594,1,5.9998e-06,0.0041091,0.0010054,5e-05
0.53678,1,6.0997e-06,0.0041091,0.0010055,5e-05
0.53762,1,6.1997e-06,0.004109,0.0010055,5e-05
0.53851,1,6.2997e-06,0.004109,0.0010056,5e-05
0.53945,1,6.3997e-06,0.0041089,0.0010057,5e-05
0.54039,1,6.4997e-06,0.0041089,0.0010058,5e-05
0.54133,1,6.5997e-06,0.0041088,0.0010059,5e-05
0.54227,1,6.6997e-06,0.0041088,0.001006,5e-05
0.54321,1,6.7997e-06,0.0041088,0.0010061,5e-05
0.54414,1,6.8996e-06,0.0041087,0.0010062,5e-05
0.54508,1,6.9996e-06,0.0041087,0.0010063,5e-05
0.54602,1,7.0997e-06,0.0041086,0.0010064,5e-05
0.54696,1,7.1996e-06,0.0041086,0.0010064,5e-05
0.54789,1,7.2996e-06,0.0041085,0.0010065,5e-05
0.54883,1,7.3996e-06,0.0041085,0.0010066,5e-05
0.54977,1,7.4996e-06,0.0041084,0.0010067,5e-05
0.55079,1,7.5996e-06,0.0041084,0.0010068,5e-05
0.55181,1,7.6995e-06,0.0041084,0.0010069,5e-05
0.55284,1,7.7998e-06,0.0041083,0.001007,5e-05
0.55386,1,7.8998e-06,0.0041083,0.0010071,5e-05
0.55488,1,7.9997e-06,0.0041082,0.0010072,5e-05
0.5559,1,8.0998e-06,0.0041082,0.0010072,5e-05
0.55692,1,8.1997e-06,0.0041081,0.0010073,5e-05
0.55795,1,8.2997e-06,0.0041081,0.0010074,5e-05
0.55897,1,8.3997e-06,0.004108,0.0010075,5e-05
