"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,0,0,0.0059776,-4.472e-05,5e-05
0.015264,1,9.9989e-08,0.0059777,-4.4631e-05,5e-05
0.015264,1,1.9998e-07,0.0059777,-4.4541e-05,5e-05
0.015264,1,2.9997e-07,0.0059778,-4.4452e-05,5e-05
0.015265,1,3.9996e-07,0.0059778,-4.4362e-05,5e-05
0.015265,1,4.9995e-07,0.0059779,-4.4273e-05,5e-05
0.015265,1,5.9994e-07,0.0059779,-4.4183e-05,5e-05
0.015266,1,6.9993e-07,0.0059779,-4.4094e-05,5e-05
0.015266,1,7.9992e-07,0.005978,-4.4004e-05,5e-05
0.015266,1,8.9991e-07,0.005978,-4.3915e-05,5e-05
0.015267,1,9.999e-07,0.0059781,-4.3826e-05,5e-05
0.015267,1,1.0999e-06,0.0059781,-4.3736e-05,5e-05
0.015267,1,1.1999e-06,0.0059782,-4.3647e-05,5e-05
0.015268,1,1.2999e-06,0.0059782,-4.3557e-05,5e-05
0.01527,1,1.3999e-06,0.0059783,-4.3468e-05,5e-05
0.015271,1,1.5001e-06,0.0059783,-4.3378e-05,5e-05
0.015272,1,1.6e-06,0.0059783,-4.3289e-05,5e-05
0.015273,1,1.7e-06,0.0059784,-4.32e-05,5e-05
0.015275,1,1.8e-06,0.0059784,-4.311e-05,5e-05
0.015276,1,1.9e-06,0.0059785,-4.3021e-05,5e-05
0.015277,1,2e-06,0.0059785,-4.2931e-05,5e-05
0.015279,1,2.1e-06,0.0059786,-4.2842e-05,5e-05
0.01528,1,2.2e-06,0.0059786,-4.2752e-05,5e-05
0.015281,1,2.3e-06,0.0059787,-4.2663e-05,5e-05
0.015282,1,2.4e-06,0.0059787,-4.2573e-05,5e-05
0.015284,1,2.4999e-06,0.0059787,-4.2484e-05,5e-05
0.015287,1,2.5999e-06,0.0059788,-4.2395e-05,5e-05
0.01529,1,2.6999e-06,0.0059788,-4.2305e-05,5e-05
0.015292,1,2.7999e-06,0.0059789,-4.2216e-05,5e-05
0.015295,1,2.8999e-06,0.0059789,-4.2126e-05,5e-05
0.015298,1,2.9999e-06,0.005979,-4.2037e-05,5e-05
0.015301,1,3.0999e-06,0.005979,-4.1947e-05,5e-05
0.015304,1,3.2001e-06,0.0059791,-4.1858e-05,5e-05
0.015307,1,3.3001e-06,0.0059791,-4.1768e-05,5e-05
0.01531,1,3.4001e-06,0.0059792,-4.1679e-05,5e-05
0.015313,1,3.5001e-06,0.0059792,-4.159e-05,5e-05
0.015316,1,3.6e-06,0.0059792,-4.15e-05,5e-05
0.015319,1,3.7e-06,0.0059793,-4.1411e-05,5e-05
0.015323,1,3.8e-06,0.0059793,-4.1321e-05,5e-05
0.015328,1,3.9e-06,0.0059794,-4.1232e-05,5e-05
0.015333,1,4e-06,0.0059794,-4.1142e-05,5e-05
0.015339,1,4.1e-06,0.0059795,-4.1053e-05,5e-05
0.015344,1,4.2e-06,0.0059795,-4.0964e-05,5e-05
0.015349,1,4.3e-06,0.0059796,-4.0874e-05,5e-05
0.015355,1,4.4e-06,0.0059796,-4.0785e-05,5e-05
0.01536,1,4.5e-06,0.0059796,-4.0695e-05,5e-05
0.015365,1,4.5999e-06,0.0059797,-4.0606e-05,5e-05
0.015371,1,4.6999e-06,0.0059797,-4.0516e-05,5e-05
0.015376,1,4.7999e-06,0.0059798,-4.0427e-05,5e-05
0.015381,1,4.8999e-06,0.0059798,-4.0337e-05,5e-05
0.015387,1,5.0001e-06,0.0059799,-4.0248e-05,5e-05
0.015395,1,5.1001e-06,0.0059799,-4.0159e-05,5e-05
0.015404,1,5.2001e-06,0.00598,-4.0069e-05,5e-05
0.015412,1,5.3001e-06,0.00598,-3.998e-05,5e-05
0.015421,1,5.4001e-06,0.00598,-3.989e-05,5e-05
0.015429,1,5.5001e-06,0.0059801,-3.9801e-05,5e-05
0.015438,1,5.6e-06,0.0059801,-3.9711e-05,5e-05
0.015446,1,5.7e-06,0.0059802,-3.9622e-05,5e-05
0.015455,1,5.8e-06,0.0059802,-3.9532e-05,5e-05
0.015463,1,5.9e-06,0.0059803,-3.9443e-05,5e-05
0.015472,1,6e-06,0.0059803,-3.9354e-05,5e-05
0.01548,1,6.1e-06,0.0059804,-3.9264e-05,5e-05
0.015489,1,6.2e-06,0.0059804,-3.9175e-05,5e-05
0.015499,1,6.3e-06,0.0059804,-3.9085e-05,5e-05
0.015512,1,6.4e-06,0.0059805,-3.8996e-05,5e-05
0.015524,1,6.4999e-06,0.0059805,-3.8906e-05,5e-05
0.015537,1,6.5999e-06,0.0059806,-3.8817e-05,5e-05
0.015549,1,6.6999e-06,0.0059806,-3.8728e-05,5e-05
0.015562,1,6.8001e-06,0.0059807,-3.8638e-05,5e-05
0.015574,1,6.9001e-06,0.0059807,-3.8549e-05,5e-05
0.015587,1,7.0001e-06,0.0059808,-3.8459e-05,5e-05
0.015599,1,7.1001e-06,0.0059808,-3.837e-05,5e-05
0.015612,1,7.2001e-06,0.0059809,-3.828e-05,5e-05
0.015624,1,7.3001e-06,0.0059809,-3.8191e-05,5e-05
0.015637,1,7.4001e-06,0.0059809,-3.8101e-05,5e-05
0.01565,1,7.5001e-06,0.005981,-3.8012e-05,5e-05
0.015667,1,7.6e-06,0.005981,-3.7923e-05,5e-05
0.015684,1,7.7e-06,0.0059811,-3.7833e-05,5e-05
0.015701,1,7.8e-06,0.0059811,-3.7744e-05,5e-05
0.015719,1,7.9e-06,0.0059812,-3.7654e-05,5e-05
0.015736,1,8e-06,0.0059812,-3.7565e-05,5e-05
0.015753,1,8.1e-06,0.0059813,-3.7475e-05,5e-05
0.015771,1,8.2e-06,0.0059813,-3.7386e-05,5e-05
0.015788,1,8.3e-06,0.0059813,-3.7296e-05,5e-05
0.015805,1,8.4e-06,0.0059814,-3.7207e-05,5e-05
0.015822,1,8.5002e-06,0.0059814,-3.7118e-05,5e-05
0.01584,1,8.6001e-06,0.0059815,-3.7028e-05,5e-05
0.015857,1,8.7001e-06,0.0059815,-3.6939e-05,5e-05
0.015877,1,8.8001e-06,0.0059816,-3.6849e-05,5e-05
0.0159,1,8.9001e-06,0.0059816,-3.676e-05,5e-05
0.015923,1,9.0001e-06,0.0059817,-3.667e-05,5e-05
0.015945,1,9.1001e-06,0.0059817,-3.6581e-05,5e-05
0.015968,1,9.2001e-06,0.0059817,-3.6492e-05,5e-05
0.015991,1,9.3001e-06,0.0059818,-3.6402e-05,5e-05
0.016014,1,9.4001e-06,0.0059818,-3.6313e-05,5e-05
0.016037,1,9.5001e-06,0.0059819,-3.6223e-05,5e-05
0.01606,1,9.6e-06,0.0059819,-3.6134e-05,5e-05
0.016082,1,9.7e-06,0.005982,-3.6044e-05,5e-05
0.016105,1,9.8e-06,0.005982,-3.5955e-05,5e-05
0.016128,1,9.9e-06,0.0059821,-3.5865e-05,5e-05
0.016151,1,1e-05,0.0059821,-3.5776e-05,5e-05
0.01618,1,1.01e-05,0.0059821,-3.5687e-05,5e-05
0.016209,1,1.02e-05,0.0059822,-3.5597e-05,5e-05
0.016238,1,1.03e-05,0.0059822,-3.5508e-05,5e-05
0.016267,1,1.04e-05,0.0059823,-3.5418e-05,5e-05
0.016296,1,1.05e-05,0.0059823,-3.5329e-05,5e-05
0.016325,1,1.06e-05,0.0059824,-3.5239e-05,5e-05
0.016354,1,1.07e-05,0.0059824,-3.515e-05,5e-05
0.016384,1,1.08e-05,0.0059825,-3.506e-05,5e-05
0.016413,1,1.09e-05,0.0059825,-3.4971e-05,5e-05
0.016442,1,1.1e-05,0.0059826,-3.4882e-05,5e-05
0.016471,1,1.11e-05,0.0059826,-3.4792e-05,5e-05
0.0165,1,1.12e-05,0.0059826,-3.4703e-05,5e-05
0.016532,1,1.13e-05,0.0059827,-3.4613e-05,5e-05
0.016569,1,1.14e-05,0.0059827,-3.4524e-05,5e-05
0.016605,1,1.15e-05,0.0059828,-3.4434e-05,5e-05
0.016641,1,1.16e-05,0.0059828,-3.4345e-05,5e-05
0.016677,1,1.17e-05,0.0059829,-3.4256e-05,5e-05
0.016713,1,1.18e-05,0.0059829,-3.4166e-05,5e-05
0.016749,1,1.19e-05,0.005983,-3.4077e-05,5e-05
0.016785,1,1.2e-05,0.005983,-3.3987e-05,5e-05
0.016821,1,1.21e-05,0.005983,-3.3898e-05,5e-05
0.016858,1,1.22e-05,0.0059831,-3.3808e-05,5e-05
0.016894,1,1.23e-05,0.0059831,-3.3719e-05,5e-05
0.01693,1,1.24e-05,0.0059832,-3.3629e-05,5e-05
0.016966,1,1.25e-05,0.0059832,-3.354e-05,5e-05
0.01701,1,1.26e-05,0.0059833,-3.3451e-05,5e-05
0.017053,1,1.27e-05,0.0059833,-3.3361e-05,5e-05
0.017097,1,1.28e-05,0.0059834,-3.3272e-05,5e-05
0.017141,1,1.29e-05,0.0059834,-3.3182e-05,5e-05
0.017185,1,1.3e-05,0.0059834,-3.3093e-05,5e-05
0.017229,1,1.31e-05,0.0059835,-3.3003e-05,5e-05
0.017273,1,1.32e-05,0.0059835,-3.2914e-05,5e-05
0.017317,1,1.33e-05,0.0059836,-3.2824e-05,5e-05
0.017361,1,1.34e-05,0.0059836,-3.2735e-05,5e-05
0.017404,1,1.35e-05,0.0059837,-3.2646e-05,5e-05
0.017448,1,1.36e-05,0.0059837,-3.2556e-05,5e-05
0.017492,1,1.37e-05,0.0059838,-3.2467e-05,5e-05
0.01754,1,1.38e-05,0.0059838,-3.2377e-05,5e-05
0.017593,1,1.39e-05,0.0059838,-3.2288e-05,5e-05
0.017645,1,1.4e-05,0.0059839,-3.2198e-05,5e-05
0.017697,1,1.41e-05,0.0059839,-3.2109e-05,5e-05
0.01775,1,1.42e-05,0.005984,-3.202e-05,5e-05
0.017802,1,1.43e-05,0.005984,-3.193e-05,5e-05
0.017855,1,1.44e-05,0.0059841,-3.1841e-05,5e-05
0.017907,1,1.45e-05,0.0059841,-3.1751e-05,5e-05
0.017959,1,1.46e-05,0.0059842,-3.1662e-05,5e-05
0.018012,1,1.47e-05,0.0059842,-3.1572e-05,5e-05
0.018064,1,1.48e-05,0.0059842,-3.1483e-05,5e-05
0.018117,1,1.49e-05,0.0059843,-3.1393e-05,5e-05
0.018169,1,1.5e-05,0.0059843,-3.1304e-05,5e-05
0.01823,1,1.51e-05,0.0059844,-3.1215e-05,5e-05
0.018292,1,1.52e-05,0.0059844,-3.1125e-05,5e-05
0.018354,1,1.53e-05,0.0059845,-3.1036e-05,5e-05
