"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,1,0,0.003,0.00095,5e-05
0.0011731,1.0307e-13,0,1,1e-07,0.003,0.0009501,5e-05
0.0023462,2.0613e-13,0,1,2e-07,0.003,0.0009502,5e-05
0.0035193,3.092e-13,0,1,3e-07,0.003,0.0009503,5e-05
0.0046924,4.1227e-13,0,1,4e-07,0.003,0.0009504,5e-05
0.0058655,5.1534e-13,0,1,5e-07,0.003,0.0009505,5e-05
0.0070386,6.184e-13,0,1,6e-07,0.003,0.0009506,5e-05
0.0082005,8.9459e-13,0,1,7.0001e-07,0.003,0.0009507,5e-05
0.0093587,1.2284e-12,0,1,8.0001e-07,0.003,0.0009508,5e-05
0.010517,1.5622e-12,0,1,9.0001e-07,0.003,0.0009509,5e-05
0.011675,1.896e-12,0,1,1e-06,0.003,0.000951,5e-05
0.012833,2.2298e-12,0,1,1.1e-06,0.003,0.0009511,5e-05
0.013992,2.5636e-12,0,1,1.2e-06,0.003,0.0009512,5e-05
0.015143,3.1289e-12,0,1,1.3e-06,0.003,0.0009513,5e-05
0.016286,3.9257e-12,0,1,1.4e-06,0.003,0.0009514,5e-05
0.01743,4.7226e-12,0,1,1.5e-06,0.003,0.0009515,5e-05
0.018573,5.5194e-12,0,1,1.6e-06,0.003,0.0009516,5e-05
0.019717,6.3162e-12,0,1,1.7e-06,0.003,0.0009517,5e-05
0.02086,7.1126e-12,0,1,1.8e-06,0.003,0.0009518,5e-05
0.022,7.9248e-12,0,1,1.9e-06,0.003,0.0009519,5e-05
0.023128,8.7831e-12,0,1,2e-06,0.003,0.000952,5e-05
0.024257,9.6414e-12,0,1,2.1e-06,0.003,0.0009521,5e-05
0.025386,1.05e-11,0,1,2.2e-06,0.003,0.0009522,5e-05
0.026515,1.1358e-11,0,1,2.3e-06,0.003,0.0009523,5e-05
0.027644,1.2216e-11,0,1,2.4e-06,0.003,0.0009524,5e-05
0.028772,1.3075e-11,0,1,2.5e-06,0.003,0.0009525,5e-05
0.029886,1.3978e-11,0,1,2.6e-06,0.003,0.0009526,5e-05
0.031,1.488e-11,0,1,2.7e-06,0.003,0.0009527,5e-05
0.032114,1.5783e-11,0,1,2.8e-06,0.003,0.0009528,5e-05
0.033228,1.6686e-11,0,1,2.9e-06,0.003,0.0009529,5e-05
0.034342,1.7589e-11,0,1,3e-06,0.003,0.000953,5e-05
0.035456,1.8492e-11,0,1,3.1e-06,0.003,0.0009531,5e-05
0.036559,1.9457e-11,0,1,3.2e-06,0.003,0.0009532,5e-05
0.037658,2.0442e-11,0,1,3.3e-06,0.003,0.0009533,5e-05
0.038757,2.1428e-11,0,1,3.4e-06,0.003,0.0009534,5e-05
0.039857,2.2413e-11,0,1,3.5e-06,0.003,0.0009535,5e-05
0.040956,2.3399e-11,0,1,3.6e-06,0.003,0.0009536,5e-05
0.042055,2.4384e-11,0,1,3.7e-06,0.003,0.0009537,5e-05
0.043147,2.5407e-11,0,1,3.8e-06,0.003,0.0009538,5e-05
0.044232,2.6468e-11,0,1,3.9e-06,0.003,0.0009539,5e-05
0.045316,2.7529e-11,0,1,4e-06,0.003,0.000954,5e-05
0.0464,2.8589e-11,0,1,4.1e-06,0.003,0.0009541,5e-05
0.047485,2.965e-11,0,1,4.2e-06,0.003,0.0009542,5e-05
0.048569,3.071e-11,0,1,4.3e-06,0.003,0.0009543,5e-05
0.04965,3.1787e-11,0,1,4.4e-06,0.003,0.0009544,5e-05
0.05072,3.291e-11,0,1,4.5e-06,0.003,0.0009545,5e-05
0.051789,3.4033e-11,0,1,4.6e-06,0.003,0.0009546,5e-05
0.052859,3.5157e-11,0,1,4.7e-06,0.003,0.0009547,5e-05
0.053929,3.628e-11,0,1,4.8e-06,0.003,0.0009548,5e-05
0.054999,3.7403e-11,0,1,4.9e-06,0.003,0.0009549,5e-05
0.056068,3.8526e-11,0,1,5e-06,0.003,0.000955,5e-05
0.057123,3.9703e-11,0,1,5.1e-06,0.003,0.0009551,5e-05
0.058178,4.088e-11,0,1,5.2e-06,0.003,0.0009552,5e-05
0.059233,4.2057e-11,0,1,5.3e-06,0.003,0.0009553,5e-05
0.060288,4.3234e-11,0,1,5.4e-06,0.003,0.0009554,5e-05
0.061343,4.4411e-11,0,1,5.5e-06,0.003,0.0009555,5e-05
0.062398,4.5588e-11,0,1,5.6e-06,0.003,0.0009556,5e-05
0.063442,4.6798e-11,0,1,5.7e-06,0.003,0.0009557,5e-05
0.064482,4.802e-11,0,1,5.8e-06,0.003,0.0009558,5e-05
0.065522,4.9242e-11,0,1,5.9e-06,0.003,0.0009559,5e-05
0.066562,5.0464e-11,0,1,6e-06,0.003,0.000956,5e-05
0.067603,5.1686e-11,0,1,6.1e-06,0.003,0.0009561,5e-05
0.068643,5.2908e-11,0,1,6.2e-06,0.003,0.0009562,5e-05
0.069675,5.4152e-11,0,1,6.3e-06,0.003,0.0009563,5e-05
0.070701,5.5416e-11,0,1,6.4e-06,0.003,0.0009564,5e-05
0.071726,5.6681e-11,0,1,6.5e-06,0.003,0.0009565,5e-05
0.072752,5.7946e-11,0,1,6.6e-06,0.003,0.0009566,5e-05
0.073777,5.921e-11,0,1,6.7e-06,0.003,0.0009567,5e-05
0.074803,6.0475e-11,0,1,6.8e-06,0.003,0.0009568,5e-05
0.075824,6.1748e-11,0,1,6.9e-06,0.003,0.0009569,5e-05
0.076835,6.3047e-11,0,1,7e-06,0.003,0.000957,5e-05
0.077846,6.4345e-11,0,1,7.1e-06,0.003,0.0009571,5e-05
0.078856,6.5644e-11,0,1,7.2e-06,0.003,0.0009572,5e-05
0.079867,6.6943e-11,0,1,7.3e-06,0.003,0.0009573,5e-05
0.080877,6.8242e-11,0,1,7.4e-06,0.003,0.0009574,5e-05
0.081888,6.9541e-11,0,1,7.5e-06,0.003,0.0009575,5e-05
0.082884,7.0863e-11,0,1,7.6e-06,0.003,0.0009576,5e-05
0.08388,7.2186e-11,0,1,7.7e-06,0.003,0.0009577,5e-05
0.084876,7.3509e-11,0,1,7.8e-06,0.003,0.0009578,5e-05
0.085872,7.4831e-11,0,1,7.9e-06,0.003,0.0009579,5e-05
0.086868,7.6154e-11,0,1,8e-06,0.003,0.000958,5e-05
0.087864,7.7477e-11,0,1,8.1e-06,0.003,0.0009581,5e-05
0.088848,7.8811e-11,0,1,8.2e-06,0.003,0.0009582,5e-05
0.08983,8.015e-11,0,1,8.3e-06,0.003,0.0009583,5e-05
0.090811,8.1489e-11,0,1,8.4e-06,0.003,0.0009584,5e-05
0.091792,8.2828e-11,0,1,8.5e-06,0.003,0.0009585,5e-05
0.092773,8.4167e-11,0,1,8.6e-06,0.003,0.0009586,5e-05
0.093754,8.5506e-11,0,1,8.7e-06,0.003,0.0009587,5e-05
0.094728,8.6852e-11,0,1,8.8e-06,0.003,0.0009588,5e-05
0.095694,8.8205e-11,0,1,8.9e-06,0.003,0.0009589,5e-05
0.09666,8.9558e-11,0,1,9e-06,0.003,0.000959,5e-05
0.097627,9.0911e-11,0,1,9.1e-06,0.003,0.0009591,5e-05
0.098593,9.2264e-11,0,1,9.2e-06,0.003,0.0009592,5e-05
0.09956,9.3617e-11,0,1,9.3e-06,0.003,0.0009593,5e-05
0.10052,9.4973e-11,0,1,9.4e-06,0.003,0.0009594,5e-05
0.10147,9.6338e-11,0,1,9.5e-06,0.003,0.0009595,5e-05
0.10243,9.7703e-11,0,1,9.6e-06,0.003,0.0009596,5e-05
0.10338,9.9068e-11,0,1,9.7e-06,0.003,0.0009597,5e-05
0.10433,1.0043e-10,0,1,9.8e-06,0.003,0.0009598,5e-05
0.10528,1.018e-10,0,1,9.9e-06,0.003,0.0009599,5e-05
0.10623,1.0316e-10,0,1,1e-05,0.003,0.00096,5e-05
0.10717,1.0454e-10,0,1,1.01e-05,0.003,0.0009601,5e-05
0.10811,1.0591e-10,0,1,1.02e-05,0.003,0.0009602,5e-05
0.10904,1.0729e-10,0,1,1.03e-05,0.003,0.0009603,5e-05
0.10998,1.0866e-10,0,1,1.04e-05,0.003,0.0009604,5e-05
0.11092,1.1004e-10,0,1,1.05e-05,0.003,0.0009605,5e-05
0.11185,1.1141e-10,0,1,1.06e-05,0.003,0.0009606,5e-05
0.11278,1.1279e-10,0,1,1.07e-05,0.003,0.0009607,5e-05
0.1137,1.1417e-10,0,1,1.08e-05,0.003,0.0009608,5e-05
0.11462,1.1555e-10,0,1,1.09e-05,0.003,0.0009609,5e-05
