"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.3304e-05,-5.8753e-10,-2.9488e-24,1,0,0.0041118,0.001,5e-05
0.0025902,0.00096024,7.5166e-22,1,9.996e-08,0.0041118,0.0010001,5e-05
0.0051172,0.0019205,1.5063e-21,1,1.9992e-07,0.0041117,0.0010002,5e-05
0.0076441,0.0028807,2.2609e-21,1,2.9988e-07,0.0041117,0.0010003,5e-05
0.010174,0.0038423,3.0166e-21,1,3.9994e-07,0.0041116,0.0010004,5e-05
0.012701,0.0048025,3.7713e-21,1,4.999e-07,0.0041116,0.0010004,5e-05
0.015228,0.0057628,4.5259e-21,1,5.9986e-07,0.0041115,0.0010005,5e-05
0.017758,0.0067243,5.2818e-21,1,6.9993e-07,0.0041115,0.0010006,5e-05
0.020285,0.0076846,6.0365e-21,1,7.9989e-07,0.0041114,0.0010007,5e-05
0.022812,0.0086449,6.7912e-21,1,8.9985e-07,0.0041114,0.0010008,5e-05
0.025339,0.0096052,7.5459e-21,1,9.9981e-07,0.0041114,0.0010009,5e-05
0.027869,0.010567,8.3018e-21,1,1.0999e-06,0.0041113,0.001001,5e-05
0.030397,0.011527,9.0566e-21,1,1.1998e-06,0.0041113,0.0010011,5e-05
0.032112,0.012366,9.2493e-21,1,1.2998e-06,0.0041112,0.0010012,5e-05
0.033018,0.013084,8.88e-21,1,1.3999e-06,0.0041112,0.0010013,5e-05
0.033922,0.013801,8.511e-21,1,1.4998e-06,0.0041111,0.0010013,5e-05
0.034827,0.014518,8.142e-21,1,1.5998e-06,0.0041111,0.0010014,5e-05
0.035731,0.015235,7.7729e-21,1,1.6997e-06,0.004111,0.0010015,5e-05
0.036636,0.015954,7.4036e-21,1,1.7998e-06,0.004111,0.0010016,5e-05
0.037541,0.016671,7.0345e-21,1,1.8998e-06,0.004111,0.0010017,5e-05
0.038445,0.017388,6.6655e-21,1,1.9997e-06,0.0041109,0.0010018,5e-05
0.039351,0.018106,6.2961e-21,1,2.0998e-06,0.0041109,0.0010019,5e-05
0.040258,0.018823,5.9258e-21,1,2.2e-06,0.0041108,0.001002,5e-05
0.041163,0.01954,5.5568e-21,1,2.2999e-06,0.0041108,0.0010021,5e-05
0.042067,0.020257,5.1878e-21,1,2.3999e-06,0.0041107,0.0010021,5e-05
0.042973,0.020975,4.8181e-21,1,2.4999e-06,0.0041107,0.0010022,5e-05
0.043788,0.021518,3.4672e-21,1,2.5999e-06,0.0041106,0.0010023,5e-05
0.044603,0.022062,2.1163e-21,1,2.6999e-06,0.0041106,0.0010024,5e-05
0.045419,0.022606,7.6378e-22,1,2.7999e-06,0.0041105,0.0010025,5e-05
0.046235,0.023149,-5.871e-22,1,2.8999e-06,0.0041105,0.0010026,5e-05
0.04705,0.023692,-1.938e-21,1,2.9998e-06,0.0041105,0.0010027,5e-05
0.047866,0.024235,-3.2888e-21,1,3.0998e-06,0.0041104,0.0010028,5e-05
0.048682,0.024779,-4.6415e-21,1,3.1999e-06,0.0041104,0.0010029,5e-05
0.049497,0.025322,-5.9923e-21,1,3.2998e-06,0.0041103,0.001003,5e-05
0.050312,0.025866,-7.3432e-21,1,3.3998e-06,0.0041103,0.001003,5e-05
0.051128,0.02641,-8.6959e-21,1,3.4999e-06,0.0041102,0.0010031,5e-05
0.051944,0.026953,-1.0047e-20,1,3.5998e-06,0.0041102,0.0010032,5e-05
0.052759,0.027496,-1.1398e-20,1,3.6998e-06,0.0041101,0.0010033,5e-05
0.053536,0.027984,-1.1685e-20,1,3.7997e-06,0.0041101,0.0010034,5e-05
0.054274,0.028417,-1.0911e-20,1,3.8998e-06,0.0041101,0.0010035,5e-05
0.055012,0.02885,-1.0137e-20,1,3.9998e-06,0.00411,0.0010036,5e-05
0.05575,0.029282,-9.3631e-21,1,4.0997e-06,0.00411,0.0010037,5e-05
0.056489,0.029716,-8.5885e-21,1,4.1998e-06,0.0041099,0.0010038,5e-05
0.057227,0.030148,-7.8148e-21,1,4.2997e-06,0.0041099,0.0010038,5e-05
0.057965,0.030581,-7.041e-21,1,4.3997e-06,0.0041098,0.0010039,5e-05
0.058703,0.031013,-6.2672e-21,1,4.4997e-06,0.0041098,0.001004,5e-05
0.059441,0.031446,-5.4925e-21,1,4.5997e-06,0.0041097,0.0010041,5e-05
0.060179,0.031879,-4.7187e-21,1,4.6997e-06,0.0041097,0.0010042,5e-05
0.060917,0.032312,-3.9449e-21,1,4.7996e-06,0.0041097,0.0010043,5e-05
0.061655,0.032744,-3.1711e-21,1,4.8996e-06,0.0041096,0.0010044,5e-05
0.062396,0.033177,-2.3964e-21,1,4.9999e-06,0.0041096,0.0010045,5e-05
0.063065,0.033541,-2.1908e-21,1,5.0998e-06,0.0041095,0.0010046,5e-05
0.063734,0.033905,-1.9853e-21,1,5.1998e-06,0.0041095,0.0010047,5e-05
0.064403,0.03427,-1.7795e-21,1,5.2999e-06,0.0041094,0.0010047,5e-05
0.065072,0.034634,-1.574e-21,1,5.3998e-06,0.0041094,0.0010048,5e-05
0.065741,0.034998,-1.3685e-21,1,5.4998e-06,0.0041093,0.0010049,5e-05
0.06641,0.035362,-1.163e-21,1,5.5997e-06,0.0041093,0.001005,5e-05
0.067079,0.035727,-9.5719e-22,1,5.6998e-06,0.0041093,0.0010051,5e-05
0.067748,0.036091,-7.5167e-22,1,5.7998e-06,0.0041092,0.0010052,5e-05
0.068417,0.036455,-5.4615e-22,1,5.8997e-06,0.0041092,0.0010053,5e-05
0.069086,0.036819,-3.4037e-22,1,5.9998e-06,0.0041091,0.0010054,5e-05
0.069755,0.037184,-1.3485e-22,1,6.0997e-06,0.0041091,0.0010055,5e-05
0.070424,0.037548,7.0672e-23,1,6.1997e-06,0.004109,0.0010055,5e-05
0.071061,0.037887,3.1059e-22,1,6.2997e-06,0.004109,0.0010056,5e-05
0.071668,0.038204,5.8515e-22,1,6.3997e-06,0.0041089,0.0010057,5e-05
0.072275,0.038519,8.5936e-22,1,6.4997e-06,0.0041089,0.0010058,5e-05
0.072881,0.038835,1.1336e-21,1,6.5997e-06,0.0041088,0.0010059,5e-05
0.073488,0.039151,1.4081e-21,1,6.6997e-06,0.0041088,0.001006,5e-05
0.074094,0.039467,1.6823e-21,1,6.7997e-06,0.0041088,0.0010061,5e-05
0.074701,0.039782,1.9566e-21,1,6.8996e-06,0.0041087,0.0010062,5e-05
0.075307,0.040098,2.2308e-21,1,6.9996e-06,0.0041087,0.0010063,5e-05
0.075914,0.040414,2.5053e-21,1,7.0997e-06,0.0041086,0.0010064,5e-05
0.07652,0.040729,2.7795e-21,1,7.1996e-06,0.0041086,0.0010064,5e-05
0.077127,0.041045,3.0537e-21,1,7.2996e-06,0.0041085,0.0010065,5e-05
0.077734,0.041361,3.3283e-21,1,7.3996e-06,0.0041085,0.0010066,5e-05
0.07834,0.041677,3.6031e-21,1,7.4996e-06,0.0041084,0.0010067,5e-05
0.078891,0.041954,4.6633e-21,1,7.5996e-06,0.0041084,0.0010068,5e-05
0.079441,0.042232,5.7235e-21,1,7.6995e-06,0.0041084,0.0010069,5e-05
0.079994,0.042509,6.7848e-21,1,7.7998e-06,0.0041083,0.001007,5e-05
0.080544,0.042787,7.8448e-21,1,7.8998e-06,0.0041083,0.0010071,5e-05
0.081095,0.043065,8.9048e-21,1,7.9997e-06,0.0041082,0.0010072,5e-05
0.081646,0.043343,9.9663e-21,1,8.0998e-06,0.0041082,0.0010072,5e-05
0.082196,0.04362,1.1026e-20,1,8.1997e-06,0.0041081,0.0010073,5e-05
0.082747,0.043898,1.2086e-20,1,8.2997e-06,0.0041081,0.0010074,5e-05
0.083297,0.044176,1.3146e-20,1,8.3997e-06,0.004108,0.0010075,5e-05
0.083848,0.044454,1.4208e-20,1,8.4997e-06,0.004108,0.0010076,5e-05
0.084399,0.044732,1.5268e-20,1,8.5997e-06,0.004108,0.0010077,5e-05
0.08495,0.045009,1.6328e-20,1,8.6996e-06,0.0041079,0.0010078,5e-05
0.085475,0.045272,1.6715e-20,1,8.7997e-06,0.0041079,0.0010079,5e-05
0.085974,0.045518,1.6433e-20,1,8.8997e-06,0.0041078,0.001008,5e-05
0.086474,0.045764,1.6151e-20,1,8.9996e-06,0.0041078,0.001008,5e-05
0.086973,0.046011,1.587e-20,1,9.0996e-06,0.0041077,0.0010081,5e-05
0.087473,0.046258,1.5588e-20,1,9.1997e-06,0.0041077,0.0010082,5e-05
0.087973,0.046504,1.5306e-20,1,9.2996e-06,0.0041076,0.0010083,5e-05
0.088472,0.04675,1.5024e-20,1,9.3996e-06,0.0041076,0.0010084,5e-05
0.088972,0.046997,1.4742e-20,1,9.4996e-06,0.0041076,0.0010085,5e-05
0.089472,0.047244,1.446e-20,1,9.5996e-06,0.0041075,0.0010086,5e-05
0.089971,0.04749,1.4178e-20,1,9.6996e-06,0.0041075,0.0010087,5e-05
0.090471,0.047737,1.3896e-20,1,9.7995e-06,0.0041074,0.0010088,5e-05
0.09097,0.047983,1.3614e-20,1,9.8996e-06,0.0041074,0.0010089,5e-05
0.09147,0.04823,1.3332e-20,1,9.9995e-06,0.0041073,0.0010089,5e-05
0.091923,0.04845,1.2542e-20,1,1.01e-05,0.0041073,0.001009,5e-05
0.092377,0.04867,1.1751e-20,1,1.02e-05,0.0041072,0.0010091,5e-05
0.09283,0.048889,1.0961e-20,1,1.03e-05,0.0041072,0.0010092,5e-05
0.093283,0.049109,1.0171e-20,1,1.0399e-05,0.0041071,0.0010093,5e-05
0.093736,0.049329,9.3816e-21,1,1.0499e-05,0.0041071,0.0010094,5e-05
0.09419,0.049549,8.5909e-21,1,1.06e-05,0.0041071,0.0010095,5e-05
0.094645,0.049768,7.7995e-21,1,1.07e-05,0.004107,0.0010096,5e-05
0.095098,0.049988,7.0098e-21,1,1.08e-05,0.004107,0.0010097,5e-05
0.095551,0.050208,6.2193e-21,1,1.09e-05,0.0041069,0.0010097,5e-05
0.096005,0.050428,5.4296e-21,1,1.1e-05,0.0041069,0.0010098,5e-05
0.096458,0.050648,4.6399e-21,1,1.11e-05,0.0041068,0.0010099,5e-05
0.096911,0.050867,3.8503e-21,1,1.12e-05,0.0041068,0.00101,5e-05
