"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,0,0,0.0059776,-4.472e-05,5e-05
0.0020212,-0.0010106,5.7361e-25,1,9.9989e-08,0.0059777,-4.4631e-05,5e-05
0.0024109,-0.0012054,1.1647e-24,1,1.9998e-07,0.0059777,-4.4541e-05,5e-05
0.0028005,-0.0014003,1.7557e-24,1,2.9997e-07,0.0059778,-4.4452e-05,5e-05
0.0031902,-0.0015951,2.3468e-24,1,3.9996e-07,0.0059778,-4.4362e-05,5e-05
0.0035799,-0.00179,2.9378e-24,1,4.9995e-07,0.0059779,-4.4273e-05,5e-05
0.0039696,-0.0019848,3.5289e-24,1,5.9994e-07,0.0059779,-4.4183e-05,5e-05
0.0043593,-0.0021796,4.1199e-24,1,6.9993e-07,0.0059779,-4.4094e-05,5e-05
0.004749,-0.0023745,4.711e-24,1,7.9992e-07,0.005978,-4.4004e-05,5e-05
0.0051387,-0.0025693,5.302e-24,1,8.9991e-07,0.005978,-4.3915e-05,5e-05
0.0055284,-0.0027642,5.8931e-24,1,9.999e-07,0.0059781,-4.3826e-05,5e-05
0.005918,-0.002959,6.4841e-24,1,1.0999e-06,0.0059781,-4.3736e-05,5e-05
0.0063077,-0.0031539,7.0752e-24,1,1.1999e-06,0.0059782,-4.3647e-05,5e-05
0.006753,-0.0033765,8.2106e-24,1,1.2999e-06,0.0059782,-4.3557e-05,5e-05
0.0072608,-0.0036304,9.9594e-24,1,1.3999e-06,0.0059783,-4.3468e-05,5e-05
0.0077697,-0.0038848,1.1711e-23,1,1.5001e-06,0.0059783,-4.3378e-05,5e-05
0.0082775,-0.0041388,1.346e-23,1,1.6e-06,0.0059783,-4.3289e-05,5e-05
0.0087854,-0.0043927,1.5209e-23,1,1.7e-06,0.0059784,-4.32e-05,5e-05
0.0092932,-0.0046466,1.6958e-23,1,1.8e-06,0.0059784,-4.311e-05,5e-05
0.0098011,-0.0049005,1.8707e-23,1,1.9e-06,0.0059785,-4.3021e-05,5e-05
0.010309,-0.0051545,2.0455e-23,1,2e-06,0.0059785,-4.2931e-05,5e-05
0.010817,-0.0054084,2.2204e-23,1,2.1e-06,0.0059786,-4.2842e-05,5e-05
0.011325,-0.0056623,2.3953e-23,1,2.2e-06,0.0059786,-4.2752e-05,5e-05
0.011832,-0.0059162,2.5701e-23,1,2.3e-06,0.0059787,-4.2663e-05,5e-05
0.01234,-0.0061701,2.745e-23,1,2.4e-06,0.0059787,-4.2573e-05,5e-05
0.012848,-0.0064241,2.9198e-23,1,2.4999e-06,0.0059787,-4.2484e-05,5e-05
0.013343,-0.0066716,2.8118e-23,1,2.5999e-06,0.0059788,-4.2395e-05,5e-05
0.013838,-0.006919,2.6949e-23,1,2.6999e-06,0.0059788,-4.2305e-05,5e-05
0.014333,-0.0071663,2.5781e-23,1,2.7999e-06,0.0059789,-4.2216e-05,5e-05
0.014827,-0.0074137,2.4612e-23,1,2.8999e-06,0.0059789,-4.2126e-05,5e-05
0.015322,-0.0076611,2.3444e-23,1,2.9999e-06,0.005979,-4.2037e-05,5e-05
0.015817,-0.0079084,2.2275e-23,1,3.0999e-06,0.005979,-4.1947e-05,5e-05
0.016313,-0.0081563,2.1107e-23,1,3.2001e-06,0.0059791,-4.1858e-05,5e-05
0.016807,-0.0084037,1.9938e-23,1,3.3001e-06,0.0059791,-4.1768e-05,5e-05
0.017302,-0.0086511,1.877e-23,1,3.4001e-06,0.0059792,-4.1679e-05,5e-05
0.017797,-0.0088984,1.7601e-23,1,3.5001e-06,0.0059792,-4.159e-05,5e-05
0.018292,-0.0091458,1.6432e-23,1,3.6e-06,0.0059792,-4.15e-05,5e-05
0.018786,-0.0093932,1.5264e-23,1,3.7e-06,0.0059793,-4.1411e-05,5e-05
0.019275,-0.0096374,1.4918e-23,1,3.8e-06,0.0059793,-4.1321e-05,5e-05
0.019756,-0.0098781,1.5495e-23,1,3.9e-06,0.0059794,-4.1232e-05,5e-05
0.020238,-0.010119,1.6072e-23,1,4e-06,0.0059794,-4.1142e-05,5e-05
0.020719,-0.01036,1.6649e-23,1,4.1e-06,0.0059795,-4.1053e-05,5e-05
0.021201,-0.0106,1.7226e-23,1,4.2e-06,0.0059795,-4.0964e-05,5e-05
0.021682,-0.010841,1.7803e-23,1,4.3e-06,0.0059796,-4.0874e-05,5e-05
0.022164,-0.011082,1.838e-23,1,4.4e-06,0.0059796,-4.0785e-05,5e-05
0.022645,-0.011322,1.8957e-23,1,4.5e-06,0.0059796,-4.0695e-05,5e-05
0.023126,-0.011563,1.9534e-23,1,4.5999e-06,0.0059797,-4.0606e-05,5e-05
0.023608,-0.011804,2.0111e-23,1,4.6999e-06,0.0059797,-4.0516e-05,5e-05
0.024089,-0.012045,2.0688e-23,1,4.7999e-06,0.0059798,-4.0427e-05,5e-05
0.024571,-0.012285,2.1265e-23,1,4.8999e-06,0.0059798,-4.0337e-05,5e-05
0.025053,-0.012527,2.1844e-23,1,5.0001e-06,0.0059799,-4.0248e-05,5e-05
0.025522,-0.012761,2.1863e-23,1,5.1001e-06,0.0059799,-4.0159e-05,5e-05
0.02599,-0.012995,2.1865e-23,1,5.2001e-06,0.00598,-4.0069e-05,5e-05
0.026459,-0.013229,2.1867e-23,1,5.3001e-06,0.00598,-3.998e-05,5e-05
0.026927,-0.013463,2.187e-23,1,5.4001e-06,0.00598,-3.989e-05,5e-05
