"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00046083,-0.00018726,-5.1722e-14,1,0,0.004,0.00095,5e-05
0.00046913,-0.00018976,-4.5246e-14,1,1e-07,0.004,0.0009501,5e-05
0.00047745,-0.00019226,-3.8546e-14,1,2e-07,0.004,0.0009502,5e-05
0.00048577,-0.00019476,-3.1623e-14,1,3e-07,0.004,0.0009503,5e-05
0.00049409,-0.00019726,-2.4477e-14,1,4e-07,0.004,0.0009504,5e-05
0.00050242,-0.00019976,-1.7108e-14,1,5e-07,0.004,0.0009505,5e-05
0.00051076,-0.00020226,-9.5163e-15,1,6e-07,0.004,0.0009506,5e-05
0.0005191,-0.00020476,-1.7032e-15,1,7.0001e-07,0.004,0.0009507,5e-05
0.00052745,-0.00020708,2.5975e-15,1,8.0001e-07,0.004,0.0009508,5e-05
0.0005358,-0.0002094,6.9756e-15,1,9.0001e-07,0.004,0.0009509,5e-05
0.00054416,-0.00021172,1.1471e-14,1,1e-06,0.004,0.000951,5e-05
0.00055253,-0.00021403,1.6083e-14,1,1.1e-06,0.004,0.0009511,5e-05
0.0005609,-0.00021635,2.0812e-14,1,1.2e-06,0.004,0.0009512,5e-05
0.00056928,-0.00021867,2.5658e-14,1,1.3e-06,0.004,0.0009513,5e-05
0.00057766,-0.00022098,3.062e-14,1,1.4e-06,0.004,0.0009514,5e-05
0.00058603,-0.00022317,1.7197e-14,1,1.5e-06,0.004,0.0009515,5e-05
0.00059441,-0.0002253,-3.4402e-15,1,1.6e-06,0.004,0.0009516,5e-05
0.00060278,-0.00022743,-2.4303e-14,1,1.7e-06,0.004,0.0009517,5e-05
0.00061116,-0.00022956,-4.5379e-14,1,1.8e-06,0.004,0.0009518,5e-05
0.00061955,-0.00023169,-6.6692e-14,1,1.9e-06,0.004,0.0009519,5e-05
0.00062794,-0.00023383,-8.8228e-14,1,2e-06,0.004,0.000952,5e-05
0.00063634,-0.00023596,-1.0999e-13,1,2.1e-06,0.004,0.0009521,5e-05
