"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.0279e-07,-3.3157e-12,-2.8938e-26,1,0,0.0041118,0.001,5e-05
1.6187e-05,6.1181e-06,7.2811e-24,1,9.996e-08,0.0041118,0.0010001,5e-05
3.1972e-05,1.2236e-05,1.4591e-23,1,1.9992e-07,0.0041117,0.0010002,5e-05
4.7757e-05,1.8354e-05,2.1901e-23,1,2.9988e-07,0.0041117,0.0010003,5e-05
6.3557e-05,2.4481e-05,2.9222e-23,1,3.9994e-07,0.0041116,0.0010004,5e-05
7.9342e-05,3.0599e-05,3.6533e-23,1,4.999e-07,0.0041116,0.0010004,5e-05
9.5128e-05,3.6717e-05,4.3843e-23,1,5.9986e-07,0.0041115,0.0010005,5e-05
0.00011093,4.2843e-05,5.1165e-23,1,6.9993e-07,0.0041115,0.0010006,5e-05
0.00012672,4.8962e-05,5.8476e-23,1,7.9989e-07,0.0041114,0.0010007,5e-05
0.0001425,5.508e-05,6.5787e-23,1,8.9985e-07,0.0041114,0.0010008,5e-05
0.00015829,6.1198e-05,7.3098e-23,1,9.9981e-07,0.0041114,0.0010009,5e-05
0.00017409,6.7325e-05,8.0421e-23,1,1.0999e-06,0.0041113,0.001001,5e-05
0.00018988,7.3443e-05,8.7732e-23,1,1.1998e-06,0.0041113,0.0010011,5e-05
0.00020072,7.887e-05,8.953e-23,1,1.2998e-06,0.0041112,0.0010012,5e-05
0.00020662,8.3611e-05,8.5814e-23,1,1.3999e-06,0.0041112,0.0010013,5e-05
0.00021252,8.8346e-05,8.21e-23,1,1.4998e-06,0.0041111,0.0010013,5e-05
0.00021842,9.3081e-05,7.8387e-23,1,1.5998e-06,0.0041111,0.0010014,5e-05
0.00022431,9.7815e-05,7.4673e-23,1,1.6997e-06,0.004111,0.0010015,5e-05
0.00023021,0.00010256,7.0956e-23,1,1.7998e-06,0.004111,0.0010016,5e-05
0.00023611,0.00010729,6.7243e-23,1,1.8998e-06,0.004111,0.0010017,5e-05
0.00024201,0.00011203,6.3529e-23,1,1.9997e-06,0.0041109,0.0010018,5e-05
0.00024791,0.00011677,5.9812e-23,1,2.0998e-06,0.0041109,0.0010019,5e-05
0.00025383,0.0001215,5.6086e-23,1,2.2e-06,0.0041108,0.001002,5e-05
0.00025972,0.00012623,5.2373e-23,1,2.2999e-06,0.0041108,0.0010021,5e-05
0.00026562,0.00013097,4.866e-23,1,2.3999e-06,0.0041107,0.0010021,5e-05
0.00027152,0.00013571,4.494e-23,1,2.4999e-06,0.0041107,0.0010022,5e-05
0.00027705,0.00013947,3.1884e-23,1,2.5999e-06,0.0041106,0.0010023,5e-05
0.00028257,0.00014322,1.8829e-23,1,2.6999e-06,0.0041106,0.0010024,5e-05
0.0002881,0.00014699,5.7578e-24,1,2.7999e-06,0.0041105,0.0010025,5e-05
0.00029362,0.00015074,-7.2973e-24,1,2.8999e-06,0.0041105,0.0010026,5e-05
0.00029915,0.0001545,-2.0352e-23,1,2.9998e-06,0.0041105,0.0010027,5e-05
