"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,0,0,0.0059776,-4.472e-05,5e-05
2.029e-05,-1.0145e-05,5.7742e-27,1,9.9989e-08,0.0059777,-4.4631e-05,5e-05
2.4202e-05,-1.2101e-05,1.1724e-26,1,1.9998e-07,0.0059777,-4.4541e-05,5e-05
2.8113e-05,-1.4057e-05,1.7674e-26,1,2.9997e-07,0.0059778,-4.4452e-05,5e-05
3.2025e-05,-1.6013e-05,2.3624e-26,1,3.9996e-07,0.0059778,-4.4362e-05,5e-05
3.5937e-05,-1.7969e-05,2.9574e-26,1,4.9995e-07,0.0059779,-4.4273e-05,5e-05
3.9849e-05,-1.9925e-05,3.5523e-26,1,5.9994e-07,0.0059779,-4.4183e-05,5e-05
4.3761e-05,-2.1881e-05,4.1473e-26,1,6.9993e-07,0.0059779,-4.4094e-05,5e-05
4.7673e-05,-2.3836e-05,4.7423e-26,1,7.9992e-07,0.005978,-4.4004e-05,5e-05
5.1585e-05,-2.5792e-05,5.3373e-26,1,8.9991e-07,0.005978,-4.3915e-05,5e-05
5.5497e-05,-2.7748e-05,5.9323e-26,1,9.999e-07,0.0059781,-4.3826e-05,5e-05
5.9409e-05,-2.9704e-05,6.5273e-26,1,1.0999e-06,0.0059781,-4.3736e-05,5e-05
6.332e-05,-3.166e-05,7.1222e-26,1,1.1999e-06,0.0059782,-4.3647e-05,5e-05
6.779e-05,-3.3895e-05,8.2667e-26,1,1.2999e-06,0.0059782,-4.3557e-05,5e-05
7.2888e-05,-3.6444e-05,1.003e-25,1,1.3999e-06,0.0059783,-4.3468e-05,5e-05
7.7997e-05,-3.8998e-05,1.1797e-25,1,1.5001e-06,0.0059783,-4.3378e-05,5e-05
8.3095e-05,-4.1547e-05,1.3561e-25,1,1.6e-06,0.0059783,-4.3289e-05,5e-05
8.8193e-05,-4.4096e-05,1.5325e-25,1,1.7e-06,0.0059784,-4.32e-05,5e-05
9.3291e-05,-4.6645e-05,1.7088e-25,1,1.8e-06,0.0059784,-4.311e-05,5e-05
9.8389e-05,-4.9194e-05,1.8852e-25,1,1.9e-06,0.0059785,-4.3021e-05,5e-05
0.00010349,-5.1743e-05,2.0616e-25,1,2e-06,0.0059785,-4.2931e-05,5e-05
0.00010858,-5.4292e-05,2.2379e-25,1,2.1e-06,0.0059786,-4.2842e-05,5e-05
0.00011368,-5.6841e-05,2.4143e-25,1,2.2e-06,0.0059786,-4.2752e-05,5e-05
0.00011878,-5.939e-05,2.5906e-25,1,2.3e-06,0.0059787,-4.2663e-05,5e-05
0.00012388,-6.1939e-05,2.767e-25,1,2.4e-06,0.0059787,-4.2573e-05,5e-05
0.00012898,-6.4488e-05,2.9433e-25,1,2.4999e-06,0.0059787,-4.2484e-05,5e-05
0.00013395,-6.6973e-05,2.8343e-25,1,2.5999e-06,0.0059788,-4.2395e-05,5e-05
0.00013891,-6.9457e-05,2.7165e-25,1,2.6999e-06,0.0059788,-4.2305e-05,5e-05
0.00014388,-7.194e-05,2.5987e-25,1,2.7999e-06,0.0059789,-4.2216e-05,5e-05
0.00014885,-7.4423e-05,2.4808e-25,1,2.8999e-06,0.0059789,-4.2126e-05,5e-05
0.00015381,-7.6906e-05,2.363e-25,1,2.9999e-06,0.005979,-4.2037e-05,5e-05
0.00015878,-7.9389e-05,2.2452e-25,1,3.0999e-06,0.005979,-4.1947e-05,5e-05
0.00016376,-8.1878e-05,2.1273e-25,1,3.2001e-06,0.0059791,-4.1858e-05,5e-05
0.00016872,-8.4361e-05,2.0095e-25,1,3.3001e-06,0.0059791,-4.1768e-05,5e-05
0.00017369,-8.6844e-05,1.8916e-25,1,3.4001e-06,0.0059792,-4.1679e-05,5e-05
0.00017865,-8.9327e-05,1.7737e-25,1,3.5001e-06,0.0059792,-4.159e-05,5e-05
0.00018362,-9.1811e-05,1.6559e-25,1,3.6e-06,0.0059792,-4.15e-05,5e-05
0.00018859,-9.4294e-05,1.538e-25,1,3.7e-06,0.0059793,-4.1411e-05,5e-05
0.00019349,-9.6745e-05,1.5036e-25,1,3.8e-06,0.0059793,-4.1321e-05,5e-05
0.00019832,-9.9162e-05,1.5626e-25,1,3.9e-06,0.0059794,-4.1232e-05,5e-05
0.00020316,-0.00010158,1.6216e-25,1,4e-06,0.0059794,-4.1142e-05,5e-05
0.00020799,-0.000104,1.6806e-25,1,4.1e-06,0.0059795,-4.1053e-05,5e-05
0.00021282,-0.00010641,1.7396e-25,1,4.2e-06,0.0059795,-4.0964e-05,5e-05
0.00021766,-0.00010883,1.7986e-25,1,4.3e-06,0.0059796,-4.0874e-05,5e-05
0.00022249,-0.00011124,1.8576e-25,1,4.4e-06,0.0059796,-4.0785e-05,5e-05
0.00022732,-0.00011366,1.9166e-25,1,4.5e-06,0.0059796,-4.0695e-05,5e-05
