"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.9035e-08,-2.8527e-13,9.8033e-27,1,0,0.0040707,0.002,5e-05
6.6332e-06,3.089e-06,-1.1484e-23,1,9.9934e-08,0.0040706,0.0020001,5e-05
1.3214e-05,6.1882e-06,-2.3018e-23,1,2.0003e-07,0.0040706,0.0020001,5e-05
1.9769e-05,9.2877e-06,-3.4563e-23,1,2.998e-07,0.0040705,0.0020002,5e-05
2.6343e-05,1.2377e-05,-4.6056e-23,1,3.9974e-07,0.0040704,0.0020003,5e-05
3.2925e-05,1.5476e-05,-5.7592e-23,1,4.9984e-07,0.0040704,0.0020004,5e-05
3.9507e-05,1.8575e-05,-6.9128e-23,1,5.9993e-07,0.0040703,0.0020004,5e-05
4.6079e-05,2.1664e-05,-8.0618e-23,1,6.9987e-07,0.0040702,0.0020005,5e-05
5.2661e-05,2.4763e-05,-9.2154e-23,1,7.9997e-07,0.0040701,0.0020006,5e-05
5.9224e-05,2.7864e-05,-1.0371e-22,1,8.9974e-07,0.0040701,0.0020006,5e-05
6.5807e-05,3.0963e-05,-1.1525e-22,1,9.9984e-07,0.00407,0.0020007,5e-05
7.2378e-05,3.4052e-05,-1.2674e-22,1,1.0998e-06,0.0040699,0.0020008,5e-05
7.8962e-05,3.7151e-05,-1.3828e-22,1,1.1999e-06,0.0040699,0.0020008,5e-05
8.3885e-05,4.009e-05,-1.2783e-22,1,1.3e-06,0.0040698,0.0020009,5e-05
8.7146e-05,4.2858e-05,-9.5497e-23,1,1.3999e-06,0.0040697,0.002001,5e-05
9.0409e-05,4.5636e-05,-6.3069e-23,1,1.5e-06,0.0040696,0.0020011,5e-05
9.3656e-05,4.8415e-05,-3.0649e-23,1,1.5998e-06,0.0040696,0.0020011,5e-05
9.6917e-05,5.1183e-05,1.6778e-24,1,1.6997e-06,0.0040695,0.0020012,5e-05
0.00010018,5.3961e-05,3.4108e-23,1,1.7998e-06,0.0040694,0.0020013,5e-05
0.00010344,5.6739e-05,6.6538e-23,1,1.8999e-06,0.0040694,0.0020013,5e-05
0.00010671,5.9517e-05,9.8969e-23,1,2e-06,0.0040693,0.0020014,5e-05
0.00010997,6.2285e-05,1.3128e-22,1,2.0999e-06,0.0040692,0.0020015,5e-05
0.00011323,6.5063e-05,1.6371e-22,1,2.2e-06,0.0040692,0.0020016,5e-05
0.00011648,6.7843e-05,1.9617e-22,1,2.2998e-06,0.0040691,0.0020016,5e-05
0.00011974,7.0611e-05,2.2848e-22,1,2.3997e-06,0.004069,0.0020017,5e-05
0.000123,7.3389e-05,2.6091e-22,1,2.4998e-06,0.0040689,0.0020018,5e-05
0.00012646,7.5879e-05,2.4964e-22,1,2.5999e-06,0.0040689,0.0020018,5e-05
0.00012992,7.8361e-05,2.3838e-22,1,2.6999e-06,0.0040688,0.0020019,5e-05
0.00013338,8.0851e-05,2.2711e-22,1,2.8e-06,0.0040687,0.002002,5e-05
0.00013682,8.3344e-05,2.1588e-22,1,2.8997e-06,0.0040687,0.0020021,5e-05
0.00014028,8.5834e-05,2.0461e-22,1,2.9998e-06,0.0040686,0.0020021,5e-05
0.00014374,8.8316e-05,1.9336e-22,1,3.0998e-06,0.0040685,0.0020022,5e-05
0.0001472,9.0806e-05,1.8209e-22,1,3.1999e-06,0.0040684,0.0020023,5e-05
0.00015065,9.3297e-05,1.7082e-22,1,3.3e-06,0.0040684,0.0020023,5e-05
0.00015411,9.5778e-05,1.5958e-22,1,3.3999e-06,0.0040683,0.0020024,5e-05
0.00015757,9.8269e-05,1.4831e-22,1,3.5e-06,0.0040682,0.0020025,5e-05
0.00016101,0.00010076,1.3705e-22,1,3.5998e-06,0.0040682,0.0020025,5e-05
0.00016447,0.00010324,1.2581e-22,1,3.6997e-06,0.0040681,0.0020026,5e-05
0.00016796,0.00010566,1.1611e-22,1,3.7998e-06,0.004068,0.0020027,5e-05
0.00017148,0.00010799,1.0799e-22,1,3.8999e-06,0.004068,0.0020028,5e-05
0.00017499,0.00011032,9.9883e-23,1,3.9998e-06,0.0040679,0.0020028,5e-05
0.00017851,0.00011265,9.1756e-23,1,4.0999e-06,0.0040678,0.0020029,5e-05
0.00018202,0.00011499,8.3634e-23,1,4.1997e-06,0.0040677,0.002003,5e-05
0.00018554,0.00011732,7.5506e-23,1,4.2998e-06,0.0040677,0.002003,5e-05
0.00018905,0.00011965,6.7404e-23,1,4.3997e-06,0.0040676,0.0020031,5e-05
0.00019257,0.00012198,5.9276e-23,1,4.4998e-06,0.0040675,0.0020032,5e-05
0.00019609,0.00012431,5.1149e-23,1,4.5999e-06,0.0040675,0.0020033,5e-05
0.00019961,0.00012664,4.3048e-23,1,4.6999e-06,0.0040674,0.0020033,5e-05
0.00020313,0.00012897,3.4922e-23,1,4.8e-06,0.0040673,0.0020034,5e-05
0.00020663,0.00013131,2.6795e-23,1,4.8997e-06,0.0040672,0.0020035,5e-05
0.00021015,0.00013364,1.8695e-23,1,4.9997e-06,0.0040672,0.0020035,5e-05
0.00021365,0.00013589,3.1923e-23,1,5.0998e-06,0.0040671,0.0020036,5e-05
0.00021715,0.00013814,4.5219e-23,1,5.1999e-06,0.004067,0.0020037,5e-05
0.00022065,0.0001404,5.8516e-23,1,5.3e-06,0.004067,0.0020037,5e-05
0.00022415,0.00014265,7.1762e-23,1,5.3999e-06,0.0040669,0.0020038,5e-05
0.00022765,0.0001449,8.5057e-23,1,5.5e-06,0.0040668,0.0020039,5e-05
0.00023114,0.00014716,9.837e-23,1,5.5998e-06,0.0040668,0.002004,5e-05
0.00023463,0.0001494,1.1161e-22,1,5.6997e-06,0.0040667,0.002004,5e-05
0.00023814,0.00015166,1.2491e-22,1,5.7998e-06,0.0040666,0.0020041,5e-05
0.00024164,0.00015391,1.3821e-22,1,5.8999e-06,0.0040665,0.0020042,5e-05
0.00024513,0.00015616,1.5144e-22,1,5.9998e-06,0.0040665,0.0020042,5e-05
0.00024864,0.00015841,1.6474e-22,1,6.0999e-06,0.0040664,0.0020043,5e-05
0.00025212,0.00016067,1.7807e-22,1,6.1997e-06,0.0040663,0.0020044,5e-05
0.0002556,0.00016289,1.7295e-22,1,6.2998e-06,0.0040663,0.0020045,5e-05
0.00025904,0.00016508,1.4948e-22,1,6.3997e-06,0.0040662,0.0020045,5e-05
0.00026249,0.00016728,1.2595e-22,1,6.4998e-06,0.0040661,0.0020046,5e-05
0.00026594,0.00016947,1.0242e-22,1,6.5999e-06,0.004066,0.0020047,5e-05
0.00026939,0.00017166,7.8958e-23,1,6.6999e-06,0.004066,0.0020047,5e-05
0.00027283,0.00017386,5.5433e-23,1,6.8e-06,0.0040659,0.0020048,5e-05
0.00027627,0.00017605,3.1919e-23,1,6.8997e-06,0.0040658,0.0020049,5e-05
0.00027971,0.00017824,8.4617e-24,1,6.9997e-06,0.0040658,0.0020049,5e-05
0.00028316,0.00018044,-1.5067e-23,1,7.0998e-06,0.0040657,0.002005,5e-05
0.00028661,0.00018263,-3.8595e-23,1,7.1999e-06,0.0040656,0.0020051,5e-05
0.00029006,0.00018482,-6.2041e-23,1,7.2998e-06,0.0040655,0.0020052,5e-05
0.00029351,0.00018702,-8.5567e-23,1,7.3999e-06,0.0040655,0.0020052,5e-05
0.00029694,0.00018921,-1.0911e-22,1,7.4997e-06,0.0040654,0.0020053,5e-05
