"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.20342,1,0,0.003,0.00195,5e-05
0.20342,1,1e-07,0.003,0.0019501,5e-05
0.20342,1,2e-07,0.003,0.0019502,5e-05
0.20342,1,3e-07,0.003,0.0019503,5e-05
0.20342,1,4e-07,0.003,0.0019504,5e-05
0.20342,1,5e-07,0.003,0.0019505,5e-05
0.20342,1,6e-07,0.003,0.0019506,5e-05
0.20342,1,7.0001e-07,0.003,0.0019507,5e-05
0.20342,1,8.0001e-07,0.003,0.0019508,5e-05
0.20342,1,9.0001e-07,0.003,0.0019509,5e-05
0.20342,1,1e-06,0.003,0.001951,5e-05
0.20343,1,1.1e-06,0.003,0.0019511,5e-05
0.20343,1,1.2e-06,0.003,0.0019512,5e-05
0.20343,1,1.3e-06,0.003,0.0019513,5e-05
0.20343,1,1.4e-06,0.003,0.0019514,5e-05
0.20343,1,1.5e-06,0.003,0.0019515,5e-05
0.20344,1,1.6e-06,0.003,0.0019516,5e-05
0.20344,1,1.7e-06,0.003,0.0019517,5e-05
0.20344,1,1.8e-06,0.003,0.0019518,5e-05
0.20345,1,1.9e-06,0.003,0.0019519,5e-05
0.20345,1,2e-06,0.003,0.001952,5e-05
0.20346,1,2.1e-06,0.003,0.0019521,5e-05
0.20346,1,2.2e-06,0.003,0.0019522,5e-05
0.20347,1,2.3e-06,0.003,0.0019523,5e-05
0.20348,1,2.4e-06,0.003,0.0019524,5e-05
0.20348,1,2.5e-06,0.003,0.0019525,5e-05
0.20349,1,2.6e-06,0.003,0.0019526,5e-05
0.2035,1,2.7e-06,0.003,0.0019527,5e-05
0.20351,1,2.8e-06,0.003,0.0019528,5e-05
0.20352,1,2.9e-06,0.003,0.0019529,5e-05
0.20353,1,3e-06,0.003,0.001953,5e-05
0.20354,1,3.1e-06,0.003,0.0019531,5e-05
0.20355,1,3.2e-06,0.003,0.0019532,5e-05
0.20357,1,3.3001e-06,0.003,0.0019533,5e-05
0.20358,1,3.4e-06,0.003,0.0019534,5e-05
0.20359,1,3.5001e-06,0.003,0.0019535,5e-05
0.20361,1,3.6e-06,0.003,0.0019536,5e-05
0.20362,1,3.7001e-06,0.003,0.0019537,5e-05
0.20364,1,3.8e-06,0.003,0.0019538,5e-05
0.20366,1,3.9001e-06,0.003,0.0019539,5e-05
0.20368,1,4e-06,0.003,0.001954,5e-05
0.2037,1,4.1001e-06,0.003,0.0019541,5e-05
0.20372,1,4.2e-06,0.003,0.0019542,5e-05
0.20374,1,4.3001e-06,0.003,0.0019543,5e-05
0.20376,1,4.4e-06,0.003,0.0019544,5e-05
0.20378,1,4.5002e-06,0.003,0.0019545,5e-05
0.20381,1,4.6e-06,0.003,0.0019546,5e-05
0.20383,1,4.7002e-06,0.003,0.0019547,5e-05
0.20386,1,4.8e-06,0.003,0.0019548,5e-05
0.20389,1,4.9002e-06,0.003,0.0019549,5e-05
0.20391,1,5e-06,0.003,0.001955,5e-05
0.20394,1,5.1002e-06,0.003,0.0019551,5e-05
0.20398,1,5.2e-06,0.003,0.0019552,5e-05
0.20401,1,5.3002e-06,0.003,0.0019553,5e-05
0.20404,1,5.4e-06,0.003,0.0019554,5e-05
0.20408,1,5.5002e-06,0.003,0.0019555,5e-05
0.20411,1,5.6e-06,0.003,0.0019556,5e-05
0.20415,1,5.7002e-06,0.003,0.0019557,5e-05
0.20419,1,5.8e-06,0.003,0.0019558,5e-05
0.20423,1,5.9002e-06,0.003,0.0019559,5e-05
0.20427,1,6e-06,0.003,0.001956,5e-05
0.20431,1,6.1002e-06,0.003,0.0019561,5e-05
0.20435,1,6.2e-06,0.003,0.0019562,5e-05
0.2044,1,6.3002e-06,0.003,0.0019563,5e-05
0.20445,1,6.4e-06,0.003,0.0019564,5e-05
0.2045,1,6.5002e-06,0.003,0.0019565,5e-05
0.20455,1,6.6001e-06,0.003,0.0019566,5e-05
0.2046,1,6.7002e-06,0.003,0.0019567,5e-05
0.20464,1,6.8001e-06,0.003,0.0019568,5e-05
0.2047,1,6.9002e-06,0.003,0.0019569,5e-05
0.20476,1,7.0001e-06,0.003,0.001957,5e-05
0.20481,1,7.0999e-06,0.003,0.0019571,5e-05
0.20487,1,7.2001e-06,0.003,0.0019572,5e-05
0.20493,1,7.2999e-06,0.003,0.0019573,5e-05
0.20499,1,7.4001e-06,0.003,0.0019574,5e-05
0.20505,1,7.4999e-06,0.003,0.0019575,5e-05
0.20512,1,7.6001e-06,0.003,0.0019576,5e-05
0.20519,1,7.6999e-06,0.003,0.0019577,5e-05
0.20526,1,7.8001e-06,0.003,0.0019578,5e-05
0.20533,1,7.8999e-06,0.003,0.0019579,5e-05
0.2054,1,8.0001e-06,0.003,0.001958,5e-05
0.20547,1,8.0999e-06,0.003,0.0019581,5e-05
0.20555,1,8.2001e-06,0.003,0.0019582,5e-05
0.20563,1,8.2999e-06,0.003,0.0019583,5e-05
0.20571,1,8.4001e-06,0.003,0.0019584,5e-05
0.20579,1,8.4999e-06,0.003,0.0019585,5e-05
0.20587,1,8.6001e-06,0.003,0.0019586,5e-05
0.20595,1,8.6999e-06,0.003,0.0019587,5e-05
0.20604,1,8.8001e-06,0.003,0.0019588,5e-05
0.20613,1,8.9e-06,0.003,0.0019589,5e-05
0.20622,1,9.0001e-06,0.003,0.001959,5e-05
0.20631,1,9.1e-06,0.003,0.0019591,5e-05
0.20641,1,9.2001e-06,0.003,0.0019592,5e-05
0.2065,1,9.3e-06,0.003,0.0019593,5e-05
0.20659,1,9.4001e-06,0.003,0.0019594,5e-05
0.2067,1,9.5e-06,0.003,0.0019595,5e-05
0.20681,1,9.6001e-06,0.003,0.0019596,5e-05
0.20691,1,9.7e-06,0.003,0.0019597,5e-05
0.20702,1,9.8001e-06,0.003,0.0019598,5e-05
0.20712,1,9.9e-06,0.003,0.0019599,5e-05
0.20723,1,1e-05,0.003,0.00196,5e-05
0.20734,1,1.01e-05,0.003,0.0019601,5e-05
