"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,0,0,0.004,0.0019293,5e-05
3.4729e-06,-3.4282e-06,-3.9257e-24,1,9.977e-08,0.0040001,0.0019294,5e-05
6.9631e-06,-6.8735e-06,-7.8714e-24,1,1.9979e-07,0.0040001,0.0019294,5e-05
1.0456e-05,-1.0322e-05,-1.182e-23,1,2.9989e-07,0.0040002,0.0019295,5e-05
1.3946e-05,-1.3767e-05,-1.5765e-23,1,3.999e-07,0.0040003,0.0019296,5e-05
1.7436e-05,-1.7212e-05,-1.9709e-23,1,4.9992e-07,0.0040004,0.0019296,5e-05
2.0929e-05,-2.066e-05,-2.3657e-23,1,6.0002e-07,0.0040004,0.0019297,5e-05
2.442e-05,-2.4105e-05,-2.76e-23,1,7.0003e-07,0.0040005,0.0019298,5e-05
2.7901e-05,-2.7542e-05,-3.154e-23,1,7.998e-07,0.0040006,0.0019299,5e-05
3.1391e-05,-3.0987e-05,-3.5485e-23,1,8.9982e-07,0.0040006,0.0019299,5e-05
3.4881e-05,-3.4433e-05,-3.9428e-23,1,9.9984e-07,0.0040007,0.00193,5e-05
3.8374e-05,-3.7881e-05,-4.3376e-23,1,1.0999e-06,0.0040008,0.0019301,5e-05
4.1865e-05,-4.1326e-05,-4.7318e-23,1,1.2e-06,0.0040008,0.0019301,5e-05
4.5366e-05,-4.4749e-05,-4.1484e-23,1,1.3001e-06,0.0040009,0.0019302,5e-05
4.8861e-05,-4.8134e-05,-2.5841e-23,1,1.3997e-06,0.004001,0.0019303,5e-05
5.2367e-05,-5.153e-05,-1.0137e-23,1,1.4998e-06,0.0040011,0.0019303,5e-05
5.5877e-05,-5.4928e-05,5.5778e-24,1,1.5999e-06,0.0040011,0.0019304,5e-05
5.9383e-05,-5.8324e-05,2.1281e-23,1,1.6999e-06,0.0040012,0.0019305,5e-05
6.2893e-05,-6.1723e-05,3.6996e-23,1,1.8e-06,0.0040013,0.0019306,5e-05
6.6399e-05,-6.5118e-05,5.2698e-23,1,1.9e-06,0.0040013,0.0019306,5e-05
6.9906e-05,-6.8514e-05,6.84e-23,1,2e-06,0.0040014,0.0019307,5e-05
7.3404e-05,-7.1902e-05,8.4061e-23,1,2.0998e-06,0.0040015,0.0019308,5e-05
7.6911e-05,-7.5297e-05,9.9763e-23,1,2.1998e-06,0.0040016,0.0019308,5e-05
8.042e-05,-7.8696e-05,1.1548e-22,1,2.2999e-06,0.0040016,0.0019309,5e-05
8.3927e-05,-8.2092e-05,1.3118e-22,1,2.3999e-06,0.0040017,0.001931,5e-05
8.7433e-05,-8.5487e-05,1.4688e-22,1,2.4999e-06,0.0040018,0.0019311,5e-05
9.0957e-05,-8.8827e-05,1.3518e-22,1,2.6e-06,0.0040018,0.0019311,5e-05
9.4478e-05,-9.2163e-05,1.2342e-22,1,2.7e-06,0.0040019,0.0019312,5e-05
9.7991e-05,-9.5492e-05,1.1169e-22,1,2.7998e-06,0.004002,0.0019313,5e-05
0.00010151,-9.8828e-05,9.9928e-23,1,2.8998e-06,0.0040021,0.0019313,5e-05
0.00010503,-0.00010217,8.8167e-23,1,2.9998e-06,0.0040021,0.0019314,5e-05
0.00010856,-0.0001055,7.6397e-23,1,3.0999e-06,0.0040022,0.0019315,5e-05
0.00011208,-0.00010884,6.4636e-23,1,3.2e-06,0.0040023,0.0019316,5e-05
0.0001156,-0.00011218,5.2867e-23,1,3.3001e-06,0.0040023,0.0019316,5e-05
0.00011911,-0.00011551,4.1146e-23,1,3.3997e-06,0.0040024,0.0019317,5e-05
0.00012263,-0.00011884,2.9385e-23,1,3.4998e-06,0.0040025,0.0019318,5e-05
0.00012616,-0.00012218,1.7615e-23,1,3.5999e-06,0.0040025,0.0019318,5e-05
0.00012968,-0.00012552,5.855e-24,1,3.6999e-06,0.0040026,0.0019319,5e-05
0.00013321,-0.00012882,-1.8446e-24,1,3.8e-06,0.0040027,0.001932,5e-05
0.00013673,-0.00013209,-5.431e-24,1,3.9e-06,0.0040028,0.001932,5e-05
0.00014026,-0.00013536,-9.018e-24,1,4e-06,0.0040028,0.0019321,5e-05
0.00014378,-0.00013862,-1.2591e-23,1,4.0998e-06,0.0040029,0.0019322,5e-05
0.00014731,-0.00014189,-1.6178e-23,1,4.1998e-06,0.004003,0.0019323,5e-05
0.00015084,-0.00014516,-1.9766e-23,1,4.2999e-06,0.004003,0.0019323,5e-05
0.00015437,-0.00014843,-2.3354e-23,1,4.3999e-06,0.0040031,0.0019324,5e-05
0.0001579,-0.0001517,-2.6942e-23,1,4.4999e-06,0.0040032,0.0019325,5e-05
0.00016143,-0.00015497,-3.0532e-23,1,4.6e-06,0.0040033,0.0019325,5e-05
0.00016495,-0.00015823,-3.4097e-23,1,4.6997e-06,0.0040033,0.0019326,5e-05
0.00016848,-0.0001615,-3.7685e-23,1,4.7998e-06,0.0040034,0.0019327,5e-05
0.00017201,-0.00016477,-4.1274e-23,1,4.8998e-06,0.0040035,0.0019328,5e-05
0.00017553,-0.00016804,-4.4864e-23,1,4.9998e-06,0.0040035,0.0019328,5e-05
0.00017906,-0.00017123,-4.6667e-23,1,5.0999e-06,0.0040036,0.0019329,5e-05
0.00018259,-0.00017443,-4.8467e-23,1,5.2e-06,0.0040037,0.001933,5e-05
0.00018612,-0.00017762,-5.0265e-23,1,5.3001e-06,0.0040037,0.001933,5e-05
0.00018964,-0.0001808,-5.2049e-23,1,5.3997e-06,0.0040038,0.0019331,5e-05
0.00019316,-0.00018399,-5.3848e-23,1,5.4998e-06,0.0040039,0.0019332,5e-05
0.00019669,-0.00018719,-5.5647e-23,1,5.5999e-06,0.004004,0.0019332,5e-05
0.00020022,-0.00019038,-5.7445e-23,1,5.6999e-06,0.004004,0.0019333,5e-05
0.00020375,-0.00019357,-5.9243e-23,1,5.8e-06,0.0040041,0.0019334,5e-05
0.00020728,-0.00019676,-6.104e-23,1,5.9e-06,0.0040042,0.0019335,5e-05
0.0002108,-0.00019995,-6.2836e-23,1,6e-06,0.0040042,0.0019335,5e-05
0.00021432,-0.00020314,-6.463e-23,1,6.0998e-06,0.0040043,0.0019336,5e-05
0.00021785,-0.00020633,-6.6426e-23,1,6.1998e-06,0.0040044,0.0019337,5e-05
0.00022137,-0.00020948,-7.5335e-23,1,6.2999e-06,0.0040045,0.0019337,5e-05
0.00022489,-0.00021258,-9.141e-23,1,6.3999e-06,0.0040045,0.0019338,5e-05
0.00022841,-0.00021569,-1.075e-22,1,6.5e-06,0.0040046,0.0019339,5e-05
0.00023193,-0.0002188,-1.2357e-22,1,6.6e-06,0.0040047,0.001934,5e-05
