"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.36787,1,0,0.004,0.00195,5e-05
0.36791,1,1e-07,0.004,0.0019501,5e-05
0.36795,1,2e-07,0.004,0.0019502,5e-05
0.36799,1,3e-07,0.004,0.0019503,5e-05
0.36804,1,4e-07,0.004,0.0019504,5e-05
0.36808,1,5e-07,0.004,0.0019505,5e-05
0.36812,1,6e-07,0.004,0.0019506,5e-05
0.36817,1,7.0001e-07,0.004,0.0019507,5e-05
0.36821,1,8.0001e-07,0.004,0.0019508,5e-05
0.36825,1,9.0001e-07,0.004,0.0019509,5e-05
0.36829,1,1e-06,0.004,0.001951,5e-05
0.36834,1,1.1e-06,0.004,0.0019511,5e-05
0.36838,1,1.2e-06,0.004,0.0019512,5e-05
0.36843,1,1.3e-06,0.004,0.0019513,5e-05
0.36848,1,1.4e-06,0.004,0.0019514,5e-05
0.36853,1,1.5e-06,0.004,0.0019515,5e-05
0.36858,1,1.6e-06,0.004,0.0019516,5e-05
0.36863,1,1.7e-06,0.004,0.0019517,5e-05
0.36868,1,1.8e-06,0.004,0.0019518,5e-05
0.36873,1,1.9e-06,0.004,0.0019519,5e-05
0.36877,1,2e-06,0.004,0.001952,5e-05
0.36882,1,2.1e-06,0.004,0.0019521,5e-05
0.36887,1,2.2e-06,0.004,0.0019522,5e-05
0.36893,1,2.3e-06,0.004,0.0019523,5e-05
0.36899,1,2.4e-06,0.004,0.0019524,5e-05
0.36904,1,2.5e-06,0.004,0.0019525,5e-05
0.3691,1,2.6e-06,0.004,0.0019526,5e-05
0.36915,1,2.7e-06,0.004,0.0019527,5e-05
0.36921,1,2.8e-06,0.004,0.0019528,5e-05
0.36926,1,2.9e-06,0.004,0.0019529,5e-05
0.36932,1,3e-06,0.004,0.001953,5e-05
0.36937,1,3.1e-06,0.004,0.0019531,5e-05
0.36943,1,3.2e-06,0.004,0.0019532,5e-05
0.36949,1,3.3001e-06,0.004,0.0019533,5e-05
0.36955,1,3.4e-06,0.004,0.0019534,5e-05
0.36962,1,3.5001e-06,0.004,0.0019535,5e-05
0.36968,1,3.6e-06,0.004,0.0019536,5e-05
0.36974,1,3.7001e-06,0.004,0.0019537,5e-05
0.3698,1,3.8e-06,0.004,0.0019538,5e-05
0.36986,1,3.9001e-06,0.004,0.0019539,5e-05
0.36993,1,4e-06,0.004,0.001954,5e-05
0.36999,1,4.1001e-06,0.004,0.0019541,5e-05
0.37005,1,4.2e-06,0.004,0.0019542,5e-05
0.37012,1,4.3001e-06,0.004,0.0019543,5e-05
0.37019,1,4.4e-06,0.004,0.0019544,5e-05
0.37026,1,4.5002e-06,0.004,0.0019545,5e-05
0.37033,1,4.6e-06,0.004,0.0019546,5e-05
0.3704,1,4.7002e-06,0.004,0.0019547,5e-05
0.37047,1,4.8e-06,0.004,0.0019548,5e-05
0.37054,1,4.9002e-06,0.004,0.0019549,5e-05
0.3706,1,5e-06,0.004,0.001955,5e-05
0.37068,1,5.1002e-06,0.004,0.0019551,5e-05
0.37075,1,5.2e-06,0.004,0.0019552,5e-05
0.37083,1,5.3002e-06,0.004,0.0019553,5e-05
0.3709,1,5.4e-06,0.004,0.0019554,5e-05
0.37098,1,5.5002e-06,0.004,0.0019555,5e-05
0.37106,1,5.6e-06,0.004,0.0019556,5e-05
