"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,0,0,0.004,0.0019293,5e-05
0.36633,1,9.977e-08,0.0040001,0.0019294,5e-05
0.36633,1,1.9979e-07,0.0040001,0.0019294,5e-05
0.36633,1,2.9989e-07,0.0040002,0.0019295,5e-05
0.36633,1,3.999e-07,0.0040003,0.0019296,5e-05
0.36633,1,4.9992e-07,0.0040004,0.0019296,5e-05
0.36634,1,6.0002e-07,0.0040004,0.0019297,5e-05
0.36634,1,7.0003e-07,0.0040005,0.0019298,5e-05
0.36634,1,7.998e-07,0.0040006,0.0019299,5e-05
0.36634,1,8.9982e-07,0.0040006,0.0019299,5e-05
0.36634,1,9.9984e-07,0.0040007,0.00193,5e-05
0.36634,1,1.0999e-06,0.0040008,0.0019301,5e-05
0.36634,1,1.2e-06,0.0040008,0.0019301,5e-05
0.36634,1,1.3001e-06,0.0040009,0.0019302,5e-05
0.36634,1,1.3997e-06,0.004001,0.0019303,5e-05
0.36634,1,1.4998e-06,0.0040011,0.0019303,5e-05
0.36634,1,1.5999e-06,0.0040011,0.0019304,5e-05
0.36634,1,1.6999e-06,0.0040012,0.0019305,5e-05
0.36634,1,1.8e-06,0.0040013,0.0019306,5e-05
0.36634,1,1.9e-06,0.0040013,0.0019306,5e-05
0.36634,1,2e-06,0.0040014,0.0019307,5e-05
0.36634,1,2.0998e-06,0.0040015,0.0019308,5e-05
0.36634,1,2.1998e-06,0.0040016,0.0019308,5e-05
0.36634,1,2.2999e-06,0.0040016,0.0019309,5e-05
0.36635,1,2.3999e-06,0.0040017,0.001931,5e-05
0.36635,1,2.4999e-06,0.0040018,0.0019311,5e-05
0.36635,1,2.6e-06,0.0040018,0.0019311,5e-05
0.36635,1,2.7e-06,0.0040019,0.0019312,5e-05
0.36635,1,2.7998e-06,0.004002,0.0019313,5e-05
0.36635,1,2.8998e-06,0.0040021,0.0019313,5e-05
0.36636,1,2.9998e-06,0.0040021,0.0019314,5e-05
0.36636,1,3.0999e-06,0.0040022,0.0019315,5e-05
0.36636,1,3.2e-06,0.0040023,0.0019316,5e-05
0.36636,1,3.3001e-06,0.0040023,0.0019316,5e-05
0.36637,1,3.3997e-06,0.0040024,0.0019317,5e-05
0.36637,1,3.4998e-06,0.0040025,0.0019318,5e-05
0.36637,1,3.5999e-06,0.0040025,0.0019318,5e-05
0.36637,1,3.6999e-06,0.0040026,0.0019319,5e-05
0.36637,1,3.8e-06,0.0040027,0.001932,5e-05
0.36638,1,3.9e-06,0.0040028,0.001932,5e-05
0.36638,1,4e-06,0.0040028,0.0019321,5e-05
0.36639,1,4.0998e-06,0.0040029,0.0019322,5e-05
0.36639,1,4.1998e-06,0.004003,0.0019323,5e-05
0.36639,1,4.2999e-06,0.004003,0.0019323,5e-05
0.3664,1,4.3999e-06,0.0040031,0.0019324,5e-05
0.3664,1,4.4999e-06,0.0040032,0.0019325,5e-05
0.36641,1,4.6e-06,0.0040033,0.0019325,5e-05
0.36641,1,4.6997e-06,0.0040033,0.0019326,5e-05
0.36641,1,4.7998e-06,0.0040034,0.0019327,5e-05
0.36642,1,4.8998e-06,0.0040035,0.0019328,5e-05
0.36642,1,4.9998e-06,0.0040035,0.0019328,5e-05
0.36643,1,5.0999e-06,0.0040036,0.0019329,5e-05
0.36643,1,5.2e-06,0.0040037,0.001933,5e-05
0.36644,1,5.3001e-06,0.0040037,0.001933,5e-05
0.36645,1,5.3997e-06,0.0040038,0.0019331,5e-05
0.36645,1,5.4998e-06,0.0040039,0.0019332,5e-05
0.36646,1,5.5999e-06,0.004004,0.0019332,5e-05
0.36646,1,5.6999e-06,0.004004,0.0019333,5e-05
0.36647,1,5.8e-06,0.0040041,0.0019334,5e-05
0.36648,1,5.9e-06,0.0040042,0.0019335,5e-05
0.36648,1,6e-06,0.0040042,0.0019335,5e-05
0.36649,1,6.0998e-06,0.0040043,0.0019336,5e-05
0.3665,1,6.1998e-06,0.0040044,0.0019337,5e-05
0.3665,1,6.2999e-06,0.0040045,0.0019337,5e-05
0.36651,1,6.3999e-06,0.0040045,0.0019338,5e-05
0.36652,1,6.5e-06,0.0040046,0.0019339,5e-05
0.36653,1,6.6e-06,0.0040047,0.001934,5e-05
0.36654,1,6.6997e-06,0.0040047,0.001934,5e-05
0.36655,1,6.7998e-06,0.0040048,0.0019341,5e-05
0.36656,1,6.8998e-06,0.0040049,0.0019342,5e-05
0.36657,1,6.9999e-06,0.0040049,0.0019342,5e-05
0.36658,1,7.0999e-06,0.004005,0.0019343,5e-05
0.36659,1,7.2e-06,0.0040051,0.0019344,5e-05
0.36659,1,7.3001e-06,0.0040052,0.0019345,5e-05
0.3666,1,7.3997e-06,0.0040052,0.0019345,5e-05
0.36661,1,7.4998e-06,0.0040053,0.0019346,5e-05
