"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,0,0,0.004,0.0019293,5e-05
3.246e-05,-3.2061e-05,-3.9182e-23,1,9.977e-08,0.0040001,0.0019294,5e-05
6.5081e-05,-6.4282e-05,-7.8564e-23,1,1.9979e-07,0.0040001,0.0019294,5e-05
9.7729e-05,-9.6529e-05,-1.1798e-22,1,2.9989e-07,0.0040002,0.0019295,5e-05
0.00013035,-0.00012875,-1.5734e-22,1,3.999e-07,0.0040003,0.0019296,5e-05
0.00016297,-0.00016097,-1.9671e-22,1,4.9992e-07,0.0040004,0.0019296,5e-05
0.00019562,-0.00019322,-2.3611e-22,1,6.0002e-07,0.0040004,0.0019297,5e-05
0.00022824,-0.00022544,-2.7547e-22,1,7.0003e-07,0.0040005,0.0019298,5e-05
0.00026078,-0.00025758,-3.148e-22,1,7.998e-07,0.0040006,0.0019299,5e-05
0.0002934,-0.0002898,-3.5417e-22,1,8.9982e-07,0.0040006,0.0019299,5e-05
0.00032602,-0.00032202,-3.9353e-22,1,9.9984e-07,0.0040007,0.00193,5e-05
0.00035867,-0.00035427,-4.3293e-22,1,1.0999e-06,0.0040008,0.0019301,5e-05
0.00039129,-0.00038649,-4.7228e-22,1,1.2e-06,0.0040008,0.0019301,5e-05
0.0004241,-0.00041859,-4.1405e-22,1,1.3001e-06,0.0040009,0.0019302,5e-05
0.00045692,-0.00045043,-2.5795e-22,1,1.3997e-06,0.004001,0.0019303,5e-05
0.00048986,-0.00048237,-1.0122e-22,1,1.4998e-06,0.0040011,0.0019303,5e-05
0.00052282,-0.00051433,5.5608e-23,1,1.5999e-06,0.0040011,0.0019304,5e-05
0.00055575,-0.00054627,2.1232e-22,1,1.6999e-06,0.0040012,0.0019305,5e-05
0.00058871,-0.00057824,3.6915e-22,1,1.8e-06,0.0040013,0.0019306,5e-05
0.00062165,-0.00061018,5.2586e-22,1,1.9e-06,0.0040013,0.0019306,5e-05
0.00065458,-0.00064212,6.8256e-22,1,2e-06,0.0040014,0.0019307,5e-05
0.00068743,-0.00067398,8.3885e-22,1,2.0998e-06,0.0040015,0.0019308,5e-05
0.00072037,-0.00070592,9.9556e-22,1,2.1998e-06,0.0040016,0.0019308,5e-05
0.00075333,-0.00073789,1.1524e-21,1,2.2999e-06,0.0040016,0.0019309,5e-05
0.00078626,-0.00076983,1.3091e-21,1,2.3999e-06,0.0040017,0.001931,5e-05
0.00081919,-0.00080177,1.4658e-21,1,2.4999e-06,0.0040018,0.0019311,5e-05
0.00085245,-0.00083335,1.349e-21,1,2.6e-06,0.0040018,0.0019311,5e-05
0.00088568,-0.00086491,1.2316e-21,1,2.7e-06,0.0040019,0.0019312,5e-05
0.00091883,-0.00089639,1.1146e-21,1,2.7998e-06,0.004002,0.0019313,5e-05
0.00095205,-0.00092795,9.9724e-22,1,2.8998e-06,0.0040021,0.0019313,5e-05
0.00098528,-0.00095951,8.7989e-22,1,2.9998e-06,0.0040021,0.0019314,5e-05
0.0010185,-0.0009911,7.6244e-22,1,3.0999e-06,0.0040022,0.0019315,5e-05
0.0010518,-0.0010227,6.4508e-22,1,3.2e-06,0.0040023,0.0019316,5e-05
0.001085,-0.0010542,5.2763e-22,1,3.3001e-06,0.0040023,0.0019316,5e-05
0.0011181,-0.0010857,4.1068e-22,1,3.3997e-06,0.0040024,0.0019317,5e-05
0.0011514,-0.0011173,2.9332e-22,1,3.4998e-06,0.0040025,0.0019318,5e-05
0.0011846,-0.0011488,1.7587e-22,1,3.5999e-06,0.0040025,0.0019318,5e-05
0.0012179,-0.0011804,5.8519e-23,1,3.6999e-06,0.0040026,0.0019319,5e-05
0.0012512,-0.0012117,-1.8307e-23,1,3.8e-06,0.0040027,0.001932,5e-05
0.0012847,-0.0012428,-5.4084e-23,1,3.9e-06,0.0040028,0.001932,5e-05
0.0013181,-0.0012739,-8.9868e-23,1,4e-06,0.0040028,0.0019321,5e-05
0.0013515,-0.0013049,-1.2551e-22,1,4.0998e-06,0.0040029,0.0019322,5e-05
0.001385,-0.001336,-1.6129e-22,1,4.1998e-06,0.004003,0.0019323,5e-05
0.0014184,-0.0013671,-1.9709e-22,1,4.2999e-06,0.004003,0.0019323,5e-05
0.0014519,-0.0013982,-2.3288e-22,1,4.3999e-06,0.0040031,0.0019324,5e-05
0.0014853,-0.0014293,-2.6868e-22,1,4.4999e-06,0.0040032,0.0019325,5e-05
0.0015188,-0.0014604,-3.0448e-22,1,4.6e-06,0.0040033,0.0019325,5e-05
0.0015522,-0.0014914,-3.4005e-22,1,4.6997e-06,0.0040033,0.0019326,5e-05
0.0015856,-0.0015225,-3.7584e-22,1,4.7998e-06,0.0040034,0.0019327,5e-05
0.0016191,-0.0015536,-4.1165e-22,1,4.8998e-06,0.0040035,0.0019328,5e-05
0.0016526,-0.0015847,-4.4746e-22,1,4.9998e-06,0.0040035,0.0019328,5e-05
0.0016862,-0.0016152,-4.6542e-22,1,5.0999e-06,0.0040036,0.0019329,5e-05
0.0017198,-0.0016457,-4.8335e-22,1,5.2e-06,0.0040037,0.001933,5e-05
0.0017534,-0.0016762,-5.0126e-22,1,5.3001e-06,0.0040037,0.001933,5e-05
0.0017869,-0.0017066,-5.1903e-22,1,5.3997e-06,0.0040038,0.0019331,5e-05
0.0018205,-0.0017371,-5.3696e-22,1,5.4998e-06,0.0040039,0.0019332,5e-05
0.0018541,-0.0017676,-5.5487e-22,1,5.5999e-06,0.004004,0.0019332,5e-05
0.0018877,-0.0017981,-5.7279e-22,1,5.6999e-06,0.004004,0.0019333,5e-05
0.0019213,-0.0018287,-5.907e-22,1,5.8e-06,0.0040041,0.0019334,5e-05
0.0019549,-0.0018592,-6.086e-22,1,5.9e-06,0.0040042,0.0019335,5e-05
0.0019885,-0.0018897,-6.2649e-22,1,6e-06,0.0040042,0.0019335,5e-05
0.002022,-0.0019201,-6.4435e-22,1,6.0998e-06,0.0040043,0.0019336,5e-05
0.0020556,-0.0019506,-6.6225e-22,1,6.1998e-06,0.0040044,0.0019337,5e-05
0.0020893,-0.0019808,-7.5108e-22,1,6.2999e-06,0.0040045,0.0019337,5e-05
0.0021229,-0.0020106,-9.1139e-22,1,6.3999e-06,0.0040045,0.0019338,5e-05
0.0021566,-0.0020405,-1.0718e-21,1,6.5e-06,0.0040046,0.0019339,5e-05
0.0021903,-0.0020703,-1.2321e-21,1,6.6e-06,0.0040047,0.001934,5e-05
0.0022238,-0.0021,-1.392e-21,1,6.6997e-06,0.0040047,0.001934,5e-05
0.0022575,-0.0021299,-1.5525e-21,1,6.7998e-06,0.0040048,0.0019341,5e-05
0.0022912,-0.0021597,-1.7128e-21,1,6.8998e-06,0.0040049,0.0019342,5e-05
0.0023249,-0.0021895,-1.8732e-21,1,6.9999e-06,0.0040049,0.0019342,5e-05
0.0023585,-0.0022193,-2.0335e-21,1,7.0999e-06,0.004005,0.0019343,5e-05
0.0023922,-0.0022492,-2.1938e-21,1,7.2e-06,0.0040051,0.0019344,5e-05
0.0024259,-0.002279,-2.3542e-21,1,7.3001e-06,0.0040052,0.0019345,5e-05
0.0024594,-0.0023087,-2.5143e-21,1,7.3997e-06,0.0040052,0.0019345,5e-05
0.0024931,-0.0023386,-2.6747e-21,1,7.4998e-06,0.0040053,0.0019346,5e-05
0.0025268,-0.0023676,-2.5396e-21,1,7.5999e-06,0.0040054,0.0019347,5e-05
0.0025604,-0.0023967,-2.4041e-21,1,7.6999e-06,0.0040054,0.0019347,5e-05
0.002594,-0.0024257,-2.2685e-21,1,7.8e-06,0.0040055,0.0019348,5e-05
0.0026277,-0.0024548,-2.1329e-21,1,7.9e-06,0.0040056,0.0019349,5e-05
0.0026612,-0.0024837,-1.998e-21,1,7.9998e-06,0.0040057,0.0019349,5e-05
0.0026949,-0.0025128,-1.8625e-21,1,8.0998e-06,0.0040057,0.001935,5e-05
0.0027285,-0.0025418,-1.7269e-21,1,8.1998e-06,0.0040058,0.0019351,5e-05
0.0027622,-0.0025709,-1.5914e-21,1,8.2999e-06,0.0040059,0.0019352,5e-05
0.0027958,-0.0025999,-1.4558e-21,1,8.3999e-06,0.0040059,0.0019352,5e-05
0.0028295,-0.002629,-1.3202e-21,1,8.5e-06,0.004006,0.0019353,5e-05
0.0028631,-0.002658,-1.1847e-21,1,8.6e-06,0.0040061,0.0019354,5e-05
0.0028966,-0.002687,-1.0498e-21,1,8.6997e-06,0.0040062,0.0019354,5e-05
0.0029302,-0.0027156,-8.9298e-22,1,8.7998e-06,0.0040062,0.0019355,5e-05
0.0029637,-0.0027438,-7.1483e-22,1,8.8998e-06,0.0040063,0.0019356,5e-05
0.0029973,-0.002772,-5.3656e-22,1,8.9999e-06,0.0040064,0.0019357,5e-05
0.0030308,-0.0028002,-3.5842e-22,1,9.0999e-06,0.0040064,0.0019357,5e-05
0.0030643,-0.0028284,-1.8028e-22,1,9.2e-06,0.0040065,0.0019358,5e-05
0.0030978,-0.0028566,-2.006e-24,1,9.3001e-06,0.0040066,0.0019359,5e-05
0.0031312,-0.0028846,1.755e-22,1,9.3997e-06,0.0040066,0.0019359,5e-05
0.0031648,-0.0029129,3.5378e-22,1,9.4998e-06,0.0040067,0.001936,5e-05
0.0031983,-0.002941,5.3192e-22,1,9.5999e-06,0.0040068,0.0019361,5e-05
0.0032318,-0.0029692,7.1006e-22,1,9.6999e-06,0.0040069,0.0019361,5e-05
0.0032653,-0.0029974,8.8834e-22,1,9.8e-06,0.0040069,0.0019362,5e-05
0.0032988,-0.0030256,1.0665e-21,1,9.9e-06,0.004007,0.0019363,5e-05
