"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00011448,0.00011448,-1.3525e-24,1,0,0.0060353,0.0039646,5e-05
0.00014141,0.00014141,-1.4038e-24,1,9.944e-08,0.0060353,0.0039647,5e-05
0.00016852,0.00016852,-1.4554e-24,1,1.9954e-07,0.0060352,0.0039648,5e-05
0.00019563,0.00019563,-1.507e-24,1,2.9964e-07,0.0060351,0.0039649,5e-05
0.00022274,0.00022274,-1.5585e-24,1,3.9974e-07,0.0060351,0.0039649,5e-05
0.00024985,0.00024985,-1.6101e-24,1,4.9984e-07,0.006035,0.003965,5e-05
0.00027696,0.00027696,-1.6617e-24,1,5.9993e-07,0.0060349,0.0039651,5e-05
0.00030407,0.00030407,-1.7133e-24,1,7.0003e-07,0.0060349,0.0039651,5e-05
0.000331,0.000331,-1.7645e-24,1,7.9947e-07,0.0060348,0.0039652,5e-05
0.00035811,0.00035811,-1.8161e-24,1,8.9957e-07,0.0060347,0.0039653,5e-05
0.00038522,0.00038522,-1.8677e-24,1,9.9967e-07,0.0060346,0.0039653,5e-05
0.00041233,0.00041233,-1.9193e-24,1,1.0998e-06,0.0060346,0.0039654,5e-05
0.00043944,0.00043944,-1.9708e-24,1,1.1999e-06,0.0060345,0.0039655,5e-05
0.00047073,0.00047073,-1.889e-24,1,1.3e-06,0.0060344,0.0039656,5e-05
0.00050584,0.00050584,-1.6787e-24,1,1.3994e-06,0.0060344,0.0039656,5e-05
0.00054118,0.00054118,-1.4669e-24,1,1.4995e-06,0.0060343,0.0039657,5e-05
0.00057653,0.00057653,-1.2551e-24,1,1.5996e-06,0.0060342,0.0039658,5e-05
0.00061188,0.00061188,-1.0434e-24,1,1.6997e-06,0.0060341,0.0039658,5e-05
0.00064722,0.00064722,-8.3162e-25,1,1.7998e-06,0.0060341,0.0039659,5e-05
0.00068257,0.00068257,-6.1987e-25,1,1.8999e-06,0.006034,0.003966,5e-05
0.00071791,0.00071791,-4.0811e-25,1,2e-06,0.0060339,0.0039661,5e-05
0.00075303,0.00075303,-1.9774e-25,1,2.0994e-06,0.0060339,0.0039661,5e-05
0.00078837,0.00078837,1.4016e-26,1,2.1995e-06,0.0060338,0.0039662,5e-05
0.00082372,0.00082372,2.2577e-25,1,2.2996e-06,0.0060337,0.0039663,5e-05
0.00085906,0.00085906,4.3753e-25,1,2.3997e-06,0.0060337,0.0039663,5e-05
0.0008944,0.0008944,6.4824e-25,1,2.4998e-06,0.0060336,0.0039664,5e-05
0.00092883,0.00092883,6.9987e-25,1,2.5999e-06,0.0060335,0.0039665,5e-05
0.00096303,0.00096303,7.5116e-25,1,2.6994e-06,0.0060334,0.0039665,5e-05
