"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.052906,-0.029395,-1.068e-21,1,0,0.004,0.00195,5e-05
0.053381,-0.029537,-1.2419e-21,1,1e-07,0.004,0.0019501,5e-05
0.053859,-0.029675,-1.2213e-21,1,2e-07,0.004,0.0019502,5e-05
0.054339,-0.029808,-9.3295e-22,1,3e-07,0.004,0.0019503,5e-05
0.054821,-0.02994,-6.2047e-22,1,4e-07,0.004,0.0019504,5e-05
0.055305,-0.030073,-2.8389e-22,1,5e-07,0.004,0.0019505,5e-05
0.05579,-0.030205,7.6748e-23,1,6e-07,0.004,0.0019506,5e-05
0.056276,-0.030337,4.614e-22,1,7.0001e-07,0.004,0.0019507,5e-05
0.056763,-0.030469,8.7004e-22,1,8.0001e-07,0.004,0.0019508,5e-05
0.057252,-0.030601,1.3026e-21,1,9.0001e-07,0.004,0.0019509,5e-05
0.057742,-0.030733,1.7591e-21,1,1e-06,0.004,0.001951,5e-05
0.058234,-0.030864,2.2394e-21,1,1.1e-06,0.004,0.0019511,5e-05
0.058727,-0.030993,2.4872e-21,1,1.2e-06,0.004,0.0019512,5e-05
0.059223,-0.031115,2.0627e-21,1,1.3e-06,0.004,0.0019513,5e-05
0.05972,-0.031237,1.66e-21,1,1.4e-06,0.004,0.0019514,5e-05
0.060218,-0.031359,1.2789e-21,1,1.5e-06,0.004,0.0019515,5e-05
0.060722,-0.031482,9.1927e-22,1,1.6e-06,0.004,0.0019516,5e-05
0.061227,-0.031604,5.8123e-22,1,1.7e-06,0.004,0.0019517,5e-05
0.061733,-0.031726,2.648e-22,1,1.8e-06,0.004,0.0019518,5e-05
0.062241,-0.031847,-3.0081e-23,1,1.9e-06,0.004,0.0019519,5e-05
0.06275,-0.031969,-3.0344e-22,1,2e-06,0.004,0.001952,5e-05
0.063261,-0.03209,-5.5533e-22,1,2.1e-06,0.004,0.0019521,5e-05
0.063772,-0.032209,-6.8003e-22,1,2.2e-06,0.004,0.0019522,5e-05
0.064285,-0.03232,-5.0426e-22,1,2.3e-06,0.004,0.0019523,5e-05
0.064798,-0.032432,-3.0648e-22,1,2.4e-06,0.004,0.0019524,5e-05
0.065313,-0.032543,-8.6749e-23,1,2.5e-06,0.004,0.0019525,5e-05
0.06583,-0.032654,1.549e-22,1,2.6e-06,0.004,0.0019526,5e-05
0.066347,-0.032765,4.1842e-22,1,2.7e-06,0.004,0.0019527,5e-05
0.066866,-0.032875,7.0377e-22,1,2.8e-06,0.004,0.0019528,5e-05
0.067386,-0.032985,1.0109e-21,1,2.9e-06,0.004,0.0019529,5e-05
0.067907,-0.033095,1.3398e-21,1,3e-06,0.004,0.001953,5e-05
0.06843,-0.033204,1.6904e-21,1,3.1e-06,0.004,0.0019531,5e-05
0.068953,-0.033309,1.7907e-21,1,3.2e-06,0.004,0.0019532,5e-05
0.069476,-0.03341,1.602e-21,1,3.3001e-06,0.004,0.0019533,5e-05
0.070003,-0.03351,1.4345e-21,1,3.4e-06,0.004,0.0019534,5e-05
0.070534,-0.033609,1.2837e-21,1,3.5001e-06,0.004,0.0019535,5e-05
0.071064,-0.033709,1.1537e-21,1,3.6e-06,0.004,0.0019536,5e-05
0.071597,-0.033808,1.0437e-21,1,3.7001e-06,0.004,0.0019537,5e-05
0.07213,-0.033907,9.5421e-22,1,3.8e-06,0.004,0.0019538,5e-05
0.072665,-0.034005,8.8478e-22,1,3.9001e-06,0.004,0.0019539,5e-05
0.073201,-0.034104,8.3568e-22,1,4e-06,0.004,0.001954,5e-05
0.073738,-0.034201,8.0664e-22,1,4.1001e-06,0.004,0.0019541,5e-05
0.074273,-0.034292,9.6378e-22,1,4.2e-06,0.004,0.0019542,5e-05
0.074809,-0.03438,1.1458e-21,1,4.3001e-06,0.004,0.0019543,5e-05
0.075346,-0.034468,1.307e-21,1,4.4e-06,0.004,0.0019544,5e-05
0.075884,-0.034556,1.4479e-21,1,4.5002e-06,0.004,0.0019545,5e-05
0.076423,-0.034643,1.5681e-21,1,4.6e-06,0.004,0.0019546,5e-05
0.076964,-0.03473,1.6681e-21,1,4.7002e-06,0.004,0.0019547,5e-05
0.077505,-0.034817,1.7475e-21,1,4.8e-06,0.004,0.0019548,5e-05
0.078048,-0.034903,1.8068e-21,1,4.9002e-06,0.004,0.0019549,5e-05
0.078591,-0.034989,1.8457e-21,1,5e-06,0.004,0.001955,5e-05
0.079135,-0.035072,1.9712e-21,1,5.1002e-06,0.004,0.0019551,5e-05
0.079676,-0.035148,2.363e-21,1,5.2e-06,0.004,0.0019552,5e-05
0.08022,-0.035225,2.6997e-21,1,5.3002e-06,0.004,0.0019553,5e-05
0.080767,-0.0353,2.9117e-21,1,5.4e-06,0.004,0.0019554,5e-05
0.081317,-0.035376,3.1254e-21,1,5.5002e-06,0.004,0.0019555,5e-05
0.081866,-0.035451,3.3398e-21,1,5.6e-06,0.004,0.0019556,5e-05
0.082418,-0.035526,3.556e-21,1,5.7002e-06,0.004,0.0019557,5e-05
0.082969,-0.0356,3.7728e-21,1,5.8e-06,0.004,0.0019558,5e-05
0.083523,-0.035674,3.9914e-21,1,5.9002e-06,0.004,0.0019559,5e-05
0.084076,-0.035748,4.2107e-21,1,6e-06,0.004,0.001956,5e-05
0.084626,-0.035813,3.8288e-21,1,6.1002e-06,0.004,0.0019561,5e-05
0.085175,-0.035877,3.4491e-21,1,6.2e-06,0.004,0.0019562,5e-05
0.085727,-0.035941,3.1079e-21,1,6.3002e-06,0.004,0.0019563,5e-05
0.086278,-0.036005,2.8068e-21,1,6.4e-06,0.004,0.0019564,5e-05
0.086831,-0.036068,2.5442e-21,1,6.5002e-06,0.004,0.0019565,5e-05
0.087384,-0.036131,2.3213e-21,1,6.6001e-06,0.004,0.0019566,5e-05
0.08794,-0.036194,2.1369e-21,1,6.7002e-06,0.004,0.0019567,5e-05
0.088495,-0.036256,1.9918e-21,1,6.8001e-06,0.004,0.0019568,5e-05
0.089052,-0.036318,1.8852e-21,1,6.9002e-06,0.004,0.0019569,5e-05
