"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1448e-05,1.1448e-05,-1.3526e-25,1,0,0.0060353,0.0039646,5e-05
1.4141e-05,1.4141e-05,-1.4039e-25,1,9.944e-08,0.0060353,0.0039647,5e-05
1.6852e-05,1.6852e-05,-1.4555e-25,1,1.9954e-07,0.0060352,0.0039648,5e-05
1.9563e-05,1.9563e-05,-1.5071e-25,1,2.9964e-07,0.0060351,0.0039649,5e-05
2.2274e-05,2.2274e-05,-1.5587e-25,1,3.9974e-07,0.0060351,0.0039649,5e-05
2.4985e-05,2.4985e-05,-1.6103e-25,1,4.9984e-07,0.006035,0.003965,5e-05
2.7696e-05,2.7696e-05,-1.6619e-25,1,5.9993e-07,0.0060349,0.0039651,5e-05
3.0407e-05,3.0407e-05,-1.7136e-25,1,7.0003e-07,0.0060349,0.0039651,5e-05
3.31e-05,3.31e-05,-1.7648e-25,1,7.9947e-07,0.0060348,0.0039652,5e-05
3.5811e-05,3.5811e-05,-1.8164e-25,1,8.9957e-07,0.0060347,0.0039653,5e-05
3.8522e-05,3.8522e-05,-1.868e-25,1,9.9967e-07,0.0060346,0.0039653,5e-05
4.1233e-05,4.1233e-05,-1.9197e-25,1,1.0998e-06,0.0060346,0.0039654,5e-05
4.3944e-05,4.3944e-05,-1.9713e-25,1,1.1999e-06,0.0060345,0.0039655,5e-05
4.7073e-05,4.7073e-05,-1.8894e-25,1,1.3e-06,0.0060344,0.0039656,5e-05
5.0584e-05,5.0584e-05,-1.679e-25,1,1.3994e-06,0.0060344,0.0039656,5e-05
5.4119e-05,5.4119e-05,-1.4672e-25,1,1.4995e-06,0.0060343,0.0039657,5e-05
5.7653e-05,5.7653e-05,-1.2553e-25,1,1.5996e-06,0.0060342,0.0039658,5e-05
6.1188e-05,6.1188e-05,-1.0435e-25,1,1.6997e-06,0.0060341,0.0039658,5e-05
6.4722e-05,6.4722e-05,-8.317e-26,1,1.7998e-06,0.0060341,0.0039659,5e-05
6.8257e-05,6.8257e-05,-6.1987e-26,1,1.8999e-06,0.006034,0.003966,5e-05
7.1791e-05,7.1791e-05,-4.0805e-26,1,2e-06,0.0060339,0.0039661,5e-05
7.5303e-05,7.5303e-05,-1.9762e-26,1,2.0994e-06,0.0060339,0.0039661,5e-05
7.8837e-05,7.8837e-05,1.4206e-27,1,2.1995e-06,0.0060338,0.0039662,5e-05
8.2372e-05,8.2372e-05,2.2603e-26,1,2.2996e-06,0.0060337,0.0039663,5e-05
8.5906e-05,8.5906e-05,4.3785e-26,1,2.3997e-06,0.0060337,0.0039663,5e-05
8.944e-05,8.944e-05,6.4862e-26,1,2.4998e-06,0.0060336,0.0039664,5e-05
9.2883e-05,9.2883e-05,7.0028e-26,1,2.5999e-06,0.0060335,0.0039665,5e-05
9.6303e-05,9.6303e-05,7.516e-26,1,2.6994e-06,0.0060334,0.0039665,5e-05
9.9746e-05,9.9746e-05,8.0326e-26,1,2.7995e-06,0.0060334,0.0039666,5e-05
0.00010319,0.00010319,8.5492e-26,1,2.8996e-06,0.0060333,0.0039667,5e-05
0.00010663,0.00010663,9.0658e-26,1,2.9997e-06,0.0060332,0.0039668,5e-05
0.00011007,0.00011007,9.5823e-26,1,3.0998e-06,0.0060332,0.0039668,5e-05
