"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,0,0,0.011059,0.0020053,5e-05
0.50172,1,9.996e-08,0.011058,0.0020053,5e-05
0.50175,1,1.9992e-07,0.011058,0.0020054,5e-05
0.50178,1,2.9988e-07,0.011058,0.0020054,5e-05
0.50182,1,3.9994e-07,0.011058,0.0020054,5e-05
0.50185,1,4.999e-07,0.011058,0.0020055,5e-05
0.50188,1,5.9986e-07,0.011058,0.0020055,5e-05
0.50191,1,6.9982e-07,0.011058,0.0020056,5e-05
0.50195,1,7.9978e-07,0.011058,0.0020056,5e-05
0.50198,1,9.0058e-07,0.011058,0.0020057,5e-05
0.50201,1,1.0005e-06,0.011058,0.0020057,5e-05
0.50205,1,1.1005e-06,0.011058,0.0020058,5e-05
0.50208,1,1.2005e-06,0.011057,0.0020058,5e-05
0.50216,1,1.3005e-06,0.011057,0.0020059,5e-05
0.50228,1,1.4005e-06,0.011057,0.0020059,5e-05
0.50241,1,1.5004e-06,0.011057,0.0020059,5e-05
0.50254,1,1.6004e-06,0.011057,0.002006,5e-05
0.50266,1,1.7004e-06,0.011057,0.002006,5e-05
0.50279,1,1.8003e-06,0.011057,0.0020061,5e-05
0.50291,1,1.9003e-06,0.011057,0.0020061,5e-05
0.50304,1,2.0002e-06,0.011057,0.0020062,5e-05
0.50317,1,2.1002e-06,0.011057,0.0020062,5e-05
0.50329,1,2.2003e-06,0.011057,0.0020063,5e-05
0.50342,1,2.3002e-06,0.011056,0.0020063,5e-05
0.50355,1,2.4002e-06,0.011056,0.0020063,5e-05
0.50367,1,2.5001e-06,0.011056,0.0020064,5e-05
0.50391,1,2.6001e-06,0.011056,0.0020064,5e-05
0.50415,1,2.7001e-06,0.011056,0.0020065,5e-05
0.50439,1,2.8e-06,0.011056,0.0020065,5e-05
0.50463,1,2.9e-06,0.011056,0.0020066,5e-05
0.50487,1,2.9999e-06,0.011056,0.0020066,5e-05
0.50511,1,3.1008e-06,0.011056,0.0020067,5e-05
0.50535,1,3.2008e-06,0.011056,0.0020067,5e-05
0.50559,1,3.3008e-06,0.011056,0.0020067,5e-05
0.50583,1,3.4007e-06,0.011055,0.0020068,5e-05
0.50607,1,3.5007e-06,0.011055,0.0020068,5e-05
0.50631,1,3.6006e-06,0.011055,0.0020069,5e-05
0.50655,1,3.7006e-06,0.011055,0.0020069,5e-05
0.50684,1,3.8006e-06,0.011055,0.002007,5e-05
0.50718,1,3.9006e-06,0.011055,0.002007,5e-05
0.50752,1,4.0006e-06,0.011055,0.0020071,5e-05
0.50786,1,4.1005e-06,0.011055,0.0020071,5e-05
0.50819,1,4.2005e-06,0.011055,0.0020071,5e-05
0.50853,1,4.3005e-06,0.011055,0.0020072,5e-05
0.50887,1,4.4004e-06,0.011055,0.0020072,5e-05
0.50921,1,4.5004e-06,0.011055,0.0020073,5e-05
0.50954,1,4.6003e-06,0.011054,0.0020073,5e-05
0.50988,1,4.7003e-06,0.011054,0.0020074,5e-05
0.51022,1,4.8004e-06,0.011054,0.0020074,5e-05
0.51056,1,4.9003e-06,0.011054,0.0020075,5e-05
0.5109,1,5.0003e-06,0.011054,0.0020075,5e-05
0.51132,1,5.1003e-06,0.011054,0.0020076,5e-05
0.51174,1,5.2002e-06,0.011054,0.0020076,5e-05
0.51216,1,5.301e-06,0.011054,0.0020076,5e-05
0.51258,1,5.401e-06,0.011054,0.0020077,5e-05
0.513,1,5.5009e-06,0.011054,0.0020077,5e-05
0.51343,1,5.6009e-06,0.011054,0.0020078,5e-05
0.51385,1,5.701e-06,0.011053,0.0020078,5e-05
0.51427,1,5.8009e-06,0.011053,0.0020079,5e-05
0.51469,1,5.9009e-06,0.011053,0.0020079,5e-05
0.51511,1,6.0008e-06,0.011053,0.002008,5e-05
0.51553,1,6.1008e-06,0.011053,0.002008,5e-05
0.51596,1,6.2008e-06,0.011053,0.002008,5e-05
