"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.15245,1,0,0.003,0.00195,5e-05
0.15257,1,5.0059e-08,0.003,0.0019501,5e-05
0.15268,1,1e-07,0.003,0.0019501,5e-05
0.1528,1,1.5006e-07,0.003,0.0019502,5e-05
0.15292,1,2e-07,0.003,0.0019502,5e-05
0.15304,1,2.5006e-07,0.003,0.0019503,5e-05
0.15316,1,3e-07,0.003,0.0019503,5e-05
0.15327,1,3.5006e-07,0.003,0.0019504,5e-05
0.15339,1,4e-07,0.003,0.0019504,5e-05
0.15351,1,4.5006e-07,0.003,0.0019505,5e-05
0.15363,1,5e-07,0.003,0.0019505,5e-05
0.15375,1,5.5006e-07,0.003,0.0019506,5e-05
0.15387,1,6e-07,0.003,0.0019506,5e-05
0.15399,1,6.5006e-07,0.003,0.0019507,5e-05
0.15411,1,7.0001e-07,0.003,0.0019507,5e-05
0.15423,1,7.5006e-07,0.003,0.0019508,5e-05
0.15434,1,8.0001e-07,0.003,0.0019508,5e-05
0.15446,1,8.5006e-07,0.003,0.0019509,5e-05
0.15458,1,9.0001e-07,0.003,0.0019509,5e-05
0.1547,1,9.5007e-07,0.003,0.001951,5e-05
0.15482,1,1e-06,0.003,0.001951,5e-05
0.15494,1,1.0501e-06,0.003,0.0019511,5e-05
0.15506,1,1.1e-06,0.003,0.0019511,5e-05
0.15518,1,1.1501e-06,0.003,0.0019512,5e-05
0.1553,1,1.2e-06,0.003,0.0019512,5e-05
0.15543,1,1.2501e-06,0.003,0.0019513,5e-05
0.15555,1,1.3e-06,0.003,0.0019513,5e-05
0.15567,1,1.3501e-06,0.003,0.0019514,5e-05
0.15579,1,1.4e-06,0.003,0.0019514,5e-05
0.15591,1,1.4501e-06,0.003,0.0019515,5e-05
0.15603,1,1.5e-06,0.003,0.0019515,5e-05
0.15615,1,1.5501e-06,0.003,0.0019516,5e-05
0.15627,1,1.6e-06,0.003,0.0019516,5e-05
0.15639,1,1.6501e-06,0.003,0.0019517,5e-05
0.15652,1,1.7e-06,0.003,0.0019517,5e-05
0.15665,1,1.7501e-06,0.003,0.0019518,5e-05
0.15678,1,1.8e-06,0.003,0.0019518,5e-05
0.15691,1,1.8501e-06,0.003,0.0019519,5e-05
0.15704,1,1.9e-06,0.003,0.0019519,5e-05
0.15717,1,1.9501e-06,0.003,0.001952,5e-05
0.1573,1,2e-06,0.003,0.001952,5e-05
0.15744,1,2.0501e-06,0.003,0.0019521,5e-05
0.15757,1,2.1e-06,0.003,0.0019521,5e-05
0.1577,1,2.1501e-06,0.003,0.0019522,5e-05
0.15783,1,2.2e-06,0.003,0.0019522,5e-05
0.15796,1,2.2501e-06,0.003,0.0019523,5e-05
0.1581,1,2.3e-06,0.003,0.0019523,5e-05
0.15823,1,2.3501e-06,0.003,0.0019524,5e-05
0.15836,1,2.4e-06,0.003,0.0019524,5e-05
0.15849,1,2.4501e-06,0.003,0.0019525,5e-05
0.15863,1,2.5e-06,0.003,0.0019525,5e-05
0.15877,1,2.5501e-06,0.003,0.0019526,5e-05
0.1589,1,2.6e-06,0.003,0.0019526,5e-05
0.15904,1,2.6501e-06,0.003,0.0019527,5e-05
0.15918,1,2.7e-06,0.003,0.0019527,5e-05
0.15932,1,2.7501e-06,0.003,0.0019528,5e-05
0.15946,1,2.8e-06,0.003,0.0019528,5e-05
0.15959,1,2.8501e-06,0.003,0.0019529,5e-05
0.15973,1,2.9e-06,0.003,0.0019529,5e-05
0.15987,1,2.9501e-06,0.003,0.001953,5e-05
0.16001,1,3e-06,0.003,0.001953,5e-05
0.16015,1,3.0501e-06,0.003,0.0019531,5e-05
0.16029,1,3.1e-06,0.003,0.0019531,5e-05
0.16043,1,3.15e-06,0.003,0.0019531,5e-05
0.16057,1,3.2e-06,0.003,0.0019532,5e-05
0.16071,1,3.2501e-06,0.003,0.0019533,5e-05
