"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9047e-12,-1.9749e-05,0,1,0,0.00195,0,5e-05
2.5902e-12,-2.441e-05,0,1,1e-07,0.0019501,0,5e-05
3.2756e-12,-2.907e-05,0,1,2e-07,0.0019502,0,5e-05
3.961e-12,-3.3731e-05,0,1,3e-07,0.0019503,0,5e-05
4.6464e-12,-3.8392e-05,0,1,4e-07,0.0019504,0,5e-05
5.3318e-12,-4.3052e-05,0,1,5e-07,0.0019505,0,5e-05
6.0172e-12,-4.7713e-05,0,1,6e-07,0.0019506,0,5e-05
6.7026e-12,-5.2373e-05,0,1,7.0001e-07,0.0019507,0,5e-05
7.388e-12,-5.7034e-05,0,1,8.0001e-07,0.0019508,0,5e-05
8.0734e-12,-6.1695e-05,0,1,9.0001e-07,0.0019509,0,5e-05
8.7589e-12,-6.6355e-05,0,1,1e-06,0.001951,0,5e-05
9.4443e-12,-7.1016e-05,0,1,1.1e-06,0.0019511,0,5e-05
1.013e-11,-7.5676e-05,0,1,1.2e-06,0.0019512,0,5e-05
1.1062e-11,-8.1047e-05,0,1,1.3e-06,0.0019513,0,5e-05
1.2242e-11,-8.713e-05,0,1,1.4e-06,0.0019514,0,5e-05
1.3422e-11,-9.3213e-05,0,1,1.5e-06,0.0019515,0,5e-05
1.4602e-11,-9.9296e-05,0,1,1.6e-06,0.0019516,0,5e-05
1.5782e-11,-0.00010538,0,1,1.7e-06,0.0019517,0,5e-05
1.6961e-11,-0.00011146,0,1,1.8e-06,0.0019518,0,5e-05
1.8141e-11,-0.00011755,0,1,1.9e-06,0.0019519,0,5e-05
1.9321e-11,-0.00012363,0,1,2e-06,0.001952,0,5e-05
2.0501e-11,-0.00012971,0,1,2.1e-06,0.0019521,0,5e-05
2.1681e-11,-0.00013579,0,1,2.2e-06,0.0019522,0,5e-05
2.2861e-11,-0.00014188,0,1,2.3e-06,0.0019523,0,5e-05
2.4041e-11,-0.00014796,0,1,2.4e-06,0.0019524,0,5e-05
2.5221e-11,-0.00015404,0,1,2.5e-06,0.0019525,0,5e-05
2.6567e-11,-0.00015997,0,1,2.6e-06,0.0019526,0,5e-05
2.7914e-11,-0.00016589,0,1,2.7e-06,0.0019527,0,5e-05
2.926e-11,-0.00017182,0,1,2.8e-06,0.0019528,0,5e-05
3.0607e-11,-0.00017774,0,1,2.9e-06,0.0019529,0,5e-05
3.1953e-11,-0.00018367,0,1,3e-06,0.001953,0,5e-05
3.33e-11,-0.00018959,0,1,3.1e-06,0.0019531,0,5e-05
3.4646e-11,-0.00019552,0,1,3.2e-06,0.0019532,0,5e-05
3.5994e-11,-0.00020145,0,1,3.3001e-06,0.0019533,0,5e-05
3.7339e-11,-0.00020737,0,1,3.4e-06,0.0019534,0,5e-05
3.8687e-11,-0.0002133,0,1,3.5001e-06,0.0019535,0,5e-05
4.0032e-11,-0.00021922,0,1,3.6e-06,0.0019536,0,5e-05
4.138e-11,-0.00022515,0,1,3.7001e-06,0.0019537,0,5e-05
