"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.8568e-12,1.9749e-05,0,1,0,0.00205,0.004,5e-05
-2.5322e-12,2.4415e-05,0,1,1.0012e-07,0.0020499,0.004,5e-05
-3.206e-12,2.9071e-05,0,1,2e-07,0.0020498,0.004,5e-05
-3.8814e-12,3.3737e-05,0,1,3.0012e-07,0.0020497,0.004,5e-05
-4.5552e-12,3.8392e-05,0,1,4e-07,0.0020496,0.004,5e-05
-5.2306e-12,4.3058e-05,0,1,5.0012e-07,0.0020495,0.004,5e-05
-5.9045e-12,4.7713e-05,0,1,6e-07,0.0020494,0.004,5e-05
-6.5799e-12,5.2379e-05,0,1,7.0012e-07,0.0020493,0.004,5e-05
-7.2537e-12,5.7034e-05,0,1,8.0001e-07,0.0020492,0.004,5e-05
-7.9291e-12,6.17e-05,0,1,9.0012e-07,0.0020491,0.004,5e-05
-8.6029e-12,6.6356e-05,0,1,1e-06,0.002049,0.004,5e-05
-9.2783e-12,7.1022e-05,0,1,1.1001e-06,0.0020489,0.004,5e-05
-9.9522e-12,7.5677e-05,0,1,1.2e-06,0.0020488,0.004,5e-05
-1.0876e-11,8.1055e-05,0,1,1.3001e-06,0.0020487,0.004,5e-05
-1.2045e-11,8.7132e-05,0,1,1.4e-06,0.0020486,0.004,5e-05
-1.3214e-11,9.3208e-05,0,1,1.4999e-06,0.0020485,0.004,5e-05
-1.4386e-11,9.9299e-05,0,1,1.6e-06,0.0020484,0.004,5e-05
-1.5555e-11,0.00010538,0,1,1.6999e-06,0.0020483,0.004,5e-05
-1.6726e-11,0.00011147,0,1,1.8e-06,0.0020482,0.004,5e-05
-1.7895e-11,0.00011754,0,1,1.8999e-06,0.0020481,0.004,5e-05
-1.9067e-11,0.00012363,0,1,2e-06,0.002048,0.004,5e-05
-2.0236e-11,0.00012971,0,1,2.0999e-06,0.0020479,0.004,5e-05
-2.1408e-11,0.0001358,0,1,2.2e-06,0.0020478,0.004,5e-05
-2.2577e-11,0.00014188,0,1,2.2999e-06,0.0020477,0.004,5e-05
-2.3749e-11,0.00014797,0,1,2.4e-06,0.0020476,0.004,5e-05
-2.4918e-11,0.00015404,0,1,2.4999e-06,0.0020475,0.004,5e-05
-2.6263e-11,0.00015998,0,1,2.6e-06,0.0020474,0.004,5e-05
-2.7604e-11,0.00016589,0,1,2.6999e-06,0.0020473,0.004,5e-05
-2.8949e-11,0.00017182,0,1,2.8e-06,0.0020472,0.004,5e-05
-3.0291e-11,0.00017774,0,1,2.8999e-06,0.0020471,0.004,5e-05
-3.1636e-11,0.00018367,0,1,3e-06,0.002047,0.004,5e-05
-3.2978e-11,0.00018959,0,1,3.0999e-06,0.0020469,0.004,5e-05
-3.4322e-11,0.00019552,0,1,3.2e-06,0.0020468,0.004,5e-05
-3.5664e-11,0.00020144,0,1,3.2999e-06,0.0020467,0.004,5e-05
-3.7009e-11,0.00020737,0,1,3.4e-06,0.0020466,0.004,5e-05
-3.8351e-11,0.00021329,0,1,3.4999e-06,0.0020465,0.004,5e-05
-3.9695e-11,0.00021922,0,1,3.6e-06,0.0020464,0.004,5e-05
-4.1037e-11,0.00022514,0,1,3.6999e-06,0.0020463,0.004,5e-05
-4.2412e-11,0.00023099,0,1,3.8e-06,0.0020462,0.004,5e-05
-4.3814e-11,0.00023675,0,1,3.8999e-06,0.0020461,0.004,5e-05
-4.5218e-11,0.00024252,0,1,4e-06,0.002046,0.004,5e-05
-4.662e-11,0.00024828,0,1,4.0999e-06,0.0020459,0.004,5e-05
-4.8025e-11,0.00025405,0,1,4.2e-06,0.0020458,0.004,5e-05
-4.9426e-11,0.00025981,0,1,4.2999e-06,0.0020457,0.004,5e-05
-5.0831e-11,0.00026559,0,1,4.4e-06,0.0020456,0.004,5e-05
-5.2233e-11,0.00027135,0,1,4.4999e-06,0.0020455,0.004,5e-05
-5.3638e-11,0.00027712,0,1,4.6e-06,0.0020454,0.004,5e-05
-5.5039e-11,0.00028288,0,1,4.6999e-06,0.0020453,0.004,5e-05
-5.6444e-11,0.00028865,0,1,4.8e-06,0.0020452,0.004,5e-05
-5.7845e-11,0.00029441,0,1,4.8999e-06,0.0020451,0.004,5e-05
-5.925e-11,0.00030019,0,1,5e-06,0.002045,0.004,5e-05
-6.0642e-11,0.00030579,0,1,5.0999e-06,0.0020449,0.004,5e-05
-6.2037e-11,0.0003114,0,1,5.2e-06,0.0020448,0.004,5e-05
-6.3429e-11,0.000317,0,1,5.2999e-06,0.0020447,0.004,5e-05
-6.4824e-11,0.00032262,0,1,5.4e-06,0.0020446,0.004,5e-05
-6.6216e-11,0.00032822,0,1,5.4999e-06,0.0020445,0.004,5e-05
-6.7611e-11,0.00033384,0,1,5.6e-06,0.0020444,0.004,5e-05
-6.9003e-11,0.00033944,0,1,5.6999e-06,0.0020443,0.004,5e-05
-7.0398e-11,0.00034505,0,1,5.8e-06,0.0020442,0.004,5e-05
-7.179e-11,0.00035065,0,1,5.8999e-06,0.0020441,0.004,5e-05
-7.3185e-11,0.00035627,0,1,6e-06,0.002044,0.004,5e-05
-7.4577e-11,0.00036187,0,1,6.0999e-06,0.0020439,0.004,5e-05
-7.5973e-11,0.00036749,0,1,6.2e-06,0.0020438,0.004,5e-05
-7.7344e-11,0.00037301,0,1,6.2999e-06,0.0020437,0.004,5e-05
-7.8699e-11,0.00037847,0,1,6.4e-06,0.0020436,0.004,5e-05
-8.005e-11,0.00038391,0,1,6.4999e-06,0.0020435,0.004,5e-05
-8.1404e-11,0.00038937,0,1,6.6001e-06,0.0020434,0.004,5e-05
-8.2756e-11,0.00039482,0,1,6.6999e-06,0.0020433,0.004,5e-05
-8.411e-11,0.00040027,0,1,6.8001e-06,0.0020432,0.004,5e-05
-8.5462e-11,0.00040572,0,1,6.8999e-06,0.0020431,0.004,5e-05
-8.6816e-11,0.00041118,0,1,7.0001e-06,0.002043,0.004,5e-05
-8.8167e-11,0.00041662,0,1,7.0999e-06,0.0020429,0.004,5e-05
-8.9522e-11,0.00042208,0,1,7.2001e-06,0.0020428,0.004,5e-05
-9.0873e-11,0.00042752,0,1,7.2999e-06,0.0020427,0.004,5e-05
-9.2228e-11,0.00043298,0,1,7.4001e-06,0.0020426,0.004,5e-05
-9.3579e-11,0.00043843,0,1,7.4999e-06,0.0020425,0.004,5e-05
-9.4873e-11,0.00044372,0,1,7.6001e-06,0.0020424,0.004,5e-05
-9.6163e-11,0.00044901,0,1,7.6999e-06,0.0020423,0.004,5e-05
-9.7457e-11,0.00045431,0,1,7.8001e-06,0.0020422,0.004,5e-05
-9.8747e-11,0.0004596,0,1,7.8999e-06,0.0020421,0.004,5e-05
-1.0004e-10,0.00046489,0,1,8.0001e-06,0.002042,0.004,5e-05
-1.0133e-10,0.00047018,0,1,8.0999e-06,0.0020419,0.004,5e-05
-1.0262e-10,0.00047548,0,1,8.2001e-06,0.0020418,0.004,5e-05
-1.0391e-10,0.00048076,0,1,8.2999e-06,0.0020417,0.004,5e-05
-1.0521e-10,0.00048606,0,1,8.4001e-06,0.0020416,0.004,5e-05
-1.065e-10,0.00049135,0,1,8.4999e-06,0.0020415,0.004,5e-05
-1.0779e-10,0.00049665,0,1,8.6001e-06,0.0020414,0.004,5e-05
-1.0908e-10,0.00050193,0,1,8.6999e-06,0.0020413,0.004,5e-05
-1.1034e-10,0.00050715,0,1,8.8001e-06,0.0020412,0.004,5e-05
-1.1155e-10,0.00051228,0,1,8.9e-06,0.0020411,0.004,5e-05
-1.1277e-10,0.00051742,0,1,9.0001e-06,0.002041,0.004,5e-05
-1.1399e-10,0.00052255,0,1,9.1e-06,0.0020409,0.004,5e-05
-1.1521e-10,0.00052769,0,1,9.2001e-06,0.0020408,0.004,5e-05
