"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,1,0,0.001,0.00195,5e-05
1.2481e-05,-1.1154e-14,0,1,1e-07,0.001,0.0019501,5e-05
2.4962e-05,-2.2307e-14,0,1,2e-07,0.001,0.0019502,5e-05
3.7443e-05,-3.3461e-14,0,1,3e-07,0.001,0.0019503,5e-05
4.9924e-05,-4.4615e-14,0,1,4e-07,0.001,0.0019504,5e-05
6.2405e-05,-5.5768e-14,0,1,5e-07,0.001,0.0019505,5e-05
7.4886e-05,-6.6922e-14,0,1,6e-07,0.001,0.0019506,5e-05
8.7367e-05,-7.8076e-14,0,1,7.0001e-07,0.001,0.0019507,5e-05
9.9848e-05,-8.9229e-14,0,1,8.0001e-07,0.001,0.0019508,5e-05
0.00011233,-1.0038e-13,0,1,9.0001e-07,0.001,0.0019509,5e-05
0.00012481,-1.1154e-13,0,1,1e-06,0.001,0.001951,5e-05
0.00013729,-1.2269e-13,0,1,1.1e-06,0.001,0.0019511,5e-05
0.00014977,-1.3384e-13,0,1,1.2e-06,0.001,0.0019512,5e-05
0.0001621,-1.4651e-13,0,1,1.3e-06,0.001,0.0019513,5e-05
0.00017426,-1.607e-13,0,1,1.4e-06,0.001,0.0019514,5e-05
0.00018643,-1.7489e-13,0,1,1.5e-06,0.001,0.0019515,5e-05
0.00019859,-1.8908e-13,0,1,1.6e-06,0.001,0.0019516,5e-05
0.00021076,-2.0327e-13,0,1,1.7e-06,0.001,0.0019517,5e-05
0.00022293,-2.1745e-13,0,1,1.8e-06,0.001,0.0019518,5e-05
0.00023509,-2.3164e-13,0,1,1.9e-06,0.001,0.0019519,5e-05
0.00024726,-2.4583e-13,0,1,2e-06,0.001,0.001952,5e-05
0.00025942,-2.6002e-13,0,1,2.1e-06,0.001,0.0019521,5e-05
0.00027159,-2.7421e-13,0,1,2.2e-06,0.001,0.0019522,5e-05
0.00028376,-2.884e-13,0,1,2.3e-06,0.001,0.0019523,5e-05
0.00029592,-3.0258e-13,0,1,2.4e-06,0.001,0.0019524,5e-05
0.00030809,-3.1677e-13,0,1,2.5e-06,0.001,0.0019525,5e-05
0.00031994,-3.3199e-13,0,1,2.6e-06,0.001,0.0019526,5e-05
0.00033179,-3.4721e-13,0,1,2.7e-06,0.001,0.0019527,5e-05
0.00034364,-3.6242e-13,0,1,2.8e-06,0.001,0.0019528,5e-05
0.00035549,-3.7764e-13,0,1,2.9e-06,0.001,0.0019529,5e-05
0.00036734,-3.9286e-13,0,1,3e-06,0.001,0.001953,5e-05
0.00037919,-4.0807e-13,0,1,3.1e-06,0.001,0.0019531,5e-05
0.00039104,-4.2329e-13,0,1,3.2e-06,0.001,0.0019532,5e-05
0.0004029,-4.3853e-13,0,1,3.3001e-06,0.001,0.0019533,5e-05
0.00041474,-4.5373e-13,0,1,3.4e-06,0.001,0.0019534,5e-05
0.0004266,-4.6896e-13,0,1,3.5001e-06,0.001,0.0019535,5e-05
0.00043844,-4.8416e-13,0,1,3.6e-06,0.001,0.0019536,5e-05
0.0004503,-4.9939e-13,0,1,3.7001e-06,0.001,0.0019537,5e-05
0.00046198,-5.1378e-13,0,1,3.8e-06,0.001,0.0019538,5e-05
0.00047353,-5.274e-13,0,1,3.9001e-06,0.001,0.0019539,5e-05
0.00048505,-5.4098e-13,0,1,4e-06,0.001,0.001954,5e-05
0.00049659,-5.5459e-13,0,1,4.1001e-06,0.001,0.0019541,5e-05
0.00050811,-5.6817e-13,0,1,4.2e-06,0.001,0.0019542,5e-05
0.00051966,-5.8178e-13,0,1,4.3001e-06,0.001,0.0019543,5e-05
0.00053118,-5.9536e-13,0,1,4.4e-06,0.001,0.0019544,5e-05
0.00054272,-6.0897e-13,0,1,4.5002e-06,0.001,0.0019545,5e-05
0.00055424,-6.2256e-13,0,1,4.6e-06,0.001,0.0019546,5e-05
0.00056579,-6.3617e-13,0,1,4.7002e-06,0.001,0.0019547,5e-05
0.00057731,-6.4975e-13,0,1,4.8e-06,0.001,0.0019548,5e-05
0.00058886,-6.6336e-13,0,1,4.9002e-06,0.001,0.0019549,5e-05
0.00060037,-6.7694e-13,0,1,5e-06,0.001,0.001955,5e-05
0.0006116,-6.8834e-13,0,1,5.1002e-06,0.001,0.0019551,5e-05
0.00062281,-6.9971e-13,0,1,5.2e-06,0.001,0.0019552,5e-05
0.00063404,-7.111e-13,0,1,5.3002e-06,0.001,0.0019553,5e-05
0.00064524,-7.2247e-13,0,1,5.4e-06,0.001,0.0019554,5e-05
0.00065647,-7.3387e-13,0,1,5.5002e-06,0.001,0.0019555,5e-05
0.00066768,-7.4524e-13,0,1,5.6e-06,0.001,0.0019556,5e-05
0.0006789,-7.5664e-13,0,1,5.7002e-06,0.001,0.0019557,5e-05
0.00069011,-7.6801e-13,0,1,5.8e-06,0.001,0.0019558,5e-05
0.00070134,-7.794e-13,0,1,5.9002e-06,0.001,0.0019559,5e-05
0.00071254,-7.9077e-13,0,1,6e-06,0.001,0.001956,5e-05
0.00072377,-8.0217e-13,0,1,6.1002e-06,0.001,0.0019561,5e-05
0.00073498,-8.1354e-13,0,1,6.2e-06,0.001,0.0019562,5e-05
0.00074605,-8.2371e-13,0,1,6.3002e-06,0.001,0.0019563,5e-05
0.00075694,-8.3264e-13,0,1,6.4e-06,0.001,0.0019564,5e-05
0.00076785,-8.4159e-13,0,1,6.5002e-06,0.001,0.0019565,5e-05
0.00077874,-8.5052e-13,0,1,6.6001e-06,0.001,0.0019566,5e-05
0.00078966,-8.5947e-13,0,1,6.7002e-06,0.001,0.0019567,5e-05
0.00080055,-8.684e-13,0,1,6.8001e-06,0.001,0.0019568,5e-05
0.00081147,-8.7735e-13,0,1,6.9002e-06,0.001,0.0019569,5e-05
0.00082236,-8.8628e-13,0,1,7.0001e-06,0.001,0.001957,5e-05
0.00083325,-8.9521e-13,0,1,7.0999e-06,0.001,0.0019571,5e-05
0.00084416,-9.0416e-13,0,1,7.2001e-06,0.001,0.0019572,5e-05
0.00085505,-9.1309e-13,0,1,7.2999e-06,0.001,0.0019573,5e-05
0.00086597,-9.2204e-13,0,1,7.4001e-06,0.001,0.0019574,5e-05
