"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,0.00995,0.00195,5e-05
1,1.0058e-07,0.0099501,0.00195,5e-05
1,2.0023e-07,0.0099502,0.00195,5e-05
1,2.9989e-07,0.0099503,0.00195,5e-05
1,4.0047e-07,0.0099504,0.00195,5e-05
1,5.0012e-07,0.0099505,0.00195,5e-05
1,5.9977e-07,0.0099506,0.00195,5e-05
1,7.0035e-07,0.0099507,0.00195,5e-05
1,8.0001e-07,0.0099508,0.00195,5e-05
1,9.0059e-07,0.0099509,0.00195,5e-05
1,1.0002e-06,0.009951,0.00195,5e-05
1,1.0999e-06,0.0099511,0.00195,5e-05
1,1.2005e-06,0.0099512,0.00195,5e-05
1,1.3001e-06,0.0099513,0.00195,5e-05
1,1.3998e-06,0.0099514,0.00195,5e-05
1,1.5004e-06,0.0099515,0.00195,5e-05
1,1.6e-06,0.0099516,0.00195,5e-05
1,1.7006e-06,0.0099517,0.00195,5e-05
1,1.8002e-06,0.0099518,0.00195,5e-05
1,1.8999e-06,0.0099519,0.00195,5e-05
1,2.0005e-06,0.009952,0.00195,5e-05
1,2.1001e-06,0.0099521,0.00195,5e-05
1,2.1998e-06,0.0099522,0.00195,5e-05
1,2.3004e-06,0.0099523,0.00195,5e-05
1,2.4e-06,0.0099524,0.00195,5e-05
1,2.5006e-06,0.0099525,0.00195,5e-05
1,2.6003e-06,0.0099526,0.00195,5e-05
1,2.6999e-06,0.0099527,0.00195,5e-05
1,2.8005e-06,0.0099528,0.00195,5e-05
1,2.9001e-06,0.0099529,0.00195,5e-05
1,2.9998e-06,0.009953,0.00195,5e-05
1,3.1004e-06,0.0099531,0.00195,5e-05
1,3.2e-06,0.0099532,0.00195,5e-05
1,3.2997e-06,0.0099533,0.00195,5e-05
1,3.4003e-06,0.0099534,0.00195,5e-05
1,3.4999e-06,0.0099535,0.00195,5e-05
1,3.6005e-06,0.0099536,0.00195,5e-05
1,3.7001e-06,0.0099537,0.00195,5e-05
1,3.7998e-06,0.0099538,0.00195,5e-05
1,3.9004e-06,0.0099539,0.00195,5e-05
1,4e-06,0.009954,0.00195,5e-05
1,4.0997e-06,0.0099541,0.00195,5e-05
1,4.2003e-06,0.0099542,0.00195,5e-05
1,4.2999e-06,0.0099543,0.00195,5e-05
1,4.4005e-06,0.0099544,0.00195,5e-05
1,4.5002e-06,0.0099545,0.00195,5e-05
1,4.5998e-06,0.0099546,0.00195,5e-05
1,4.7004e-06,0.0099547,0.00195,5e-05
1,4.8e-06,0.0099548,0.00195,5e-05
1,4.8997e-06,0.0099549,0.00195,5e-05
1,5.0003e-06,0.009955,0.00195,5e-05
1,5.0999e-06,0.0099551,0.00195,5e-05
1,5.2005e-06,0.0099552,0.00195,5e-05
1,5.3002e-06,0.0099553,0.00195,5e-05
1,5.3998e-06,0.0099554,0.00195,5e-05
1,5.5004e-06,0.0099555,0.00195,5e-05
1,5.6e-06,0.0099556,0.00195,5e-05
1,5.6997e-06,0.0099557,0.00195,5e-05
1,5.8003e-06,0.0099558,0.00195,5e-05
1,5.8999e-06,0.0099559,0.00195,5e-05
1,6.0005e-06,0.009956,0.00195,5e-05
1,6.1002e-06,0.0099561,0.00195,5e-05
1,6.1998e-06,0.0099562,0.00195,5e-05
