"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,0.01995,0,5e-05
1,9.872e-08,0.01995,0,5e-05
1,1.993e-07,0.01995,0,5e-05
1,2.9989e-07,0.01995,0,5e-05
1,3.9861e-07,0.01995,0,5e-05
1,4.9919e-07,0.01995,0,5e-05
1,5.9977e-07,0.019951,0,5e-05
1,7.0035e-07,0.019951,0,5e-05
1,7.9907e-07,0.019951,0,5e-05
1,8.9966e-07,0.019951,0,5e-05
1,1.0002e-06,0.019951,0,5e-05
1,1.099e-06,0.019951,0,5e-05
1,1.1995e-06,0.019951,0,5e-05
1,1.3001e-06,0.019951,0,5e-05
1,1.3988e-06,0.019951,0,5e-05
1,1.4994e-06,0.019951,0,5e-05
1,1.6e-06,0.019952,0,5e-05
1,1.6987e-06,0.019952,0,5e-05
1,1.7993e-06,0.019952,0,5e-05
1,1.8999e-06,0.019952,0,5e-05
1,1.9986e-06,0.019952,0,5e-05
1,2.0992e-06,0.019952,0,5e-05
1,2.1998e-06,0.019952,0,5e-05
1,2.2985e-06,0.019952,0,5e-05
1,2.3991e-06,0.019952,0,5e-05
1,2.4997e-06,0.019953,0,5e-05
1,2.6003e-06,0.019953,0,5e-05
1,2.699e-06,0.019953,0,5e-05
1,2.7996e-06,0.019953,0,5e-05
1,2.9001e-06,0.019953,0,5e-05
1,2.9989e-06,0.019953,0,5e-05
1,3.0994e-06,0.019953,0,5e-05
1,3.2e-06,0.019953,0,5e-05
1,3.2987e-06,0.019953,0,5e-05
1,3.3993e-06,0.019953,0,5e-05
1,3.4999e-06,0.019954,0,5e-05
1,3.5986e-06,0.019954,0,5e-05
1,3.6992e-06,0.019954,0,5e-05
1,3.7998e-06,0.019954,0,5e-05
1,3.8985e-06,0.019954,0,5e-05
1,3.9991e-06,0.019954,0,5e-05
1,4.0997e-06,0.019954,0,5e-05
1,4.2003e-06,0.019954,0,5e-05
1,4.299e-06,0.019954,0,5e-05
1,4.3996e-06,0.019954,0,5e-05
1,4.5002e-06,0.019955,0,5e-05
1,4.5989e-06,0.019955,0,5e-05
1,4.6995e-06,0.019955,0,5e-05
1,4.8e-06,0.019955,0,5e-05
1,4.8988e-06,0.019955,0,5e-05
1,4.9993e-06,0.019955,0,5e-05
1,5.0999e-06,0.019955,0,5e-05
1,5.1986e-06,0.019955,0,5e-05
1,5.2992e-06,0.019955,0,5e-05
1,5.3998e-06,0.019955,0,5e-05
1,5.4985e-06,0.019955,0,5e-05
1,5.5991e-06,0.019956,0,5e-05
1,5.6997e-06,0.019956,0,5e-05
1,5.8003e-06,0.019956,0,5e-05
1,5.899e-06,0.019956,0,5e-05
1,5.9996e-06,0.019956,0,5e-05
1,6.1002e-06,0.019956,0,5e-05
1,6.1989e-06,0.019956,0,5e-05
1,6.2995e-06,0.019956,0,5e-05
1,6.4e-06,0.019956,0,5e-05
1,6.4988e-06,0.019956,0,5e-05
1,6.5994e-06,0.019957,0,5e-05
1,6.6999e-06,0.019957,0,5e-05
1,6.7987e-06,0.019957,0,5e-05
1,6.8992e-06,0.019957,0,5e-05
1,6.9998e-06,0.019957,0,5e-05
1,7.0985e-06,0.019957,0,5e-05
1,7.1991e-06,0.019957,0,5e-05
1,7.2997e-06,0.019957,0,5e-05
1,7.4003e-06,0.019957,0,5e-05
1,7.499e-06,0.019957,0,5e-05
1,7.5996e-06,0.019958,0,5e-05
1,7.7002e-06,0.019958,0,5e-05
1,7.7989e-06,0.019958,0,5e-05
1,7.8995e-06,0.019958,0,5e-05
1,8.0001e-06,0.019958,0,5e-05
1,8.0988e-06,0.019958,0,5e-05
1,8.1994e-06,0.019958,0,5e-05
1,8.2999e-06,0.019958,0,5e-05
1,8.3987e-06,0.019958,0,5e-05
1,8.4992e-06,0.019958,0,5e-05
1,8.5998e-06,0.019959,0,5e-05
1,8.6986e-06,0.019959,0,5e-05
1,8.7991e-06,0.019959,0,5e-05
1,8.8997e-06,0.019959,0,5e-05
1,9.0003e-06,0.019959,0,5e-05
1,9.099e-06,0.019959,0,5e-05
1,9.1996e-06,0.019959,0,5e-05
1,9.3002e-06,0.019959,0,5e-05
1,9.3989e-06,0.019959,0,5e-05
1,9.4995e-06,0.01996,0,5e-05
1,9.6001e-06,0.01996,0,5e-05
1,9.6988e-06,0.01996,0,5e-05
1,9.7994e-06,0.01996,0,5e-05
1,9.9e-06,0.01996,0,5e-05
1,9.9987e-06,0.01996,0,5e-05
1,1.0099e-05,0.01996,0,5e-05
1,1.02e-05,0.01996,0,5e-05
1,1.0299e-05,0.01996,0,5e-05
1,1.0399e-05,0.01996,0,5e-05
1,1.05e-05,0.019961,0,5e-05
1,1.06e-05,0.019961,0,5e-05
1,1.0699e-05,0.019961,0,5e-05
1,1.08e-05,0.019961,0,5e-05
1,1.09e-05,0.019961,0,5e-05
1,1.0999e-05,0.019961,0,5e-05
1,1.11e-05,0.019961,0,5e-05
1,1.12e-05,0.019961,0,5e-05
1,1.1299e-05,0.019961,0,5e-05
1,1.1399e-05,0.019961,0,5e-05
1,1.15e-05,0.019962,0,5e-05
1,1.1599e-05,0.019962,0,5e-05
1,1.1699e-05,0.019962,0,5e-05
1,1.18e-05,0.019962,0,5e-05
1,1.1899e-05,0.019962,0,5e-05
1,1.1999e-05,0.019962,0,5e-05
1,1.21e-05,0.019962,0,5e-05
1,1.22e-05,0.019962,0,5e-05
1,1.2299e-05,0.019962,0,5e-05
1,1.24e-05,0.019962,0,5e-05
1,1.25e-05,0.019963,0,5e-05
1,1.2599e-05,0.019963,0,5e-05
1,1.27e-05,0.019963,0,5e-05
1,1.28e-05,0.019963,0,5e-05
1,1.2899e-05,0.019963,0,5e-05
1,1.2999e-05,0.019963,0,5e-05
1,1.31e-05,0.019963,0,5e-05
1,1.3199e-05,0.019963,0,5e-05
1,1.3299e-05,0.019963,0,5e-05
1,1.34e-05,0.019963,0,5e-05
1,1.3499e-05,0.019963,0,5e-05
1,1.3599e-05,0.019964,0,5e-05
1,1.37e-05,0.019964,0,5e-05
1,1.38e-05,0.019964,0,5e-05
1,1.3899e-05,0.019964,0,5e-05
1,1.4e-05,0.019964,0,5e-05
1,1.41e-05,0.019964,0,5e-05
1,1.4199e-05,0.019964,0,5e-05
1,1.43e-05,0.019964,0,5e-05
1,1.44e-05,0.019964,0,5e-05
1,1.4499e-05,0.019964,0,5e-05
1,1.4599e-05,0.019965,0,5e-05
1,1.47e-05,0.019965,0,5e-05
1,1.4799e-05,0.019965,0,5e-05
1,1.4899e-05,0.019965,0,5e-05
1,1.5e-05,0.019965,0,5e-05
1,1.5099e-05,0.019965,0,5e-05
1,1.5199e-05,0.019965,0,5e-05
1,1.53e-05,0.019965,0,5e-05
1,1.54e-05,0.019965,0,5e-05
1,1.5499e-05,0.019965,0,5e-05
1,1.56e-05,0.019966,0,5e-05
1,1.57e-05,0.019966,0,5e-05
1,1.5799e-05,0.019966,0,5e-05
1,1.59e-05,0.019966,0,5e-05
1,1.6e-05,0.019966,0,5e-05
1,1.6099e-05,0.019966,0,5e-05
1,1.6199e-05,0.019966,0,5e-05
1,1.63e-05,0.019966,0,5e-05
1,1.6399e-05,0.019966,0,5e-05
1,1.6499e-05,0.019966,0,5e-05
1,1.66e-05,0.019967,0,5e-05
1,1.6699e-05,0.019967,0,5e-05
1,1.6799e-05,0.019967,0,5e-05
1,1.69e-05,0.019967,0,5e-05
1,1.6998e-05,0.019967,0,5e-05
1,1.7099e-05,0.019967,0,5e-05
1,1.72e-05,0.019967,0,5e-05
1,1.73e-05,0.019967,0,5e-05
1,1.7399e-05,0.019967,0,5e-05
1,1.75e-05,0.019968,0,5e-05
1,1.76e-05,0.019968,0,5e-05
1,1.7699e-05,0.019968,0,5e-05
1,1.7799e-05,0.019968,0,5e-05
1,1.79e-05,0.019968,0,5e-05
1,1.7999e-05,0.019968,0,5e-05
1,1.8099e-05,0.019968,0,5e-05
1,1.82e-05,0.019968,0,5e-05
1,1.8299e-05,0.019968,0,5e-05
1,1.8399e-05,0.019968,0,5e-05
1,1.85e-05,0.019969,0,5e-05
1,1.8599e-05,0.019969,0,5e-05
1,1.8699e-05,0.019969,0,5e-05
1,1.88e-05,0.019969,0,5e-05
1,1.89e-05,0.019969,0,5e-05
1,1.8999e-05,0.019969,0,5e-05
1,1.91e-05,0.019969,0,5e-05
1,1.92e-05,0.019969,0,5e-05
1,1.9299e-05,0.019969,0,5e-05
1,1.9399e-05,0.019969,0,5e-05
1,1.95e-05,0.01997,0,5e-05
1,1.9599e-05,0.01997,0,5e-05
1,1.9699e-05,0.01997,0,5e-05
1,1.98e-05,0.01997,0,5e-05
1,1.9899e-05,0.01997,0,5e-05
1,1.9999e-05,0.01997,0,5e-05
1,2.01e-05,0.01997,0,5e-05
1,2.0199e-05,0.01997,0,5e-05
1,2.0299e-05,0.01997,0,5e-05
1,2.04e-05,0.01997,0,5e-05
1,2.05e-05,0.019971,0,5e-05
1,2.0599e-05,0.019971,0,5e-05
1,2.07e-05,0.019971,0,5e-05
1,2.08e-05,0.019971,0,5e-05
1,2.0899e-05,0.019971,0,5e-05
1,2.0999e-05,0.019971,0,5e-05
1,2.11e-05,0.019971,0,5e-05
1,2.1199e-05,0.019971,0,5e-05
1,2.1299e-05,0.019971,0,5e-05
1,2.14e-05,0.019971,0,5e-05
1,2.1499e-05,0.019971,0,5e-05
1,2.1599e-05,0.019972,0,5e-05
1,2.17e-05,0.019972,0,5e-05
1,2.1799e-05,0.019972,0,5e-05
1,2.1899e-05,0.019972,0,5e-05
1,2.2e-05,0.019972,0,5e-05
1,2.21e-05,0.019972,0,5e-05
1,2.2199e-05,0.019972,0,5e-05
1,2.23e-05,0.019972,0,5e-05
1,2.24e-05,0.019972,0,5e-05
1,2.2499e-05,0.019972,0,5e-05
1,2.2599e-05,0.019973,0,5e-05
1,2.27e-05,0.019973,0,5e-05
1,2.2799e-05,0.019973,0,5e-05
1,2.2899e-05,0.019973,0,5e-05
1,2.3e-05,0.019973,0,5e-05
1,2.3099e-05,0.019973,0,5e-05
1,2.3199e-05,0.019973,0,5e-05
1,2.33e-05,0.019973,0,5e-05
1,2.3399e-05,0.019973,0,5e-05
1,2.3499e-05,0.019973,0,5e-05
1,2.36e-05,0.019974,0,5e-05
1,2.37e-05,0.019974,0,5e-05
1,2.3799e-05,0.019974,0,5e-05
1,2.39e-05,0.019974,0,5e-05
1,2.4e-05,0.019974,0,5e-05
1,2.4099e-05,0.019974,0,5e-05
1,2.4199e-05,0.019974,0,5e-05
1,2.43e-05,0.019974,0,5e-05
1,2.4399e-05,0.019974,0,5e-05
1,2.4499e-05,0.019974,0,5e-05
1,2.46e-05,0.019975,0,5e-05
1,2.4699e-05,0.019975,0,5e-05
1,2.4799e-05,0.019975,0,5e-05
1,2.49e-05,0.019975,0,5e-05
1,2.4999e-05,0.019975,0,5e-05
1,2.5099e-05,0.019975,0,5e-05
1,2.52e-05,0.019975,0,5e-05
1,2.53e-05,0.019975,0,5e-05
1,2.5399e-05,0.019975,0,5e-05
1,2.55e-05,0.019976,0,5e-05
1,2.56e-05,0.019976,0,5e-05
1,2.5699e-05,0.019976,0,5e-05
1,2.5799e-05,0.019976,0,5e-05
1,2.59e-05,0.019976,0,5e-05
1,2.5999e-05,0.019976,0,5e-05
1,2.6099e-05,0.019976,0,5e-05
1,2.62e-05,0.019976,0,5e-05
1,2.6299e-05,0.019976,0,5e-05
1,2.6399e-05,0.019976,0,5e-05
1,2.65e-05,0.019977,0,5e-05
1,2.6599e-05,0.019977,0,5e-05
1,2.6699e-05,0.019977,0,5e-05
1,2.68e-05,0.019977,0,5e-05
1,2.69e-05,0.019977,0,5e-05
1,2.6999e-05,0.019977,0,5e-05
1,2.71e-05,0.019977,0,5e-05
1,2.72e-05,0.019977,0,5e-05
1,2.7299e-05,0.019977,0,5e-05
1,2.74e-05,0.019977,0,5e-05
1,2.75e-05,0.019978,0,5e-05
1,2.7599e-05,0.019978,0,5e-05
1,2.7699e-05,0.019978,0,5e-05
1,2.78e-05,0.019978,0,5e-05
1,2.7899e-05,0.019978,0,5e-05
1,2.7999e-05,0.019978,0,5e-05
1,2.81e-05,0.019978,0,5e-05
1,2.8199e-05,0.019978,0,5e-05
1,2.8299e-05,0.019978,0,5e-05
1,2.84e-05,0.019978,0,5e-05
1,2.85e-05,0.019979,0,5e-05
1,2.8599e-05,0.019979,0,5e-05
1,2.87e-05,0.019979,0,5e-05
1,2.88e-05,0.019979,0,5e-05
1,2.8899e-05,0.019979,0,5e-05
1,2.9e-05,0.019979,0,5e-05
1,2.91e-05,0.019979,0,5e-05
1,2.9199e-05,0.019979,0,5e-05
1,2.9299e-05,0.019979,0,5e-05
1,2.94e-05,0.019979,0,5e-05
1,2.9499e-05,0.019979,0,5e-05
1,2.9599e-05,0.01998,0,5e-05
1,2.97e-05,0.01998,0,5e-05
1,2.9799e-05,0.01998,0,5e-05
