"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,0.02005,0.00205,5e-05
1,1.0058e-07,0.02005,0.00205,5e-05
1,2.0117e-07,0.02005,0.00205,5e-05
1,2.9989e-07,0.02005,0.00205,5e-05
1,4.0047e-07,0.02005,0.00205,5e-05
1,5.0105e-07,0.020049,0.00205,5e-05
1,5.9977e-07,0.020049,0.00205,5e-05
1,7.0035e-07,0.020049,0.00205,5e-05
1,8.0094e-07,0.020049,0.00205,5e-05
1,8.9966e-07,0.020049,0.00205,5e-05
1,1.0002e-06,0.020049,0.00205,5e-05
1,1.1008e-06,0.020049,0.00205,5e-05
1,1.1995e-06,0.020049,0.00205,5e-05
1,1.3001e-06,0.020049,0.00205,5e-05
1,1.4007e-06,0.020049,0.00205,5e-05
1,1.5013e-06,0.020048,0.00205,5e-05
1,1.6e-06,0.020048,0.00205,5e-05
1,1.7006e-06,0.020048,0.00205,5e-05
1,1.8012e-06,0.020048,0.00205,5e-05
1,1.8999e-06,0.020048,0.00205,5e-05
1,2.0005e-06,0.020048,0.00205,5e-05
1,2.1011e-06,0.020048,0.00205,5e-05
1,2.1998e-06,0.020048,0.00205,5e-05
1,2.3004e-06,0.020048,0.00205,5e-05
1,2.4009e-06,0.020048,0.00205,5e-05
1,2.4997e-06,0.020048,0.00205,5e-05
1,2.6003e-06,0.020047,0.00205,5e-05
1,2.7008e-06,0.020047,0.00205,5e-05
1,2.7996e-06,0.020047,0.00205,5e-05
1,2.9001e-06,0.020047,0.00205,5e-05
1,3.0007e-06,0.020047,0.00205,5e-05
1,3.1013e-06,0.020047,0.00205,5e-05
1,3.2e-06,0.020047,0.00205,5e-05
1,3.3006e-06,0.020047,0.00205,5e-05
1,3.4012e-06,0.020047,0.00205,5e-05
1,3.4999e-06,0.020047,0.00205,5e-05
1,3.6005e-06,0.020046,0.00205,5e-05
1,3.7011e-06,0.020046,0.00205,5e-05
1,3.7998e-06,0.020046,0.00205,5e-05
1,3.9004e-06,0.020046,0.00205,5e-05
1,4.001e-06,0.020046,0.00205,5e-05
1,4.0997e-06,0.020046,0.00205,5e-05
1,4.2003e-06,0.020046,0.00205,5e-05
1,4.3008e-06,0.020046,0.00205,5e-05
1,4.3996e-06,0.020046,0.00205,5e-05
1,4.5002e-06,0.020046,0.00205,5e-05
1,4.6007e-06,0.020045,0.00205,5e-05
1,4.7013e-06,0.020045,0.00205,5e-05
1,4.8e-06,0.020045,0.00205,5e-05
1,4.9006e-06,0.020045,0.00205,5e-05
1,5.0012e-06,0.020045,0.00205,5e-05
1,5.0999e-06,0.020045,0.00205,5e-05
1,5.2005e-06,0.020045,0.00205,5e-05
1,5.3011e-06,0.020045,0.00205,5e-05
1,5.3998e-06,0.020045,0.00205,5e-05
1,5.5004e-06,0.020045,0.00205,5e-05
1,5.601e-06,0.020044,0.00205,5e-05
1,5.6997e-06,0.020044,0.00205,5e-05
1,5.8003e-06,0.020044,0.00205,5e-05
1,5.9009e-06,0.020044,0.00205,5e-05
1,5.9996e-06,0.020044,0.00205,5e-05
1,6.1002e-06,0.020044,0.00205,5e-05
1,6.2007e-06,0.020044,0.00205,5e-05
1,6.3013e-06,0.020044,0.00205,5e-05
1,6.4e-06,0.020044,0.00205,5e-05
1,6.5006e-06,0.020043,0.00205,5e-05
1,6.6012e-06,0.020043,0.00205,5e-05
1,6.6999e-06,0.020043,0.00205,5e-05
1,6.8005e-06,0.020043,0.00205,5e-05
1,6.9011e-06,0.020043,0.00205,5e-05
1,6.9998e-06,0.020043,0.00205,5e-05
1,7.1004e-06,0.020043,0.00205,5e-05
1,7.201e-06,0.020043,0.00205,5e-05
1,7.2997e-06,0.020043,0.00205,5e-05
1,7.4003e-06,0.020043,0.00205,5e-05
1,7.5009e-06,0.020042,0.00205,5e-05
1,7.5996e-06,0.020042,0.00205,5e-05
1,7.7002e-06,0.020042,0.00205,5e-05
1,7.8008e-06,0.020042,0.00205,5e-05
1,7.8995e-06,0.020042,0.00205,5e-05
1,8.0001e-06,0.020042,0.00205,5e-05
1,8.1006e-06,0.020042,0.00205,5e-05
1,8.2012e-06,0.020042,0.00205,5e-05
1,8.2999e-06,0.020042,0.00205,5e-05
1,8.4005e-06,0.020042,0.00205,5e-05
1,8.5011e-06,0.020041,0.00205,5e-05
1,8.5998e-06,0.020041,0.00205,5e-05
1,8.7004e-06,0.020041,0.00205,5e-05
1,8.801e-06,0.020041,0.00205,5e-05
1,8.8997e-06,0.020041,0.00205,5e-05
1,9.0003e-06,0.020041,0.00205,5e-05
1,9.1009e-06,0.020041,0.00205,5e-05
1,9.1996e-06,0.020041,0.00205,5e-05
1,9.3002e-06,0.020041,0.00205,5e-05
1,9.4008e-06,0.020041,0.00205,5e-05
1,9.4995e-06,0.020041,0.00205,5e-05
1,9.6001e-06,0.02004,0.00205,5e-05
1,9.7007e-06,0.02004,0.00205,5e-05
1,9.8012e-06,0.02004,0.00205,5e-05
1,9.9e-06,0.02004,0.00205,5e-05
1,1.0001e-05,0.02004,0.00205,5e-05
1,1.0101e-05,0.02004,0.00205,5e-05
1,1.02e-05,0.02004,0.00205,5e-05
1,1.03e-05,0.02004,0.00205,5e-05
1,1.0401e-05,0.02004,0.00205,5e-05
1,1.05e-05,0.02004,0.00205,5e-05
1,1.06e-05,0.020039,0.00205,5e-05
1,1.0701e-05,0.020039,0.00205,5e-05
1,1.08e-05,0.020039,0.00205,5e-05
1,1.09e-05,0.020039,0.00205,5e-05
1,1.1001e-05,0.020039,0.00205,5e-05
1,1.11e-05,0.020039,0.00205,5e-05
1,1.12e-05,0.020039,0.00205,5e-05
1,1.1301e-05,0.020039,0.00205,5e-05
1,1.1401e-05,0.020039,0.00205,5e-05
