"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,1,0,0.00195,0.00195,5e-05
2.0603e-05,-2.6291e-05,0,1,1e-07,0.0019501,0.00195,5e-05
4.1207e-05,-5.2583e-05,0,1,2e-07,0.0019502,0.00195,5e-05
6.181e-05,-7.8874e-05,0,1,3e-07,0.0019503,0.00195,5e-05
8.2413e-05,-0.00010517,0,1,4e-07,0.0019504,0.00195,5e-05
0.00010302,-0.00013146,0,1,5e-07,0.0019505,0.00195,5e-05
0.00012362,-0.00015775,0,1,6e-07,0.0019506,0.00195,5e-05
0.00014422,-0.00018404,0,1,7.0001e-07,0.0019507,0.00195,5e-05
0.00016483,-0.00021033,0,1,8.0001e-07,0.0019508,0.00195,5e-05
0.00018543,-0.00023662,0,1,9.0001e-07,0.0019509,0.00195,5e-05
0.00020603,-0.00026291,0,1,1e-06,0.001951,0.00195,5e-05
0.00022664,-0.00028921,0,1,1.1e-06,0.0019511,0.00195,5e-05
0.00024724,-0.0003155,0,1,1.2e-06,0.0019512,0.00195,5e-05
0.0002599,-0.00033427,0,1,1.3e-06,0.0019513,0.00195,5e-05
0.00026459,-0.00034551,0,1,1.4e-06,0.0019514,0.00195,5e-05
0.00026928,-0.00035675,0,1,1.5e-06,0.0019515,0.00195,5e-05
0.00027397,-0.00036799,0,1,1.6e-06,0.0019516,0.00195,5e-05
0.00027866,-0.00037923,0,1,1.7e-06,0.0019517,0.00195,5e-05
0.00028335,-0.00039047,0,1,1.8e-06,0.0019518,0.00195,5e-05
0.00028804,-0.00040171,0,1,1.9e-06,0.0019519,0.00195,5e-05
0.00029273,-0.00041295,0,1,2e-06,0.001952,0.00195,5e-05
0.00029742,-0.00042419,0,1,2.1e-06,0.0019521,0.00195,5e-05
0.00030211,-0.00043543,0,1,2.2e-06,0.0019522,0.00195,5e-05
0.0003068,-0.00044667,0,1,2.3e-06,0.0019523,0.00195,5e-05
0.00031149,-0.00045791,0,1,2.4e-06,0.0019524,0.00195,5e-05
0.00031618,-0.00046915,0,1,2.5e-06,0.0019525,0.00195,5e-05
0.00032055,-0.00047787,0,1,2.6e-06,0.0019526,0.00195,5e-05
0.00032493,-0.00048659,0,1,2.7e-06,0.0019527,0.00195,5e-05
0.00032931,-0.00049531,0,1,2.8e-06,0.0019528,0.00195,5e-05
0.00033368,-0.00050403,0,1,2.9e-06,0.0019529,0.00195,5e-05
0.00033806,-0.00051275,0,1,3e-06,0.001953,0.00195,5e-05
0.00034244,-0.00052147,0,1,3.1e-06,0.0019531,0.00195,5e-05
0.00034681,-0.00053019,0,1,3.2e-06,0.0019532,0.00195,5e-05
0.0003512,-0.00053892,0,1,3.3001e-06,0.0019533,0.00195,5e-05
0.00035557,-0.00054763,0,1,3.4e-06,0.0019534,0.00195,5e-05
0.00035995,-0.00055636,0,1,3.5001e-06,0.0019535,0.00195,5e-05
0.00036432,-0.00056507,0,1,3.6e-06,0.0019536,0.00195,5e-05
0.0003687,-0.0005738,0,1,3.7001e-06,0.0019537,0.00195,5e-05
0.00037284,-0.00058174,0,1,3.8e-06,0.0019538,0.00195,5e-05
0.00037675,-0.00058892,0,1,3.9001e-06,0.0019539,0.00195,5e-05
0.00038065,-0.00059608,0,1,4e-06,0.001954,0.00195,5e-05
0.00038456,-0.00060326,0,1,4.1001e-06,0.0019541,0.00195,5e-05
0.00038847,-0.00061042,0,1,4.2e-06,0.0019542,0.00195,5e-05
0.00039238,-0.0006176,0,1,4.3001e-06,0.0019543,0.00195,5e-05
0.00039628,-0.00062476,0,1,4.4e-06,0.0019544,0.00195,5e-05
0.00040019,-0.00063194,0,1,4.5002e-06,0.0019545,0.00195,5e-05
0.0004041,-0.0006391,0,1,4.6e-06,0.0019546,0.00195,5e-05
0.00040801,-0.00064628,0,1,4.7002e-06,0.0019547,0.00195,5e-05
0.00041191,-0.00065345,0,1,4.8e-06,0.0019548,0.00195,5e-05
0.00041582,-0.00066062,0,1,4.9002e-06,0.0019549,0.00195,5e-05
0.00041973,-0.00066779,0,1,5e-06,0.001955,0.00195,5e-05
0.00042314,-0.00067394,0,1,5.1002e-06,0.0019551,0.00195,5e-05
0.00042654,-0.00068008,0,1,5.2e-06,0.0019552,0.00195,5e-05
0.00042995,-0.00068623,0,1,5.3002e-06,0.0019553,0.00195,5e-05
0.00043335,-0.00069237,0,1,5.4e-06,0.0019554,0.00195,5e-05
0.00043676,-0.00069853,0,1,5.5002e-06,0.0019555,0.00195,5e-05
0.00044016,-0.00070467,0,1,5.6e-06,0.0019556,0.00195,5e-05
0.00044357,-0.00071082,0,1,5.7002e-06,0.0019557,0.00195,5e-05
0.00044697,-0.00071696,0,1,5.8e-06,0.0019558,0.00195,5e-05
0.00045039,-0.00072311,0,1,5.9002e-06,0.0019559,0.00195,5e-05
0.00045379,-0.00072925,0,1,6e-06,0.001956,0.00195,5e-05
0.0004572,-0.0007354,0,1,6.1002e-06,0.0019561,0.00195,5e-05
0.0004606,-0.00074154,0,1,6.2e-06,0.0019562,0.00195,5e-05
0.00046379,-0.00074733,0,1,6.3002e-06,0.0019563,0.00195,5e-05
0.00046675,-0.00075274,0,1,6.4e-06,0.0019564,0.00195,5e-05
0.00046972,-0.00075816,0,1,6.5002e-06,0.0019565,0.00195,5e-05
0.00047268,-0.00076357,0,1,6.6001e-06,0.0019566,0.00195,5e-05
0.00047565,-0.00076899,0,1,6.7002e-06,0.0019567,0.00195,5e-05
0.00047861,-0.0007744,0,1,6.8001e-06,0.0019568,0.00195,5e-05
0.00048158,-0.00077982,0,1,6.9002e-06,0.0019569,0.00195,5e-05
0.00048454,-0.00078523,0,1,7.0001e-06,0.001957,0.00195,5e-05
0.00048751,-0.00079064,0,1,7.0999e-06,0.0019571,0.00195,5e-05
0.00049048,-0.00079606,0,1,7.2001e-06,0.0019572,0.00195,5e-05
0.00049344,-0.00080147,0,1,7.2999e-06,0.0019573,0.00195,5e-05
0.00049641,-0.00080689,0,1,7.4001e-06,0.0019574,0.00195,5e-05
0.00049937,-0.0008123,0,1,7.4999e-06,0.0019575,0.00195,5e-05
0.00050195,-0.00081716,0,1,7.6001e-06,0.0019576,0.00195,5e-05
0.00050453,-0.00082201,0,1,7.6999e-06,0.0019577,0.00195,5e-05
0.00050712,-0.00082687,0,1,7.8001e-06,0.0019578,0.00195,5e-05
0.0005097,-0.00083172,0,1,7.8999e-06,0.0019579,0.00195,5e-05
0.00051228,-0.00083658,0,1,8.0001e-06,0.001958,0.00195,5e-05
0.00051486,-0.00084143,0,1,8.0999e-06,0.0019581,0.00195,5e-05
0.00051745,-0.00084629,0,1,8.2001e-06,0.0019582,0.00195,5e-05
0.00052003,-0.00085114,0,1,8.2999e-06,0.0019583,0.00195,5e-05
0.00052262,-0.000856,0,1,8.4001e-06,0.0019584,0.00195,5e-05
0.00052519,-0.00086085,0,1,8.4999e-06,0.0019585,0.00195,5e-05
0.00052778,-0.00086571,0,1,8.6001e-06,0.0019586,0.00195,5e-05
0.00053036,-0.00087056,0,1,8.6999e-06,0.0019587,0.00195,5e-05
0.00053278,-0.00087519,0,1,8.8001e-06,0.0019588,0.00195,5e-05
0.00053502,-0.00087959,0,1,8.9e-06,0.0019589,0.00195,5e-05
0.00053727,-0.000884,0,1,9.0001e-06,0.001959,0.00195,5e-05
0.00053951,-0.0008884,0,1,9.1e-06,0.0019591,0.00195,5e-05
0.00054175,-0.0008928,0,1,9.2001e-06,0.0019592,0.00195,5e-05
0.000544,-0.0008972,0,1,9.3e-06,0.0019593,0.00195,5e-05
0.00054624,-0.00090161,0,1,9.4001e-06,0.0019594,0.00195,5e-05
0.00054849,-0.00090601,0,1,9.5e-06,0.0019595,0.00195,5e-05
0.00055073,-0.00091042,0,1,9.6001e-06,0.0019596,0.00195,5e-05
0.00055298,-0.00091482,0,1,9.7e-06,0.0019597,0.00195,5e-05
0.00055522,-0.00091922,0,1,9.8001e-06,0.0019598,0.00195,5e-05
0.00055746,-0.00092362,0,1,9.9e-06,0.0019599,0.00195,5e-05
0.00055971,-0.00092803,0,1,1e-05,0.00196,0.00195,5e-05
0.00056165,-0.00093205,0,1,1.01e-05,0.0019601,0.00195,5e-05
0.0005636,-0.00093608,0,1,1.02e-05,0.0019602,0.00195,5e-05
0.00056554,-0.0009401,0,1,1.03e-05,0.0019603,0.00195,5e-05
0.00056748,-0.00094413,0,1,1.04e-05,0.0019604,0.00195,5e-05
0.00056943,-0.00094815,0,1,1.05e-05,0.0019605,0.00195,5e-05
0.00057137,-0.00095218,0,1,1.06e-05,0.0019606,0.00195,5e-05
0.00057331,-0.0009562,0,1,1.07e-05,0.0019607,0.00195,5e-05
0.00057526,-0.00096022,0,1,1.08e-05,0.0019608,0.00195,5e-05
0.0005772,-0.00096424,0,1,1.09e-05,0.0019609,0.00195,5e-05
0.00057914,-0.00096827,0,1,1.1e-05,0.001961,0.00195,5e-05
0.00058108,-0.00097229,0,1,1.11e-05,0.0019611,0.00195,5e-05
0.00058303,-0.00097632,0,1,1.12e-05,0.0019612,0.00195,5e-05
0.00058484,-0.00098018,0,1,1.13e-05,0.0019613,0.00195,5e-05
0.00058651,-0.00098388,0,1,1.14e-05,0.0019614,0.00195,5e-05
0.00058818,-0.00098757,0,1,1.15e-05,0.0019615,0.00195,5e-05
0.00058986,-0.00099127,0,1,1.16e-05,0.0019616,0.00195,5e-05
0.00059153,-0.00099497,0,1,1.17e-05,0.0019617,0.00195,5e-05
0.0005932,-0.00099867,0,1,1.18e-05,0.0019618,0.00195,5e-05
0.00059487,-0.0010024,0,1,1.19e-05,0.0019619,0.00195,5e-05
0.00059655,-0.0010061,0,1,1.2e-05,0.001962,0.00195,5e-05
0.00059822,-0.0010098,0,1,1.21e-05,0.0019621,0.00195,5e-05
0.00059989,-0.0010135,0,1,1.22e-05,0.0019622,0.00195,5e-05
0.00060157,-0.0010171,0,1,1.23e-05,0.0019623,0.00195,5e-05
0.00060324,-0.0010209,0,1,1.24e-05,0.0019624,0.00195,5e-05
0.00060491,-0.0010245,0,1,1.25e-05,0.0019625,0.00195,5e-05
0.00060634,-0.001028,0,1,1.26e-05,0.0019626,0.00195,5e-05
0.00060777,-0.0010314,0,1,1.27e-05,0.0019627,0.00195,5e-05
0.0006092,-0.0010348,0,1,1.28e-05,0.0019628,0.00195,5e-05
0.00061063,-0.0010382,0,1,1.29e-05,0.0019629,0.00195,5e-05
0.00061206,-0.0010416,0,1,1.3e-05,0.001963,0.00195,5e-05
0.00061349,-0.001045,0,1,1.31e-05,0.0019631,0.00195,5e-05
0.00061492,-0.0010484,0,1,1.32e-05,0.0019632,0.00195,5e-05
0.00061635,-0.0010518,0,1,1.33e-05,0.0019633,0.00195,5e-05
0.00061778,-0.0010552,0,1,1.34e-05,0.0019634,0.00195,5e-05
0.0006192,-0.0010586,0,1,1.35e-05,0.0019635,0.00195,5e-05
0.00062063,-0.001062,0,1,1.36e-05,0.0019636,0.00195,5e-05
0.00062206,-0.0010654,0,1,1.37e-05,0.0019637,0.00195,5e-05
0.00062338,-0.0010687,0,1,1.38e-05,0.0019638,0.00195,5e-05
0.00062459,-0.0010718,0,1,1.39e-05,0.0019639,0.00195,5e-05
0.0006258,-0.001075,0,1,1.4e-05,0.001964,0.00195,5e-05
0.00062701,-0.0010781,0,1,1.41e-05,0.0019641,0.00195,5e-05
0.00062822,-0.0010813,0,1,1.42e-05,0.0019642,0.00195,5e-05
0.00062942,-0.0010844,0,1,1.43e-05,0.0019643,0.00195,5e-05
0.00063063,-0.0010876,0,1,1.44e-05,0.0019644,0.00195,5e-05
0.00063184,-0.0010907,0,1,1.45e-05,0.0019645,0.00195,5e-05
0.00063305,-0.0010939,0,1,1.46e-05,0.0019646,0.00195,5e-05
0.00063426,-0.001097,0,1,1.47e-05,0.0019647,0.00195,5e-05
0.00063547,-0.0011001,0,1,1.48e-05,0.0019648,0.00195,5e-05
0.00063667,-0.0011033,0,1,1.49e-05,0.0019649,0.00195,5e-05
0.00063788,-0.0011064,0,1,1.5e-05,0.001965,0.00195,5e-05
0.00063889,-0.0011093,0,1,1.51e-05,0.0019651,0.00195,5e-05
0.0006399,-0.0011123,0,1,1.52e-05,0.0019652,0.00195,5e-05
0.0006409,-0.0011152,0,1,1.53e-05,0.0019653,0.00195,5e-05
0.00064191,-0.0011181,0,1,1.54e-05,0.0019654,0.00195,5e-05
0.00064292,-0.001121,0,1,1.55e-05,0.0019655,0.00195,5e-05
0.00064393,-0.0011239,0,1,1.56e-05,0.0019656,0.00195,5e-05
0.00064493,-0.0011268,0,1,1.57e-05,0.0019657,0.00195,5e-05
0.00064594,-0.0011297,0,1,1.58e-05,0.0019658,0.00195,5e-05
0.00064695,-0.0011326,0,1,1.59e-05,0.0019659,0.00195,5e-05
0.00064796,-0.0011355,0,1,1.6e-05,0.001966,0.00195,5e-05
0.00064896,-0.0011384,0,1,1.61e-05,0.0019661,0.00195,5e-05
0.00064997,-0.0011413,0,1,1.62e-05,0.0019662,0.00195,5e-05
0.00065088,-0.0011441,0,1,1.63e-05,0.0019663,0.00195,5e-05
0.00065171,-0.0011468,0,1,1.64e-05,0.0019664,0.00195,5e-05
0.00065253,-0.0011495,0,1,1.65e-05,0.0019665,0.00195,5e-05
0.00065335,-0.0011522,0,1,1.66e-05,0.0019666,0.00195,5e-05
0.00065417,-0.0011549,0,1,1.67e-05,0.0019667,0.00195,5e-05
0.000655,-0.0011576,0,1,1.68e-05,0.0019668,0.00195,5e-05
