"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,1,0,0.001,0.00195,5e-05
1.248e-05,-4.5037e-15,0,1,1e-07,0.001,0.0019501,5e-05
2.4959e-05,-9.0073e-15,0,1,2e-07,0.001,0.0019502,5e-05
3.7439e-05,-1.3511e-14,0,1,3e-07,0.001,0.0019503,5e-05
4.9918e-05,-1.8015e-14,0,1,4e-07,0.001,0.0019504,5e-05
6.2398e-05,-2.2518e-14,0,1,5e-07,0.001,0.0019505,5e-05
7.4878e-05,-2.7022e-14,0,1,6e-07,0.001,0.0019506,5e-05
8.7357e-05,-3.1526e-14,0,1,7.0001e-07,0.001,0.0019507,5e-05
9.9837e-05,-3.6029e-14,0,1,8.0001e-07,0.001,0.0019508,5e-05
0.00011232,-4.0533e-14,0,1,9.0001e-07,0.001,0.0019509,5e-05
0.0001248,-4.5037e-14,0,1,1e-06,0.001,0.001951,5e-05
0.00013728,-4.954e-14,0,1,1.1e-06,0.001,0.0019511,5e-05
0.00014976,-5.4044e-14,0,1,1.2e-06,0.001,0.0019512,5e-05
0.00016208,-5.9752e-14,0,1,1.3e-06,0.001,0.0019513,5e-05
0.00017424,-6.6666e-14,0,1,1.4e-06,0.001,0.0019514,5e-05
0.00018641,-7.358e-14,0,1,1.5e-06,0.001,0.0019515,5e-05
0.00019857,-8.0495e-14,0,1,1.6e-06,0.001,0.0019516,5e-05
0.00021074,-8.7409e-14,0,1,1.7e-06,0.001,0.0019517,5e-05
0.0002229,-9.4324e-14,0,1,1.8e-06,0.001,0.0019518,5e-05
0.00023507,-1.0124e-13,0,1,1.9e-06,0.001,0.0019519,5e-05
0.00024723,-1.0815e-13,0,1,2e-06,0.001,0.001952,5e-05
0.0002594,-1.1507e-13,0,1,2.1e-06,0.001,0.0019521,5e-05
0.00027156,-1.2198e-13,0,1,2.2e-06,0.001,0.0019522,5e-05
0.00028372,-1.289e-13,0,1,2.3e-06,0.001,0.0019523,5e-05
0.00029589,-1.3581e-13,0,1,2.4e-06,0.001,0.0019524,5e-05
0.00030805,-1.4272e-13,0,1,2.5e-06,0.001,0.0019525,5e-05
0.0003199,-1.5073e-13,0,1,2.6e-06,0.001,0.0019526,5e-05
0.00033175,-1.5873e-13,0,1,2.7e-06,0.001,0.0019527,5e-05
0.0003436,-1.6673e-13,0,1,2.8e-06,0.001,0.0019528,5e-05
0.00035545,-1.7473e-13,0,1,2.9e-06,0.001,0.0019529,5e-05
0.0003673,-1.8273e-13,0,1,3e-06,0.001,0.001953,5e-05
0.00037915,-1.9073e-13,0,1,3.1e-06,0.001,0.0019531,5e-05
0.00039099,-1.9874e-13,0,1,3.2e-06,0.001,0.0019532,5e-05
0.00040286,-2.0675e-13,0,1,3.3001e-06,0.001,0.0019533,5e-05
0.00041469,-2.1474e-13,0,1,3.4e-06,0.001,0.0019534,5e-05
0.00042655,-2.2275e-13,0,1,3.5001e-06,0.001,0.0019535,5e-05
0.00043839,-2.3074e-13,0,1,3.6e-06,0.001,0.0019536,5e-05
0.00045025,-2.3875e-13,0,1,3.7001e-06,0.001,0.0019537,5e-05
0.00046193,-2.464e-13,0,1,3.8e-06,0.001,0.0019538,5e-05
0.00047347,-2.5372e-13,0,1,3.9001e-06,0.001,0.0019539,5e-05
0.00048499,-2.6103e-13,0,1,4e-06,0.001,0.001954,5e-05
0.00049654,-2.6835e-13,0,1,4.1001e-06,0.001,0.0019541,5e-05
0.00050805,-2.7566e-13,0,1,4.2e-06,0.001,0.0019542,5e-05
0.0005196,-2.8298e-13,0,1,4.3001e-06,0.001,0.0019543,5e-05
0.00053112,-2.9028e-13,0,1,4.4e-06,0.001,0.0019544,5e-05
0.00054266,-2.976e-13,0,1,4.5002e-06,0.001,0.0019545,5e-05
0.00055418,-3.0491e-13,0,1,4.6e-06,0.001,0.0019546,5e-05
0.00056572,-3.1223e-13,0,1,4.7002e-06,0.001,0.0019547,5e-05
0.00057724,-3.1954e-13,0,1,4.8e-06,0.001,0.0019548,5e-05
0.00058879,-3.2686e-13,0,1,4.9002e-06,0.001,0.0019549,5e-05
0.00060031,-3.3416e-13,0,1,5e-06,0.001,0.001955,5e-05
0.00061153,-3.4023e-13,0,1,5.1002e-06,0.001,0.0019551,5e-05
0.00062274,-3.4628e-13,0,1,5.2e-06,0.001,0.0019552,5e-05
0.00063397,-3.5234e-13,0,1,5.3002e-06,0.001,0.0019553,5e-05
0.00064517,-3.584e-13,0,1,5.4e-06,0.001,0.0019554,5e-05
0.0006564,-3.6446e-13,0,1,5.5002e-06,0.001,0.0019555,5e-05
0.0006676,-3.7051e-13,0,1,5.6e-06,0.001,0.0019556,5e-05
0.00067883,-3.7658e-13,0,1,5.7002e-06,0.001,0.0019557,5e-05
0.00069003,-3.8263e-13,0,1,5.8e-06,0.001,0.0019558,5e-05
0.00070126,-3.8869e-13,0,1,5.9002e-06,0.001,0.0019559,5e-05
0.00071246,-3.9475e-13,0,1,6e-06,0.001,0.001956,5e-05
0.00072369,-4.0081e-13,0,1,6.1002e-06,0.001,0.0019561,5e-05
0.00073489,-4.0686e-13,0,1,6.2e-06,0.001,0.0019562,5e-05
0.00074596,-4.1224e-13,0,1,6.3002e-06,0.001,0.0019563,5e-05
0.00075685,-4.1692e-13,0,1,6.4e-06,0.001,0.0019564,5e-05
0.00076777,-4.2161e-13,0,1,6.5002e-06,0.001,0.0019565,5e-05
0.00077866,-4.2629e-13,0,1,6.6001e-06,0.001,0.0019566,5e-05
0.00078957,-4.3098e-13,0,1,6.7002e-06,0.001,0.0019567,5e-05
0.00080046,-4.3566e-13,0,1,6.8001e-06,0.001,0.0019568,5e-05
0.00081137,-4.4035e-13,0,1,6.9002e-06,0.001,0.0019569,5e-05
0.00082226,-4.4503e-13,0,1,7.0001e-06,0.001,0.001957,5e-05
0.00083315,-4.497e-13,0,1,7.0999e-06,0.001,0.0019571,5e-05
0.00084406,-4.5439e-13,0,1,7.2001e-06,0.001,0.0019572,5e-05
0.00085495,-4.5907e-13,0,1,7.2999e-06,0.001,0.0019573,5e-05
0.00086587,-4.6376e-13,0,1,7.4001e-06,0.001,0.0019574,5e-05
0.00087676,-4.6844e-13,0,1,7.4999e-06,0.001,0.0019575,5e-05
0.00088735,-4.7193e-13,0,1,7.6001e-06,0.001,0.0019576,5e-05
0.00089792,-4.7541e-13,0,1,7.6999e-06,0.001,0.0019577,5e-05
0.00090852,-4.7891e-13,0,1,7.8001e-06,0.001,0.0019578,5e-05
0.00091909,-4.8239e-13,0,1,7.8999e-06,0.001,0.0019579,5e-05
0.00092969,-4.8588e-13,0,1,8.0001e-06,0.001,0.001958,5e-05
0.00094026,-4.8936e-13,0,1,8.0999e-06,0.001,0.0019581,5e-05
0.00095085,-4.9285e-13,0,1,8.2001e-06,0.001,0.0019582,5e-05
0.00096142,-4.9633e-13,0,1,8.2999e-06,0.001,0.0019583,5e-05
0.00097202,-4.9982e-13,0,1,8.4001e-06,0.001,0.0019584,5e-05
0.00098259,-5.0331e-13,0,1,8.4999e-06,0.001,0.0019585,5e-05
0.00099319,-5.068e-13,0,1,8.6001e-06,0.001,0.0019586,5e-05
0.0010038,-5.1028e-13,0,1,8.6999e-06,0.001,0.0019587,5e-05
0.0010142,-5.1327e-13,0,1,8.8001e-06,0.001,0.0019588,5e-05
