x,f(x)
0,0.3992
0.01,0.3993
0.02,0.3995
0.03,0.3998
0.04,0.4003
0.05,0.4009
0.06,0.4016
0.07,0.4025
0.08,0.4035
0.09,0.4046
0.1,0.4059
0.11,0.4074
0.12,0.409
0.13,0.4107
0.14,0.4126
0.15,0.4147
0.16,0.4169
0.17,0.4193
0.18,0.4219
0.19,0.4246
0.2,0.4275
0.21,0.4306
0.22,0.4339
0.23,0.4374
0.24,0.4411
0.25,0.445
0.26,0.449
0.27,0.4533
0.28,0.4577
0.29,0.4624
0.3,0.4673
0.31,0.4723
0.32,0.4776
0.33,0.4831
0.34,0.4887
0.35,0.4946
0.36,0.5007
0.37,0.5069
0.38,0.5133
0.39,0.5199
0.4,0.5267
0.41,0.5337
0.42,0.5408
0.43,0.5481
0.44,0.5556
0.45,0.5631
0.46,0.5709
0.47,0.5787
0.48,0.5867
0.49,0.5947
0.5,0.6029
0.51,0.6111
0.52,0.6195
0.53,0.6279
0.54,0.6363
0.55,0.6448
0.56,0.6533
0.57,0.6619
0.58,0.6704
0.59,0.679
0.6,0.6875
0.61,0.696
0.62,0.7044
0.63,0.7128
0.64,0.7212
0.65,0.7294
0.66,0.7376
0.67,0.7456
0.68,0.7536
0.69,0.7614
0.7,0.7691
0.71,0.7766
0.72,0.784
0.73,0.7912
0.74,0.7982
0.75,0.805
0.76,0.8117
0.77,0.8181
0.78,0.8244
0.79,0.8304
0.8,0.8361
0.81,0.8417
0.82,0.847
0.83,0.852
0.84,0.8568
0.85,0.8613
0.86,0.8656
0.87,0.8696
0.88,0.8733
0.89,0.8767
0.9,0.8798
0.91,0.8827
0.92,0.8853
0.93,0.8875
0.94,0.8895
0.95,0.8912
0.96,0.8925
0.97,0.8936
0.98,0.8944
0.99,0.8948
1,0.895
