x,f(x)
0,0.8579
0.01,0.8579
0.02,0.8579
0.03,0.8579
0.04,0.8579
0.05,0.8579
0.06,0.8579
0.07,0.8579
0.08,0.8579
0.09,0.8579
0.1,0.8579
0.11,0.8579
0.12,0.8579
0.13,0.858
0.14,0.858
0.15,0.858
0.16,0.858
0.17,0.858
0.18,0.858
0.19,0.858
0.2,0.858
0.21,0.858
0.22,0.858
0.23,0.858
0.24,0.858
0.25,0.858
0.26,0.858
0.27,0.858
0.28,0.858
0.29,0.858
0.3,0.858
0.31,0.858
0.32,0.858
0.33,0.858
0.34,0.8581
0.35,0.8581
0.36,0.8581
0.37,0.8581
0.38,0.8581
0.39,0.8581
0.4,0.8581
0.41,0.8581
0.42,0.8581
0.43,0.8581
0.44,0.8581
0.45,0.8581
0.46,0.8581
0.47,0.8581
0.48,0.8581
0.49,0.8582
0.5,0.8582
0.51,0.8582
0.52,0.8582
0.53,0.8582
0.54,0.8582
0.55,0.8582
0.56,0.8582
0.57,0.8582
0.58,0.8582
0.59,0.8582
0.6,0.8582
0.61,0.8582
0.62,0.8582
0.63,0.8583
0.64,0.8583
0.65,0.8583
0.66,0.8583
0.67,0.8583
0.68,0.8583
0.69,0.8583
0.7,0.8583
0.71,0.8583
0.72,0.8583
0.73,0.8583
0.74,0.8583
0.75,0.8583
0.76,0.8583
0.77,0.8583
0.78,0.8583
0.79,0.8583
0.8,0.8583
0.81,0.8584
0.82,0.8584
0.83,0.8584
0.84,0.8584
0.85,0.8584
0.86,0.8584
0.87,0.8584
0.88,0.8584
0.89,0.8584
0.9,0.8584
0.91,0.8584
0.92,0.8584
0.93,0.8584
0.94,0.8584
0.95,0.8584
0.96,0.8584
0.97,0.8584
0.98,0.8584
0.99,0.8584
1,0.8584
