x,f(x)
0,0.4938
0.001,0.4938
0.002,0.4938
0.003,0.4938
0.004,0.4938
0.005,0.4937
0.006,0.4937
0.007,0.4937
0.008,0.4937
0.009,0.4936
0.01,0.4936
0.011,0.4935
0.012,0.4935
0.013,0.4934
0.014,0.4934
0.015,0.4933
0.016,0.4932
0.017,0.4932
0.018,0.4931
0.019,0.493
0.02,0.4929
0.021,0.4928
0.022,0.4927
0.023,0.4926
0.024,0.4925
0.025,0.4924
0.026,0.4923
0.027,0.4922
0.028,0.492
0.029,0.4919
0.03,0.4918
0.031,0.4916
0.032,0.4915
0.033,0.4913
0.034,0.4912
0.035,0.491
0.036,0.4909
0.037,0.4907
0.038,0.4905
0.039,0.4903
0.04,0.4901
0.041,0.4899
0.042,0.4897
0.043,0.4895
0.044,0.4893
0.045,0.4891
0.046,0.4889
0.047,0.4887
0.048,0.4884
0.049,0.4882
0.05,0.488
0.051,0.4877
0.052,0.4874
0.053,0.4872
0.054,0.4869
0.055,0.4866
0.056,0.4864
0.057,0.4861
0.058,0.4858
0.059,0.4855
0.06,0.4852
0.061,0.4848
0.062,0.4845
0.063,0.4842
0.064,0.4839
0.065,0.4835
0.066,0.4832
0.067,0.4828
0.068,0.4824
0.069,0.4821
0.07,0.4817
0.071,0.4813
0.072,0.4809
0.073,0.4805
0.074,0.4801
0.075,0.4797
0.076,0.4793
0.077,0.4788
0.078,0.4784
0.079,0.4779
0.08,0.4775
0.081,0.477
0.082,0.4766
0.083,0.4761
0.084,0.4756
0.085,0.4751
0.086,0.4746
0.087,0.4741
0.088,0.4735
0.089,0.473
0.09,0.4725
0.091,0.4719
0.092,0.4713
0.093,0.4708
0.094,0.4702
0.095,0.4696
0.096,0.469
0.097,0.4684
0.098,0.4678
0.099,0.4671
0.1,0.4665
0.101,0.4659
0.102,0.4652
0.103,0.4645
0.104,0.4639
0.105,0.4632
0.106,0.4625
0.107,0.4618
0.108,0.4611
0.109,0.4603
0.11,0.4596
0.111,0.4588
0.112,0.4581
0.113,0.4573
0.114,0.4565
0.115,0.4557
0.116,0.4549
0.117,0.4541
0.118,0.4533
0.119,0.4525
0.12,0.4516
0.121,0.4508
0.122,0.4499
0.123,0.449
0.124,0.4481
0.125,0.4472
0.126,0.4463
0.127,0.4454
0.128,0.4444
0.129,0.4435
0.13,0.4425
0.131,0.4416
0.132,0.4406
0.133,0.4396
0.134,0.4386
0.135,0.4376
0.136,0.4365
0.137,0.4355
0.138,0.4344
0.139,0.4334
0.14,0.4323
0.141,0.4312
0.142,0.4301
0.143,0.429
0.144,0.4279
0.145,0.4267
0.146,0.4256
0.147,0.4244
0.148,0.4233
0.149,0.4221
0.15,0.4209
0.151,0.4197
0.152,0.4185
0.153,0.4172
0.154,0.416
0.155,0.4147
0.156,0.4135
0.157,0.4122
0.158,0.4109
0.159,0.4096
0.16,0.4083
0.161,0.407
0.162,0.4056
0.163,0.4043
0.164,0.4029
0.165,0.4016
0.166,0.4002
0.167,0.3988
0.168,0.3974
0.169,0.396
0.17,0.3945
0.171,0.3931
0.172,0.3917
0.173,0.3902
0.174,0.3887
0.175,0.3873
0.176,0.3858
0.177,0.3843
0.178,0.3828
0.179,0.3812
0.18,0.3797
0.181,0.3782
0.182,0.3766
0.183,0.375
0.184,0.3735
0.185,0.3719
0.186,0.3703
0.187,0.3687
0.188,0.3671
0.189,0.3655
0.19,0.3638
0.191,0.3622
0.192,0.3606
0.193,0.3589
0.194,0.3572
0.195,0.3556
0.196,0.3539
0.197,0.3522
0.198,0.3505
0.199,0.3488
0.2,0.3471
0.201,0.3454
0.202,0.3436
0.203,0.3419
0.204,0.3402
0.205,0.3384
0.206,0.3367
0.207,0.3349
0.208,0.3331
0.209,0.3314
0.21,0.3296
0.211,0.3278
0.212,0.326
0.213,0.3242
0.214,0.3224
0.215,0.3206
0.216,0.3188
0.217,0.317
0.218,0.3152
0.219,0.3133
0.22,0.3115
0.221,0.3097
0.222,0.3078
0.223,0.306
0.224,0.3042
0.225,0.3023
0.226,0.3005
0.227,0.2986
0.228,0.2968
0.229,0.2949
0.23,0.2931
0.231,0.2912
0.232,0.2894
0.233,0.2875
0.234,0.2857
0.235,0.2838
0.236,0.282
0.237,0.2801
0.238,0.2783
0.239,0.2764
0.24,0.2746
0.241,0.2727
0.242,0.2709
0.243,0.269
0.244,0.2672
0.245,0.2654
0.246,0.2635
0.247,0.2617
0.248,0.2599
0.249,0.258
0.25,0.2562
0.251,0.2544
0.252,0.2526
0.253,0.2508
0.254,0.249
0.255,0.2472
0.256,0.2454
0.257,0.2436
0.258,0.2418
0.259,0.24
0.26,0.2383
0.261,0.2365
0.262,0.2348
0.263,0.233
0.264,0.2313
0.265,0.2296
0.266,0.2279
0.267,0.2262
0.268,0.2245
0.269,0.2228
0.27,0.2211
0.271,0.2194
0.272,0.2178
0.273,0.2161
0.274,0.2145
0.275,0.2129
0.276,0.2113
0.277,0.2097
0.278,0.2081
0.279,0.2065
0.28,0.2049
0.281,0.2034
0.282,0.2019
0.283,0.2004
0.284,0.1989
0.285,0.1974
0.286,0.1959
0.287,0.1944
0.288,0.193
0.289,0.1916
0.29,0.1902
0.291,0.1888
0.292,0.1874
0.293,0.186
0.294,0.1847
0.295,0.1834
0.296,0.1821
0.297,0.1808
0.298,0.1795
0.299,0.1782
0.3,0.177
0.301,0.1758
0.302,0.1746
0.303,0.1734
0.304,0.1723
0.305,0.1712
0.306,0.1701
0.307,0.169
0.308,0.1679
0.309,0.1669
0.31,0.1658
0.311,0.1648
0.312,0.1639
0.313,0.1629
0.314,0.162
0.315,0.1611
0.316,0.1602
0.317,0.1593
0.318,0.1585
0.319,0.1577
0.32,0.1569
0.321,0.1562
0.322,0.1554
0.323,0.1547
0.324,0.154
0.325,0.1534
0.326,0.1527
0.327,0.1521
0.328,0.1516
0.329,0.151
0.33,0.1505
0.331,0.15
0.332,0.1495
0.333,0.1491
0.334,0.1487
0.335,0.1483
0.336,0.1479
0.337,0.1476
0.338,0.1473
0.339,0.1471
0.34,0.1468
0.341,0.1466
0.342,0.1464
0.343,0.1463
0.344,0.1462
0.345,0.1461
0.346,0.146
0.347,0.146
0.348,0.146
0.349,0.1461
0.35,0.1461
0.351,0.1462
0.352,0.1464
0.353,0.1465
0.354,0.1467
0.355,0.147
0.356,0.1472
0.357,0.1475
0.358,0.1478
0.359,0.1482
0.36,0.1486
0.361,0.149
0.362,0.1495
0.363,0.15
0.364,0.1505
0.365,0.151
0.366,0.1516
0.367,0.1523
0.368,0.1529
0.369,0.1536
0.37,0.1543
0.371,0.1551
0.372,0.1559
0.373,0.1567
0.374,0.1576
0.375,0.1585
0.376,0.1594
0.377,0.1604
0.378,0.1614
0.379,0.1624
0.38,0.1635
0.381,0.1646
0.382,0.1657
0.383,0.1669
0.384,0.1681
0.385,0.1693
0.386,0.1706
0.387,0.1719
0.388,0.1733
0.389,0.1746
0.39,0.176
0.391,0.1775
0.392,0.179
0.393,0.1805
0.394,0.182
0.395,0.1836
0.396,0.1852
0.397,0.1869
0.398,0.1886
0.399,0.1903
0.4,0.1921
0.401,0.1938
0.402,0.1957
0.403,0.1975
0.404,0.1994
0.405,0.2013
0.406,0.2033
0.407,0.2053
