x,f(x)
0,0.4938
0.001,0.4938
0.002,0.4938
0.003,0.4938
0.004,0.4938
0.005,0.4938
0.006,0.4937
0.007,0.4937
0.008,0.4937
0.009,0.4937
0.01,0.4937
0.011,0.4936
0.012,0.4936
0.013,0.4936
0.014,0.4935
0.015,0.4935
0.016,0.4934
0.017,0.4934
0.018,0.4933
0.019,0.4933
0.02,0.4932
0.021,0.4932
0.022,0.4931
0.023,0.4931
0.024,0.493
0.025,0.4929
0.026,0.4929
0.027,0.4928
0.028,0.4927
0.029,0.4926
0.03,0.4925
0.031,0.4925
0.032,0.4924
0.033,0.4923
0.034,0.4922
0.035,0.4921
0.036,0.492
0.037,0.4919
0.038,0.4918
0.039,0.4917
0.04,0.4915
0.041,0.4914
0.042,0.4913
0.043,0.4912
0.044,0.4911
0.045,0.4909
0.046,0.4908
0.047,0.4907
0.048,0.4905
0.049,0.4904
0.05,0.4902
0.051,0.4901
0.052,0.4899
0.053,0.4898
0.054,0.4896
0.055,0.4894
0.056,0.4893
0.057,0.4891
0.058,0.4889
0.059,0.4887
0.06,0.4886
0.061,0.4884
0.062,0.4882
0.063,0.488
0.064,0.4878
0.065,0.4876
0.066,0.4874
0.067,0.4872
0.068,0.487
0.069,0.4868
0.07,0.4865
0.071,0.4863
0.072,0.4861
0.073,0.4859
0.074,0.4856
0.075,0.4854
0.076,0.4851
0.077,0.4849
0.078,0.4846
0.079,0.4844
0.08,0.4841
0.081,0.4838
0.082,0.4836
0.083,0.4833
0.084,0.483
0.085,0.4827
0.086,0.4825
0.087,0.4822
0.088,0.4819
0.089,0.4816
0.09,0.4813
0.091,0.4809
0.092,0.4806
0.093,0.4803
0.094,0.48
0.095,0.4796
0.096,0.4793
0.097,0.479
0.098,0.4786
0.099,0.4783
0.1,0.4779
0.101,0.4776
0.102,0.4772
0.103,0.4768
0.104,0.4764
0.105,0.4761
0.106,0.4757
0.107,0.4753
0.108,0.4749
0.109,0.4745
0.11,0.4741
0.111,0.4737
0.112,0.4732
0.113,0.4728
0.114,0.4724
0.115,0.4719
0.116,0.4715
0.117,0.4711
0.118,0.4706
0.119,0.4701
0.12,0.4697
0.121,0.4692
0.122,0.4687
0.123,0.4682
0.124,0.4677
0.125,0.4673
0.126,0.4668
0.127,0.4662
0.128,0.4657
0.129,0.4652
0.13,0.4647
0.131,0.4642
0.132,0.4636
0.133,0.4631
0.134,0.4625
0.135,0.462
0.136,0.4614
0.137,0.4608
0.138,0.4602
0.139,0.4597
0.14,0.4591
0.141,0.4585
0.142,0.4579
0.143,0.4573
0.144,0.4566
0.145,0.456
0.146,0.4554
0.147,0.4548
0.148,0.4541
0.149,0.4535
0.15,0.4528
0.151,0.4521
0.152,0.4515
0.153,0.4508
0.154,0.4501
0.155,0.4494
0.156,0.4487
0.157,0.448
0.158,0.4473
0.159,0.4466
0.16,0.4458
0.161,0.4451
0.162,0.4444
0.163,0.4436
0.164,0.4429
0.165,0.4421
0.166,0.4413
0.167,0.4405
0.168,0.4398
0.169,0.439
0.17,0.4382
0.171,0.4374
0.172,0.4365
0.173,0.4357
0.174,0.4349
0.175,0.4341
0.176,0.4332
0.177,0.4324
0.178,0.4315
0.179,0.4306
0.18,0.4298
0.181,0.4289
0.182,0.428
0.183,0.4271
0.184,0.4262
0.185,0.4253
0.186,0.4244
0.187,0.4234
0.188,0.4225
0.189,0.4216
0.19,0.4206
0.191,0.4197
0.192,0.4187
0.193,0.4177
0.194,0.4168
0.195,0.4158
0.196,0.4148
0.197,0.4138
0.198,0.4128
0.199,0.4118
0.2,0.4107
0.201,0.4097
0.202,0.4087
0.203,0.4076
0.204,0.4066
0.205,0.4055
0.206,0.4045
0.207,0.4034
0.208,0.4023
0.209,0.4012
0.21,0.4001
0.211,0.399
0.212,0.3979
0.213,0.3968
0.214,0.3957
0.215,0.3946
0.216,0.3934
0.217,0.3923
0.218,0.3911
0.219,0.39
0.22,0.3888
0.221,0.3876
0.222,0.3865
0.223,0.3853
0.224,0.3841
0.225,0.3829
0.226,0.3817
0.227,0.3805
0.228,0.3793
0.229,0.3781
0.23,0.3768
0.231,0.3756
0.232,0.3744
0.233,0.3731
0.234,0.3719
0.235,0.3706
0.236,0.3693
0.237,0.3681
0.238,0.3668
0.239,0.3655
0.24,0.3642
0.241,0.3629
0.242,0.3616
0.243,0.3603
0.244,0.359
0.245,0.3577
0.246,0.3564
0.247,0.3551
0.248,0.3537
0.249,0.3524
0.25,0.3511
0.251,0.3497
0.252,0.3484
0.253,0.347
0.254,0.3457
0.255,0.3443
0.256,0.3429
0.257,0.3415
0.258,0.3402
0.259,0.3388
0.26,0.3374
0.261,0.336
0.262,0.3346
0.263,0.3332
0.264,0.3318
0.265,0.3304
0.266,0.329
0.267,0.3276
0.268,0.3262
0.269,0.3248
0.27,0.3233
0.271,0.3219
0.272,0.3205
0.273,0.3191
0.274,0.3176
0.275,0.3162
0.276,0.3148
0.277,0.3133
0.278,0.3119
0.279,0.3104
0.28,0.309
0.281,0.3075
0.282,0.3061
0.283,0.3046
0.284,0.3032
0.285,0.3017
0.286,0.3002
0.287,0.2988
0.288,0.2973
0.289,0.2959
0.29,0.2944
0.291,0.2929
0.292,0.2915
0.293,0.29
0.294,0.2885
0.295,0.2871
0.296,0.2856
0.297,0.2842
0.298,0.2827
0.299,0.2812
0.3,0.2798
0.301,0.2783
0.302,0.2768
0.303,0.2754
0.304,0.2739
0.305,0.2724
0.306,0.271
0.307,0.2695
0.308,0.2681
0.309,0.2666
0.31,0.2652
0.311,0.2637
0.312,0.2623
0.313,0.2608
0.314,0.2594
0.315,0.2579
0.316,0.2565
0.317,0.255
0.318,0.2536
0.319,0.2522
0.32,0.2507
0.321,0.2493
0.322,0.2479
0.323,0.2465
0.324,0.2451
0.325,0.2437
0.326,0.2423
0.327,0.2408
0.328,0.2394
0.329,0.2381
0.33,0.2367
0.331,0.2353
0.332,0.2339
0.333,0.2325
0.334,0.2312
0.335,0.2298
0.336,0.2284
0.337,0.2271
0.338,0.2257
0.339,0.2244
0.34,0.2231
0.341,0.2217
0.342,0.2204
0.343,0.2191
0.344,0.2178
0.345,0.2165
0.346,0.2152
0.347,0.2139
0.348,0.2126
0.349,0.2114
0.35,0.2101
0.351,0.2088
0.352,0.2076
0.353,0.2063
0.354,0.2051
0.355,0.2039
0.356,0.2027
0.357,0.2015
0.358,0.2003
0.359,0.1991
0.36,0.1979
0.361,0.1967
0.362,0.1956
0.363,0.1944
0.364,0.1933
0.365,0.1921
0.366,0.191
0.367,0.1899
0.368,0.1888
0.369,0.1877
0.37,0.1866
0.371,0.1856
0.372,0.1845
0.373,0.1835
0.374,0.1824
0.375,0.1814
0.376,0.1804
0.377,0.1794
0.378,0.1784
0.379,0.1774
0.38,0.1765
0.381,0.1755
0.382,0.1746
0.383,0.1736
0.384,0.1727
0.385,0.1718
0.386,0.1709
0.387,0.1701
0.388,0.1692
0.389,0.1684
0.39,0.1675
0.391,0.1667
0.392,0.1659
0.393,0.1651
0.394,0.1643
0.395,0.1636
0.396,0.1628
0.397,0.1621
0.398,0.1614
0.399,0.1607
0.4,0.16
0.401,0.1593
0.402,0.1586
0.403,0.158
0.404,0.1574
0.405,0.1567
