x,f(x)
0,0.8802
0.001,0.8802
0.002,0.8803
0.003,0.8803
0.004,0.8803
0.005,0.8803
0.006,0.8803
0.007,0.8804
0.008,0.8804
0.009,0.8804
0.01,0.8805
0.011,0.8805
0.012,0.8805
0.013,0.8805
0.014,0.8806
0.015,0.8806
0.016,0.8806
0.017,0.8807
0.018,0.8807
0.019,0.8807
0.02,0.8807
0.021,0.8807
0.022,0.8808
0.023,0.8808
0.024,0.8808
0.025,0.8808
0.026,0.8809
0.027,0.8809
0.028,0.8809
0.029,0.881
0.03,0.881
0.031,0.881
0.032,0.881
0.033,0.8811
0.034,0.8811
0.035,0.8811
0.036,0.8811
0.037,0.8812
0.038,0.8812
0.039,0.8812
0.04,0.8812
0.041,0.8813
0.042,0.8813
0.043,0.8813
0.044,0.8813
0.045,0.8814
0.046,0.8814
0.047,0.8814
0.048,0.8814
0.049,0.8815
0.05,0.8815
0.051,0.8815
0.052,0.8815
0.053,0.8816
0.054,0.8816
0.055,0.8816
0.056,0.8817
0.057,0.8817
0.058,0.8817
0.059,0.8817
0.06,0.8817
0.061,0.8818
0.062,0.8818
0.063,0.8818
0.064,0.8818
0.065,0.8819
0.066,0.8819
0.067,0.8819
0.068,0.8819
0.069,0.882
0.07,0.882
0.071,0.882
0.072,0.8821
0.073,0.8821
0.074,0.8821
0.075,0.8821
0.076,0.8822
0.077,0.8822
0.078,0.8822
0.079,0.8822
0.08,0.8822
0.081,0.8823
0.082,0.8823
0.083,0.8823
0.084,0.8823
0.085,0.8824
0.086,0.8824
0.087,0.8824
0.088,0.8824
0.089,0.8825
0.09,0.8825
0.091,0.8825
0.092,0.8825
0.093,0.8826
0.094,0.8826
0.095,0.8826
0.096,0.8826
0.097,0.8827
0.098,0.8827
0.099,0.8827
0.1,0.8827
0.101,0.8828
0.102,0.8828
0.103,0.8828
0.104,0.8828
0.105,0.8829
0.106,0.8829
0.107,0.8829
0.108,0.8829
0.109,0.883
0.11,0.883
0.111,0.883
0.112,0.883
0.113,0.8831
0.114,0.8831
0.115,0.8831
0.116,0.8831
0.117,0.8831
0.118,0.8832
0.119,0.8832
0.12,0.8832
0.121,0.8832
0.122,0.8833
0.123,0.8833
0.124,0.8833
0.125,0.8833
0.126,0.8834
0.127,0.8834
0.128,0.8834
0.129,0.8834
0.13,0.8835
0.131,0.8835
0.132,0.8835
0.133,0.8835
0.134,0.8836
0.135,0.8836
0.136,0.8836
0.137,0.8836
0.138,0.8836
0.139,0.8837
0.14,0.8837
0.141,0.8837
0.142,0.8837
0.143,0.8838
0.144,0.8838
0.145,0.8838
0.146,0.8838
0.147,0.8839
0.148,0.8839
0.149,0.8839
0.15,0.8839
0.151,0.8839
0.152,0.884
0.153,0.884
0.154,0.884
0.155,0.884
0.156,0.8841
0.157,0.8841
0.158,0.8841
0.159,0.8841
0.16,0.8842
0.161,0.8842
0.162,0.8842
0.163,0.8842
0.164,0.8842
0.165,0.8843
0.166,0.8843
0.167,0.8843
0.168,0.8843
0.169,0.8844
0.17,0.8844
0.171,0.8844
0.172,0.8844
0.173,0.8844
0.174,0.8845
0.175,0.8845
0.176,0.8845
0.177,0.8845
0.178,0.8846
