x,f(x)
0,0.4327
0.01,0.4327
0.02,0.4329
0.03,0.4331
0.04,0.4335
0.05,0.4339
0.06,0.4345
0.07,0.4351
0.08,0.4359
0.09,0.4367
0.1,0.4376
0.11,0.4387
0.12,0.4398
0.13,0.441
0.14,0.4424
0.15,0.4438
0.16,0.4453
0.17,0.447
0.18,0.4487
0.19,0.4505
0.2,0.4524
0.21,0.4544
0.22,0.4565
0.23,0.4587
0.24,0.461
0.25,0.4634
0.26,0.4659
0.27,0.4684
0.28,0.4711
0.29,0.4738
0.3,0.4767
0.31,0.4796
0.32,0.4826
0.33,0.4857
0.34,0.4889
0.35,0.4921
0.36,0.4955
0.37,0.4989
0.38,0.5024
0.39,0.5059
0.4,0.5096
0.41,0.5133
0.42,0.5171
0.43,0.5209
0.44,0.5248
0.45,0.5288
0.46,0.5328
0.47,0.5369
0.48,0.541
0.49,0.5452
0.5,0.5494
0.51,0.5536
0.52,0.5579
0.53,0.5622
0.54,0.5665
0.55,0.5709
0.56,0.5753
0.57,0.5797
0.58,0.5841
0.59,0.5885
0.6,0.5929
0.61,0.5973
0.62,0.6017
0.63,0.6061
0.64,0.6104
0.65,0.6147
0.66,0.619
0.67,0.6233
0.68,0.6275
0.69,0.6316
0.7,0.6357
0.71,0.6398
0.72,0.6437
0.73,0.6476
0.74,0.6514
0.75,0.6551
0.76,0.6588
0.77,0.6623
0.78,0.6657
0.79,0.6691
0.8,0.6723
0.81,0.6754
0.82,0.6783
0.83,0.6812
0.84,0.6839
0.85,0.6864
0.86,0.6889
0.87,0.6911
0.88,0.6933
0.89,0.6952
0.9,0.697
0.91,0.6987
0.92,0.7002
0.93,0.7015
0.94,0.7026
0.95,0.7036
0.96,0.7044
0.97,0.705
0.98,0.7055
0.99,0.7057
1,0.7058
