x,f(x)
0,0.3992
0.001,0.3992
0.002,0.3992
0.003,0.3993
0.004,0.3993
0.005,0.3993
0.006,0.3993
0.007,0.3993
0.008,0.3993
0.009,0.3993
0.01,0.3993
0.011,0.3993
0.012,0.3993
0.013,0.3994
0.014,0.3994
0.015,0.3994
0.016,0.3994
0.017,0.3994
0.018,0.3995
0.019,0.3995
0.02,0.3995
0.021,0.3995
0.022,0.3996
0.023,0.3996
0.024,0.3996
0.025,0.3997
0.026,0.3997
0.027,0.3997
0.028,0.3998
0.029,0.3998
0.03,0.3998
0.031,0.3999
0.032,0.3999
0.033,0.4
0.034,0.4
0.035,0.4
0.036,0.4001
0.037,0.4001
0.038,0.4002
0.039,0.4002
0.04,0.4003
0.041,0.4003
0.042,0.4004
0.043,0.4005
0.044,0.4005
0.045,0.4006
0.046,0.4006
0.047,0.4007
0.048,0.4008
0.049,0.4008
0.05,0.4009
0.051,0.401
0.052,0.401
0.053,0.4011
0.054,0.4012
0.055,0.4012
0.056,0.4013
0.057,0.4014
0.058,0.4015
0.059,0.4015
0.06,0.4016
0.061,0.4017
0.062,0.4018
0.063,0.4019
0.064,0.4019
0.065,0.402
0.066,0.4021
0.067,0.4022
0.068,0.4023
0.069,0.4024
0.07,0.4025
0.071,0.4026
0.072,0.4027
0.073,0.4028
0.074,0.4029
0.075,0.403
0.076,0.4031
0.077,0.4032
0.078,0.4033
0.079,0.4034
0.08,0.4035
0.081,0.4036
0.082,0.4037
0.083,0.4038
0.084,0.4039
0.085,0.404
0.086,0.4042
0.087,0.4043
0.088,0.4044
0.089,0.4045
0.09,0.4046
0.091,0.4048
0.092,0.4049
0.093,0.405
0.094,0.4051
0.095,0.4053
0.096,0.4054
0.097,0.4055
0.098,0.4057
0.099,0.4058
0.1,0.4059
0.101,0.4061
0.102,0.4062
0.103,0.4063
0.104,0.4065
0.105,0.4066
0.106,0.4068
0.107,0.4069
0.108,0.4071
0.109,0.4072
0.11,0.4074
0.111,0.4075
0.112,0.4077
0.113,0.4078
0.114,0.408
0.115,0.4081
0.116,0.4083
0.117,0.4085
0.118,0.4086
0.119,0.4088
0.12,0.409
0.121,0.4091
0.122,0.4093
0.123,0.4095
0.124,0.4096
0.125,0.4098
0.126,0.41
0.127,0.4102
0.128,0.4103
0.129,0.4105
0.13,0.4107
0.131,0.4109
0.132,0.4111
0.133,0.4113
0.134,0.4114
0.135,0.4116
0.136,0.4118
0.137,0.412
0.138,0.4122
0.139,0.4124
0.14,0.4126
0.141,0.4128
0.142,0.413
0.143,0.4132
0.144,0.4134
0.145,0.4136
0.146,0.4138
0.147,0.414
0.148,0.4142
0.149,0.4145
0.15,0.4147
0.151,0.4149
0.152,0.4151
0.153,0.4153
0.154,0.4155
0.155,0.4158
0.156,0.416
0.157,0.4162
0.158,0.4164
0.159,0.4167
0.16,0.4169
0.161,0.4171
0.162,0.4174
0.163,0.4176
0.164,0.4178
0.165,0.4181
0.166,0.4183
0.167,0.4186
0.168,0.4188
0.169,0.419
0.17,0.4193
0.171,0.4195
0.172,0.4198
0.173,0.42
0.174,0.4203
0.175,0.4206
0.176,0.4208
0.177,0.4211
0.178,0.4213
0.179,0.4216
0.18,0.4219
0.181,0.4221
0.182,0.4224
0.183,0.4227
0.184,0.4229
0.185,0.4232
0.186,0.4235
0.187,0.4238
0.188,0.424
0.189,0.4243
0.19,0.4246
0.191,0.4249
0.192,0.4252
0.193,0.4255
0.194,0.4257
0.195,0.426
0.196,0.4263
0.197,0.4266
0.198,0.4269
0.199,0.4272
0.2,0.4275
0.201,0.4278
0.202,0.4281
0.203,0.4284
0.204,0.4287
