x,f(x)
0,0.3992
0.001,0.3992
0.002,0.3992
0.003,0.3992
0.004,0.3993
0.005,0.3993
0.006,0.3993
0.007,0.3993
0.008,0.3993
0.009,0.3993
0.01,0.3993
0.011,0.3993
0.012,0.3993
0.013,0.3993
0.014,0.3993
0.015,0.3993
0.016,0.3993
0.017,0.3994
0.018,0.3994
0.019,0.3994
0.02,0.3994
0.021,0.3994
0.022,0.3994
0.023,0.3995
0.024,0.3995
0.025,0.3995
0.026,0.3995
0.027,0.3995
0.028,0.3996
0.029,0.3996
0.03,0.3996
0.031,0.3996
0.032,0.3997
0.033,0.3997
0.034,0.3997
0.035,0.3997
0.036,0.3998
0.037,0.3998
0.038,0.3998
0.039,0.3999
0.04,0.3999
0.041,0.3999
0.042,0.4
0.043,0.4
0.044,0.4
0.045,0.4001
0.046,0.4001
0.047,0.4002
0.048,0.4002
0.049,0.4002
0.05,0.4003
0.051,0.4003
0.052,0.4004
0.053,0.4004
0.054,0.4004
0.055,0.4005
0.056,0.4005
0.057,0.4006
0.058,0.4006
0.059,0.4007
0.06,0.4007
0.061,0.4008
0.062,0.4008
0.063,0.4009
0.064,0.4009
0.065,0.401
0.066,0.401
0.067,0.4011
0.068,0.4012
0.069,0.4012
0.07,0.4013
0.071,0.4013
0.072,0.4014
0.073,0.4014
0.074,0.4015
0.075,0.4016
0.076,0.4016
0.077,0.4017
0.078,0.4017
0.079,0.4018
0.08,0.4019
0.081,0.4019
0.082,0.402
0.083,0.4021
0.084,0.4022
0.085,0.4022
0.086,0.4023
0.087,0.4024
0.088,0.4024
0.089,0.4025
0.09,0.4026
0.091,0.4027
0.092,0.4027
0.093,0.4028
0.094,0.4029
0.095,0.403
0.096,0.4031
0.097,0.4031
0.098,0.4032
0.099,0.4033
0.1,0.4034
0.101,0.4035
0.102,0.4036
0.103,0.4036
0.104,0.4037
0.105,0.4038
0.106,0.4039
0.107,0.404
0.108,0.4041
0.109,0.4042
0.11,0.4043
0.111,0.4044
0.112,0.4045
0.113,0.4046
0.114,0.4047
0.115,0.4047
0.116,0.4048
0.117,0.4049
0.118,0.405
0.119,0.4051
0.12,0.4052
0.121,0.4053
0.122,0.4054
0.123,0.4056
0.124,0.4057
0.125,0.4058
0.126,0.4059
0.127,0.406
0.128,0.4061
0.129,0.4062
0.13,0.4063
0.131,0.4064
0.132,0.4065
0.133,0.4067
0.134,0.4068
0.135,0.4069
0.136,0.407
0.137,0.4071
0.138,0.4072
0.139,0.4073
0.14,0.4075
0.141,0.4076
0.142,0.4077
0.143,0.4078
0.144,0.408
0.145,0.4081
0.146,0.4082
0.147,0.4083
0.148,0.4085
0.149,0.4086
0.15,0.4087
0.151,0.4089
0.152,0.409
0.153,0.4091
0.154,0.4093
0.155,0.4094
0.156,0.4095
0.157,0.4097
0.158,0.4098
0.159,0.4099
0.16,0.4101
0.161,0.4102
0.162,0.4103
0.163,0.4105
0.164,0.4106
0.165,0.4108
0.166,0.4109
0.167,0.4111
0.168,0.4112
0.169,0.4114
0.17,0.4115
0.171,0.4117
0.172,0.4118
0.173,0.412
0.174,0.4121
0.175,0.4123
0.176,0.4124
0.177,0.4126
0.178,0.4127
0.179,0.4129
0.18,0.4131
0.181,0.4132
0.182,0.4134
0.183,0.4135
0.184,0.4137
0.185,0.4139
0.186,0.414
0.187,0.4142
0.188,0.4144
0.189,0.4145
0.19,0.4147
0.191,0.4149
0.192,0.4151
0.193,0.4152
0.194,0.4154
0.195,0.4156
0.196,0.4158
0.197,0.4159
0.198,0.4161
0.199,0.4163
0.2,0.4165
0.201,0.4166
0.202,0.4168
0.203,0.417
