x,f(x)
0,0.8309
0.001,0.8309
0.002,0.8309
0.003,0.8309
0.004,0.831
0.005,0.831
0.006,0.8311
0.007,0.8312
0.008,0.8312
0.009,0.8313
0.01,0.8314
0.011,0.8315
0.012,0.8315
0.013,0.8316
0.014,0.8317
0.015,0.8317
0.016,0.8318
0.017,0.8319
0.018,0.8319
0.019,0.832
0.02,0.8321
0.021,0.8321
0.022,0.8322
0.023,0.8322
0.024,0.8323
0.025,0.8324
0.026,0.8324
0.027,0.8325
0.028,0.8326
0.029,0.8326
0.03,0.8327
0.031,0.8328
0.032,0.8328
0.033,0.8329
0.034,0.833
0.035,0.833
0.036,0.8331
0.037,0.8331
0.038,0.8332
0.039,0.8333
0.04,0.8333
0.041,0.8334
0.042,0.8335
0.043,0.8335
0.044,0.8336
0.045,0.8336
0.046,0.8337
0.047,0.8338
0.048,0.8338
0.049,0.8339
0.05,0.834
0.051,0.834
0.052,0.8341
0.053,0.8342
0.054,0.8342
0.055,0.8343
0.056,0.8344
0.057,0.8344
0.058,0.8345
0.059,0.8345
0.06,0.8346
0.061,0.8347
0.062,0.8347
0.063,0.8348
0.064,0.8348
0.065,0.8349
0.066,0.835
0.067,0.835
0.068,0.8351
0.069,0.8352
0.07,0.8352
0.071,0.8353
0.072,0.8354
0.073,0.8354
0.074,0.8355
0.075,0.8356
0.076,0.8356
0.077,0.8357
0.078,0.8357
0.079,0.8358
0.08,0.8359
0.081,0.8359
0.082,0.836
0.083,0.836
0.084,0.8361
0.085,0.8362
0.086,0.8362
0.087,0.8363
0.088,0.8364
0.089,0.8364
0.09,0.8365
0.091,0.8365
0.092,0.8366
0.093,0.8367
0.094,0.8367
0.095,0.8368
0.096,0.8369
0.097,0.8369
0.098,0.837
0.099,0.837
0.1,0.8371
0.101,0.8372
0.102,0.8372
0.103,0.8373
0.104,0.8374
0.105,0.8374
0.106,0.8375
0.107,0.8375
0.108,0.8376
0.109,0.8377
0.11,0.8377
0.111,0.8378
0.112,0.8379
0.113,0.8379
0.114,0.838
0.115,0.838
0.116,0.8381
0.117,0.8382
0.118,0.8382
0.119,0.8383
0.12,0.8383
0.121,0.8384
0.122,0.8385
0.123,0.8385
0.124,0.8386
0.125,0.8386
0.126,0.8387
0.127,0.8388
0.128,0.8388
0.129,0.8389
0.13,0.839
0.131,0.839
0.132,0.8391
0.133,0.8391
0.134,0.8392
0.135,0.8393
0.136,0.8393
0.137,0.8394
0.138,0.8394
0.139,0.8395
0.14,0.8396
0.141,0.8396
0.142,0.8397
0.143,0.8397
0.144,0.8398
0.145,0.8399
0.146,0.8399
0.147,0.84
0.148,0.84
0.149,0.8401
0.15,0.8402
0.151,0.8402
0.152,0.8403
0.153,0.8404
0.154,0.8404
0.155,0.8405
0.156,0.8405
0.157,0.8406
0.158,0.8407
0.159,0.8407
0.16,0.8408
0.161,0.8408
0.162,0.8409
0.163,0.841
0.164,0.841
0.165,0.8411
0.166,0.8411
0.167,0.8412
0.168,0.8413
0.169,0.8413
0.17,0.8414
0.171,0.8414
0.172,0.8415
0.173,0.8416
0.174,0.8416
0.175,0.8417
0.176,0.8417
0.177,0.8418
0.178,0.8419
0.179,0.8419
0.18,0.842
0.181,0.842
0.182,0.8421
0.183,0.8422
0.184,0.8422
0.185,0.8423
0.186,0.8423
0.187,0.8424
0.188,0.8425
0.189,0.8425
0.19,0.8426
0.191,0.8426
0.192,0.8427
0.193,0.8428
0.194,0.8428
0.195,0.8429
0.196,0.8429
0.197,0.843
0.198,0.843
0.199,0.8431
0.2,0.8432
0.201,0.8432
0.202,0.8433
0.203,0.8433
0.204,0.8434
0.205,0.8435
0.206,0.8435
0.207,0.8436
0.208,0.8436
0.209,0.8437
0.21,0.8438
0.211,0.8438
0.212,0.8439
0.213,0.8439
0.214,0.844
0.215,0.8441
0.216,0.8441
0.217,0.8442
0.218,0.8442
0.219,0.8443
0.22,0.8443
0.221,0.8444
0.222,0.8445
0.223,0.8445
0.224,0.8446
0.225,0.8446
0.226,0.8447
0.227,0.8447
0.228,0.8448
0.229,0.8449
0.23,0.8449
0.231,0.845
0.232,0.845
0.233,0.8451
0.234,0.8452
0.235,0.8452
0.236,0.8453
0.237,0.8453
0.238,0.8454
0.239,0.8454
0.24,0.8455
0.241,0.8456
0.242,0.8456
0.243,0.8457
0.244,0.8457
0.245,0.8458
0.246,0.8459
0.247,0.8459
0.248,0.846
0.249,0.846
0.25,0.8461
0.251,0.8461
0.252,0.8462
0.253,0.8463
0.254,0.8463
0.255,0.8464
0.256,0.8464
0.257,0.8465
0.258,0.8465
0.259,0.8466
0.26,0.8467
0.261,0.8467
0.262,0.8468
0.263,0.8468
0.264,0.8469
0.265,0.8469
0.266,0.847
0.267,0.8471
0.268,0.8471
0.269,0.8472
0.27,0.8472
0.271,0.8473
0.272,0.8473
0.273,0.8474
0.274,0.8475
0.275,0.8475
0.276,0.8476
0.277,0.8476
0.278,0.8477
0.279,0.8477
0.28,0.8478
0.281,0.8479
0.282,0.8479
0.283,0.848
0.284,0.848
0.285,0.8481
0.286,0.8481
0.287,0.8482
0.288,0.8482
0.289,0.8483
0.29,0.8484
0.291,0.8484
0.292,0.8485
0.293,0.8485
0.294,0.8486
0.295,0.8486
0.296,0.8487
0.297,0.8488
0.298,0.8488
0.299,0.8489
0.3,0.8489
0.301,0.849
0.302,0.849
0.303,0.8491
0.304,0.8491
0.305,0.8492
0.306,0.8493
0.307,0.8493
0.308,0.8494
0.309,0.8494
0.31,0.8495
0.311,0.8495
0.312,0.8496
0.313,0.8497
0.314,0.8497
0.315,0.8498
0.316,0.8498
0.317,0.8499
0.318,0.8499
0.319,0.85
0.32,0.85
0.321,0.8501
0.322,0.8502
0.323,0.8502
0.324,0.8503
0.325,0.8503
0.326,0.8504
0.327,0.8504
0.328,0.8505
0.329,0.8505
0.33,0.8506
0.331,0.8506
0.332,0.8507
0.333,0.8508
0.334,0.8508
0.335,0.8509
0.336,0.8509
0.337,0.851
0.338,0.851
0.339,0.8511
0.34,0.8511
0.341,0.8512
0.342,0.8513
0.343,0.8513
0.344,0.8514
0.345,0.8514
0.346,0.8515
0.347,0.8515
0.348,0.8516
0.349,0.8516
0.35,0.8517
0.351,0.8517
0.352,0.8518
0.353,0.8519
0.354,0.8519
0.355,0.852
0.356,0.852
0.357,0.8521
0.358,0.8521
0.359,0.8522
0.36,0.8522
0.361,0.8523
0.362,0.8523
0.363,0.8524
0.364,0.8524
0.365,0.8525
0.366,0.8526
0.367,0.8526
0.368,0.8527
0.369,0.8527
0.37,0.8528
0.371,0.8528
0.372,0.8529
0.373,0.8529
0.374,0.853
0.375,0.853
0.376,0.8531
0.377,0.8532
0.378,0.8532
0.379,0.8533
0.38,0.8533
0.381,0.8534
0.382,0.8534
0.383,0.8535
0.384,0.8535
0.385,0.8536
0.386,0.8536
0.387,0.8537
0.388,0.8537
0.389,0.8538
0.39,0.8538
0.391,0.8539
0.392,0.854
0.393,0.854
0.394,0.8541
0.395,0.8541
0.396,0.8542
0.397,0.8542
0.398,0.8543
0.399,0.8543
0.4,0.8544
0.401,0.8544
0.402,0.8545
0.403,0.8545
0.404,0.8546
0.405,0.8546
0.406,0.8547
0.407,0.8547
0.408,0.8548
0.409,0.8549
0.41,0.8549
0.411,0.855
0.412,0.855
0.413,0.8551
0.414,0.8551
0.415,0.8552
0.416,0.8552
0.417,0.8553
0.418,0.8553
0.419,0.8554
0.42,0.8554
0.421,0.8555
0.422,0.8555
0.423,0.8556
0.424,0.8556
0.425,0.8557
0.426,0.8557
0.427,0.8558
0.428,0.8558
0.429,0.8559
0.43,0.8559
0.431,0.856
0.432,0.8561
0.433,0.8561
0.434,0.8562
0.435,0.8562
0.436,0.8563
0.437,0.8563
0.438,0.8564
0.439,0.8564
0.44,0.8565
0.441,0.8565
0.442,0.8566
0.443,0.8566
0.444,0.8567
0.445,0.8567
0.446,0.8568
0.447,0.8568
0.448,0.8569
0.449,0.8569
0.45,0.857
0.451,0.857
0.452,0.8571
0.453,0.8571
0.454,0.8572
0.455,0.8572
0.456,0.8573
0.457,0.8573
0.458,0.8574
0.459,0.8574
0.46,0.8575
0.461,0.8575
0.462,0.8576
0.463,0.8576
0.464,0.8577
0.465,0.8577
0.466,0.8578
0.467,0.8579
0.468,0.8579
0.469,0.858
0.47,0.858
0.471,0.8581
0.472,0.8581
0.473,0.8582
0.474,0.8582
0.475,0.8583
0.476,0.8583
0.477,0.8584
0.478,0.8584
0.479,0.8585
0.48,0.8585
0.481,0.8586
0.482,0.8586
0.483,0.8587
0.484,0.8587
0.485,0.8588
0.486,0.8588
0.487,0.8589
0.488,0.8589
0.489,0.859
0.49,0.859
0.491,0.8591
0.492,0.8591
0.493,0.8592
0.494,0.8592
0.495,0.8593
0.496,0.8593
0.497,0.8594
0.498,0.8594
0.499,0.8595
0.5,0.8595
0.501,0.8596
0.502,0.8596
0.503,0.8597
0.504,0.8597
0.505,0.8598
0.506,0.8598
0.507,0.8599
0.508,0.8599
0.509,0.86
0.51,0.86
0.511,0.8601
0.512,0.8601
0.513,0.8602
0.514,0.8602
0.515,0.8603
0.516,0.8603
0.517,0.8604
0.518,0.8604
0.519,0.8604
0.52,0.8605
0.521,0.8605
0.522,0.8606
0.523,0.8606
0.524,0.8607
0.525,0.8607
0.526,0.8608
0.527,0.8608
0.528,0.8609
0.529,0.8609
0.53,0.861
0.531,0.861
0.532,0.8611
