x,f(x)
0,0.8895
0.001,0.8895
0.002,0.8895
0.003,0.8895
0.004,0.8895
0.005,0.8895
0.006,0.8895
0.007,0.8895
0.008,0.8895
0.009,0.8895
0.01,0.8895
0.011,0.8895
0.012,0.8895
0.013,0.8895
0.014,0.8895
0.015,0.8895
0.016,0.8895
0.017,0.8895
0.018,0.8895
0.019,0.8895
0.02,0.8895
0.021,0.8895
0.022,0.8895
0.023,0.8895
0.024,0.8895
0.025,0.8895
0.026,0.8895
0.027,0.8895
0.028,0.8895
0.029,0.8895
0.03,0.8895
0.031,0.8895
0.032,0.8895
0.033,0.8895
0.034,0.8895
0.035,0.8895
0.036,0.8895
0.037,0.8895
0.038,0.8895
0.039,0.8895
0.04,0.8895
0.041,0.8895
0.042,0.8895
0.043,0.8895
0.044,0.8895
0.045,0.8895
0.046,0.8895
0.047,0.8895
0.048,0.8895
0.049,0.8895
0.05,0.8895
0.051,0.8895
0.052,0.8895
0.053,0.8895
0.054,0.8895
0.055,0.8895
0.056,0.8895
0.057,0.8895
0.058,0.8895
0.059,0.8895
0.06,0.8895
0.061,0.8895
0.062,0.8895
0.063,0.8895
0.064,0.8895
0.065,0.8895
0.066,0.8895
0.067,0.8895
0.068,0.8895
0.069,0.8895
0.07,0.8895
0.071,0.8895
0.072,0.8895
0.073,0.8895
0.074,0.8895
0.075,0.8895
0.076,0.8895
0.077,0.8895
0.078,0.8895
0.079,0.8895
0.08,0.8895
0.081,0.8895
0.082,0.8895
0.083,0.8895
0.084,0.8895
0.085,0.8895
0.086,0.8895
0.087,0.8895
0.088,0.8895
0.089,0.8895
0.09,0.8895
0.091,0.8895
0.092,0.8895
0.093,0.8895
0.094,0.8895
0.095,0.8895
0.096,0.8895
0.097,0.8895
0.098,0.8895
0.099,0.8895
0.1,0.8895
0.101,0.8895
0.102,0.8895
0.103,0.8895
0.104,0.8895
0.105,0.8895
0.106,0.8895
0.107,0.8895
0.108,0.8895
0.109,0.8895
0.11,0.8895
0.111,0.8895
0.112,0.8895
0.113,0.8895
0.114,0.8895
0.115,0.8895
0.116,0.8895
0.117,0.8895
0.118,0.8895
0.119,0.8895
0.12,0.8895
0.121,0.8895
0.122,0.8895
0.123,0.8895
0.124,0.8895
0.125,0.8895
0.126,0.8895
0.127,0.8895
0.128,0.8895
0.129,0.8895
0.13,0.8895
0.131,0.8895
0.132,0.8895
0.133,0.8895
0.134,0.8895
0.135,0.8895
0.136,0.8895
0.137,0.8895
0.138,0.8895
0.139,0.8895
0.14,0.8895
0.141,0.8895
0.142,0.8895
0.143,0.8895
0.144,0.8895
0.145,0.8895
0.146,0.8895
0.147,0.8895
0.148,0.8895
0.149,0.8895
0.15,0.8895
0.151,0.8895
0.152,0.8895
0.153,0.8895
0.154,0.8895
0.155,0.8895
0.156,0.8895
0.157,0.8895
0.158,0.8895
0.159,0.8895
0.16,0.8895
0.161,0.8895
0.162,0.8895
0.163,0.8895
0.164,0.8895
0.165,0.8895
0.166,0.8895
0.167,0.8895
0.168,0.8895
0.169,0.8895
0.17,0.8895
0.171,0.8895
0.172,0.8895
0.173,0.8895
0.174,0.8895
0.175,0.8895
0.176,0.8895
0.177,0.8895
0.178,0.8895
0.179,0.8895
0.18,0.8895
0.181,0.8895
0.182,0.8895
0.183,0.8895
0.184,0.8895
0.185,0.8895
0.186,0.8895
0.187,0.8895
0.188,0.8895
0.189,0.8895
0.19,0.8895
0.191,0.8895
0.192,0.8895
0.193,0.8895
0.194,0.8895
0.195,0.8895
0.196,0.8895
0.197,0.8895
0.198,0.8895
0.199,0.8895
0.2,0.8895
0.201,0.8895
0.202,0.8895
0.203,0.8895
0.204,0.8895
0.205,0.8895
0.206,0.8895
0.207,0.8895
0.208,0.8895
0.209,0.8895
0.21,0.8895
0.211,0.8895
0.212,0.8895
0.213,0.8895
0.214,0.8895
0.215,0.8895
0.216,0.8895
0.217,0.8895
0.218,0.8895
0.219,0.8895
0.22,0.8895
0.221,0.8895
0.222,0.8895
0.223,0.8895
0.224,0.8895
0.225,0.8895
0.226,0.8895
0.227,0.8895
0.228,0.8895
0.229,0.8895
0.23,0.8895
0.231,0.8895
0.232,0.8895
0.233,0.8895
0.234,0.8895
0.235,0.8895
0.236,0.8895
0.237,0.8895
0.238,0.8895
0.239,0.8895
0.24,0.8895
0.241,0.8895
0.242,0.8895
0.243,0.8895
0.244,0.8895
0.245,0.8895
0.246,0.8895
0.247,0.8895
0.248,0.8895
0.249,0.8895
0.25,0.8895
0.251,0.8895
0.252,0.8895
0.253,0.8895
0.254,0.8895
0.255,0.8895
0.256,0.8895
0.257,0.8895
0.258,0.8895
0.259,0.8895
0.26,0.8895
0.261,0.8895
0.262,0.8895
0.263,0.8895
0.264,0.8895
0.265,0.8895
0.266,0.8895
0.267,0.8895
0.268,0.8895
0.269,0.8895
0.27,0.8895
0.271,0.8895
0.272,0.8895
0.273,0.8895
0.274,0.8895
0.275,0.8895
0.276,0.8895
0.277,0.8895
0.278,0.8895
0.279,0.8895
0.28,0.8895
0.281,0.8895
0.282,0.8895
0.283,0.8895
0.284,0.8895
0.285,0.8895
0.286,0.8895
0.287,0.8895
0.288,0.8895
0.289,0.8895
0.29,0.8895
0.291,0.8895
0.292,0.8895
0.293,0.8895
0.294,0.8895
0.295,0.8895
0.296,0.8895
0.297,0.8895
0.298,0.8895
0.299,0.8895
0.3,0.8895
0.301,0.8895
0.302,0.8895
0.303,0.8895
0.304,0.8895
0.305,0.8895
0.306,0.8895
0.307,0.8895
0.308,0.8895
0.309,0.8895
0.31,0.8895
0.311,0.8895
0.312,0.8895
0.313,0.8895
0.314,0.8895
0.315,0.8895
0.316,0.8895
0.317,0.8895
0.318,0.8895
0.319,0.8895
0.32,0.8895
0.321,0.8895
0.322,0.8895
0.323,0.8895
0.324,0.8895
0.325,0.8895
0.326,0.8895
0.327,0.8895
0.328,0.8895
0.329,0.8895
0.33,0.8895
0.331,0.8895
0.332,0.8895
0.333,0.8895
0.334,0.8895
0.335,0.8895
0.336,0.8895
0.337,0.8895
0.338,0.8895
0.339,0.8895
0.34,0.8895
0.341,0.8895
0.342,0.8895
