"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.42675,1,0,0.0038764,0.00095,5e-05
0.42674,1,1e-07,0.0038764,0.0009501,5e-05
0.42672,1,2e-07,0.0038764,0.0009502,5e-05
0.42671,1,3e-07,0.0038764,0.0009503,5e-05
0.4267,1,4e-07,0.0038764,0.0009504,5e-05
0.42669,1,5e-07,0.0038764,0.0009505,5e-05
0.42668,1,6e-07,0.0038764,0.0009506,5e-05
0.42667,1,7.0001e-07,0.0038764,0.0009507,5e-05
0.42666,1,8.0001e-07,0.0038764,0.0009508,5e-05
0.42665,1,9.0001e-07,0.0038764,0.0009509,5e-05
0.42665,1,1e-06,0.0038764,0.000951,5e-05
0.42664,1,1.1e-06,0.0038764,0.0009511,5e-05
0.42663,1,1.2e-06,0.0038764,0.0009512,5e-05
0.42662,1,1.3e-06,0.0038764,0.0009513,5e-05
0.42663,1,1.4e-06,0.0038764,0.0009514,5e-05
0.42663,1,1.5e-06,0.0038764,0.0009515,5e-05
0.42663,1,1.6e-06,0.0038764,0.0009516,5e-05
0.42663,1,1.7e-06,0.0038764,0.0009517,5e-05
0.42663,1,1.8e-06,0.0038764,0.0009518,5e-05
0.42663,1,1.9e-06,0.0038764,0.0009519,5e-05
0.42663,1,2e-06,0.0038764,0.000952,5e-05
0.42663,1,2.1e-06,0.0038764,0.0009521,5e-05
0.42664,1,2.2e-06,0.0038764,0.0009522,5e-05
0.42664,1,2.3e-06,0.0038764,0.0009523,5e-05
0.42665,1,2.4e-06,0.0038764,0.0009524,5e-05
0.42665,1,2.5e-06,0.0038764,0.0009525,5e-05
0.42667,1,2.6e-06,0.0038764,0.0009526,5e-05
0.42668,1,2.7e-06,0.0038764,0.0009527,5e-05
0.42669,1,2.8e-06,0.0038764,0.0009528,5e-05
0.42671,1,2.9e-06,0.0038764,0.0009529,5e-05
0.42672,1,3e-06,0.0038764,0.000953,5e-05
0.42673,1,3.1e-06,0.0038764,0.0009531,5e-05
0.42674,1,3.2e-06,0.0038764,0.0009532,5e-05
0.42675,1,3.3e-06,0.0038764,0.0009533,5e-05
0.42676,1,3.4e-06,0.0038764,0.0009534,5e-05
0.42677,1,3.5e-06,0.0038764,0.0009535,5e-05
0.42678,1,3.6e-06,0.0038764,0.0009536,5e-05
0.42679,1,3.7e-06,0.0038764,0.0009537,5e-05
0.42681,1,3.8e-06,0.0038764,0.0009538,5e-05
0.42683,1,3.9e-06,0.0038764,0.0009539,5e-05
0.42685,1,4e-06,0.0038764,0.000954,5e-05
0.42687,1,4.1e-06,0.0038764,0.0009541,5e-05
0.42689,1,4.2e-06,0.0038764,0.0009542,5e-05
0.42692,1,4.3e-06,0.0038764,0.0009543,5e-05
0.42694,1,4.4e-06,0.0038764,0.0009544,5e-05
0.42696,1,4.5e-06,0.0038764,0.0009545,5e-05
0.42698,1,4.6e-06,0.0038764,0.0009546,5e-05
0.427,1,4.7e-06,0.0038764,0.0009547,5e-05
0.42702,1,4.8e-06,0.0038764,0.0009548,5e-05
0.42704,1,4.9e-06,0.0038764,0.0009549,5e-05
0.42706,1,5e-06,0.0038764,0.000955,5e-05
0.42709,1,5.1e-06,0.0038764,0.0009551,5e-05
0.42712,1,5.2e-06,0.0038764,0.0009552,5e-05
0.42715,1,5.3e-06,0.0038764,0.0009553,5e-05
0.42719,1,5.4e-06,0.0038764,0.0009554,5e-05
0.42722,1,5.5e-06,0.0038764,0.0009555,5e-05
0.42725,1,5.6e-06,0.0038764,0.0009556,5e-05
0.42728,1,5.7e-06,0.0038764,0.0009557,5e-05
0.42731,1,5.8e-06,0.0038764,0.0009558,5e-05
0.42734,1,5.9e-06,0.0038764,0.0009559,5e-05
0.42737,1,6e-06,0.0038764,0.000956,5e-05
0.42739,1,6.1e-06,0.0038764,0.0009561,5e-05
