"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.4374,1,0,0.0042328,0.0007718,5e-05
0.4374,1,1.9998e-07,0.0042329,0.00077198,5e-05
0.43739,1,4.0001e-07,0.004233,0.00077216,5e-05
0.43739,1,5.9999e-07,0.0042331,0.00077233,5e-05
0.43739,1,8.0002e-07,0.0042332,0.00077251,5e-05
0.43739,1,9.9999e-07,0.0042333,0.00077269,5e-05
0.43738,1,1.2e-06,0.0042334,0.00077287,5e-05
0.43738,1,1.4e-06,0.0042334,0.00077305,5e-05
0.43738,1,1.6e-06,0.0042335,0.00077323,5e-05
0.43737,1,1.8e-06,0.0042336,0.0007734,5e-05
0.43737,1,2e-06,0.0042337,0.00077358,5e-05
0.43737,1,2.2e-06,0.0042338,0.00077376,5e-05
0.43736,1,2.4e-06,0.0042339,0.00077394,5e-05
0.43736,1,2.6e-06,0.004234,0.00077412,5e-05
0.43736,1,2.8e-06,0.0042341,0.00077429,5e-05
0.43736,1,3e-06,0.0042342,0.00077447,5e-05
0.43737,1,3.2e-06,0.0042343,0.00077465,5e-05
0.43737,1,3.4e-06,0.0042344,0.00077483,5e-05
0.43737,1,3.6e-06,0.0042344,0.00077501,5e-05
0.43737,1,3.8e-06,0.0042345,0.00077519,5e-05
0.43737,1,4e-06,0.0042346,0.00077536,5e-05
0.43737,1,4.2001e-06,0.0042347,0.00077554,5e-05
0.43737,1,4.4e-06,0.0042348,0.00077572,5e-05
0.43738,1,4.6e-06,0.0042349,0.0007759,5e-05
0.43738,1,4.8e-06,0.004235,0.00077608,5e-05
0.43738,1,5e-06,0.0042351,0.00077625,5e-05
0.43738,1,5.2001e-06,0.0042352,0.00077643,5e-05
0.43739,1,5.4e-06,0.0042353,0.00077661,5e-05
0.43739,1,5.6001e-06,0.0042354,0.00077679,5e-05
0.43739,1,5.8e-06,0.0042354,0.00077697,5e-05
0.4374,1,6.0001e-06,0.0042355,0.00077715,5e-05
0.4374,1,6.2e-06,0.0042356,0.00077732,5e-05
0.4374,1,6.4001e-06,0.0042357,0.0007775,5e-05
0.43741,1,6.6001e-06,0.0042358,0.00077768,5e-05
0.43741,1,6.8e-06,0.0042359,0.00077786,5e-05
0.43741,1,7.0001e-06,0.004236,0.00077804,5e-05
0.43742,1,7.2e-06,0.0042361,0.00077822,5e-05
0.43742,1,7.4001e-06,0.0042362,0.00077839,5e-05
0.43742,1,7.6e-06,0.0042363,0.00077857,5e-05
0.43743,1,7.8001e-06,0.0042364,0.00077875,5e-05
0.43744,1,8.0001e-06,0.0042364,0.00077893,5e-05
0.43744,1,8.2001e-06,0.0042365,0.00077911,5e-05
0.43745,1,8.4001e-06,0.0042366,0.00077928,5e-05
0.43746,1,8.6001e-06,0.0042367,0.00077946,5e-05
0.43746,1,8.8001e-06,0.0042368,0.00077964,5e-05
0.43747,1,9e-06,0.0042369,0.00077982,5e-05
0.43748,1,9.2001e-06,0.004237,0.00078,5e-05
0.43748,1,9.4001e-06,0.0042371,0.00078018,5e-05
0.43749,1,9.6001e-06,0.0042372,0.00078035,5e-05
0.4375,1,9.8001e-06,0.0042373,0.00078053,5e-05
0.4375,1,1e-05,0.0042374,0.00078071,5e-05
0.43751,1,1.02e-05,0.0042374,0.00078089,5e-05
0.43752,1,1.04e-05,0.0042375,0.00078107,5e-05
0.43753,1,1.06e-05,0.0042376,0.00078124,5e-05
0.43755,1,1.08e-05,0.0042377,0.00078142,5e-05
0.43756,1,1.1e-05,0.0042378,0.0007816,5e-05
0.43757,1,1.12e-05,0.0042379,0.00078178,5e-05
0.43758,1,1.14e-05,0.004238,0.00078196,5e-05
0.43759,1,1.16e-05,0.0042381,0.00078214,5e-05
0.4376,1,1.18e-05,0.0042382,0.00078231,5e-05
