"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.81951,1,0,0.0042118,0.00105,5e-05
0.81962,1,1.0017e-07,0.0042118,0.0010501,5e-05
0.81972,1,2.0003e-07,0.0042117,0.0010502,5e-05
0.81981,1,3.001e-07,0.0042117,0.0010503,5e-05
0.8199,1,4.0006e-07,0.0042116,0.0010504,5e-05
0.81998,1,5.0013e-07,0.0042116,0.0010504,5e-05
0.82005,1,6.0009e-07,0.0042115,0.0010505,5e-05
0.82012,1,7.0016e-07,0.0042115,0.0010506,5e-05
0.82018,1,8.0002e-07,0.0042114,0.0010507,5e-05
0.82023,1,9.0019e-07,0.0042114,0.0010508,5e-05
0.82028,1,1e-06,0.0042113,0.0010509,5e-05
0.82032,1,1.1001e-06,0.0042113,0.001051,5e-05
0.82035,1,1.2001e-06,0.0042113,0.0010511,5e-05
0.82037,1,1.3001e-06,0.0042112,0.0010512,5e-05
0.8204,1,1.4e-06,0.0042112,0.0010512,5e-05
0.82042,1,1.5002e-06,0.0042111,0.0010513,5e-05
0.82044,1,1.6e-06,0.0042111,0.0010514,5e-05
0.82046,1,1.7001e-06,0.004211,0.0010515,5e-05
0.82048,1,1.8001e-06,0.004211,0.0010516,5e-05
0.8205,1,1.9001e-06,0.0042109,0.0010517,5e-05
0.82051,1,2.0001e-06,0.0042109,0.0010518,5e-05
0.82053,1,2.1002e-06,0.0042108,0.0010519,5e-05
0.82055,1,2.2e-06,0.0042108,0.001052,5e-05
0.82056,1,2.3002e-06,0.0042108,0.001052,5e-05
0.82057,1,2.4001e-06,0.0042107,0.0010521,5e-05
0.82058,1,2.5001e-06,0.0042107,0.0010522,5e-05
0.82061,1,2.6001e-06,0.0042106,0.0010523,5e-05
0.82063,1,2.7002e-06,0.0042106,0.0010524,5e-05
0.82065,1,2.8e-06,0.0042105,0.0010525,5e-05
0.82067,1,2.9002e-06,0.0042105,0.0010526,5e-05
0.82069,1,3e-06,0.0042104,0.0010527,5e-05
0.82071,1,3.1002e-06,0.0042104,0.0010528,5e-05
0.82073,1,3.2001e-06,0.0042103,0.0010529,5e-05
0.82075,1,3.3001e-06,0.0042103,0.0010529,5e-05
0.82076,1,3.4001e-06,0.0042103,0.001053,5e-05
0.82078,1,3.5002e-06,0.0042102,0.0010531,5e-05
