"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.98745,1,0,0.0043236,0.00095,5e-05
0.98747,1,1e-07,0.0043236,0.0009501,5e-05
0.98748,1,2e-07,0.0043236,0.0009502,5e-05
0.9875,1,3e-07,0.0043236,0.0009503,5e-05
0.98752,1,4e-07,0.0043236,0.0009504,5e-05
0.98753,1,5e-07,0.0043236,0.0009505,5e-05
0.98755,1,6e-07,0.0043236,0.0009506,5e-05
0.98756,1,7.0001e-07,0.0043236,0.0009507,5e-05
0.98758,1,8.0001e-07,0.0043236,0.0009508,5e-05
0.9876,1,9.0001e-07,0.0043236,0.0009509,5e-05
0.98761,1,1e-06,0.0043236,0.000951,5e-05
0.98762,1,1.1e-06,0.0043236,0.0009511,5e-05
0.98764,1,1.2e-06,0.0043236,0.0009512,5e-05
0.98766,1,1.3e-06,0.0043236,0.0009513,5e-05
0.98768,1,1.4e-06,0.0043236,0.0009514,5e-05
0.98769,1,1.5e-06,0.0043236,0.0009515,5e-05
0.98771,1,1.6e-06,0.0043236,0.0009516,5e-05
0.98773,1,1.7e-06,0.0043236,0.0009517,5e-05
0.98775,1,1.8e-06,0.0043236,0.0009518,5e-05
0.98777,1,1.9e-06,0.0043236,0.0009519,5e-05
0.98778,1,2e-06,0.0043236,0.000952,5e-05
0.98779,1,2.1e-06,0.0043236,0.0009521,5e-05
0.9878,1,2.2e-06,0.0043236,0.0009522,5e-05
0.9878,1,2.3e-06,0.0043236,0.0009523,5e-05
0.98781,1,2.4e-06,0.0043236,0.0009524,5e-05
0.98782,1,2.5e-06,0.0043236,0.0009525,5e-05
0.98784,1,2.6e-06,0.0043236,0.0009526,5e-05
0.98785,1,2.7e-06,0.0043236,0.0009527,5e-05
0.98787,1,2.8e-06,0.0043236,0.0009528,5e-05
0.98789,1,2.9e-06,0.0043236,0.0009529,5e-05
0.9879,1,3e-06,0.0043236,0.000953,5e-05
0.98792,1,3.1e-06,0.0043236,0.0009531,5e-05
0.98793,1,3.2e-06,0.0043236,0.0009532,5e-05
0.98795,1,3.3e-06,0.0043236,0.0009533,5e-05
0.98796,1,3.4e-06,0.0043236,0.0009534,5e-05
0.98798,1,3.5e-06,0.0043236,0.0009535,5e-05
0.98799,1,3.6e-06,0.0043236,0.0009536,5e-05
0.98801,1,3.7e-06,0.0043236,0.0009537,5e-05
0.98802,1,3.8e-06,0.0043236,0.0009538,5e-05
0.98804,1,3.9e-06,0.0043236,0.0009539,5e-05
0.98806,1,4e-06,0.0043236,0.000954,5e-05
0.98808,1,4.1e-06,0.0043236,0.0009541,5e-05
0.9881,1,4.2e-06,0.0043236,0.0009542,5e-05
0.98811,1,4.3e-06,0.0043236,0.0009543,5e-05
0.98813,1,4.4e-06,0.0043236,0.0009544,5e-05
0.98815,1,4.5e-06,0.0043236,0.0009545,5e-05
0.98817,1,4.6e-06,0.0043236,0.0009546,5e-05
0.98819,1,4.7e-06,0.0043236,0.0009547,5e-05
0.9882,1,4.8e-06,0.0043236,0.0009548,5e-05
0.98822,1,4.9e-06,0.0043236,0.0009549,5e-05
0.98824,1,5e-06,0.0043236,0.000955,5e-05
0.98826,1,5.1e-06,0.0043236,0.0009551,5e-05
0.98828,1,5.2e-06,0.0043236,0.0009552,5e-05
0.9883,1,5.3e-06,0.0043236,0.0009553,5e-05
0.98832,1,5.4e-06,0.0043236,0.0009554,5e-05
0.98834,1,5.5e-06,0.0043236,0.0009555,5e-05
0.98837,1,5.6e-06,0.0043236,0.0009556,5e-05
0.98839,1,5.7e-06,0.0043236,0.0009557,5e-05
0.98841,1,5.8e-06,0.0043236,0.0009558,5e-05
0.98843,1,5.9e-06,0.0043236,0.0009559,5e-05
0.98845,1,6e-06,0.0043236,0.000956,5e-05
0.98847,1,6.1e-06,0.0043236,0.0009561,5e-05
0.98849,1,6.2e-06,0.0043236,0.0009562,5e-05
0.98851,1,6.3e-06,0.0043236,0.0009563,5e-05
0.98853,1,6.4e-06,0.0043236,0.0009564,5e-05
