"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.76681,1,0,0.0043236,0.00095,5e-05
0.76691,1,1e-07,0.0043236,0.0009501,5e-05
0.76701,1,2e-07,0.0043236,0.0009502,5e-05
0.7671,1,3e-07,0.0043236,0.0009503,5e-05
0.76719,1,4e-07,0.0043236,0.0009504,5e-05
0.76727,1,5e-07,0.0043236,0.0009505,5e-05
0.76735,1,6e-07,0.0043236,0.0009506,5e-05
0.76743,1,7.0001e-07,0.0043236,0.0009507,5e-05
0.7675,1,8.0001e-07,0.0043236,0.0009508,5e-05
0.76757,1,9.0001e-07,0.0043236,0.0009509,5e-05
0.76764,1,1e-06,0.0043236,0.000951,5e-05
0.7677,1,1.1e-06,0.0043236,0.0009511,5e-05
0.76776,1,1.2e-06,0.0043236,0.0009512,5e-05
0.76781,1,1.3e-06,0.0043236,0.0009513,5e-05
0.76787,1,1.4e-06,0.0043236,0.0009514,5e-05
0.76791,1,1.5e-06,0.0043236,0.0009515,5e-05
0.76796,1,1.6e-06,0.0043236,0.0009516,5e-05
0.76801,1,1.7e-06,0.0043236,0.0009517,5e-05
0.76805,1,1.8e-06,0.0043236,0.0009518,5e-05
0.76808,1,1.9e-06,0.0043236,0.0009519,5e-05
0.76811,1,2e-06,0.0043236,0.000952,5e-05
0.76813,1,2.1e-06,0.0043236,0.0009521,5e-05
0.76815,1,2.2e-06,0.0043236,0.0009522,5e-05
0.76817,1,2.3e-06,0.0043236,0.0009523,5e-05
0.7682,1,2.4e-06,0.0043236,0.0009524,5e-05
0.76822,1,2.5e-06,0.0043236,0.0009525,5e-05
0.76825,1,2.6e-06,0.0043236,0.0009526,5e-05
0.76829,1,2.7e-06,0.0043236,0.0009527,5e-05
0.76832,1,2.8e-06,0.0043236,0.0009528,5e-05
0.76835,1,2.9e-06,0.0043236,0.0009529,5e-05
0.76839,1,3e-06,0.0043236,0.000953,5e-05
0.76842,1,3.1e-06,0.0043236,0.0009531,5e-05
0.76845,1,3.2e-06,0.0043236,0.0009532,5e-05
0.76848,1,3.3e-06,0.0043236,0.0009533,5e-05
0.76851,1,3.4e-06,0.0043236,0.0009534,5e-05
0.76853,1,3.5e-06,0.0043236,0.0009535,5e-05
0.76856,1,3.6e-06,0.0043236,0.0009536,5e-05
0.76858,1,3.7e-06,0.0043236,0.0009537,5e-05
0.76862,1,3.8e-06,0.0043236,0.0009538,5e-05
0.76866,1,3.9e-06,0.0043236,0.0009539,5e-05
0.76869,1,4e-06,0.0043236,0.000954,5e-05
0.76873,1,4.1e-06,0.0043236,0.0009541,5e-05
0.76877,1,4.2e-06,0.0043236,0.0009542,5e-05
0.7688,1,4.3e-06,0.0043236,0.0009543,5e-05
0.76884,1,4.4e-06,0.0043236,0.0009544,5e-05
0.76887,1,4.5e-06,0.0043236,0.0009545,5e-05
0.76891,1,4.6e-06,0.0043236,0.0009546,5e-05
0.76894,1,4.7e-06,0.0043236,0.0009547,5e-05
0.76897,1,4.8e-06,0.0043236,0.0009548,5e-05
0.769,1,4.9e-06,0.0043236,0.0009549,5e-05
0.76903,1,5e-06,0.0043236,0.000955,5e-05
0.76907,1,5.1e-06,0.0043236,0.0009551,5e-05
0.76911,1,5.2e-06,0.0043236,0.0009552,5e-05
0.76916,1,5.3e-06,0.0043236,0.0009553,5e-05
0.7692,1,5.4e-06,0.0043236,0.0009554,5e-05
0.76924,1,5.5e-06,0.0043236,0.0009555,5e-05
0.76927,1,5.6e-06,0.0043236,0.0009556,5e-05
0.76931,1,5.7e-06,0.0043236,0.0009557,5e-05
0.76935,1,5.8e-06,0.0043236,0.0009558,5e-05
0.76939,1,5.9e-06,0.0043236,0.0009559,5e-05
0.76943,1,6e-06,0.0043236,0.000956,5e-05
0.76946,1,6.1e-06,0.0043236,0.0009561,5e-05
0.7695,1,6.2e-06,0.0043236,0.0009562,5e-05
0.76954,1,6.3e-06,0.0043236,0.0009563,5e-05
0.76958,1,6.4e-06,0.0043236,0.0009564,5e-05
0.76963,1,6.5e-06,0.0043236,0.0009565,5e-05
0.76967,1,6.6e-06,0.0043236,0.0009566,5e-05
0.76972,1,6.7e-06,0.0043236,0.0009567,5e-05
0.76976,1,6.8e-06,0.0043236,0.0009568,5e-05
0.7698,1,6.9e-06,0.0043236,0.0009569,5e-05
0.76985,1,7e-06,0.0043236,0.000957,5e-05
0.76989,1,7.1e-06,0.0043236,0.0009571,5e-05
0.76993,1,7.2e-06,0.0043236,0.0009572,5e-05
0.76997,1,7.3e-06,0.0043236,0.0009573,5e-05
0.77001,1,7.4e-06,0.0043236,0.0009574,5e-05
0.77005,1,7.5e-06,0.0043236,0.0009575,5e-05
0.7701,1,7.6e-06,0.0043236,0.0009576,5e-05
0.77014,1,7.7e-06,0.0043236,0.0009577,5e-05
0.77019,1,7.8e-06,0.0043236,0.0009578,5e-05
0.77024,1,7.9e-06,0.0043236,0.0009579,5e-05
0.77029,1,8e-06,0.0043236,0.000958,5e-05
0.77033,1,8.1e-06,0.0043236,0.0009581,5e-05
0.77038,1,8.2e-06,0.0043236,0.0009582,5e-05
0.77043,1,8.3e-06,0.0043236,0.0009583,5e-05
0.77047,1,8.4e-06,0.0043236,0.0009584,5e-05
0.77052,1,8.5e-06,0.0043236,0.0009585,5e-05
0.77056,1,8.6e-06,0.0043236,0.0009586,5e-05
0.7706,1,8.7e-06,0.0043236,0.0009587,5e-05
0.77065,1,8.8e-06,0.0043236,0.0009588,5e-05
0.7707,1,8.9e-06,0.0043236,0.0009589,5e-05
0.77075,1,9e-06,0.0043236,0.000959,5e-05
0.7708,1,9.1e-06,0.0043236,0.0009591,5e-05
0.77085,1,9.2e-06,0.0043236,0.0009592,5e-05
0.7709,1,9.3e-06,0.0043236,0.0009593,5e-05
0.77095,1,9.4e-06,0.0043236,0.0009594,5e-05
