"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,0,0,0.0059553,-8.944e-05,5e-05
0.47711,1,1.9998e-07,0.0059553,-8.9261e-05,5e-05
0.47711,1,3.9996e-07,0.0059554,-8.9082e-05,5e-05
0.47711,1,5.9994e-07,0.0059555,-8.8903e-05,5e-05
0.47711,1,7.9991e-07,0.0059556,-8.8724e-05,5e-05
0.47711,1,9.9989e-07,0.0059557,-8.8546e-05,5e-05
0.47711,1,1.2001e-06,0.0059558,-8.8367e-05,5e-05
0.47711,1,1.4001e-06,0.0059559,-8.8188e-05,5e-05
0.47711,1,1.6e-06,0.005956,-8.8009e-05,5e-05
0.47711,1,1.8e-06,0.0059561,-8.783e-05,5e-05
0.47712,1,2e-06,0.0059561,-8.7651e-05,5e-05
0.47712,1,2.2e-06,0.0059562,-8.7472e-05,5e-05
0.47712,1,2.4e-06,0.0059563,-8.7293e-05,5e-05
0.47712,1,2.5999e-06,0.0059564,-8.7115e-05,5e-05
0.47712,1,2.7999e-06,0.0059565,-8.6936e-05,5e-05
0.47712,1,2.9999e-06,0.0059566,-8.6757e-05,5e-05
0.47713,1,3.1999e-06,0.0059567,-8.6578e-05,5e-05
0.47713,1,3.4001e-06,0.0059568,-8.6399e-05,5e-05
0.47713,1,3.6e-06,0.0059569,-8.622e-05,5e-05
0.47713,1,3.8e-06,0.0059569,-8.6041e-05,5e-05
0.47713,1,4e-06,0.005957,-8.5862e-05,5e-05
0.47714,1,4.2e-06,0.0059571,-8.5684e-05,5e-05
0.47714,1,4.4e-06,0.0059572,-8.5505e-05,5e-05
0.47714,1,4.5999e-06,0.0059573,-8.5326e-05,5e-05
0.47714,1,4.7999e-06,0.0059574,-8.5147e-05,5e-05
0.47715,1,4.9999e-06,0.0059575,-8.4968e-05,5e-05
0.47715,1,5.1999e-06,0.0059576,-8.4789e-05,5e-05
0.47716,1,5.3999e-06,0.0059577,-8.461e-05,5e-05
0.47716,1,5.6e-06,0.0059578,-8.4431e-05,5e-05
0.47717,1,5.8e-06,0.0059578,-8.4252e-05,5e-05
0.47717,1,6e-06,0.0059579,-8.4074e-05,5e-05
0.47717,1,6.2e-06,0.005958,-8.3895e-05,5e-05
0.47718,1,6.4e-06,0.0059581,-8.3716e-05,5e-05
0.47718,1,6.5999e-06,0.0059582,-8.3537e-05,5e-05
0.47719,1,6.7999e-06,0.0059583,-8.3358e-05,5e-05
0.47719,1,6.9999e-06,0.0059584,-8.3179e-05,5e-05
0.4772,1,7.1999e-06,0.0059585,-8.3e-05,5e-05
0.4772,1,7.3999e-06,0.0059586,-8.2821e-05,5e-05
0.47721,1,7.6e-06,0.0059586,-8.2643e-05,5e-05
0.47722,1,7.8e-06,0.0059587,-8.2464e-05,5e-05
0.47722,1,8e-06,0.0059588,-8.2285e-05,5e-05
0.47723,1,8.2e-06,0.0059589,-8.2106e-05,5e-05
0.47724,1,8.4e-06,0.005959,-8.1927e-05,5e-05
0.47725,1,8.5999e-06,0.0059591,-8.1748e-05,5e-05
