"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.47703,1,0,0.00595,0.00295,5e-05
0.47703,1,9.9884e-08,0.00595,0.0029501,5e-05
0.47703,1,2e-07,0.00595,0.0029502,5e-05
0.47703,1,2.9989e-07,0.00595,0.0029503,5e-05
0.47703,1,4e-07,0.00595,0.0029504,5e-05
0.47703,1,4.9989e-07,0.00595,0.0029505,5e-05
0.47703,1,6e-07,0.00595,0.0029506,5e-05
0.47703,1,6.9989e-07,0.00595,0.0029507,5e-05
0.47702,1,7.9977e-07,0.00595,0.0029508,5e-05
0.47702,1,8.9989e-07,0.00595,0.0029509,5e-05
0.47702,1,9.9977e-07,0.00595,0.002951,5e-05
0.47702,1,1.0999e-06,0.00595,0.0029511,5e-05
0.47702,1,1.1998e-06,0.00595,0.0029512,5e-05
0.47702,1,1.2999e-06,0.00595,0.0029513,5e-05
0.47702,1,1.3998e-06,0.00595,0.0029514,5e-05
0.47703,1,1.4999e-06,0.00595,0.0029515,5e-05
0.47703,1,1.5998e-06,0.00595,0.0029516,5e-05
0.47703,1,1.6999e-06,0.00595,0.0029517,5e-05
0.47703,1,1.7998e-06,0.00595,0.0029518,5e-05
0.47703,1,1.8999e-06,0.00595,0.0029519,5e-05
0.47703,1,1.9998e-06,0.00595,0.002952,5e-05
0.47703,1,2.0999e-06,0.00595,0.0029521,5e-05
0.47704,1,2.1998e-06,0.00595,0.0029522,5e-05
0.47704,1,2.2999e-06,0.00595,0.0029523,5e-05
0.47704,1,2.3998e-06,0.00595,0.0029524,5e-05
0.47704,1,2.4999e-06,0.00595,0.0029525,5e-05
0.47704,1,2.5998e-06,0.00595,0.0029526,5e-05
0.47705,1,2.6999e-06,0.00595,0.0029527,5e-05
0.47705,1,2.7998e-06,0.00595,0.0029528,5e-05
0.47705,1,2.8999e-06,0.00595,0.0029529,5e-05
0.47706,1,2.9998e-06,0.00595,0.002953,5e-05
0.47706,1,3.0999e-06,0.00595,0.0029531,5e-05
0.47706,1,3.1998e-06,0.00595,0.0029532,5e-05
0.47707,1,3.2999e-06,0.00595,0.0029533,5e-05
0.47707,1,3.3998e-06,0.00595,0.0029534,5e-05
0.47707,1,3.4999e-06,0.00595,0.0029535,5e-05
0.47708,1,3.5998e-06,0.00595,0.0029536,5e-05
0.47708,1,3.6999e-06,0.00595,0.0029537,5e-05
0.47708,1,3.7998e-06,0.00595,0.0029538,5e-05
0.47709,1,3.8999e-06,0.00595,0.0029539,5e-05
0.47709,1,3.9998e-06,0.00595,0.002954,5e-05
0.4771,1,4.0999e-06,0.00595,0.0029541,5e-05
0.47711,1,4.1998e-06,0.00595,0.0029542,5e-05
