"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.68774,1,0,0.00605,0.00305,5e-05
0.68775,1,9.9884e-08,0.00605,0.0030499,5e-05
0.68775,1,2e-07,0.00605,0.0030498,5e-05
0.68776,1,2.9989e-07,0.00605,0.0030497,5e-05
0.68776,1,4e-07,0.00605,0.0030496,5e-05
0.68777,1,4.9989e-07,0.00605,0.0030495,5e-05
0.68777,1,6e-07,0.00605,0.0030494,5e-05
0.68777,1,6.9989e-07,0.00605,0.0030493,5e-05
0.68778,1,8.0001e-07,0.00605,0.0030492,5e-05
0.68778,1,8.9989e-07,0.00605,0.0030491,5e-05
0.68779,1,1e-06,0.00605,0.003049,5e-05
0.68779,1,1.0999e-06,0.00605,0.0030489,5e-05
0.6878,1,1.2e-06,0.00605,0.0030488,5e-05
0.6878,1,1.2999e-06,0.00605,0.0030487,5e-05
0.68779,1,1.4e-06,0.00605,0.0030486,5e-05
0.68779,1,1.4999e-06,0.00605,0.0030485,5e-05
0.68778,1,1.6e-06,0.00605,0.0030484,5e-05
0.68778,1,1.6999e-06,0.00605,0.0030483,5e-05
0.68777,1,1.8e-06,0.00605,0.0030482,5e-05
0.68777,1,1.8999e-06,0.00605,0.0030481,5e-05
0.68776,1,2e-06,0.00605,0.003048,5e-05
0.68776,1,2.0999e-06,0.00605,0.0030479,5e-05
0.68775,1,2.2e-06,0.00605,0.0030478,5e-05
0.68775,1,2.2999e-06,0.00605,0.0030477,5e-05
0.68774,1,2.4e-06,0.00605,0.0030476,5e-05
0.68774,1,2.4999e-06,0.00605,0.0030475,5e-05
0.68773,1,2.6e-06,0.00605,0.0030474,5e-05
0.68771,1,2.6999e-06,0.00605,0.0030473,5e-05
0.6877,1,2.8e-06,0.00605,0.0030472,5e-05
0.68769,1,2.8999e-06,0.00605,0.0030471,5e-05
0.68768,1,3e-06,0.00605,0.003047,5e-05
0.68767,1,3.0999e-06,0.00605,0.0030469,5e-05
0.68766,1,3.2e-06,0.00605,0.0030468,5e-05
0.68765,1,3.2999e-06,0.00605,0.0030467,5e-05
0.68764,1,3.4e-06,0.00605,0.0030466,5e-05
0.68763,1,3.4999e-06,0.00605,0.0030465,5e-05
0.68762,1,3.6e-06,0.00605,0.0030464,5e-05
0.68761,1,3.6999e-06,0.00605,0.0030463,5e-05
0.68759,1,3.8e-06,0.00605,0.0030462,5e-05
0.68758,1,3.8999e-06,0.00605,0.0030461,5e-05
0.68756,1,4e-06,0.00605,0.003046,5e-05
0.68754,1,4.0999e-06,0.00605,0.0030459,5e-05
0.68752,1,4.2e-06,0.00605,0.0030458,5e-05
0.68751,1,4.2999e-06,0.00605,0.0030457,5e-05
0.68749,1,4.4e-06,0.00605,0.0030456,5e-05
0.68747,1,4.4999e-06,0.00605,0.0030455,5e-05
0.68745,1,4.6e-06,0.00605,0.0030454,5e-05
0.68744,1,4.6999e-06,0.00605,0.0030453,5e-05
0.68742,1,4.8e-06,0.00605,0.0030452,5e-05
0.6874,1,4.8999e-06,0.00605,0.0030451,5e-05
0.68739,1,5e-06,0.00605,0.003045,5e-05
0.68736,1,5.0999e-06,0.00605,0.0030449,5e-05
0.68734,1,5.2e-06,0.00605,0.0030448,5e-05
