"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.68774,1,0,0.00605,0.00305,5e-05
0.68773,1,1.0012e-07,0.0060499,0.00305,5e-05
0.68772,1,1.9977e-07,0.0060498,0.00305,5e-05
0.68771,1,2.9989e-07,0.0060497,0.00305,5e-05
0.6877,1,4e-07,0.0060496,0.00305,5e-05
0.68768,1,5.0012e-07,0.0060495,0.00305,5e-05
0.68767,1,5.9977e-07,0.0060494,0.00305,5e-05
0.68766,1,6.9989e-07,0.0060493,0.00305,5e-05
0.68765,1,8.0001e-07,0.0060492,0.00305,5e-05
0.68764,1,9.0012e-07,0.0060491,0.00305,5e-05
0.68762,1,9.9977e-07,0.006049,0.00305,5e-05
0.68761,1,1.0999e-06,0.0060489,0.00305,5e-05
0.6876,1,1.2e-06,0.0060488,0.00305,5e-05
0.68759,1,1.3001e-06,0.0060487,0.00305,5e-05
0.68758,1,1.3998e-06,0.0060486,0.00305,5e-05
0.68756,1,1.4999e-06,0.0060485,0.00305,5e-05
0.68755,1,1.6e-06,0.0060484,0.00305,5e-05
0.68754,1,1.7001e-06,0.0060483,0.00305,5e-05
0.68753,1,1.7998e-06,0.0060482,0.00305,5e-05
0.68752,1,1.8999e-06,0.0060481,0.00305,5e-05
0.68751,1,2e-06,0.006048,0.00305,5e-05
0.68749,1,2.1001e-06,0.0060479,0.00305,5e-05
0.68748,1,2.1998e-06,0.0060478,0.00305,5e-05
0.68747,1,2.2999e-06,0.0060477,0.00305,5e-05
0.68746,1,2.4e-06,0.0060476,0.00305,5e-05
0.68745,1,2.5001e-06,0.0060475,0.00305,5e-05
0.68743,1,2.5998e-06,0.0060474,0.00305,5e-05
0.68741,1,2.6999e-06,0.0060473,0.00305,5e-05
0.6874,1,2.8e-06,0.0060472,0.00305,5e-05
0.68738,1,2.9001e-06,0.0060471,0.00305,5e-05
0.68736,1,2.9998e-06,0.006047,0.00305,5e-05
0.68734,1,3.0999e-06,0.0060469,0.00305,5e-05
0.68733,1,3.2e-06,0.0060468,0.00305,5e-05
0.68731,1,3.3001e-06,0.0060467,0.00305,5e-05
0.68729,1,3.3998e-06,0.0060466,0.00305,5e-05
0.68727,1,3.4999e-06,0.0060465,0.00305,5e-05
0.68726,1,3.6e-06,0.0060464,0.00305,5e-05
0.68724,1,3.7001e-06,0.0060463,0.00305,5e-05
0.68722,1,3.7998e-06,0.0060462,0.00305,5e-05
0.68719,1,3.8999e-06,0.0060461,0.00305,5e-05
0.68717,1,4e-06,0.006046,0.00305,5e-05
0.68714,1,4.1001e-06,0.0060459,0.00305,5e-05
0.68712,1,4.1998e-06,0.0060458,0.00305,5e-05
0.6871,1,4.2999e-06,0.0060457,0.00305,5e-05
0.68707,1,4.4e-06,0.0060456,0.00305,5e-05
0.68705,1,4.5002e-06,0.0060455,0.00305,5e-05
0.68702,1,4.5998e-06,0.0060454,0.00305,5e-05
0.687,1,4.6999e-06,0.0060453,0.00305,5e-05
0.68698,1,4.8e-06,0.0060452,0.00305,5e-05
0.68695,1,4.9002e-06,0.0060451,0.00305,5e-05
0.68693,1,4.9998e-06,0.006045,0.00305,5e-05
0.6869,1,5.0999e-06,0.0060449,0.00305,5e-05
0.68686,1,5.2e-06,0.0060448,0.00305,5e-05
0.68683,1,5.3002e-06,0.0060447,0.00305,5e-05
0.6868,1,5.3998e-06,0.0060446,0.00305,5e-05
0.68677,1,5.4999e-06,0.0060445,0.00305,5e-05
0.68674,1,5.6e-06,0.0060444,0.00305,5e-05
0.68671,1,5.7002e-06,0.0060443,0.00305,5e-05
0.68667,1,5.7998e-06,0.0060442,0.00305,5e-05
0.68664,1,5.8999e-06,0.0060441,0.00305,5e-05
0.68661,1,6e-06,0.006044,0.00305,5e-05
0.68658,1,6.1002e-06,0.0060439,0.00305,5e-05
0.68655,1,6.1998e-06,0.0060438,0.00305,5e-05
0.68651,1,6.2999e-06,0.0060437,0.00305,5e-05
0.68647,1,6.4e-06,0.0060436,0.00305,5e-05
0.68643,1,6.5002e-06,0.0060435,0.00305,5e-05
0.68639,1,6.5998e-06,0.0060434,0.00305,5e-05
0.68635,1,6.6999e-06,0.0060433,0.00305,5e-05
0.68631,1,6.8001e-06,0.0060432,0.00305,5e-05
0.68627,1,6.9002e-06,0.0060431,0.00305,5e-05
0.68624,1,6.9998e-06,0.006043,0.00305,5e-05
0.6862,1,7.0999e-06,0.0060429,0.00305,5e-05
0.68616,1,7.2001e-06,0.0060428,0.00305,5e-05
0.68612,1,7.3002e-06,0.0060427,0.00305,5e-05
0.68608,1,7.3998e-06,0.0060426,0.00305,5e-05
0.68604,1,7.4999e-06,0.0060425,0.00305,5e-05
0.68599,1,7.6001e-06,0.0060424,0.00305,5e-05
0.68594,1,7.7002e-06,0.0060423,0.00305,5e-05
0.68589,1,7.7998e-06,0.0060422,0.00305,5e-05
0.68585,1,7.8999e-06,0.0060421,0.00305,5e-05
0.6858,1,8.0001e-06,0.006042,0.00305,5e-05
0.68575,1,8.1002e-06,0.0060419,0.00305,5e-05
0.6857,1,8.1998e-06,0.0060418,0.00305,5e-05
0.68565,1,8.2999e-06,0.0060417,0.00305,5e-05
0.68561,1,8.4001e-06,0.0060416,0.00305,5e-05
0.68556,1,8.5002e-06,0.0060415,0.00305,5e-05
0.68551,1,8.5998e-06,0.0060414,0.00305,5e-05
0.68546,1,8.6999e-06,0.0060413,0.00305,5e-05
0.68541,1,8.8001e-06,0.0060412,0.00305,5e-05
0.68535,1,8.9002e-06,0.0060411,0.00305,5e-05
0.6853,1,8.9998e-06,0.006041,0.00305,5e-05
0.68524,1,9.1e-06,0.0060409,0.00305,5e-05
0.68518,1,9.2001e-06,0.0060408,0.00305,5e-05
0.68513,1,9.3002e-06,0.0060407,0.00305,5e-05
0.68507,1,9.3998e-06,0.0060406,0.00305,5e-05
0.68501,1,9.5e-06,0.0060405,0.00305,5e-05
0.68496,1,9.6001e-06,0.0060404,0.00305,5e-05
0.6849,1,9.7002e-06,0.0060403,0.00305,5e-05
0.68484,1,9.7998e-06,0.0060402,0.00305,5e-05
