x,f(x)
0,0.002949
0.01,0.002999
0.02,0.003152
0.03,0.00341
0.04,0.003779
0.05,0.004266
0.06,0.00488
0.07,0.005633
0.08,0.006538
0.09,0.007613
0.1,0.008874
0.11,0.01034
0.12,0.01204
0.13,0.01399
0.14,0.01623
0.15,0.01877
0.16,0.02165
0.17,0.0249
0.18,0.02856
0.19,0.03267
0.2,0.03724
0.21,0.04233
0.22,0.04798
0.23,0.05421
0.24,0.06106
0.25,0.06858
0.26,0.07679
0.27,0.08572
0.28,0.09542
0.29,0.1059
0.3,0.1172
0.31,0.1293
0.32,0.1422
0.33,0.1561
0.34,0.1707
0.35,0.1862
0.36,0.2026
0.37,0.2198
0.38,0.2378
0.39,0.2565
0.4,0.2761
0.41,0.2963
0.42,0.3172
0.43,0.3386
0.44,0.3606
0.45,0.3831
0.46,0.406
0.47,0.4292
0.48,0.4527
0.49,0.4763
0.5,0.5
0.51,0.5237
0.52,0.5473
0.53,0.5708
0.54,0.594
0.55,0.6169
0.56,0.6394
0.57,0.6614
0.58,0.6828
0.59,0.7037
0.6,0.7239
0.61,0.7435
0.62,0.7622
0.63,0.7802
0.64,0.7974
0.65,0.8138
0.66,0.8293
0.67,0.8439
0.68,0.8578
0.69,0.8707
0.7,0.8828
0.71,0.8941
0.72,0.9046
0.73,0.9143
0.74,0.9232
0.75,0.9314
0.76,0.9389
0.77,0.9458
0.78,0.952
0.79,0.9577
0.8,0.9628
0.81,0.9673
0.82,0.9714
0.83,0.9751
0.84,0.9784
0.85,0.9812
0.86,0.9838
0.87,0.986
0.88,0.988
0.89,0.9897
0.9,0.9911
0.91,0.9924
0.92,0.9935
0.93,0.9944
0.94,0.9951
0.95,0.9957
0.96,0.9962
0.97,0.9966
0.98,0.9968
0.99,0.997
1,0.9971
