"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.0721e-19,1,0,0.0020844,0.0010137,5e-05
2.0685e-19,1,1.0543e-07,0.0020843,0.0010137,5e-05
2.0649e-19,1,2.1085e-07,0.0020842,0.0010138,5e-05
2.0613e-19,1,3.1623e-07,0.0020841,0.0010138,5e-05
2.0576e-19,1,4.2165e-07,0.002084,0.0010139,5e-05
2.054e-19,1,5.2708e-07,0.0020839,0.0010139,5e-05
2.0504e-19,1,6.3251e-07,0.0020838,0.001014,5e-05
2.0467e-19,1,7.3793e-07,0.0020837,0.001014,5e-05
2.0431e-19,1,8.4336e-07,0.0020837,0.0010141,5e-05
2.0395e-19,1,9.4879e-07,0.0020836,0.0010141,5e-05
2.0358e-19,1,1.0542e-06,0.0020835,0.0010142,5e-05
2.0322e-19,1,1.1594e-06,0.0020834,0.0010142,5e-05
2.0286e-19,1,1.2649e-06,0.0020833,0.0010143,5e-05
2.0027e-19,1,1.3703e-06,0.0020832,0.0010143,5e-05
1.9551e-19,1,1.4757e-06,0.0020831,0.0010144,5e-05
1.9074e-19,1,1.5811e-06,0.002083,0.0010144,5e-05
1.8597e-19,1,1.6866e-06,0.0020829,0.0010145,5e-05
1.8121e-19,1,1.7919e-06,0.0020828,0.0010145,5e-05
1.7644e-19,1,1.8974e-06,0.0020827,0.0010145,5e-05
1.7168e-19,1,2.0028e-06,0.0020826,0.0010146,5e-05
1.6691e-19,1,2.1082e-06,0.0020825,0.0010146,5e-05
1.6214e-19,1,2.2136e-06,0.0020824,0.0010147,5e-05
1.5738e-19,1,2.3191e-06,0.0020823,0.0010147,5e-05
1.5261e-19,1,2.4245e-06,0.0020822,0.0010148,5e-05
1.4784e-19,1,2.5299e-06,0.0020821,0.0010148,5e-05
1.4304e-19,1,2.6351e-06,0.0020821,0.0010149,5e-05
1.2765e-19,1,2.7406e-06,0.002082,0.0010149,5e-05
1.1226e-19,1,2.846e-06,0.0020819,0.001015,5e-05
9.687e-20,1,2.9514e-06,0.0020818,0.001015,5e-05
8.148e-20,1,3.0569e-06,0.0020817,0.0010151,5e-05
6.609e-20,1,3.1623e-06,0.0020816,0.0010151,5e-05
5.07e-20,1,3.2677e-06,0.0020815,0.0010152,5e-05
3.5319e-20,1,3.3731e-06,0.0020814,0.0010152,5e-05
1.9929e-20,1,3.4785e-06,0.0020813,0.0010153,5e-05
4.5382e-21,1,3.5839e-06,0.0020812,0.0010153,5e-05
-1.0852e-20,1,3.6894e-06,0.0020811,0.0010153,5e-05
-2.6243e-20,1,3.7948e-06,0.002081,0.0010154,5e-05
-4.1633e-20,1,3.9002e-06,0.0020809,0.0010154,5e-05
-6.5025e-20,1,4.0056e-06,0.0020808,0.0010155,5e-05
-9.6221e-20,1,4.1109e-06,0.0020807,0.0010155,5e-05
-1.2747e-19,1,4.2163e-06,0.0020806,0.0010156,5e-05
-1.5872e-19,1,4.3217e-06,0.0020805,0.0010156,5e-05
-1.8997e-19,1,4.4271e-06,0.0020805,0.0010157,5e-05
-2.2123e-19,1,4.5326e-06,0.0020804,0.0010157,5e-05
-2.5248e-19,1,4.638e-06,0.0020803,0.0010158,5e-05
-2.8373e-19,1,4.7434e-06,0.0020802,0.0010158,5e-05
-3.1496e-19,1,4.8488e-06,0.0020801,0.0010159,5e-05
-3.4621e-19,1,4.9542e-06,0.00208,0.0010159,5e-05
-3.7746e-19,1,5.0596e-06,0.0020799,0.001016,5e-05
-4.0871e-19,1,5.1651e-06,0.0020798,0.001016,5e-05
-4.401e-19,1,5.2705e-06,0.0020797,0.0010161,5e-05
-4.9928e-19,1,5.3759e-06,0.0020796,0.0010161,5e-05
-5.5846e-19,1,5.4813e-06,0.0020795,0.0010162,5e-05
-6.1753e-19,1,5.5866e-06,0.0020794,0.0010162,5e-05
-6.7671e-19,1,5.692e-06,0.0020793,0.0010162,5e-05
-7.3588e-19,1,5.7974e-06,0.0020792,0.0010163,5e-05
-7.9506e-19,1,5.9028e-06,0.0020791,0.0010163,5e-05
-8.5424e-19,1,6.0083e-06,0.002079,0.0010164,5e-05
-9.1341e-19,1,6.1137e-06,0.0020789,0.0010164,5e-05
-9.7259e-19,1,6.2191e-06,0.0020788,0.0010165,5e-05
-1.0317e-18,1,6.3245e-06,0.0020788,0.0010165,5e-05
-1.0909e-18,1,6.4299e-06,0.0020787,0.0010166,5e-05
-1.1501e-18,1,6.5354e-06,0.0020786,0.0010166,5e-05
-1.2399e-18,1,6.6408e-06,0.0020785,0.0010167,5e-05
-1.3598e-18,1,6.7462e-06,0.0020784,0.0010167,5e-05
-1.4798e-18,1,6.8516e-06,0.0020783,0.0010168,5e-05
-1.5997e-18,1,6.9571e-06,0.0020782,0.0010168,5e-05
-1.7194e-18,1,7.0623e-06,0.0020781,0.0010169,5e-05
-1.8393e-18,1,7.1677e-06,0.002078,0.0010169,5e-05
-1.9593e-18,1,7.2731e-06,0.0020779,0.001017,5e-05
-2.0792e-18,1,7.3786e-06,0.0020778,0.001017,5e-05
-2.1991e-18,1,7.484e-06,0.0020777,0.001017,5e-05
-2.3191e-18,1,7.5894e-06,0.0020776,0.0010171,5e-05
-2.439e-18,1,7.6948e-06,0.0020775,0.0010171,5e-05
-2.5588e-18,1,7.8002e-06,0.0020774,0.0010172,5e-05
-2.6792e-18,1,7.9056e-06,0.0020773,0.0010172,5e-05
-2.9275e-18,1,8.0111e-06,0.0020772,0.0010173,5e-05
-3.1759e-18,1,8.1165e-06,0.0020772,0.0010173,5e-05
-3.4242e-18,1,8.2219e-06,0.0020771,0.0010174,5e-05
-3.6726e-18,1,8.3273e-06,0.002077,0.0010174,5e-05
-3.9209e-18,1,8.4328e-06,0.0020769,0.0010175,5e-05
-4.1692e-18,1,8.5382e-06,0.0020768,0.0010175,5e-05
-4.4171e-18,1,8.6434e-06,0.0020767,0.0010176,5e-05
-4.6655e-18,1,8.7488e-06,0.0020766,0.0010176,5e-05
-4.9138e-18,1,8.8543e-06,0.0020765,0.0010177,5e-05
-5.1622e-18,1,8.9597e-06,0.0020764,0.0010177,5e-05
-5.4105e-18,1,9.0651e-06,0.0020763,0.0010178,5e-05
-5.6588e-18,1,9.1706e-06,0.0020762,0.0010178,5e-05
-6.0269e-18,1,9.2759e-06,0.0020761,0.0010178,5e-05
-6.5131e-18,1,9.3814e-06,0.002076,0.0010179,5e-05
-6.9993e-18,1,9.4868e-06,0.0020759,0.0010179,5e-05
-7.4855e-18,1,9.5922e-06,0.0020758,0.001018,5e-05
-7.9718e-18,1,9.6976e-06,0.0020757,0.001018,5e-05
-8.458e-18,1,9.8031e-06,0.0020756,0.0010181,5e-05
-8.9442e-18,1,9.9085e-06,0.0020755,0.0010181,5e-05
-9.4304e-18,1,1.0014e-05,0.0020755,0.0010182,5e-05
-9.9156e-18,1,1.0119e-05,0.0020754,0.0010182,5e-05
-1.0402e-17,1,1.0225e-05,0.0020753,0.0010183,5e-05
-1.0888e-17,1,1.033e-05,0.0020752,0.0010183,5e-05
-1.1374e-17,1,1.0435e-05,0.0020751,0.0010184,5e-05
-1.1862e-17,1,1.0541e-05,0.002075,0.0010184,5e-05
-1.2701e-17,1,1.0646e-05,0.0020749,0.0010185,5e-05
-1.354e-17,1,1.0752e-05,0.0020748,0.0010185,5e-05
-1.4379e-17,1,1.0857e-05,0.0020747,0.0010186,5e-05
-1.5219e-17,1,1.0962e-05,0.0020746,0.0010186,5e-05
-1.6058e-17,1,1.1068e-05,0.0020745,0.0010186,5e-05
-1.6897e-17,1,1.1173e-05,0.0020744,0.0010187,5e-05
-1.7737e-17,1,1.1279e-05,0.0020743,0.0010187,5e-05
-1.8576e-17,1,1.1384e-05,0.0020742,0.0010188,5e-05
-1.9415e-17,1,1.149e-05,0.0020741,0.0010188,5e-05
-2.0252e-17,1,1.1595e-05,0.002074,0.0010189,5e-05
-2.1092e-17,1,1.17e-05,0.0020739,0.0010189,5e-05
-2.1931e-17,1,1.1806e-05,0.0020739,0.001019,5e-05
-2.2901e-17,1,1.1911e-05,0.0020738,0.001019,5e-05
-2.4001e-17,1,1.2017e-05,0.0020737,0.0010191,5e-05
-2.5101e-17,1,1.2122e-05,0.0020736,0.0010191,5e-05
-2.6201e-17,1,1.2227e-05,0.0020735,0.0010192,5e-05
-2.7302e-17,1,1.2333e-05,0.0020734,0.0010192,5e-05
-2.8402e-17,1,1.2438e-05,0.0020733,0.0010193,5e-05
-2.9502e-17,1,1.2544e-05,0.0020732,0.0010193,5e-05
-3.0603e-17,1,1.2649e-05,0.0020731,0.0010194,5e-05
-3.1703e-17,1,1.2754e-05,0.002073,0.0010194,5e-05
-3.2803e-17,1,1.286e-05,0.0020729,0.0010195,5e-05
-3.3904e-17,1,1.2965e-05,0.0020728,0.0010195,5e-05
-3.4999e-17,1,1.3071e-05,0.0020727,0.0010195,5e-05
-3.6096e-17,1,1.3176e-05,0.0020726,0.0010196,5e-05
-3.6334e-17,1,1.3281e-05,0.0020725,0.0010196,5e-05
-3.6571e-17,1,1.3387e-05,0.0020724,0.0010197,5e-05
-3.6808e-17,1,1.3492e-05,0.0020723,0.0010197,5e-05
-3.7046e-17,1,1.3598e-05,0.0020722,0.0010198,5e-05
-3.7283e-17,1,1.3703e-05,0.0020722,0.0010198,5e-05
-3.7526e-17,1,1.3808e-05,0.0020721,0.0010199,5e-05
-3.7764e-17,1,1.3914e-05,0.002072,0.0010199,5e-05
-3.8001e-17,1,1.4019e-05,0.0020719,0.00102,5e-05
-3.8238e-17,1,1.4125e-05,0.0020718,0.00102,5e-05
-3.8475e-17,1,1.423e-05,0.0020717,0.0010201,5e-05
-3.8713e-17,1,1.4336e-05,0.0020716,0.0010201,5e-05
-3.8949e-17,1,1.4441e-05,0.0020715,0.0010202,5e-05
-3.6209e-17,1,1.4546e-05,0.0020714,0.0010202,5e-05
-3.0546e-17,1,1.4652e-05,0.0020713,0.0010203,5e-05
-2.4884e-17,1,1.4757e-05,0.0020712,0.0010203,5e-05
-1.9221e-17,1,1.4863e-05,0.0020711,0.0010203,5e-05
-1.3558e-17,1,1.4968e-05,0.002071,0.0010204,5e-05
-7.8958e-18,1,1.5073e-05,0.0020709,0.0010204,5e-05
-2.2332e-18,1,1.5179e-05,0.0020708,0.0010205,5e-05
3.4036e-18,1,1.5284e-05,0.0020707,0.0010205,5e-05
9.0648e-18,1,1.539e-05,0.0020706,0.0010206,5e-05
1.4726e-17,1,1.5495e-05,0.0020706,0.0010206,5e-05
2.0387e-17,1,1.56e-05,0.0020705,0.0010207,5e-05
2.6048e-17,1,1.5706e-05,0.0020704,0.0010207,5e-05
3.1792e-17,1,1.5811e-05,0.0020703,0.0010208,5e-05
6.248e-17,1,1.5917e-05,0.0020702,0.0010208,5e-05
9.3169e-17,1,1.6022e-05,0.0020701,0.0010209,5e-05
1.2384e-16,1,1.6127e-05,0.00207,0.0010209,5e-05
1.5453e-16,1,1.6233e-05,0.0020699,0.001021,5e-05
1.8522e-16,1,1.6338e-05,0.0020698,0.001021,5e-05
2.1591e-16,1,1.6444e-05,0.0020697,0.0010211,5e-05
2.466e-16,1,1.6549e-05,0.0020696,0.0010211,5e-05
2.7729e-16,1,1.6655e-05,0.0020695,0.0010211,5e-05
3.0789e-16,1,1.676e-05,0.0020694,0.0010212,5e-05
3.3858e-16,1,1.6865e-05,0.0020693,0.0010212,5e-05
3.6926e-16,1,1.6971e-05,0.0020692,0.0010213,5e-05
3.9994e-16,1,1.7076e-05,0.0020691,0.0010213,5e-05
4.7669e-16,1,1.7182e-05,0.002069,0.0010214,5e-05
5.9883e-16,1,1.7287e-05,0.0020689,0.0010214,5e-05
7.2097e-16,1,1.7392e-05,0.0020689,0.0010215,5e-05
8.4311e-16,1,1.7498e-05,0.0020688,0.0010215,5e-05
9.6517e-16,1,1.7603e-05,0.0020687,0.0010216,5e-05
1.0873e-15,1,1.7709e-05,0.0020686,0.0010216,5e-05
1.2095e-15,1,1.7814e-05,0.0020685,0.0010217,5e-05
1.3316e-15,1,1.7919e-05,0.0020684,0.0010217,5e-05
1.4538e-15,1,1.8025e-05,0.0020683,0.0010218,5e-05
1.5759e-15,1,1.813e-05,0.0020682,0.0010218,5e-05
1.6981e-15,1,1.8236e-05,0.0020681,0.0010219,5e-05
1.82e-15,1,1.8341e-05,0.002068,0.0010219,5e-05
1.9431e-15,1,1.8446e-05,0.0020679,0.0010219,5e-05
2.3371e-15,1,1.8552e-05,0.0020678,0.001022,5e-05
2.7312e-15,1,1.8657e-05,0.0020677,0.001022,5e-05
3.1252e-15,1,1.8763e-05,0.0020676,0.0010221,5e-05
3.5193e-15,1,1.8868e-05,0.0020675,0.0010221,5e-05
3.9134e-15,1,1.8974e-05,0.0020674,0.0010222,5e-05
4.3071e-15,1,1.9079e-05,0.0020673,0.0010222,5e-05
4.7012e-15,1,1.9184e-05,0.0020673,0.0010223,5e-05
5.0952e-15,1,1.929e-05,0.0020672,0.0010223,5e-05
5.4893e-15,1,1.9395e-05,0.0020671,0.0010224,5e-05
5.8834e-15,1,1.9501e-05,0.002067,0.0010224,5e-05
6.2775e-15,1,1.9606e-05,0.0020669,0.0010225,5e-05
6.6716e-15,1,1.9711e-05,0.0020668,0.0010225,5e-05
7.2537e-15,1,1.9817e-05,0.0020667,0.0010226,5e-05
8.0239e-15,1,1.9922e-05,0.0020666,0.0010226,5e-05
8.7941e-15,1,2.0028e-05,0.0020665,0.0010227,5e-05
9.5642e-15,1,2.0133e-05,0.0020664,0.0010227,5e-05
1.0334e-14,1,2.0238e-05,0.0020663,0.0010228,5e-05
1.1105e-14,1,2.0344e-05,0.0020662,0.0010228,5e-05
1.1875e-14,1,2.0449e-05,0.0020661,0.0010228,5e-05
1.2644e-14,1,2.0555e-05,0.002066,0.0010229,5e-05
1.3414e-14,1,2.066e-05,0.0020659,0.0010229,5e-05
1.4184e-14,1,2.0765e-05,0.0020658,0.001023,5e-05
1.4955e-14,1,2.0871e-05,0.0020657,0.001023,5e-05
1.5725e-14,1,2.0976e-05,0.0020656,0.0010231,5e-05
1.6487e-14,1,2.1082e-05,0.0020656,0.0010231,5e-05
1.4962e-14,1,2.1187e-05,0.0020655,0.0010232,5e-05
1.3437e-14,1,2.1292e-05,0.0020654,0.0010232,5e-05
1.1911e-14,1,2.1398e-05,0.0020653,0.0010233,5e-05
1.0386e-14,1,2.1503e-05,0.0020652,0.0010233,5e-05
8.8604e-15,1,2.1609e-05,0.0020651,0.0010234,5e-05
7.3348e-15,1,2.1714e-05,0.002065,0.0010234,5e-05
5.8092e-15,1,2.182e-05,0.0020649,0.0010235,5e-05
4.2836e-15,1,2.1925e-05,0.0020648,0.0010235,5e-05
2.7601e-15,1,2.203e-05,0.0020647,0.0010236,5e-05
1.2344e-15,1,2.2136e-05,0.0020646,0.0010236,5e-05
-2.914e-16,1,2.2241e-05,0.0020645,0.0010236,5e-05
-1.8172e-15,1,2.2347e-05,0.0020644,0.0010237,5e-05
-1.3532e-14,1,2.2452e-05,0.0020643,0.0010237,5e-05
-3.5318e-14,1,2.2557e-05,0.0020642,0.0010238,5e-05
-5.7105e-14,1,2.2663e-05,0.0020641,0.0010238,5e-05
-7.887e-14,1,2.2768e-05,0.002064,0.0010239,5e-05
-1.0066e-13,1,2.2874e-05,0.002064,0.0010239,5e-05
-1.2244e-13,1,2.2979e-05,0.0020639,0.001024,5e-05
-1.4423e-13,1,2.3084e-05,0.0020638,0.001024,5e-05
-1.6601e-13,1,2.319e-05,0.0020637,0.0010241,5e-05
-1.878e-13,1,2.3295e-05,0.0020636,0.0010241,5e-05
-2.0958e-13,1,2.3401e-05,0.0020635,0.0010242,5e-05
-2.3137e-13,1,2.3506e-05,0.0020634,0.0010242,5e-05
-2.5313e-13,1,2.3611e-05,0.0020633,0.0010243,5e-05
-2.7502e-13,1,2.3717e-05,0.0020632,0.0010243,5e-05
-3.6077e-13,1,2.3822e-05,0.0020631,0.0010244,5e-05
-4.4652e-13,1,2.3928e-05,0.002063,0.0010244,5e-05
-5.3227e-13,1,2.4033e-05,0.0020629,0.0010244,5e-05
-6.1801e-13,1,2.4139e-05,0.0020628,0.0010245,5e-05
-7.0367e-13,1,2.4244e-05,0.0020627,0.0010245,5e-05
-7.8942e-13,1,2.4349e-05,0.0020626,0.0010246,5e-05
-8.7516e-13,1,2.4455e-05,0.0020625,0.0010246,5e-05
-9.6091e-13,1,2.456e-05,0.0020624,0.0010247,5e-05
-1.0466e-12,1,2.4666e-05,0.0020623,0.0010247,5e-05
-1.1324e-12,1,2.4771e-05,0.0020623,0.0010248,5e-05
-1.2181e-12,1,2.4876e-05,0.0020622,0.0010248,5e-05
-1.3039e-12,1,2.4982e-05,0.0020621,0.0010249,5e-05
-1.3316e-12,1,2.5087e-05,0.002062,0.0010249,5e-05
-1.3019e-12,1,2.5193e-05,0.0020619,0.001025,5e-05
-1.2723e-12,1,2.5298e-05,0.0020618,0.001025,5e-05
-1.2426e-12,1,2.5403e-05,0.0020617,0.0010251,5e-05
-1.2129e-12,1,2.5509e-05,0.0020616,0.0010251,5e-05
-1.1833e-12,1,2.5614e-05,0.0020615,0.0010252,5e-05
-1.1537e-12,1,2.572e-05,0.0020614,0.0010252,5e-05
-1.124e-12,1,2.5825e-05,0.0020613,0.0010252,5e-05
-1.0943e-12,1,2.593e-05,0.0020612,0.0010253,5e-05
-1.0647e-12,1,2.6036e-05,0.0020611,0.0010253,5e-05
-1.035e-12,1,2.6141e-05,0.002061,0.0010254,5e-05
-1.0054e-12,1,2.6247e-05,0.0020609,0.0010254,5e-05
-9.6829e-13,1,2.6352e-05,0.0020608,0.0010255,5e-05
1.307e-12,1,2.6458e-05,0.0020607,0.0010255,5e-05
3.5788e-12,1,2.6563e-05,0.0020607,0.0010256,5e-05
5.8541e-12,1,2.6668e-05,0.0020606,0.0010256,5e-05
8.1295e-12,1,2.6774e-05,0.0020605,0.0010257,5e-05
1.0405e-11,1,2.6879e-05,0.0020604,0.0010257,5e-05
1.268e-11,1,2.6985e-05,0.0020603,0.0010258,5e-05
1.4956e-11,1,2.709e-05,0.0020602,0.0010258,5e-05
1.7231e-11,1,2.7195e-05,0.0020601,0.0010259,5e-05
