"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,0,0,0.0039293,0.003,5e-05
0.51176,1,9.977e-08,0.0039294,0.0030001,5e-05
0.49094,1,1.997e-07,0.0039294,0.0030001,5e-05
0.47004,1,2.998e-07,0.0039295,0.0030002,5e-05
0.44915,1,3.999e-07,0.0039296,0.0030003,5e-05
0.42832,1,4.9984e-07,0.0039296,0.0030004,5e-05
0.40742,1,5.9993e-07,0.0039297,0.0030004,5e-05
0.38653,1,7.0003e-07,0.0039298,0.0030005,5e-05
0.36569,1,7.9997e-07,0.0039298,0.0030006,5e-05
0.34483,1,8.9974e-07,0.0039299,0.0030006,5e-05
0.32393,1,9.9984e-07,0.00393,0.0030007,5e-05
0.30304,1,1.0999e-06,0.0039301,0.0030008,5e-05
0.2822,1,1.1999e-06,0.0039301,0.0030008,5e-05
0.2655,1,1.3e-06,0.0039302,0.0030009,5e-05
0.25426,1,1.4001e-06,0.0039303,0.003001,5e-05
0.24306,1,1.5e-06,0.0039303,0.0030011,5e-05
0.23183,1,1.5998e-06,0.0039304,0.0030011,5e-05
0.22059,1,1.6999e-06,0.0039305,0.0030012,5e-05
0.20938,1,1.7998e-06,0.0039306,0.0030013,5e-05
0.19815,1,1.8999e-06,0.0039306,0.0030013,5e-05
0.18691,1,2e-06,0.0039307,0.0030014,5e-05
0.17567,1,2.1001e-06,0.0039308,0.0030015,5e-05
0.16446,1,2.2e-06,0.0039308,0.0030016,5e-05
0.15322,1,2.3001e-06,0.0039309,0.0030016,5e-05
0.142,1,2.3999e-06,0.003931,0.0030017,5e-05
0.13079,1,2.4998e-06,0.003931,0.0030018,5e-05
0.12398,1,2.5999e-06,0.0039311,0.0030018,5e-05
0.11747,1,2.7e-06,0.0039312,0.0030019,5e-05
0.11099,1,2.8e-06,0.0039313,0.003002,5e-05
0.10448,1,2.9001e-06,0.0039313,0.0030021,5e-05
0.097979,1,3.0002e-06,0.0039314,0.0030021,5e-05
0.091491,1,3.1001e-06,0.0039315,0.0030022,5e-05
0.084997,1,3.1999e-06,0.0039315,0.0030023,5e-05
0.078493,1,3.3e-06,0.0039316,0.0030023,5e-05
0.071989,1,3.4001e-06,0.0039317,0.0030024,5e-05
0.065499,1,3.5e-06,0.0039318,0.0030025,5e-05
0.058995,1,3.6001e-06,0.0039318,0.0030025,5e-05
0.05249,1,3.7002e-06,0.0039319,0.0030026,5e-05
0.047706,1,3.8001e-06,0.003932,0.0030027,5e-05
0.045124,1,3.8999e-06,0.003932,0.0030028,5e-05
0.042538,1,4e-06,0.0039321,0.0030028,5e-05
0.039958,1,4.0999e-06,0.0039322,0.0030029,5e-05
0.037372,1,4.2e-06,0.0039323,0.003003,5e-05
0.034786,1,4.3001e-06,0.0039323,0.003003,5e-05
0.032199,1,4.4002e-06,0.0039324,0.0030031,5e-05
0.029619,1,4.5002e-06,0.0039325,0.0030032,5e-05
0.027033,1,4.6003e-06,0.0039325,0.0030033,5e-05
0.024452,1,4.7e-06,0.0039326,0.0030033,5e-05
0.021872,1,4.8e-06,0.0039327,0.0030034,5e-05
0.019286,1,4.9001e-06,0.0039327,0.0030035,5e-05
0.016699,1,5.0002e-06,0.0039328,0.0030035,5e-05
0.015899,1,5.1001e-06,0.0039329,0.0030036,5e-05
0.015216,1,5.2002e-06,0.003933,0.0030037,5e-05
0.014533,1,5.3003e-06,0.003933,0.0030037,5e-05
0.01385,1,5.4004e-06,0.0039331,0.0030038,5e-05
0.01317,1,5.5e-06,0.0039332,0.0030039,5e-05
0.012488,1,5.6001e-06,0.0039332,0.003004,5e-05
0.011805,1,5.7002e-06,0.0039333,0.003004,5e-05
0.011123,1,5.8001e-06,0.0039334,0.0030041,5e-05
0.01044,1,5.9002e-06,0.0039335,0.0030042,5e-05
0.0097573,1,6.0003e-06,0.0039335,0.0030042,5e-05
0.0090757,1,6.1003e-06,0.0039336,0.0030043,5e-05
0.0083947,1,6.2e-06,0.0039337,0.0030044,5e-05
0.0079714,1,6.3001e-06,0.0039337,0.0030045,5e-05
0.0078821,1,6.4002e-06,0.0039338,0.0030045,5e-05
0.007793,1,6.5002e-06,0.0039339,0.0030046,5e-05
0.0077036,1,6.6003e-06,0.0039339,0.0030047,5e-05
0.0076143,1,6.7004e-06,0.003934,0.0030047,5e-05
