"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.063424,1,0,0.00595,0.00295,5e-05
0.063468,1,9.9652e-08,0.0059501,0.00295,5e-05
0.063514,1,1.9977e-07,0.0059502,0.00295,5e-05
0.063559,1,2.9989e-07,0.0059503,0.00295,5e-05
0.063604,1,4e-07,0.0059504,0.00295,5e-05
0.063649,1,4.9965e-07,0.0059505,0.00295,5e-05
0.063694,1,5.9977e-07,0.0059506,0.00295,5e-05
0.063739,1,6.9989e-07,0.0059507,0.00295,5e-05
0.063784,1,8.0001e-07,0.0059508,0.00295,5e-05
0.063829,1,8.9966e-07,0.0059509,0.00295,5e-05
0.063874,1,9.9977e-07,0.005951,0.00295,5e-05
0.06392,1,1.0999e-06,0.0059511,0.00295,5e-05
0.063965,1,1.2e-06,0.0059512,0.00295,5e-05
0.064026,1,1.2997e-06,0.0059513,0.00295,5e-05
0.064104,1,1.3998e-06,0.0059514,0.00295,5e-05
0.064182,1,1.4999e-06,0.0059515,0.00295,5e-05
0.064261,1,1.6e-06,0.0059516,0.00295,5e-05
0.064338,1,1.6997e-06,0.0059517,0.00295,5e-05
0.064417,1,1.7998e-06,0.0059518,0.00295,5e-05
0.064495,1,1.8999e-06,0.0059519,0.00295,5e-05
0.064573,1,2e-06,0.005952,0.00295,5e-05
0.064651,1,2.0997e-06,0.0059521,0.00295,5e-05
0.064729,1,2.1998e-06,0.0059522,0.00295,5e-05
0.064807,1,2.2999e-06,0.0059523,0.00295,5e-05
0.064885,1,2.4e-06,0.0059524,0.00295,5e-05
0.064963,1,2.4997e-06,0.0059525,0.00295,5e-05
0.065097,1,2.5998e-06,0.0059526,0.00295,5e-05
0.065231,1,2.6999e-06,0.0059527,0.00295,5e-05
0.065364,1,2.8e-06,0.0059528,0.00295,5e-05
0.065498,1,2.8997e-06,0.0059529,0.00295,5e-05
0.065631,1,2.9998e-06,0.005953,0.00295,5e-05
0.065765,1,3.0999e-06,0.0059531,0.00295,5e-05
0.065899,1,3.2e-06,0.0059532,0.00295,5e-05
0.066032,1,3.2997e-06,0.0059533,0.00295,5e-05
0.066166,1,3.3998e-06,0.0059534,0.00295,5e-05
0.0663,1,3.4999e-06,0.0059535,0.00295,5e-05
0.066434,1,3.6e-06,0.0059536,0.00295,5e-05
0.066567,1,3.6997e-06,0.0059537,0.00295,5e-05
0.066734,1,3.7998e-06,0.0059538,0.00295,5e-05
0.066934,1,3.8999e-06,0.0059539,0.00295,5e-05
0.067134,1,4e-06,0.005954,0.00295,5e-05
0.067333,1,4.0997e-06,0.0059541,0.00295,5e-05
0.067533,1,4.1998e-06,0.0059542,0.00295,5e-05
0.067733,1,4.2999e-06,0.0059543,0.00295,5e-05
0.067933,1,4.4e-06,0.0059544,0.00295,5e-05
0.068132,1,4.4997e-06,0.0059545,0.00295,5e-05
0.068332,1,4.5998e-06,0.0059546,0.00295,5e-05
0.068532,1,4.6999e-06,0.0059547,0.00295,5e-05
0.068733,1,4.8e-06,0.0059548,0.00295,5e-05
0.068932,1,4.8997e-06,0.0059549,0.00295,5e-05
0.069132,1,4.9998e-06,0.005955,0.00295,5e-05
0.069407,1,5.0999e-06,0.0059551,0.00295,5e-05
0.069683,1,5.2e-06,0.0059552,0.00295,5e-05
0.069958,1,5.2997e-06,0.0059553,0.00295,5e-05
0.070233,1,5.3998e-06,0.0059554,0.00295,5e-05
0.070509,1,5.4999e-06,0.0059555,0.00295,5e-05
0.070785,1,5.6e-06,0.0059556,0.00295,5e-05
0.071059,1,5.6997e-06,0.0059557,0.00295,5e-05
0.071335,1,5.7998e-06,0.0059558,0.00295,5e-05
0.071611,1,5.8999e-06,0.0059559,0.00295,5e-05
0.071886,1,6e-06,0.005956,0.00295,5e-05
0.072161,1,6.0997e-06,0.0059561,0.00295,5e-05
0.072437,1,6.1998e-06,0.0059562,0.00295,5e-05
0.072755,1,6.2999e-06,0.0059563,0.00295,5e-05
0.073114,1,6.4e-06,0.0059564,0.00295,5e-05
0.073473,1,6.4997e-06,0.0059565,0.00295,5e-05
0.073832,1,6.5998e-06,0.0059566,0.00295,5e-05
0.074192,1,6.6999e-06,0.0059567,0.00295,5e-05
0.074552,1,6.8001e-06,0.0059568,0.00295,5e-05
0.07491,1,6.8997e-06,0.0059569,0.00295,5e-05
0.07527,1,6.9998e-06,0.005957,0.00295,5e-05
0.07563,1,7.0999e-06,0.0059571,0.00295,5e-05
0.07599,1,7.2001e-06,0.0059572,0.00295,5e-05
0.076348,1,7.2997e-06,0.0059573,0.00295,5e-05
0.076707,1,7.3998e-06,0.0059574,0.00295,5e-05
0.077067,1,7.4999e-06,0.0059575,0.00295,5e-05
0.077519,1,7.6001e-06,0.0059576,0.00295,5e-05
0.077969,1,7.6997e-06,0.0059577,0.00295,5e-05
0.078422,1,7.7998e-06,0.0059578,0.00295,5e-05
0.078874,1,7.8999e-06,0.0059579,0.00295,5e-05
0.079326,1,8.0001e-06,0.005958,0.00295,5e-05
0.079776,1,8.0997e-06,0.0059581,0.00295,5e-05
0.080228,1,8.1998e-06,0.0059582,0.00295,5e-05
0.08068,1,8.2999e-06,0.0059583,0.00295,5e-05
0.081132,1,8.4001e-06,0.0059584,0.00295,5e-05
0.081582,1,8.4997e-06,0.0059585,0.00295,5e-05
0.082034,1,8.5998e-06,0.0059586,0.00295,5e-05
0.082487,1,8.6999e-06,0.0059587,0.00295,5e-05
0.082989,1,8.8001e-06,0.0059588,0.00295,5e-05
0.083538,1,8.8997e-06,0.0059589,0.00295,5e-05
0.08409,1,8.9998e-06,0.005959,0.00295,5e-05
0.084641,1,9.1e-06,0.0059591,0.00295,5e-05
0.085193,1,9.2001e-06,0.0059592,0.00295,5e-05
0.085742,1,9.2997e-06,0.0059593,0.00295,5e-05
0.086294,1,9.3998e-06,0.0059594,0.00295,5e-05
0.086846,1,9.5e-06,0.0059595,0.00295,5e-05
0.087397,1,9.6001e-06,0.0059596,0.00295,5e-05
0.087947,1,9.6997e-06,0.0059597,0.00295,5e-05
0.088498,1,9.7998e-06,0.0059598,0.00295,5e-05
0.08905,1,9.9e-06,0.0059599,0.00295,5e-05
0.089602,1,1e-05,0.00596,0.00295,5e-05
0.090258,1,1.01e-05,0.0059601,0.00295,5e-05
0.090917,1,1.02e-05,0.0059602,0.00295,5e-05
0.091576,1,1.03e-05,0.0059603,0.00295,5e-05
0.092235,1,1.04e-05,0.0059604,0.00295,5e-05
0.092891,1,1.05e-05,0.0059605,0.00295,5e-05
0.09355,1,1.06e-05,0.0059606,0.00295,5e-05
0.094209,1,1.07e-05,0.0059607,0.00295,5e-05
0.094868,1,1.08e-05,0.0059608,0.00295,5e-05
0.095524,1,1.09e-05,0.0059609,0.00295,5e-05
0.096183,1,1.1e-05,0.005961,0.00295,5e-05
0.096842,1,1.11e-05,0.0059611,0.00295,5e-05
0.097501,1,1.12e-05,0.0059612,0.00295,5e-05
0.098213,1,1.13e-05,0.0059613,0.00295,5e-05
0.098986,1,1.14e-05,0.0059614,0.00295,5e-05
0.09976,1,1.15e-05,0.0059615,0.00295,5e-05
0.10053,1,1.16e-05,0.0059616,0.00295,5e-05
0.1013,1,1.17e-05,0.0059617,0.00295,5e-05
0.10208,1,1.18e-05,0.0059618,0.00295,5e-05
0.10285,1,1.19e-05,0.0059619,0.00295,5e-05
0.10362,1,1.2e-05,0.005962,0.00295,5e-05
0.10439,1,1.21e-05,0.0059621,0.00295,5e-05
0.10516,1,1.22e-05,0.0059622,0.00295,5e-05
0.10594,1,1.23e-05,0.0059623,0.00295,5e-05
0.10671,1,1.24e-05,0.0059624,0.00295,5e-05
0.10748,1,1.25e-05,0.0059625,0.00295,5e-05
0.10837,1,1.26e-05,0.0059626,0.00295,5e-05
0.10927,1,1.27e-05,0.0059627,0.00295,5e-05
0.11016,1,1.28e-05,0.0059628,0.00295,5e-05
0.11105,1,1.29e-05,0.0059629,0.00295,5e-05
0.11194,1,1.3e-05,0.005963,0.00295,5e-05
0.11284,1,1.31e-05,0.0059631,0.00295,5e-05
0.11373,1,1.32e-05,0.0059632,0.00295,5e-05
0.11462,1,1.33e-05,0.0059633,0.00295,5e-05
0.11551,1,1.34e-05,0.0059634,0.00295,5e-05
0.11641,1,1.35e-05,0.0059635,0.00295,5e-05
0.1173,1,1.36e-05,0.0059636,0.00295,5e-05
0.11819,1,1.37e-05,0.0059637,0.00295,5e-05
0.11915,1,1.38e-05,0.0059638,0.00295,5e-05
0.12017,1,1.39e-05,0.0059639,0.00295,5e-05
0.12118,1,1.4e-05,0.005964,0.00295,5e-05
0.1222,1,1.41e-05,0.0059641,0.00295,5e-05
0.12322,1,1.42e-05,0.0059642,0.00295,5e-05
0.12424,1,1.43e-05,0.0059643,0.00295,5e-05
0.12526,1,1.44e-05,0.0059644,0.00295,5e-05
0.12628,1,1.45e-05,0.0059645,0.00295,5e-05
0.1273,1,1.46e-05,0.0059646,0.00295,5e-05
0.12832,1,1.47e-05,0.0059647,0.00295,5e-05
0.12934,1,1.48e-05,0.0059648,0.00295,5e-05
0.13036,1,1.49e-05,0.0059649,0.00295,5e-05
0.13138,1,1.5e-05,0.005965,0.00295,5e-05
0.13253,1,1.51e-05,0.0059651,0.00295,5e-05
0.13368,1,1.52e-05,0.0059652,0.00295,5e-05
0.13483,1,1.53e-05,0.0059653,0.00295,5e-05
0.13598,1,1.54e-05,0.0059654,0.00295,5e-05
0.13714,1,1.55e-05,0.0059655,0.00295,5e-05
0.13828,1,1.56e-05,0.0059656,0.00295,5e-05
0.13944,1,1.57e-05,0.0059657,0.00295,5e-05
0.14059,1,1.58e-05,0.0059658,0.00295,5e-05
0.14174,1,1.59e-05,0.0059659,0.00295,5e-05
0.14289,1,1.6e-05,0.005966,0.00295,5e-05
0.14404,1,1.61e-05,0.0059661,0.00295,5e-05
0.14519,1,1.62e-05,0.0059662,0.00295,5e-05
0.14641,1,1.63e-05,0.0059663,0.00295,5e-05
0.1477,1,1.64e-05,0.0059664,0.00295,5e-05
0.14899,1,1.65e-05,0.0059665,0.00295,5e-05
0.15027,1,1.66e-05,0.0059666,0.00295,5e-05
0.15156,1,1.67e-05,0.0059667,0.00295,5e-05
0.15285,1,1.68e-05,0.0059668,0.00295,5e-05
0.15413,1,1.69e-05,0.0059669,0.00295,5e-05
0.15542,1,1.7e-05,0.005967,0.00295,5e-05
0.15671,1,1.71e-05,0.0059671,0.00295,5e-05
0.15799,1,1.72e-05,0.0059672,0.00295,5e-05
0.15928,1,1.73e-05,0.0059673,0.00295,5e-05
0.16057,1,1.74e-05,0.0059674,0.00295,5e-05
0.16186,1,1.75e-05,0.0059675,0.00295,5e-05
0.16328,1,1.76e-05,0.0059676,0.00295,5e-05
0.16471,1,1.77e-05,0.0059677,0.00295,5e-05
0.16614,1,1.78e-05,0.0059678,0.00295,5e-05
0.16756,1,1.79e-05,0.0059679,0.00295,5e-05
0.16899,1,1.8e-05,0.005968,0.00295,5e-05
0.17041,1,1.81e-05,0.0059681,0.00295,5e-05
0.17184,1,1.82e-05,0.0059682,0.00295,5e-05
0.17327,1,1.83e-05,0.0059683,0.00295,5e-05
0.17469,1,1.84e-05,0.0059684,0.00295,5e-05
0.17612,1,1.85e-05,0.0059685,0.00295,5e-05
0.17755,1,1.86e-05,0.0059686,0.00295,5e-05
0.17898,1,1.87e-05,0.0059687,0.00295,5e-05
0.18047,1,1.88e-05,0.0059688,0.00295,5e-05
0.18203,1,1.89e-05,0.0059689,0.00295,5e-05
0.1836,1,1.9e-05,0.005969,0.00295,5e-05
0.18517,1,1.91e-05,0.0059691,0.00295,5e-05
0.18673,1,1.92e-05,0.0059692,0.00295,5e-05
0.1883,1,1.93e-05,0.0059693,0.00295,5e-05
0.18987,1,1.94e-05,0.0059694,0.00295,5e-05
0.19144,1,1.95e-05,0.0059695,0.00295,5e-05
0.193,1,1.96e-05,0.0059696,0.00295,5e-05
0.19457,1,1.97e-05,0.0059697,0.00295,5e-05
0.19614,1,1.98e-05,0.0059698,0.00295,5e-05
0.1977,1,1.99e-05,0.0059699,0.00295,5e-05
0.19927,1,2e-05,0.00597,0.00295,5e-05
0.20097,1,2.01e-05,0.0059701,0.00295,5e-05
0.20268,1,2.02e-05,0.0059702,0.00295,5e-05
0.20439,1,2.03e-05,0.0059703,0.00295,5e-05
0.20609,1,2.04e-05,0.0059704,0.00295,5e-05
0.20779,1,2.05e-05,0.0059705,0.00295,5e-05
0.2095,1,2.06e-05,0.0059706,0.00295,5e-05
0.21121,1,2.07e-05,0.0059707,0.00295,5e-05
0.21291,1,2.08e-05,0.0059708,0.00295,5e-05
0.21461,1,2.09e-05,0.0059709,0.00295,5e-05
0.21632,1,2.1e-05,0.005971,0.00295,5e-05
0.21803,1,2.11e-05,0.0059711,0.00295,5e-05
0.21973,1,2.12e-05,0.0059712,0.00295,5e-05
0.2215,1,2.13e-05,0.0059713,0.00295,5e-05
0.22335,1,2.14e-05,0.0059714,0.00295,5e-05
0.22519,1,2.15e-05,0.0059715,0.00295,5e-05
0.22703,1,2.16e-05,0.0059716,0.00295,5e-05
0.22887,1,2.17e-05,0.0059717,0.00295,5e-05
0.23071,1,2.18e-05,0.0059718,0.00295,5e-05
0.23256,1,2.19e-05,0.0059719,0.00295,5e-05
0.23439,1,2.2e-05,0.005972,0.00295,5e-05
0.23624,1,2.21e-05,0.0059721,0.00295,5e-05
0.23808,1,2.22e-05,0.0059722,0.00295,5e-05
0.23992,1,2.23e-05,0.0059723,0.00295,5e-05
0.24176,1,2.24e-05,0.0059724,0.00295,5e-05
0.2436,1,2.25e-05,0.0059725,0.00295,5e-05
0.24558,1,2.26e-05,0.0059726,0.00295,5e-05
0.24755,1,2.27e-05,0.0059727,0.00295,5e-05
0.24952,1,2.28e-05,0.0059728,0.00295,5e-05
0.25149,1,2.29e-05,0.0059729,0.00295,5e-05
0.25346,1,2.3e-05,0.005973,0.00295,5e-05
0.25544,1,2.31e-05,0.0059731,0.00295,5e-05
0.2574,1,2.32e-05,0.0059732,0.00295,5e-05
0.25938,1,2.33e-05,0.0059733,0.00295,5e-05
0.26135,1,2.34e-05,0.0059734,0.00295,5e-05
0.26332,1,2.35e-05,0.0059735,0.00295,5e-05
0.26529,1,2.36e-05,0.0059736,0.00295,5e-05
0.26726,1,2.37e-05,0.0059737,0.00295,5e-05
0.26929,1,2.38e-05,0.0059738,0.00295,5e-05
0.27139,1,2.39e-05,0.0059739,0.00295,5e-05
0.27347,1,2.4e-05,0.005974,0.00295,5e-05
0.27556,1,2.41e-05,0.0059741,0.00295,5e-05
0.27766,1,2.42e-05,0.0059742,0.00295,5e-05
0.27975,1,2.43e-05,0.0059743,0.00295,5e-05
0.28183,1,2.44e-05,0.0059744,0.00295,5e-05
0.28393,1,2.45e-05,0.0059745,0.00295,5e-05
0.28602,1,2.46e-05,0.0059746,0.00295,5e-05
0.28811,1,2.47e-05,0.0059747,0.00295,5e-05
0.2902,1,2.48e-05,0.0059748,0.00295,5e-05
0.29229,1,2.49e-05,0.0059749,0.00295,5e-05
0.29438,1,2.5e-05,0.005975,0.00295,5e-05
0.29658,1,2.51e-05,0.0059751,0.00295,5e-05
0.29878,1,2.52e-05,0.0059752,0.00295,5e-05
0.30098,1,2.53e-05,0.0059753,0.00295,5e-05
0.30318,1,2.54e-05,0.0059754,0.00295,5e-05
0.30538,1,2.55e-05,0.0059755,0.00295,5e-05
0.30757,1,2.56e-05,0.0059756,0.00295,5e-05
0.30977,1,2.57e-05,0.0059757,0.00295,5e-05
0.31197,1,2.58e-05,0.0059758,0.00295,5e-05
0.31417,1,2.59e-05,0.0059759,0.00295,5e-05
0.31636,1,2.6e-05,0.005976,0.00295,5e-05
0.31856,1,2.61e-05,0.0059761,0.00295,5e-05
0.32077,1,2.62e-05,0.0059762,0.00295,5e-05
0.32301,1,2.63e-05,0.0059763,0.00295,5e-05
0.32529,1,2.64e-05,0.0059764,0.00295,5e-05
0.32758,1,2.65e-05,0.0059765,0.00295,5e-05
0.32987,1,2.66e-05,0.0059766,0.00295,5e-05
0.33216,1,2.67e-05,0.0059767,0.00295,5e-05
0.33444,1,2.68e-05,0.0059768,0.00295,5e-05
0.33673,1,2.69e-05,0.0059769,0.00295,5e-05
0.33902,1,2.7e-05,0.005977,0.00295,5e-05
0.34131,1,2.71e-05,0.0059771,0.00295,5e-05
0.34359,1,2.72e-05,0.0059772,0.00295,5e-05
0.34588,1,2.73e-05,0.0059773,0.00295,5e-05
0.34817,1,2.74e-05,0.0059774,0.00295,5e-05
0.35046,1,2.75e-05,0.0059775,0.00295,5e-05
0.35281,1,2.76e-05,0.0059776,0.00295,5e-05
0.35517,1,2.77e-05,0.0059777,0.00295,5e-05
0.35753,1,2.78e-05,0.0059778,0.00295,5e-05
0.35988,1,2.79e-05,0.0059779,0.00295,5e-05
0.36224,1,2.8e-05,0.005978,0.00295,5e-05
0.3646,1,2.81e-05,0.0059781,0.00295,5e-05
0.36696,1,2.82e-05,0.0059782,0.00295,5e-05
0.36931,1,2.83e-05,0.0059783,0.00295,5e-05
0.37167,1,2.84e-05,0.0059784,0.00295,5e-05
0.37403,1,2.85e-05,0.0059785,0.00295,5e-05
0.37639,1,2.86e-05,0.0059786,0.00295,5e-05
0.37874,1,2.87e-05,0.0059787,0.00295,5e-05
0.38112,1,2.88e-05,0.0059788,0.00295,5e-05
0.38352,1,2.89e-05,0.0059789,0.00295,5e-05
0.38592,1,2.9e-05,0.005979,0.00295,5e-05
0.38832,1,2.91e-05,0.0059791,0.00295,5e-05
0.39072,1,2.92e-05,0.0059792,0.00295,5e-05
0.39312,1,2.93e-05,0.0059793,0.00295,5e-05
0.39553,1,2.94e-05,0.0059794,0.00295,5e-05
0.39792,1,2.95e-05,0.0059795,0.00295,5e-05
0.40032,1,2.96e-05,0.0059796,0.00295,5e-05
0.40272,1,2.97e-05,0.0059797,0.00295,5e-05
0.40513,1,2.98e-05,0.0059798,0.00295,5e-05
0.40752,1,2.99e-05,0.0059799,0.00295,5e-05
0.40992,1,3e-05,0.00598,0.00295,5e-05
0.41234,1,3.01e-05,0.0059801,0.00295,5e-05
0.41476,1,3.02e-05,0.0059802,0.00295,5e-05
0.41716,1,3.03e-05,0.0059803,0.00295,5e-05
0.41958,1,3.04e-05,0.0059804,0.00295,5e-05
0.42199,1,3.05e-05,0.0059805,0.00295,5e-05
0.42441,1,3.06e-05,0.0059806,0.00295,5e-05
0.42681,1,3.07e-05,0.0059807,0.00295,5e-05
0.42923,1,3.08e-05,0.0059808,0.00295,5e-05
0.43164,1,3.09e-05,0.0059809,0.00295,5e-05
0.43406,1,3.1e-05,0.005981,0.00295,5e-05
0.43646,1,3.11e-05,0.0059811,0.00295,5e-05
0.43888,1,3.12e-05,0.0059812,0.00295,5e-05
0.44129,1,3.13e-05,0.0059813,0.00295,5e-05
0.44368,1,3.14e-05,0.0059814,0.00295,5e-05
0.44607,1,3.15e-05,0.0059815,0.00295,5e-05
0.44847,1,3.16e-05,0.0059816,0.00295,5e-05
0.45086,1,3.17e-05,0.0059817,0.00295,5e-05
0.45326,1,3.18e-05,0.0059818,0.00295,5e-05
0.45564,1,3.19e-05,0.0059819,0.00295,5e-05
0.45804,1,3.2e-05,0.005982,0.00295,5e-05
0.46044,1,3.21e-05,0.0059821,0.00295,5e-05
0.46283,1,3.22e-05,0.0059822,0.00295,5e-05
0.46522,1,3.23e-05,0.0059823,0.00295,5e-05
0.46762,1,3.24e-05,0.0059824,0.00295,5e-05
0.47001,1,3.25e-05,0.0059825,0.00295,5e-05
0.47235,1,3.26e-05,0.0059826,0.00295,5e-05
0.47468,1,3.27e-05,0.0059827,0.00295,5e-05
0.47702,1,3.28e-05,0.0059828,0.00295,5e-05
0.47936,1,3.29e-05,0.0059829,0.00295,5e-05
0.4817,1,3.3e-05,0.005983,0.00295,5e-05
0.48403,1,3.31e-05,0.0059831,0.00295,5e-05
0.48636,1,3.32e-05,0.0059832,0.00295,5e-05
0.4887,1,3.33e-05,0.0059833,0.00295,5e-05
0.49104,1,3.34e-05,0.0059834,0.00295,5e-05
0.49337,1,3.35e-05,0.0059835,0.00295,5e-05
0.49571,1,3.36e-05,0.0059836,0.00295,5e-05
0.49805,1,3.37e-05,0.0059837,0.00295,5e-05
0.50034,1,3.38e-05,0.0059838,0.00295,5e-05
0.50257,1,3.39e-05,0.0059839,0.00295,5e-05
0.50481,1,3.4e-05,0.005984,0.00295,5e-05
0.50705,1,3.41e-05,0.0059841,0.00295,5e-05
0.50929,1,3.42e-05,0.0059842,0.00295,5e-05
0.51152,1,3.43e-05,0.0059843,0.00295,5e-05
0.51376,1,3.44e-05,0.0059844,0.00295,5e-05
0.516,1,3.45e-05,0.0059845,0.00295,5e-05
0.51824,1,3.46e-05,0.0059846,0.00295,5e-05
