"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,0,0,0.0019901,0.0049392,5e-05
6.684e-08,1,1.0558e-07,0.0019902,0.0049392,5e-05
6.883e-08,1,2.1096e-07,0.0019903,0.0049393,5e-05
7.082e-08,1,3.1633e-07,0.0019904,0.0049393,5e-05
7.281e-08,1,4.2171e-07,0.0019905,0.0049393,5e-05
7.48e-08,1,5.2708e-07,0.0019906,0.0049394,5e-05
7.6777e-08,1,6.3266e-07,0.0019907,0.0049394,5e-05
7.8767e-08,1,7.3804e-07,0.0019908,0.0049395,5e-05
8.0757e-08,1,8.4341e-07,0.0019909,0.0049395,5e-05
8.2747e-08,1,9.4879e-07,0.001991,0.0049396,5e-05
8.4725e-08,1,1.0544e-06,0.0019911,0.0049396,5e-05
8.6715e-08,1,1.1597e-06,0.0019912,0.0049397,5e-05
8.8705e-08,1,1.2651e-06,0.0019913,0.0049397,5e-05
9.0765e-08,1,1.3705e-06,0.0019914,0.0049398,5e-05
9.2882e-08,1,1.4759e-06,0.0019914,0.0049398,5e-05
9.5017e-08,1,1.5812e-06,0.0019915,0.0049399,5e-05
9.7153e-08,1,1.6866e-06,0.0019916,0.0049399,5e-05
9.9289e-08,1,1.792e-06,0.0019917,0.00494,5e-05
1.0141e-07,1,1.8976e-06,0.0019918,0.00494,5e-05
1.0355e-07,1,2.003e-06,0.0019919,0.0049401,5e-05
1.0568e-07,1,2.1083e-06,0.001992,0.0049401,5e-05
1.0782e-07,1,2.2137e-06,0.0019921,0.0049401,5e-05
1.0996e-07,1,2.3191e-06,0.0019922,0.0049402,5e-05
1.1208e-07,1,2.4247e-06,0.0019923,0.0049402,5e-05
1.1422e-07,1,2.53e-06,0.0019924,0.0049403,5e-05
1.1635e-07,1,2.6354e-06,0.0019925,0.0049403,5e-05
1.2035e-07,1,2.7408e-06,0.0019926,0.0049404,5e-05
1.2437e-07,1,2.8464e-06,0.0019927,0.0049404,5e-05
1.2839e-07,1,2.9517e-06,0.0019928,0.0049405,5e-05
1.3241e-07,1,3.0569e-06,0.0019929,0.0049405,5e-05
1.3643e-07,1,3.1623e-06,0.001993,0.0049406,5e-05
1.4045e-07,1,3.2679e-06,0.001993,0.0049406,5e-05
1.4448e-07,1,3.3732e-06,0.0019931,0.0049407,5e-05
1.485e-07,1,3.4786e-06,0.0019932,0.0049407,5e-05
1.5253e-07,1,3.584e-06,0.0019933,0.0049408,5e-05
1.5655e-07,1,3.6894e-06,0.0019934,0.0049408,5e-05
1.6057e-07,1,3.7949e-06,0.0019935,0.0049409,5e-05
1.6459e-07,1,3.9003e-06,0.0019936,0.0049409,5e-05
1.7059e-07,1,4.0057e-06,0.0019937,0.004941,5e-05
1.7871e-07,1,4.1111e-06,0.0019938,0.004941,5e-05
1.8684e-07,1,4.2167e-06,0.0019939,0.004941,5e-05
1.9495e-07,1,4.322e-06,0.001994,0.0049411,5e-05
2.0307e-07,1,4.4274e-06,0.0019941,0.0049411,5e-05
2.1119e-07,1,4.5328e-06,0.0019942,0.0049412,5e-05
2.1929e-07,1,4.6382e-06,0.0019943,0.0049412,5e-05
2.2741e-07,1,4.7435e-06,0.0019944,0.0049413,5e-05
2.3553e-07,1,4.8489e-06,0.0019945,0.0049413,5e-05
2.4365e-07,1,4.9543e-06,0.0019946,0.0049414,5e-05
2.5177e-07,1,5.0597e-06,0.0019947,0.0049414,5e-05
2.5989e-07,1,5.1652e-06,0.0019947,0.0049415,5e-05
2.6801e-07,1,5.2706e-06,0.0019948,0.0049415,5e-05
2.8409e-07,1,5.376e-06,0.0019949,0.0049416,5e-05
3.0031e-07,1,5.4814e-06,0.001995,0.0049416,5e-05
3.1655e-07,1,5.5869e-06,0.0019951,0.0049417,5e-05
3.3277e-07,1,5.6923e-06,0.0019952,0.0049417,5e-05
3.4899e-07,1,5.7977e-06,0.0019953,0.0049418,5e-05
3.6521e-07,1,5.9031e-06,0.0019954,0.0049418,5e-05
3.8145e-07,1,6.0086e-06,0.0019955,0.0049418,5e-05
3.9767e-07,1,6.114e-06,0.0019956,0.0049419,5e-05
4.1385e-07,1,6.2192e-06,0.0019957,0.0049419,5e-05
4.3007e-07,1,6.3246e-06,0.0019958,0.004942,5e-05
4.4631e-07,1,6.4301e-06,0.0019959,0.004942,5e-05
4.6253e-07,1,6.5355e-06,0.001996,0.0049421,5e-05
4.863e-07,1,6.6409e-06,0.0019961,0.0049421,5e-05
5.1817e-07,1,6.7463e-06,0.0019962,0.0049422,5e-05
5.5004e-07,1,6.8516e-06,0.0019963,0.0049422,5e-05
5.8198e-07,1,6.9572e-06,0.0019963,0.0049423,5e-05
6.1384e-07,1,7.0626e-06,0.0019964,0.0049423,5e-05
6.4571e-07,1,7.168e-06,0.0019965,0.0049424,5e-05
6.7758e-07,1,7.2734e-06,0.0019966,0.0049424,5e-05
7.0952e-07,1,7.3789e-06,0.0019967,0.0049425,5e-05
7.4139e-07,1,7.4843e-06,0.0019968,0.0049425,5e-05
7.7326e-07,1,7.5897e-06,0.0019969,0.0049426,5e-05
8.0513e-07,1,7.6951e-06,0.001997,0.0049426,5e-05
8.3699e-07,1,7.8004e-06,0.0019971,0.0049426,5e-05
8.6886e-07,1,7.9058e-06,0.0019972,0.0049427,5e-05
9.3017e-07,1,8.0112e-06,0.0019973,0.0049427,5e-05
9.9198e-07,1,8.1166e-06,0.0019974,0.0049428,5e-05
1.0538e-06,1,8.2219e-06,0.0019975,0.0049428,5e-05
1.1157e-06,1,8.3275e-06,0.0019976,0.0049429,5e-05
1.1776e-06,1,8.4329e-06,0.0019977,0.0049429,5e-05
1.2394e-06,1,8.5383e-06,0.0019978,0.004943,5e-05
1.3012e-06,1,8.6436e-06,0.0019979,0.004943,5e-05
1.3631e-06,1,8.7492e-06,0.001998,0.0049431,5e-05
1.4249e-06,1,8.8546e-06,0.001998,0.0049431,5e-05
1.4867e-06,1,8.96e-06,0.0019981,0.0049432,5e-05
1.5485e-06,1,9.0653e-06,0.0019982,0.0049432,5e-05
1.6105e-06,1,9.1709e-06,0.0019983,0.0049433,5e-05
1.6999e-06,1,9.2763e-06,0.0019984,0.0049433,5e-05
1.8181e-06,1,9.3815e-06,0.0019985,0.0049434,5e-05
1.9366e-06,1,9.4868e-06,0.0019986,0.0049434,5e-05
