"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.40587,1,0,0.0040207,0.00295,5e-05
0.40586,1,1.0398e-07,0.0040206,0.00295,5e-05
0.40585,1,2.0849e-07,0.0040205,0.0029501,5e-05
0.40584,1,3.1259e-07,0.0040204,0.0029502,5e-05
0.40583,1,4.1668e-07,0.0040203,0.0029502,5e-05
0.40581,1,5.2107e-07,0.0040203,0.0029502,5e-05
0.4058,1,6.2517e-07,0.0040202,0.0029503,5e-05
0.40579,1,7.2927e-07,0.0040201,0.0029504,5e-05
0.40578,1,8.3377e-07,0.00402,0.0029504,5e-05
0.40577,1,9.3776e-07,0.0040199,0.0029504,5e-05
0.40576,1,1.0419e-06,0.0040198,0.0029505,5e-05
0.40575,1,1.1464e-06,0.0040197,0.0029506,5e-05
0.40573,1,1.2505e-06,0.0040196,0.0029506,5e-05
0.40573,1,1.3544e-06,0.0040195,0.0029506,5e-05
0.40573,1,1.4589e-06,0.0040194,0.0029507,5e-05
0.40573,1,1.563e-06,0.0040193,0.0029508,5e-05
0.40574,1,1.6674e-06,0.0040192,0.0029508,5e-05
0.40574,1,1.7715e-06,0.0040192,0.0029508,5e-05
0.40574,1,1.8756e-06,0.0040191,0.0029509,5e-05
0.40575,1,1.9801e-06,0.004019,0.002951,5e-05
0.40575,1,2.0841e-06,0.0040189,0.002951,5e-05
0.40575,1,2.1882e-06,0.0040188,0.002951,5e-05
0.40575,1,2.2927e-06,0.0040187,0.0029511,5e-05
0.40576,1,2.3968e-06,0.0040186,0.0029512,5e-05
0.40576,1,2.5008e-06,0.0040185,0.0029512,5e-05
0.40576,1,2.6053e-06,0.0040184,0.0029512,5e-05
0.40577,1,2.7094e-06,0.0040183,0.0029513,5e-05
0.40579,1,2.8135e-06,0.0040182,0.0029514,5e-05
0.4058,1,2.9179e-06,0.0040181,0.0029514,5e-05
0.40581,1,3.022e-06,0.0040181,0.0029514,5e-05
0.40582,1,3.1261e-06,0.004018,0.0029515,5e-05
0.40583,1,3.2306e-06,0.0040179,0.0029516,5e-05
0.40585,1,3.3346e-06,0.0040178,0.0029516,5e-05
0.40586,1,3.4387e-06,0.0040177,0.0029516,5e-05
0.40587,1,3.5432e-06,0.0040176,0.0029517,5e-05
0.40588,1,3.6473e-06,0.0040175,0.0029518,5e-05
0.40589,1,3.7512e-06,0.0040174,0.0029518,5e-05
