"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.41523,1,0,0.0041207,0.00295,5e-05
0.41523,1,9.9884e-08,0.0041207,0.0029501,5e-05
0.41523,1,2e-07,0.0041207,0.0029502,5e-05
0.41522,1,2.9989e-07,0.0041207,0.0029503,5e-05
0.41522,1,4e-07,0.0041207,0.0029504,5e-05
0.41522,1,4.9989e-07,0.0041207,0.0029505,5e-05
0.41521,1,6e-07,0.0041207,0.0029506,5e-05
0.41521,1,6.9989e-07,0.0041207,0.0029507,5e-05
0.41521,1,7.9977e-07,0.0041207,0.0029508,5e-05
0.4152,1,8.9989e-07,0.0041207,0.0029509,5e-05
0.4152,1,9.9977e-07,0.0041207,0.002951,5e-05
0.4152,1,1.0999e-06,0.0041207,0.0029511,5e-05
0.41519,1,1.1998e-06,0.0041207,0.0029512,5e-05
0.41519,1,1.2999e-06,0.0041207,0.0029513,5e-05
0.4152,1,1.3998e-06,0.0041207,0.0029514,5e-05
0.4152,1,1.4999e-06,0.0041207,0.0029515,5e-05
0.41521,1,1.5998e-06,0.0041207,0.0029516,5e-05
0.41521,1,1.6999e-06,0.0041207,0.0029517,5e-05
0.41521,1,1.7998e-06,0.0041207,0.0029518,5e-05
0.41522,1,1.8999e-06,0.0041207,0.0029519,5e-05
0.41522,1,1.9998e-06,0.0041207,0.002952,5e-05
0.41523,1,2.0999e-06,0.0041207,0.0029521,5e-05
0.41523,1,2.1998e-06,0.0041207,0.0029522,5e-05
0.41523,1,2.2999e-06,0.0041207,0.0029523,5e-05
0.41524,1,2.3998e-06,0.0041207,0.0029524,5e-05
0.41524,1,2.4999e-06,0.0041207,0.0029525,5e-05
0.41525,1,2.5998e-06,0.0041207,0.0029526,5e-05
0.41526,1,2.6999e-06,0.0041207,0.0029527,5e-05
0.41527,1,2.7998e-06,0.0041207,0.0029528,5e-05
0.41528,1,2.8999e-06,0.0041207,0.0029529,5e-05
0.41529,1,2.9998e-06,0.0041207,0.002953,5e-05
0.4153,1,3.0999e-06,0.0041207,0.0029531,5e-05
0.41531,1,3.1998e-06,0.0041207,0.0029532,5e-05
0.41532,1,3.2999e-06,0.0041207,0.0029533,5e-05
0.41533,1,3.3998e-06,0.0041207,0.0029534,5e-05
0.41535,1,3.4999e-06,0.0041207,0.0029535,5e-05
0.41536,1,3.5998e-06,0.0041207,0.0029536,5e-05
0.41537,1,3.6999e-06,0.0041207,0.0029537,5e-05
0.41538,1,3.7998e-06,0.0041207,0.0029538,5e-05
0.4154,1,3.8999e-06,0.0041207,0.0029539,5e-05
0.41542,1,3.9998e-06,0.0041207,0.002954,5e-05
0.41544,1,4.0999e-06,0.0041207,0.0029541,5e-05
0.41546,1,4.1998e-06,0.0041207,0.0029542,5e-05
0.41548,1,4.2999e-06,0.0041207,0.0029543,5e-05
0.4155,1,4.3998e-06,0.0041207,0.0029544,5e-05
0.41552,1,4.4999e-06,0.0041207,0.0029545,5e-05
0.41554,1,4.5998e-06,0.0041207,0.0029546,5e-05
0.41556,1,4.6999e-06,0.0041207,0.0029547,5e-05
0.41558,1,4.7998e-06,0.0041207,0.0029548,5e-05
0.4156,1,4.8999e-06,0.0041207,0.0029549,5e-05
0.41562,1,4.9998e-06,0.0041207,0.002955,5e-05
0.41565,1,5.0999e-06,0.0041207,0.0029551,5e-05
0.41568,1,5.1998e-06,0.0041207,0.0029552,5e-05
0.41571,1,5.2999e-06,0.0041207,0.0029553,5e-05
0.41575,1,5.3998e-06,0.0041207,0.0029554,5e-05
0.41578,1,5.4999e-06,0.0041207,0.0029555,5e-05
0.41581,1,5.5998e-06,0.0041207,0.0029556,5e-05
0.41584,1,5.6999e-06,0.0041207,0.0029557,5e-05
0.41587,1,5.7998e-06,0.0041207,0.0029558,5e-05
0.41591,1,5.8999e-06,0.0041207,0.0029559,5e-05
0.41594,1,5.9998e-06,0.0041207,0.002956,5e-05
0.41597,1,6.0999e-06,0.0041207,0.0029561,5e-05
0.416,1,6.1998e-06,0.0041207,0.0029562,5e-05
0.41604,1,6.2999e-06,0.0041207,0.0029563,5e-05
0.41609,1,6.3998e-06,0.0041207,0.0029564,5e-05
0.41613,1,6.4999e-06,0.0041207,0.0029565,5e-05
0.41618,1,6.5998e-06,0.0041207,0.0029566,5e-05
0.41623,1,6.6999e-06,0.0041207,0.0029567,5e-05
0.41628,1,6.7998e-06,0.0041207,0.0029568,5e-05
0.41632,1,6.8999e-06,0.0041207,0.0029569,5e-05
0.41637,1,6.9998e-06,0.0041207,0.002957,5e-05
0.41642,1,7.0999e-06,0.0041207,0.0029571,5e-05
0.41646,1,7.1998e-06,0.0041207,0.0029572,5e-05
0.41651,1,7.2999e-06,0.0041207,0.0029573,5e-05
0.41656,1,7.3998e-06,0.0041207,0.0029574,5e-05
0.4166,1,7.4999e-06,0.0041207,0.0029575,5e-05
0.41667,1,7.5998e-06,0.0041207,0.0029576,5e-05
0.41673,1,7.6999e-06,0.0041207,0.0029577,5e-05
0.4168,1,7.7998e-06,0.0041207,0.0029578,5e-05
0.41686,1,7.8999e-06,0.0041207,0.0029579,5e-05
0.41693,1,7.9998e-06,0.0041207,0.002958,5e-05
0.41699,1,8.0999e-06,0.0041207,0.0029581,5e-05
0.41706,1,8.1998e-06,0.0041207,0.0029582,5e-05
0.41712,1,8.2999e-06,0.0041207,0.0029583,5e-05
0.41719,1,8.3998e-06,0.0041207,0.0029584,5e-05
0.41725,1,8.4999e-06,0.0041207,0.0029585,5e-05
0.41732,1,8.5998e-06,0.0041207,0.0029586,5e-05
0.41738,1,8.6999e-06,0.0041207,0.0029587,5e-05
0.41746,1,8.7998e-06,0.0041207,0.0029588,5e-05
0.41754,1,8.9e-06,0.0041207,0.0029589,5e-05
0.41763,1,8.9998e-06,0.0041207,0.002959,5e-05
0.41771,1,9.1e-06,0.0041207,0.0029591,5e-05
0.4178,1,9.1998e-06,0.0041207,0.0029592,5e-05
0.41788,1,9.3e-06,0.0041207,0.0029593,5e-05
0.41797,1,9.3998e-06,0.0041207,0.0029594,5e-05
0.41805,1,9.5e-06,0.0041207,0.0029595,5e-05
0.41814,1,9.5998e-06,0.0041207,0.0029596,5e-05
0.41822,1,9.7e-06,0.0041207,0.0029597,5e-05
0.41831,1,9.7998e-06,0.0041207,0.0029598,5e-05
0.41839,1,9.9e-06,0.0041207,0.0029599,5e-05
0.41848,1,9.9998e-06,0.0041207,0.00296,5e-05
0.41858,1,1.01e-05,0.0041207,0.0029601,5e-05
0.41869,1,1.02e-05,0.0041207,0.0029602,5e-05
0.4188,1,1.03e-05,0.0041207,0.0029603,5e-05
0.41891,1,1.04e-05,0.0041207,0.0029604,5e-05
0.41901,1,1.05e-05,0.0041207,0.0029605,5e-05
0.41912,1,1.06e-05,0.0041207,0.0029606,5e-05
0.41923,1,1.07e-05,0.0041207,0.0029607,5e-05
0.41934,1,1.08e-05,0.0041207,0.0029608,5e-05
0.41944,1,1.09e-05,0.0041207,0.0029609,5e-05
0.41955,1,1.1e-05,0.0041207,0.002961,5e-05
0.41966,1,1.11e-05,0.0041207,0.0029611,5e-05
0.41977,1,1.12e-05,0.0041207,0.0029612,5e-05
0.41989,1,1.13e-05,0.0041207,0.0029613,5e-05
0.42002,1,1.14e-05,0.0041207,0.0029614,5e-05
0.42015,1,1.15e-05,0.0041207,0.0029615,5e-05
0.42028,1,1.16e-05,0.0041207,0.0029616,5e-05
0.42041,1,1.17e-05,0.0041207,0.0029617,5e-05
0.42055,1,1.18e-05,0.0041207,0.0029618,5e-05
0.42068,1,1.19e-05,0.0041207,0.0029619,5e-05
0.42081,1,1.2e-05,0.0041207,0.002962,5e-05
0.42094,1,1.21e-05,0.0041207,0.0029621,5e-05
0.42108,1,1.22e-05,0.0041207,0.0029622,5e-05
0.42121,1,1.23e-05,0.0041207,0.0029623,5e-05
0.42134,1,1.24e-05,0.0041207,0.0029624,5e-05
0.42147,1,1.25e-05,0.0041207,0.0029625,5e-05
0.42163,1,1.26e-05,0.0041207,0.0029626,5e-05
0.42179,1,1.27e-05,0.0041207,0.0029627,5e-05
0.42195,1,1.28e-05,0.0041207,0.0029628,5e-05
0.42211,1,1.29e-05,0.0041207,0.0029629,5e-05
0.42227,1,1.3e-05,0.0041207,0.002963,5e-05
0.42242,1,1.31e-05,0.0041207,0.0029631,5e-05
0.42258,1,1.32e-05,0.0041207,0.0029632,5e-05
0.42274,1,1.33e-05,0.0041207,0.0029633,5e-05
0.4229,1,1.34e-05,0.0041207,0.0029634,5e-05
0.42306,1,1.35e-05,0.0041207,0.0029635,5e-05
0.42322,1,1.36e-05,0.0041207,0.0029636,5e-05
0.42338,1,1.37e-05,0.0041207,0.0029637,5e-05
0.42355,1,1.38e-05,0.0041207,0.0029638,5e-05
0.42374,1,1.39e-05,0.0041207,0.0029639,5e-05
0.42392,1,1.4e-05,0.0041207,0.002964,5e-05
0.42411,1,1.41e-05,0.0041207,0.0029641,5e-05
0.4243,1,1.42e-05,0.0041207,0.0029642,5e-05
0.42448,1,1.43e-05,0.0041207,0.0029643,5e-05
0.42467,1,1.44e-05,0.0041207,0.0029644,5e-05
0.42486,1,1.45e-05,0.0041207,0.0029645,5e-05
0.42505,1,1.46e-05,0.0041207,0.0029646,5e-05
0.42523,1,1.47e-05,0.0041207,0.0029647,5e-05
0.42542,1,1.48e-05,0.0041207,0.0029648,5e-05
0.42561,1,1.49e-05,0.0041207,0.0029649,5e-05
0.42579,1,1.5e-05,0.0041207,0.002965,5e-05
0.42601,1,1.51e-05,0.0041207,0.0029651,5e-05
0.42623,1,1.52e-05,0.0041207,0.0029652,5e-05
0.42644,1,1.53e-05,0.0041207,0.0029653,5e-05
0.42666,1,1.54e-05,0.0041207,0.0029654,5e-05
0.42688,1,1.55e-05,0.0041207,0.0029655,5e-05
0.42709,1,1.56e-05,0.0041207,0.0029656,5e-05
0.42731,1,1.57e-05,0.0041207,0.0029657,5e-05
0.42753,1,1.58e-05,0.0041207,0.0029658,5e-05
0.42774,1,1.59e-05,0.0041207,0.0029659,5e-05
0.42796,1,1.6e-05,0.0041207,0.002966,5e-05
0.42817,1,1.61e-05,0.0041207,0.0029661,5e-05
0.42839,1,1.62e-05,0.0041207,0.0029662,5e-05
0.42862,1,1.63e-05,0.0041207,0.0029663,5e-05
0.42887,1,1.64e-05,0.0041207,0.0029664,5e-05
0.42912,1,1.65e-05,0.0041207,0.0029665,5e-05
0.42937,1,1.66e-05,0.0041207,0.0029666,5e-05
0.42961,1,1.67e-05,0.0041207,0.0029667,5e-05
0.42986,1,1.68e-05,0.0041207,0.0029668,5e-05
0.43011,1,1.69e-05,0.0041207,0.0029669,5e-05
0.43036,1,1.7e-05,0.0041207,0.002967,5e-05
0.4306,1,1.71e-05,0.0041207,0.0029671,5e-05
0.43085,1,1.72e-05,0.0041207,0.0029672,5e-05
0.4311,1,1.73e-05,0.0041207,0.0029673,5e-05
0.43134,1,1.74e-05,0.0041207,0.0029674,5e-05
0.43159,1,1.75e-05,0.0041207,0.0029675,5e-05
0.43187,1,1.76e-05,0.0041207,0.0029676,5e-05
0.43215,1,1.77e-05,0.0041207,0.0029677,5e-05
0.43243,1,1.78e-05,0.0041207,0.0029678,5e-05
0.43271,1,1.79e-05,0.0041207,0.0029679,5e-05
0.43299,1,1.8e-05,0.0041207,0.002968,5e-05
0.43326,1,1.81e-05,0.0041207,0.0029681,5e-05
0.43354,1,1.82e-05,0.0041207,0.0029682,5e-05
0.43382,1,1.83e-05,0.0041207,0.0029683,5e-05
0.4341,1,1.84e-05,0.0041207,0.0029684,5e-05
0.43438,1,1.85e-05,0.0041207,0.0029685,5e-05
0.43466,1,1.86e-05,0.0041207,0.0029686,5e-05
0.43494,1,1.87e-05,0.0041207,0.0029687,5e-05
0.43523,1,1.88e-05,0.0041207,0.0029688,5e-05
0.43554,1,1.89e-05,0.0041207,0.0029689,5e-05
0.43585,1,1.9e-05,0.0041207,0.002969,5e-05
0.43616,1,1.91e-05,0.0041207,0.0029691,5e-05
0.43648,1,1.92e-05,0.0041207,0.0029692,5e-05
0.43679,1,1.93e-05,0.0041207,0.0029693,5e-05
0.4371,1,1.94e-05,0.0041207,0.0029694,5e-05
0.43741,1,1.95e-05,0.0041207,0.0029695,5e-05
0.43772,1,1.96e-05,0.0041207,0.0029696,5e-05
0.43803,1,1.97e-05,0.0041207,0.0029697,5e-05
0.43834,1,1.98e-05,0.0041207,0.0029698,5e-05
0.43865,1,1.99e-05,0.0041207,0.0029699,5e-05
0.43896,1,2e-05,0.0041207,0.00297,5e-05
0.4393,1,2.01e-05,0.0041207,0.0029701,5e-05
0.43965,1,2.02e-05,0.0041207,0.0029702,5e-05
0.43999,1,2.03e-05,0.0041207,0.0029703,5e-05
0.44033,1,2.04e-05,0.0041207,0.0029704,5e-05
0.44068,1,2.05e-05,0.0041207,0.0029705,5e-05
0.44102,1,2.06e-05,0.0041207,0.0029706,5e-05
0.44136,1,2.07e-05,0.0041207,0.0029707,5e-05
0.4417,1,2.08e-05,0.0041207,0.0029708,5e-05
0.44205,1,2.09e-05,0.0041207,0.0029709,5e-05
0.44239,1,2.1e-05,0.0041207,0.002971,5e-05
0.44273,1,2.11e-05,0.0041207,0.0029711,5e-05
0.44308,1,2.12e-05,0.0041207,0.0029712,5e-05
0.44343,1,2.13e-05,0.0041207,0.0029713,5e-05
0.44381,1,2.14e-05,0.0041207,0.0029714,5e-05
0.44418,1,2.15e-05,0.0041207,0.0029715,5e-05
0.44456,1,2.16e-05,0.0041207,0.0029716,5e-05
0.44493,1,2.17e-05,0.0041207,0.0029717,5e-05
0.44531,1,2.18e-05,0.0041207,0.0029718,5e-05
0.44568,1,2.19e-05,0.0041207,0.0029719,5e-05
0.44606,1,2.2e-05,0.0041207,0.002972,5e-05
0.44643,1,2.21e-05,0.0041207,0.0029721,5e-05
0.44681,1,2.22e-05,0.0041207,0.0029722,5e-05
0.44718,1,2.23e-05,0.0041207,0.0029723,5e-05
0.44756,1,2.24e-05,0.0041207,0.0029724,5e-05
0.44793,1,2.25e-05,0.0041207,0.0029725,5e-05
0.44834,1,2.26e-05,0.0041207,0.0029726,5e-05
0.44874,1,2.27e-05,0.0041207,0.0029727,5e-05
0.44915,1,2.28e-05,0.0041207,0.0029728,5e-05
0.44955,1,2.29e-05,0.0041207,0.0029729,5e-05
0.44996,1,2.3e-05,0.0041207,0.002973,5e-05
0.45037,1,2.31e-05,0.0041207,0.0029731,5e-05
0.45077,1,2.32e-05,0.0041207,0.0029732,5e-05
0.45118,1,2.33e-05,0.0041207,0.0029733,5e-05
0.45158,1,2.34e-05,0.0041207,0.0029734,5e-05
0.45199,1,2.35e-05,0.0041207,0.0029735,5e-05
0.4524,1,2.36e-05,0.0041207,0.0029736,5e-05
0.4528,1,2.37e-05,0.0041207,0.0029737,5e-05
0.45322,1,2.38e-05,0.0041207,0.0029738,5e-05
0.45366,1,2.39e-05,0.0041207,0.0029739,5e-05
0.45409,1,2.4e-05,0.0041207,0.002974,5e-05
0.45453,1,2.41e-05,0.0041207,0.0029741,5e-05
0.45496,1,2.42e-05,0.0041207,0.0029742,5e-05
0.4554,1,2.43e-05,0.0041207,0.0029743,5e-05
0.45584,1,2.44e-05,0.0041207,0.0029744,5e-05
0.45627,1,2.45e-05,0.0041207,0.0029745,5e-05
0.45671,1,2.46e-05,0.0041207,0.0029746,5e-05
0.45714,1,2.47e-05,0.0041207,0.0029747,5e-05
0.45758,1,2.48e-05,0.0041207,0.0029748,5e-05
0.45801,1,2.49e-05,0.0041207,0.0029749,5e-05
0.45845,1,2.5e-05,0.0041207,0.002975,5e-05
0.45891,1,2.51e-05,0.0041207,0.0029751,5e-05
0.45937,1,2.52e-05,0.0041207,0.0029752,5e-05
0.45984,1,2.53e-05,0.0041207,0.0029753,5e-05
0.4603,1,2.54e-05,0.0041207,0.0029754,5e-05
0.46077,1,2.55e-05,0.0041207,0.0029755,5e-05
0.46123,1,2.56e-05,0.0041207,0.0029756,5e-05
0.46169,1,2.57e-05,0.0041207,0.0029757,5e-05
0.46216,1,2.58e-05,0.0041207,0.0029758,5e-05
0.46262,1,2.59e-05,0.0041207,0.0029759,5e-05
0.46308,1,2.6e-05,0.0041207,0.002976,5e-05
0.46355,1,2.61e-05,0.0041207,0.0029761,5e-05
0.46401,1,2.62e-05,0.0041207,0.0029762,5e-05
0.46449,1,2.63e-05,0.0041207,0.0029763,5e-05
0.46498,1,2.64e-05,0.0041207,0.0029764,5e-05
0.46547,1,2.65e-05,0.0041207,0.0029765,5e-05
0.46596,1,2.66e-05,0.0041207,0.0029766,5e-05
0.46644,1,2.67e-05,0.0041207,0.0029767,5e-05
0.46693,1,2.68e-05,0.0041207,0.0029768,5e-05
0.46742,1,2.69e-05,0.0041207,0.0029769,5e-05
0.46791,1,2.7e-05,0.0041207,0.002977,5e-05
0.4684,1,2.71e-05,0.0041207,0.0029771,5e-05
0.46889,1,2.72e-05,0.0041207,0.0029772,5e-05
0.46938,1,2.73e-05,0.0041207,0.0029773,5e-05
0.46987,1,2.74e-05,0.0041207,0.0029774,5e-05
0.47035,1,2.75e-05,0.0041207,0.0029775,5e-05
0.47087,1,2.76e-05,0.0041207,0.0029776,5e-05
0.47138,1,2.77e-05,0.0041207,0.0029777,5e-05
0.47189,1,2.78e-05,0.0041207,0.0029778,5e-05
0.4724,1,2.79e-05,0.0041207,0.0029779,5e-05
0.47291,1,2.8e-05,0.0041207,0.002978,5e-05
0.47342,1,2.81e-05,0.0041207,0.0029781,5e-05
0.47393,1,2.82e-05,0.0041207,0.0029782,5e-05
0.47444,1,2.83e-05,0.0041207,0.0029783,5e-05
0.47496,1,2.84e-05,0.0041207,0.0029784,5e-05
0.47547,1,2.85e-05,0.0041207,0.0029785,5e-05
0.47598,1,2.86e-05,0.0041207,0.0029786,5e-05
0.47649,1,2.87e-05,0.0041207,0.0029787,5e-05
0.47701,1,2.88e-05,0.0041207,0.0029788,5e-05
0.47754,1,2.89e-05,0.0041207,0.0029789,5e-05
0.47807,1,2.9e-05,0.0041207,0.002979,5e-05
0.4786,1,2.91e-05,0.0041207,0.0029791,5e-05
0.47912,1,2.92e-05,0.0041207,0.0029792,5e-05
0.47965,1,2.93e-05,0.0041207,0.0029793,5e-05
0.48018,1,2.94e-05,0.0041207,0.0029794,5e-05
0.48071,1,2.95e-05,0.0041207,0.0029795,5e-05
0.48124,1,2.96e-05,0.0041207,0.0029796,5e-05
0.48177,1,2.97e-05,0.0041207,0.0029797,5e-05
0.4823,1,2.98e-05,0.0041207,0.0029798,5e-05
0.48283,1,2.99e-05,0.0041207,0.0029799,5e-05
0.48336,1,3e-05,0.0041207,0.00298,5e-05
0.4839,1,3.01e-05,0.0041207,0.0029801,5e-05
0.48444,1,3.02e-05,0.0041207,0.0029802,5e-05
0.48498,1,3.03e-05,0.0041207,0.0029803,5e-05
0.48552,1,3.04e-05,0.0041207,0.0029804,5e-05
0.48606,1,3.05e-05,0.0041207,0.0029805,5e-05
0.4866,1,3.06e-05,0.0041207,0.0029806,5e-05
0.48714,1,3.07e-05,0.0041207,0.0029807,5e-05
0.48768,1,3.08e-05,0.0041207,0.0029808,5e-05
0.48823,1,3.09e-05,0.0041207,0.0029809,5e-05
0.48877,1,3.1e-05,0.0041207,0.002981,5e-05
0.48931,1,3.11e-05,0.0041207,0.0029811,5e-05
0.48985,1,3.12e-05,0.0041207,0.0029812,5e-05
0.49039,1,3.13e-05,0.0041207,0.0029813,5e-05
0.49094,1,3.14e-05,0.0041207,0.0029814,5e-05
0.49148,1,3.15e-05,0.0041207,0.0029815,5e-05
0.49203,1,3.16e-05,0.0041207,0.0029816,5e-05
0.49257,1,3.17e-05,0.0041207,0.0029817,5e-05
0.49312,1,3.18e-05,0.0041207,0.0029818,5e-05
0.49367,1,3.19e-05,0.0041207,0.0029819,5e-05
0.49421,1,3.2e-05,0.0041207,0.002982,5e-05
0.49476,1,3.21e-05,0.0041207,0.0029821,5e-05
0.4953,1,3.22e-05,0.0041207,0.0029822,5e-05
0.49585,1,3.23e-05,0.0041207,0.0029823,5e-05
0.4964,1,3.24e-05,0.0041207,0.0029824,5e-05
0.49694,1,3.25e-05,0.0041207,0.0029825,5e-05
0.49748,1,3.26e-05,0.0041207,0.0029826,5e-05
0.49802,1,3.27e-05,0.0041207,0.0029827,5e-05
0.49857,1,3.28e-05,0.0041207,0.0029828,5e-05
0.49911,1,3.29e-05,0.0041207,0.0029829,5e-05
