"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.45771,1,0,0.0082118,0.00305,5e-05
0.44668,1,9.9884e-08,0.0082118,0.0030499,5e-05
0.43562,1,2e-07,0.0082118,0.0030498,5e-05
0.42459,1,2.9989e-07,0.0082118,0.0030497,5e-05
0.41353,1,4e-07,0.0082118,0.0030496,5e-05
0.4025,1,4.9989e-07,0.0082118,0.0030495,5e-05
0.39144,1,6e-07,0.0082118,0.0030494,5e-05
0.38041,1,6.9989e-07,0.0082118,0.0030493,5e-05
0.36935,1,8.0001e-07,0.0082118,0.0030492,5e-05
0.35831,1,8.9989e-07,0.0082118,0.0030491,5e-05
0.34725,1,1e-06,0.0082118,0.003049,5e-05
0.33622,1,1.0999e-06,0.0082118,0.0030489,5e-05
0.32516,1,1.2e-06,0.0082118,0.0030488,5e-05
0.31608,1,1.2999e-06,0.0082118,0.0030487,5e-05
0.30891,1,1.4e-06,0.0082118,0.0030486,5e-05
0.30177,1,1.4999e-06,0.0082118,0.0030485,5e-05
0.2946,1,1.6e-06,0.0082118,0.0030484,5e-05
0.28746,1,1.6999e-06,0.0082118,0.0030483,5e-05
0.28029,1,1.8e-06,0.0082118,0.0030482,5e-05
0.27315,1,1.8999e-06,0.0082118,0.0030481,5e-05
0.26598,1,2e-06,0.0082118,0.003048,5e-05
0.25884,1,2.0999e-06,0.0082118,0.0030479,5e-05
0.25167,1,2.2e-06,0.0082118,0.0030478,5e-05
0.24453,1,2.2999e-06,0.0082118,0.0030477,5e-05
0.23736,1,2.4e-06,0.0082118,0.0030476,5e-05
0.23022,1,2.4999e-06,0.0082118,0.0030475,5e-05
0.2247,1,2.6e-06,0.0082118,0.0030474,5e-05
0.2192,1,2.6999e-06,0.0082118,0.0030473,5e-05
0.21369,1,2.8e-06,0.0082118,0.0030472,5e-05
0.20819,1,2.8999e-06,0.0082118,0.0030471,5e-05
0.20267,1,3e-06,0.0082118,0.003047,5e-05
0.19717,1,3.0999e-06,0.0082118,0.0030469,5e-05
0.19166,1,3.2e-06,0.0082118,0.0030468,5e-05
0.18616,1,3.2999e-06,0.0082118,0.0030467,5e-05
0.18064,1,3.4e-06,0.0082118,0.0030466,5e-05
0.17514,1,3.4999e-06,0.0082118,0.0030465,5e-05
0.16963,1,3.6e-06,0.0082118,0.0030464,5e-05
0.16413,1,3.6999e-06,0.0082118,0.0030463,5e-05
0.15933,1,3.8e-06,0.0082118,0.0030462,5e-05
0.15527,1,3.8999e-06,0.0082118,0.0030461,5e-05
0.15119,1,4e-06,0.0082118,0.003046,5e-05
0.14713,1,4.0999e-06,0.0082118,0.0030459,5e-05
0.14305,1,4.2e-06,0.0082118,0.0030458,5e-05
0.13899,1,4.2999e-06,0.0082118,0.0030457,5e-05
0.13492,1,4.4e-06,0.0082118,0.0030456,5e-05
0.13085,1,4.4999e-06,0.0082118,0.0030455,5e-05
0.12678,1,4.6e-06,0.0082118,0.0030454,5e-05
0.12271,1,4.6999e-06,0.0082118,0.0030453,5e-05
0.11864,1,4.8e-06,0.0082118,0.0030452,5e-05
0.11457,1,4.8999e-06,0.0082118,0.0030451,5e-05
0.1105,1,5e-06,0.0082118,0.003045,5e-05
0.10758,1,5.0999e-06,0.0082118,0.0030449,5e-05
0.10466,1,5.2e-06,0.0082118,0.0030448,5e-05
0.10175,1,5.2999e-06,0.0082118,0.0030447,5e-05
0.09883,1,5.4e-06,0.0082118,0.0030446,5e-05
0.095916,1,5.4999e-06,0.0082118,0.0030445,5e-05
0.092996,1,5.6e-06,0.0082118,0.0030444,5e-05
0.090083,1,5.6999e-06,0.0082118,0.0030443,5e-05
0.087163,1,5.8e-06,0.0082118,0.0030442,5e-05
0.08425,1,5.8999e-06,0.0082118,0.0030441,5e-05
0.081329,1,6e-06,0.0082118,0.003044,5e-05
0.078416,1,6.0999e-06,0.0082118,0.0030439,5e-05
0.075496,1,6.2e-06,0.0082118,0.0030438,5e-05
0.073025,1,6.2999e-06,0.0082118,0.0030437,5e-05
0.070988,1,6.4e-06,0.0082118,0.0030436,5e-05
0.068956,1,6.4999e-06,0.0082118,0.0030435,5e-05
0.06692,1,6.6001e-06,0.0082118,0.0030434,5e-05
0.064888,1,6.6999e-06,0.0082118,0.0030433,5e-05
0.062851,1,6.8001e-06,0.0082118,0.0030432,5e-05
0.06082,1,6.8999e-06,0.0082118,0.0030431,5e-05
0.058783,1,7.0001e-06,0.0082118,0.003043,5e-05
0.056751,1,7.0999e-06,0.0082118,0.0030429,5e-05
0.054715,1,7.2001e-06,0.0082118,0.0030428,5e-05
0.052683,1,7.2999e-06,0.0082118,0.0030427,5e-05
0.050646,1,7.4001e-06,0.0082118,0.0030426,5e-05
0.048615,1,7.4999e-06,0.0082118,0.0030425,5e-05
0.047232,1,7.5998e-06,0.0082118,0.0030424,5e-05
0.045846,1,7.6999e-06,0.0082118,0.0030423,5e-05
0.044463,1,7.7998e-06,0.0082118,0.0030422,5e-05
0.043077,1,7.8999e-06,0.0082118,0.0030421,5e-05
0.041694,1,7.9998e-06,0.0082118,0.003042,5e-05
0.040308,1,8.0999e-06,0.0082118,0.0030419,5e-05
0.038926,1,8.1998e-06,0.0082118,0.0030418,5e-05
0.03754,1,8.2999e-06,0.0082118,0.0030417,5e-05
0.036157,1,8.3998e-06,0.0082118,0.0030416,5e-05
0.034771,1,8.4999e-06,0.0082118,0.0030415,5e-05
0.033388,1,8.5998e-06,0.0082118,0.0030414,5e-05
0.032002,1,8.6999e-06,0.0082118,0.0030413,5e-05
0.03085,1,8.7998e-06,0.0082118,0.0030412,5e-05
0.029928,1,8.9e-06,0.0082118,0.0030411,5e-05
0.029009,1,8.9998e-06,0.0082118,0.003041,5e-05
0.028087,1,9.1e-06,0.0082118,0.0030409,5e-05
0.027167,1,9.1998e-06,0.0082118,0.0030408,5e-05
0.026245,1,9.3e-06,0.0082118,0.0030407,5e-05
0.025325,1,9.3998e-06,0.0082118,0.0030406,5e-05
0.024403,1,9.5e-06,0.0082118,0.0030405,5e-05
0.023484,1,9.5998e-06,0.0082118,0.0030404,5e-05
0.022562,1,9.7e-06,0.0082118,0.0030403,5e-05
0.021642,1,9.7998e-06,0.0082118,0.0030402,5e-05
0.02072,1,9.9e-06,0.0082118,0.0030401,5e-05
0.0198,1,9.9998e-06,0.0082118,0.00304,5e-05
0.0192,1,1.01e-05,0.0082118,0.0030399,5e-05
0.018602,1,1.02e-05,0.0082118,0.0030398,5e-05
0.018002,1,1.03e-05,0.0082118,0.0030397,5e-05
0.017403,1,1.04e-05,0.0082118,0.0030396,5e-05
0.016803,1,1.05e-05,0.0082118,0.0030395,5e-05
0.016205,1,1.06e-05,0.0082118,0.0030394,5e-05
0.015605,1,1.07e-05,0.0082118,0.0030393,5e-05
0.015006,1,1.08e-05,0.0082118,0.0030392,5e-05
0.014406,1,1.09e-05,0.0082118,0.0030391,5e-05
0.013808,1,1.1e-05,0.0082118,0.003039,5e-05
0.013208,1,1.11e-05,0.0082118,0.0030389,5e-05
0.012609,1,1.12e-05,0.0082118,0.0030388,5e-05
0.012118,1,1.13e-05,0.0082118,0.0030387,5e-05
0.011736,1,1.14e-05,0.0082118,0.0030386,5e-05
0.011353,1,1.15e-05,0.0082118,0.0030385,5e-05
0.010971,1,1.16e-05,0.0082118,0.0030384,5e-05
0.010589,1,1.17e-05,0.0082118,0.0030383,5e-05
0.010207,1,1.18e-05,0.0082118,0.0030382,5e-05
0.0098243,1,1.19e-05,0.0082118,0.0030381,5e-05
0.0094424,1,1.2e-05,0.0082118,0.003038,5e-05
0.0090597,1,1.21e-05,0.0082118,0.0030379,5e-05
0.0086779,1,1.22e-05,0.0082118,0.0030378,5e-05
0.0082952,1,1.23e-05,0.0082118,0.0030377,5e-05
0.0079134,1,1.24e-05,0.0082118,0.0030376,5e-05
0.0075307,1,1.25e-05,0.0082118,0.0030375,5e-05
0.0072917,1,1.26e-05,0.0082118,0.0030374,5e-05
0.0070521,1,1.27e-05,0.0082118,0.0030373,5e-05
0.006813,1,1.28e-05,0.0082118,0.0030372,5e-05
0.0065735,1,1.29e-05,0.0082118,0.0030371,5e-05
0.0063344,1,1.3e-05,0.0082118,0.003037,5e-05
0.0060948,1,1.31e-05,0.0082118,0.0030369,5e-05
0.0058558,1,1.32e-05,0.0082118,0.0030368,5e-05
0.0056162,1,1.33e-05,0.0082118,0.0030367,5e-05
0.0053772,1,1.34e-05,0.0082118,0.0030366,5e-05
0.0051376,1,1.35e-05,0.0082118,0.0030365,5e-05
0.0048985,1,1.36e-05,0.0082118,0.0030364,5e-05
0.0046589,1,1.37e-05,0.0082118,0.0030363,5e-05
0.0044658,1,1.38e-05,0.0082118,0.0030362,5e-05
0.0043183,1,1.39e-05,0.0082118,0.0030361,5e-05
0.0041712,1,1.4e-05,0.0082118,0.003036,5e-05
0.0040238,1,1.41e-05,0.0082118,0.0030359,5e-05
0.0038767,1,1.42e-05,0.0082118,0.0030358,5e-05
0.0037292,1,1.43e-05,0.0082118,0.0030357,5e-05
0.0035821,1,1.44e-05,0.0082118,0.0030356,5e-05
0.0034347,1,1.45e-05,0.0082118,0.0030355,5e-05
0.0032876,1,1.46e-05,0.0082118,0.0030354,5e-05
0.0031402,1,1.47e-05,0.0082118,0.0030353,5e-05
0.0029931,1,1.48e-05,0.0082118,0.0030352,5e-05
0.0028456,1,1.49e-05,0.0082118,0.0030351,5e-05
0.0026985,1,1.5e-05,0.0082118,0.003035,5e-05
0.0026092,1,1.51e-05,0.0082118,0.0030349,5e-05
0.0025202,1,1.52e-05,0.0082118,0.0030348,5e-05
0.0024309,1,1.53e-05,0.0082118,0.0030347,5e-05
