"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.50842,1,0,0.00595,0.001,5e-05
0.50843,1,9.9652e-08,0.0059501,0.001,5e-05
0.50843,1,1.9977e-07,0.0059502,0.001,5e-05
0.50843,1,2.9989e-07,0.0059503,0.001,5e-05
0.50843,1,4e-07,0.0059504,0.001,5e-05
0.50843,1,4.9965e-07,0.0059505,0.001,5e-05
0.50843,1,5.9977e-07,0.0059506,0.001,5e-05
0.50843,1,6.9989e-07,0.0059507,0.001,5e-05
0.50843,1,8.0001e-07,0.0059508,0.001,5e-05
0.50843,1,8.9966e-07,0.0059509,0.001,5e-05
0.50843,1,9.9977e-07,0.005951,0.001,5e-05
0.50843,1,1.0999e-06,0.0059511,0.001,5e-05
0.50843,1,1.2e-06,0.0059512,0.001,5e-05
0.50843,1,1.2997e-06,0.0059513,0.001,5e-05
0.50843,1,1.3998e-06,0.0059514,0.001,5e-05
0.50843,1,1.4999e-06,0.0059515,0.001,5e-05
0.50843,1,1.6e-06,0.0059516,0.001,5e-05
0.50844,1,1.6997e-06,0.0059517,0.001,5e-05
0.50844,1,1.7998e-06,0.0059518,0.001,5e-05
0.50844,1,1.8999e-06,0.0059519,0.001,5e-05
0.50844,1,2e-06,0.005952,0.001,5e-05
0.50844,1,2.0997e-06,0.0059521,0.001,5e-05
0.50844,1,2.1998e-06,0.0059522,0.001,5e-05
0.50844,1,2.2999e-06,0.0059523,0.001,5e-05
0.50845,1,2.4e-06,0.0059524,0.001,5e-05
0.50845,1,2.4997e-06,0.0059525,0.001,5e-05
0.50845,1,2.5998e-06,0.0059526,0.001,5e-05
0.50845,1,2.6999e-06,0.0059527,0.001,5e-05
0.50845,1,2.8e-06,0.0059528,0.001,5e-05
0.50846,1,2.8997e-06,0.0059529,0.001,5e-05
0.50846,1,2.9998e-06,0.005953,0.001,5e-05
0.50846,1,3.0999e-06,0.0059531,0.001,5e-05
0.50847,1,3.2e-06,0.0059532,0.001,5e-05
0.50847,1,3.2997e-06,0.0059533,0.001,5e-05
0.50847,1,3.3998e-06,0.0059534,0.001,5e-05
0.50847,1,3.4999e-06,0.0059535,0.001,5e-05
0.50848,1,3.6e-06,0.0059536,0.001,5e-05
0.50848,1,3.6997e-06,0.0059537,0.001,5e-05
0.50848,1,3.7998e-06,0.0059538,0.001,5e-05
0.50849,1,3.8999e-06,0.0059539,0.001,5e-05
0.50849,1,4e-06,0.005954,0.001,5e-05
0.5085,1,4.0997e-06,0.0059541,0.001,5e-05
0.5085,1,4.1998e-06,0.0059542,0.001,5e-05
0.5085,1,4.2999e-06,0.0059543,0.001,5e-05
0.50851,1,4.4e-06,0.0059544,0.001,5e-05
0.50851,1,4.4997e-06,0.0059545,0.001,5e-05
0.50852,1,4.5998e-06,0.0059546,0.001,5e-05
0.50852,1,4.6999e-06,0.0059547,0.001,5e-05
0.50853,1,4.8e-06,0.0059548,0.001,5e-05
0.50853,1,4.8997e-06,0.0059549,0.001,5e-05
0.50854,1,4.9998e-06,0.005955,0.001,5e-05
0.50854,1,5.0999e-06,0.0059551,0.001,5e-05
0.50855,1,5.2e-06,0.0059552,0.001,5e-05
0.50856,1,5.2997e-06,0.0059553,0.001,5e-05
0.50856,1,5.3998e-06,0.0059554,0.001,5e-05
0.50857,1,5.4999e-06,0.0059555,0.001,5e-05
0.50858,1,5.6e-06,0.0059556,0.001,5e-05
0.50858,1,5.6997e-06,0.0059557,0.001,5e-05
0.50859,1,5.7998e-06,0.0059558,0.001,5e-05
0.5086,1,5.8999e-06,0.0059559,0.001,5e-05
0.5086,1,6e-06,0.005956,0.001,5e-05
0.50861,1,6.0997e-06,0.0059561,0.001,5e-05
0.50862,1,6.1998e-06,0.0059562,0.001,5e-05
0.50863,1,6.2999e-06,0.0059563,0.001,5e-05
0.50864,1,6.4e-06,0.0059564,0.001,5e-05
0.50864,1,6.4997e-06,0.0059565,0.001,5e-05
0.50865,1,6.5998e-06,0.0059566,0.001,5e-05
0.50866,1,6.6999e-06,0.0059567,0.001,5e-05
0.50867,1,6.8001e-06,0.0059568,0.001,5e-05
0.50868,1,6.8997e-06,0.0059569,0.001,5e-05
0.50869,1,6.9998e-06,0.005957,0.001,5e-05
0.5087,1,7.0999e-06,0.0059571,0.001,5e-05
0.50871,1,7.2001e-06,0.0059572,0.001,5e-05
0.50872,1,7.2997e-06,0.0059573,0.001,5e-05
0.50873,1,7.3998e-06,0.0059574,0.001,5e-05
0.50874,1,7.4999e-06,0.0059575,0.001,5e-05
0.50876,1,7.6001e-06,0.0059576,0.001,5e-05
0.50877,1,7.6997e-06,0.0059577,0.001,5e-05
0.50878,1,7.7998e-06,0.0059578,0.001,5e-05
0.50879,1,7.8999e-06,0.0059579,0.001,5e-05
0.50881,1,8.0001e-06,0.005958,0.001,5e-05
0.50882,1,8.0997e-06,0.0059581,0.001,5e-05
0.50883,1,8.1998e-06,0.0059582,0.001,5e-05
0.50885,1,8.2999e-06,0.0059583,0.001,5e-05
0.50886,1,8.4001e-06,0.0059584,0.001,5e-05
0.50887,1,8.4997e-06,0.0059585,0.001,5e-05
0.50889,1,8.5998e-06,0.0059586,0.001,5e-05
0.5089,1,8.6999e-06,0.0059587,0.001,5e-05
0.50892,1,8.8001e-06,0.0059588,0.001,5e-05
0.50893,1,8.8997e-06,0.0059589,0.001,5e-05
0.50895,1,8.9998e-06,0.005959,0.001,5e-05
0.50897,1,9.1e-06,0.0059591,0.001,5e-05
0.50898,1,9.2001e-06,0.0059592,0.001,5e-05
0.509,1,9.2997e-06,0.0059593,0.001,5e-05
0.50902,1,9.3998e-06,0.0059594,0.001,5e-05
0.50904,1,9.5e-06,0.0059595,0.001,5e-05
0.50905,1,9.6001e-06,0.0059596,0.001,5e-05
0.50907,1,9.6997e-06,0.0059597,0.001,5e-05
0.50909,1,9.7998e-06,0.0059598,0.001,5e-05
0.5091,1,9.9e-06,0.0059599,0.001,5e-05
0.50912,1,1e-05,0.00596,0.001,5e-05
0.50914,1,1.01e-05,0.0059601,0.001,5e-05
0.50917,1,1.02e-05,0.0059602,0.001,5e-05
0.50919,1,1.03e-05,0.0059603,0.001,5e-05
0.50921,1,1.04e-05,0.0059604,0.001,5e-05
0.50923,1,1.05e-05,0.0059605,0.001,5e-05
0.50925,1,1.06e-05,0.0059606,0.001,5e-05
0.50927,1,1.07e-05,0.0059607,0.001,5e-05
0.5093,1,1.08e-05,0.0059608,0.001,5e-05
0.50932,1,1.09e-05,0.0059609,0.001,5e-05
0.50934,1,1.1e-05,0.005961,0.001,5e-05
0.50936,1,1.11e-05,0.0059611,0.001,5e-05
0.50938,1,1.12e-05,0.0059612,0.001,5e-05
0.50941,1,1.13e-05,0.0059613,0.001,5e-05
0.50943,1,1.14e-05,0.0059614,0.001,5e-05
0.50946,1,1.15e-05,0.0059615,0.001,5e-05
0.50949,1,1.16e-05,0.0059616,0.001,5e-05
0.50951,1,1.17e-05,0.0059617,0.001,5e-05
0.50954,1,1.18e-05,0.0059618,0.001,5e-05
0.50957,1,1.19e-05,0.0059619,0.001,5e-05
0.5096,1,1.2e-05,0.005962,0.001,5e-05
0.50962,1,1.21e-05,0.0059621,0.001,5e-05
0.50965,1,1.22e-05,0.0059622,0.001,5e-05
0.50968,1,1.23e-05,0.0059623,0.001,5e-05
0.5097,1,1.24e-05,0.0059624,0.001,5e-05
0.50973,1,1.25e-05,0.0059625,0.001,5e-05
0.50976,1,1.26e-05,0.0059626,0.001,5e-05
0.50979,1,1.27e-05,0.0059627,0.001,5e-05
0.50983,1,1.28e-05,0.0059628,0.001,5e-05
0.50986,1,1.29e-05,0.0059629,0.001,5e-05
0.50989,1,1.3e-05,0.005963,0.001,5e-05
0.50992,1,1.31e-05,0.0059631,0.001,5e-05
0.50996,1,1.32e-05,0.0059632,0.001,5e-05
0.50999,1,1.33e-05,0.0059633,0.001,5e-05
0.51002,1,1.34e-05,0.0059634,0.001,5e-05
0.51005,1,1.35e-05,0.0059635,0.001,5e-05
0.51008,1,1.36e-05,0.0059636,0.001,5e-05
0.51012,1,1.37e-05,0.0059637,0.001,5e-05
0.51015,1,1.38e-05,0.0059638,0.001,5e-05
0.51019,1,1.39e-05,0.0059639,0.001,5e-05
0.51023,1,1.4e-05,0.005964,0.001,5e-05
0.51027,1,1.41e-05,0.0059641,0.001,5e-05
0.51031,1,1.42e-05,0.0059642,0.001,5e-05
0.51034,1,1.43e-05,0.0059643,0.001,5e-05
0.51038,1,1.44e-05,0.0059644,0.001,5e-05
0.51042,1,1.45e-05,0.0059645,0.001,5e-05
0.51046,1,1.46e-05,0.0059646,0.001,5e-05
0.5105,1,1.47e-05,0.0059647,0.001,5e-05
0.51054,1,1.48e-05,0.0059648,0.001,5e-05
0.51057,1,1.49e-05,0.0059649,0.001,5e-05
0.51061,1,1.5e-05,0.005965,0.001,5e-05
0.51066,1,1.51e-05,0.0059651,0.001,5e-05
0.5107,1,1.52e-05,0.0059652,0.001,5e-05
0.51075,1,1.53e-05,0.0059653,0.001,5e-05
0.51079,1,1.54e-05,0.0059654,0.001,5e-05
0.51084,1,1.55e-05,0.0059655,0.001,5e-05
0.51088,1,1.56e-05,0.0059656,0.001,5e-05
0.51093,1,1.57e-05,0.0059657,0.001,5e-05
0.51097,1,1.58e-05,0.0059658,0.001,5e-05
0.51101,1,1.59e-05,0.0059659,0.001,5e-05
0.51106,1,1.6e-05,0.005966,0.001,5e-05
0.5111,1,1.61e-05,0.0059661,0.001,5e-05
0.51115,1,1.62e-05,0.0059662,0.001,5e-05
0.5112,1,1.63e-05,0.0059663,0.001,5e-05
0.51125,1,1.64e-05,0.0059664,0.001,5e-05
0.5113,1,1.65e-05,0.0059665,0.001,5e-05
0.51135,1,1.66e-05,0.0059666,0.001,5e-05
0.5114,1,1.67e-05,0.0059667,0.001,5e-05
0.51145,1,1.68e-05,0.0059668,0.001,5e-05
0.51151,1,1.69e-05,0.0059669,0.001,5e-05
0.51156,1,1.7e-05,0.005967,0.001,5e-05
0.51161,1,1.71e-05,0.0059671,0.001,5e-05
0.51166,1,1.72e-05,0.0059672,0.001,5e-05
0.51171,1,1.73e-05,0.0059673,0.001,5e-05
0.51176,1,1.74e-05,0.0059674,0.001,5e-05
0.51181,1,1.75e-05,0.0059675,0.001,5e-05
0.51187,1,1.76e-05,0.0059676,0.001,5e-05
0.51193,1,1.77e-05,0.0059677,0.001,5e-05
0.51199,1,1.78e-05,0.0059678,0.001,5e-05
0.51205,1,1.79e-05,0.0059679,0.001,5e-05
0.51211,1,1.8e-05,0.005968,0.001,5e-05
0.51217,1,1.81e-05,0.0059681,0.001,5e-05
0.51222,1,1.82e-05,0.0059682,0.001,5e-05
0.51228,1,1.83e-05,0.0059683,0.001,5e-05
0.51234,1,1.84e-05,0.0059684,0.001,5e-05
0.5124,1,1.85e-05,0.0059685,0.001,5e-05
0.51246,1,1.86e-05,0.0059686,0.001,5e-05
