"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0.001,0.00092929,5e-05
0,1.1178e-07,0.0010001,0.00092933,5e-05
0,2.2357e-07,0.0010002,0.00092936,5e-05
0,3.3537e-07,0.0010003,0.0009294,5e-05
0,4.4716e-07,0.0010004,0.00092943,5e-05
0,5.5894e-07,0.0010005,0.00092947,5e-05
0,6.7073e-07,0.0010006,0.0009295,5e-05
0,7.8264e-07,0.0010007,0.00092954,5e-05
0,8.9443e-07,0.0010008,0.00092957,5e-05
0,1.0062e-06,0.001001,0.00092961,5e-05
0,1.118e-06,0.0010011,0.00092964,5e-05
0,1.2298e-06,0.0010012,0.00092968,5e-05
0,1.3416e-06,0.0010013,0.00092971,5e-05
0,1.4534e-06,0.0010014,0.00092975,5e-05
0,1.5652e-06,0.0010015,0.00092978,5e-05
0,1.6771e-06,0.0010016,0.00092982,5e-05
0,1.7889e-06,0.0010017,0.00092986,5e-05
0,1.9007e-06,0.0010018,0.00092989,5e-05
0,2.0124e-06,0.0010019,0.00092993,5e-05
0,2.1242e-06,0.001002,0.00092996,5e-05
0,2.236e-06,0.0010021,0.00093,5e-05
0,2.3478e-06,0.0010022,0.00093003,5e-05
0,2.4597e-06,0.0010023,0.00093007,5e-05
0,2.5715e-06,0.0010024,0.0009301,5e-05
0,2.6833e-06,0.0010025,0.00093014,5e-05
0,2.7951e-06,0.0010027,0.00093017,5e-05
0,2.9069e-06,0.0010028,0.00093021,5e-05
0,3.0187e-06,0.0010029,0.00093024,5e-05
0,3.1305e-06,0.001003,0.00093028,5e-05
0,3.2423e-06,0.0010031,0.00093032,5e-05
0,3.3542e-06,0.0010032,0.00093035,5e-05
0,3.4659e-06,0.0010033,0.00093039,5e-05
0,3.5777e-06,0.0010034,0.00093042,5e-05
0,3.6895e-06,0.0010035,0.00093046,5e-05
0,3.8013e-06,0.0010036,0.00093049,5e-05
0,3.9131e-06,0.0010037,0.00093053,5e-05
0,4.0249e-06,0.0010038,0.00093056,5e-05
0,4.1368e-06,0.0010039,0.0009306,5e-05
0,4.2486e-06,0.001004,0.00093063,5e-05
0,4.3604e-06,0.0010041,0.00093067,5e-05
0,4.4722e-06,0.0010042,0.0009307,5e-05
0,4.584e-06,0.0010043,0.00093074,5e-05
0,4.6958e-06,0.0010045,0.00093077,5e-05
0,4.8075e-06,0.0010046,0.00093081,5e-05
0,4.9194e-06,0.0010047,0.00093085,5e-05
0,5.0312e-06,0.0010048,0.00093088,5e-05
0,5.143e-06,0.0010049,0.00093092,5e-05
0,5.2548e-06,0.001005,0.00093095,5e-05
0,5.3666e-06,0.0010051,0.00093099,5e-05
0,5.4784e-06,0.0010052,0.00093102,5e-05
0,5.5902e-06,0.0010053,0.00093106,5e-05
0,5.702e-06,0.0010054,0.00093109,5e-05
0,5.8139e-06,0.0010055,0.00093113,5e-05
0,5.9257e-06,0.0010056,0.00093116,5e-05
0,6.0375e-06,0.0010057,0.0009312,5e-05
0,6.1493e-06,0.0010058,0.00093123,5e-05
0,6.261e-06,0.0010059,0.00093127,5e-05
0,6.3728e-06,0.001006,0.0009313,5e-05
0,6.4846e-06,0.0010062,0.00093134,5e-05
0,6.5965e-06,0.0010063,0.00093138,5e-05
0,6.7083e-06,0.0010064,0.00093141,5e-05
0,6.8201e-06,0.0010065,0.00093145,5e-05
0,6.9319e-06,0.0010066,0.00093148,5e-05
0,7.0437e-06,0.0010067,0.00093152,5e-05
0,7.1555e-06,0.0010068,0.00093155,5e-05
0,7.2673e-06,0.0010069,0.00093159,5e-05
0,7.3791e-06,0.001007,0.00093162,5e-05
0,7.491e-06,0.0010071,0.00093166,5e-05
0,7.6028e-06,0.0010072,0.00093169,5e-05
0,7.7145e-06,0.0010073,0.00093173,5e-05
0,7.8263e-06,0.0010074,0.00093176,5e-05
0,7.9381e-06,0.0010075,0.0009318,5e-05
0,8.0499e-06,0.0010076,0.00093184,5e-05
0,8.1617e-06,0.0010077,0.00093187,5e-05
0,8.2736e-06,0.0010078,0.00093191,5e-05
0,8.3854e-06,0.001008,0.00093194,5e-05
0,8.4972e-06,0.0010081,0.00093198,5e-05
0,8.609e-06,0.0010082,0.00093201,5e-05
0,8.7208e-06,0.0010083,0.00093205,5e-05
0,8.8326e-06,0.0010084,0.00093208,5e-05
0,8.9443e-06,0.0010085,0.00093212,5e-05
0,9.0561e-06,0.0010086,0.00093215,5e-05
0,9.168e-06,0.0010087,0.00093219,5e-05
0,9.2798e-06,0.0010088,0.00093222,5e-05
0,9.3916e-06,0.0010089,0.00093226,5e-05
0,9.5034e-06,0.001009,0.00093229,5e-05
0,9.6152e-06,0.0010091,0.00093233,5e-05
0,9.727e-06,0.0010092,0.00093237,5e-05
0,9.8388e-06,0.0010093,0.0009324,5e-05
0,9.9507e-06,0.0010094,0.00093244,5e-05
0,1.0062e-05,0.0010095,0.00093247,5e-05
0,1.0174e-05,0.0010097,0.00093251,5e-05
0,1.0286e-05,0.0010098,0.00093254,5e-05
0,1.0398e-05,0.0010099,0.00093258,5e-05
0,1.051e-05,0.00101,0.00093261,5e-05
0,1.0621e-05,0.0010101,0.00093265,5e-05
0,1.0733e-05,0.0010102,0.00093268,5e-05
0,1.0845e-05,0.0010103,0.00093272,5e-05
0,1.0957e-05,0.0010104,0.00093275,5e-05
0,1.1069e-05,0.0010105,0.00093279,5e-05
0,1.118e-05,0.0010106,0.00093282,5e-05
0,1.1292e-05,0.0010107,0.00093286,5e-05
0,1.1404e-05,0.0010108,0.0009329,5e-05
0,1.1516e-05,0.0010109,0.00093293,5e-05
0,1.1628e-05,0.001011,0.00093297,5e-05
0,1.174e-05,0.0010111,0.000933,5e-05
0,1.1851e-05,0.0010112,0.00093304,5e-05
0,1.1963e-05,0.0010113,0.00093307,5e-05
0,1.2075e-05,0.0010115,0.00093311,5e-05
0,1.2187e-05,0.0010116,0.00093314,5e-05
0,1.2299e-05,0.0010117,0.00093318,5e-05
0,1.241e-05,0.0010118,0.00093321,5e-05
0,1.2522e-05,0.0010119,0.00093325,5e-05
0,1.2634e-05,0.001012,0.00093328,5e-05
0,1.2746e-05,0.0010121,0.00093332,5e-05
0,1.2858e-05,0.0010122,0.00093336,5e-05
0,1.2969e-05,0.0010123,0.00093339,5e-05
0,1.3081e-05,0.0010124,0.00093343,5e-05
0,1.3193e-05,0.0010125,0.00093346,5e-05
0,1.3305e-05,0.0010126,0.0009335,5e-05
0,1.3417e-05,0.0010127,0.00093353,5e-05
0,1.3528e-05,0.0010128,0.00093357,5e-05
0,1.364e-05,0.0010129,0.0009336,5e-05
0,1.3752e-05,0.001013,0.00093364,5e-05
0,1.3864e-05,0.0010132,0.00093367,5e-05
0,1.3976e-05,0.0010133,0.00093371,5e-05
0,1.4087e-05,0.0010134,0.00093374,5e-05
0,1.4199e-05,0.0010135,0.00093378,5e-05
0,1.4311e-05,0.0010136,0.00093381,5e-05
0,1.4423e-05,0.0010137,0.00093385,5e-05
0,1.4535e-05,0.0010138,0.00093389,5e-05
0,1.4646e-05,0.0010139,0.00093392,5e-05
0,1.4758e-05,0.001014,0.00093396,5e-05
0,1.487e-05,0.0010141,0.00093399,5e-05
0,1.4982e-05,0.0010142,0.00093403,5e-05
0,1.5094e-05,0.0010143,0.00093406,5e-05
0,1.5206e-05,0.0010144,0.0009341,5e-05
0,1.5317e-05,0.0010145,0.00093413,5e-05
0,1.5429e-05,0.0010146,0.00093417,5e-05
0,1.5541e-05,0.0010147,0.0009342,5e-05
0,1.5653e-05,0.0010148,0.00093424,5e-05
0,1.5765e-05,0.001015,0.00093427,5e-05
0,1.5876e-05,0.0010151,0.00093431,5e-05
0,1.5988e-05,0.0010152,0.00093435,5e-05
0,1.61e-05,0.0010153,0.00093438,5e-05
0,1.6212e-05,0.0010154,0.00093442,5e-05
0,1.6324e-05,0.0010155,0.00093445,5e-05
0,1.6435e-05,0.0010156,0.00093449,5e-05
0,1.6547e-05,0.0010157,0.00093452,5e-05
0,1.6659e-05,0.0010158,0.00093456,5e-05
0,1.6771e-05,0.0010159,0.00093459,5e-05
0,1.6883e-05,0.001016,0.00093463,5e-05
0,1.6994e-05,0.0010161,0.00093466,5e-05
0,1.7106e-05,0.0010162,0.0009347,5e-05
0,1.7218e-05,0.0010163,0.00093473,5e-05
0,1.733e-05,0.0010164,0.00093477,5e-05
0,1.7442e-05,0.0010165,0.0009348,5e-05
0,1.7553e-05,0.0010167,0.00093484,5e-05
0,1.7665e-05,0.0010168,0.00093488,5e-05
0,1.7777e-05,0.0010169,0.00093491,5e-05
0,1.7889e-05,0.001017,0.00093495,5e-05
0,1.8001e-05,0.0010171,0.00093498,5e-05
0,1.8112e-05,0.0010172,0.00093502,5e-05
0,1.8224e-05,0.0010173,0.00093505,5e-05
0,1.8336e-05,0.0010174,0.00093509,5e-05
0,1.8448e-05,0.0010175,0.00093512,5e-05
0,1.856e-05,0.0010176,0.00093516,5e-05
0,1.8671e-05,0.0010177,0.00093519,5e-05
0,1.8783e-05,0.0010178,0.00093523,5e-05
0,1.8895e-05,0.0010179,0.00093526,5e-05
0,1.9007e-05,0.001018,0.0009353,5e-05
0,1.9119e-05,0.0010181,0.00093533,5e-05
0,1.9231e-05,0.0010182,0.00093537,5e-05
0,1.9342e-05,0.0010184,0.00093541,5e-05
0,1.9454e-05,0.0010185,0.00093544,5e-05
0,1.9566e-05,0.0010186,0.00093548,5e-05
0,1.9678e-05,0.0010187,0.00093551,5e-05
0,1.9789e-05,0.0010188,0.00093555,5e-05
0,1.9901e-05,0.0010189,0.00093558,5e-05
0,2.0013e-05,0.001019,0.00093562,5e-05
0,2.0125e-05,0.0010191,0.00093565,5e-05
0,2.0237e-05,0.0010192,0.00093569,5e-05
0,2.0349e-05,0.0010193,0.00093572,5e-05
0,2.046e-05,0.0010194,0.00093576,5e-05
0,2.0572e-05,0.0010195,0.00093579,5e-05
0,2.0684e-05,0.0010196,0.00093583,5e-05
0,2.0796e-05,0.0010197,0.00093587,5e-05
0,2.0908e-05,0.0010198,0.0009359,5e-05
0,2.1019e-05,0.0010199,0.00093594,5e-05
0,2.1131e-05,0.00102,0.00093597,5e-05
0,2.1243e-05,0.0010202,0.00093601,5e-05
0,2.1355e-05,0.0010203,0.00093604,5e-05
0,2.1467e-05,0.0010204,0.00093608,5e-05
0,2.1578e-05,0.0010205,0.00093611,5e-05
0,2.169e-05,0.0010206,0.00093615,5e-05
0,2.1802e-05,0.0010207,0.00093618,5e-05
0,2.1914e-05,0.0010208,0.00093622,5e-05
0,2.2026e-05,0.0010209,0.00093625,5e-05
0,2.2137e-05,0.001021,0.00093629,5e-05
0,2.2249e-05,0.0010211,0.00093632,5e-05
0,2.2361e-05,0.0010212,0.00093636,5e-05
0,2.2473e-05,0.0010213,0.0009364,5e-05
0,2.2585e-05,0.0010214,0.00093643,5e-05
0,2.2696e-05,0.0010215,0.00093647,5e-05
0,2.2808e-05,0.0010216,0.0009365,5e-05
0,2.292e-05,0.0010217,0.00093654,5e-05
0,2.3032e-05,0.0010219,0.00093657,5e-05
0,2.3144e-05,0.001022,0.00093661,5e-05
0,2.3256e-05,0.0010221,0.00093664,5e-05
0,2.3367e-05,0.0010222,0.00093668,5e-05
0,2.3479e-05,0.0010223,0.00093671,5e-05
0,2.3591e-05,0.0010224,0.00093675,5e-05
0,2.3703e-05,0.0010225,0.00093678,5e-05
0,2.3814e-05,0.0010226,0.00093682,5e-05
0,2.3926e-05,0.0010227,0.00093685,5e-05
0,2.4038e-05,0.0010228,0.00093689,5e-05
0,2.415e-05,0.0010229,0.00093693,5e-05
0,2.4262e-05,0.001023,0.00093696,5e-05
0,2.4374e-05,0.0010231,0.000937,5e-05
0,2.4485e-05,0.0010232,0.00093703,5e-05
0,2.4597e-05,0.0010233,0.00093707,5e-05
0,2.4709e-05,0.0010234,0.0009371,5e-05
0,2.4821e-05,0.0010235,0.00093714,5e-05
0,2.4933e-05,0.0010237,0.00093717,5e-05
0,2.5044e-05,0.0010238,0.00093721,5e-05
0,2.5156e-05,0.0010239,0.00093724,5e-05
0,2.5268e-05,0.001024,0.00093728,5e-05
0,2.538e-05,0.0010241,0.00093731,5e-05
0,2.5492e-05,0.0010242,0.00093735,5e-05
0,2.5603e-05,0.0010243,0.00093739,5e-05
0,2.5715e-05,0.0010244,0.00093742,5e-05
0,2.5827e-05,0.0010245,0.00093746,5e-05
0,2.5939e-05,0.0010246,0.00093749,5e-05
0,2.6051e-05,0.0010247,0.00093753,5e-05
0,2.6162e-05,0.0010248,0.00093756,5e-05
0,2.6274e-05,0.0010249,0.0009376,5e-05
0,2.6386e-05,0.001025,0.00093763,5e-05
0,2.6498e-05,0.0010251,0.00093767,5e-05
0,2.661e-05,0.0010252,0.0009377,5e-05
0,2.6721e-05,0.0010254,0.00093774,5e-05
0,2.6833e-05,0.0010255,0.00093777,5e-05
0,2.6945e-05,0.0010256,0.00093781,5e-05
0,2.7057e-05,0.0010257,0.00093784,5e-05
